state,county,location_name ,location_type,address_1,address_2,pobox,city,state_2,zip,phone,email,fax
North Dakota,Walsh,County Auditor,Elections Office,600 Cooper Ave ,,,Grafton,ND,58237-1535,(701) 352-2851,kmolde@nd.gov,(701) 352-3340
North Dakota,Adams,County Auditor,Elections Office,,,PO Box 589 ,Hettinger,ND,58639-0589,(701) 567-4363 Ext.,kfaller@nd.gov,(701) 567-2910
North Dakota,Traill,County Auditor,Elections Office,,,PO Box 429 ,Hillsboro,ND,58045-0429,(701) 636-4458,glenda.haugen@co.traill.nd.us,(701) 636-5418
North Dakota,Stutsman,County Auditor,Elections Office,511 2nd Ave. SE,Ste 102,,Jamestown,ND,58401-4298,(701) 252-9035 Ext.,nmeland@stutsmancounty.gov,(701) 251-6310
North Dakota,Ramsey,County Auditor,Elections Office,524 4th Avenue NE,Unit 6,,Devils Lake,ND,58301-2490,(701) 662-7025,kchristo@nd.gov,(701) 662-7049
North Dakota,Nelson,County Auditor,Elections Office,210 B Ave W,Ste 201,,Lakota,ND,58344-7410,(701) 247-2463 Ext.,jwigen@nd.gov,(701) 247-2754
North Dakota,LaMoure,County Auditor,Elections Office,,,PO Box 128 ,LaMoure,ND,58458-0128,(701) 883-5301,jan.hamlin@co.lamoure.nd.us,(701) 883-4514
North Dakota,Cavalier,County Auditor,Elections Office,901 3rd Street,Ste. 15,,Langdon,ND,58249-2457,(701) 256-2229,lgellner@nd.gov,(701) 256-2546
North Dakota,Emmons,County Auditor,Elections Office,,,PO Box 129 ,Linton,ND,58552-0129,(701) 254-4807,mohlhauser@nd.gov,(701) 254-4012
North Dakota,Ransom,County Auditor,Elections Office,,,PO Box 668 ,Lisbon,ND,58054-0668,(701) 683-6113,nicole.gentzkow@co.ransom.nd.us,(701) 683-5827
North Dakota,Morton,County Auditor,Elections Office,210 2nd Ave. NW ,,,Mandan,ND,58554-3158,(701) 667-3300 Ext.,dawn.rhone@mortonnd.org,(701) 667-3380
North Dakota,Dunn,County Auditor,Elections Office,205 Owens Street ,,,Manning,ND,58642-0105,(701) 573-4448,tracey.dolezal@dunncountynd.org,(701) 573-4323
North Dakota,Sheridan,County Auditor,Elections Office,,,PO Box 439 ,McClusky,ND,58463-0439,(701) 363-2205,smurray@nd.gov,(701) 363-2953
North Dakota,Billings,County Auditor,Elections Office,,,PO Box 168 ,Medora,ND,58645-0168,(701) 623-4377,mdlamb@nd.gov,(701) 623-4761
North Dakota,Benson,County Auditor,Elections Office,,,PO Box 206 ,Minnewaukan,ND,58351-0206,(701) 473-5340,bserickson@nd.gov,(701) 473-5571
North Dakota,Ward,County Auditor,Elections Office,,,PO Box 5005 ,Minot,ND,58702-5005,(701) 857-6420 Ext.,devra.smestad@wardnd.com,(701) 857-6424
North Dakota,Renville,County Auditor,Elections Office,,,PO Box 68 ,Mohall,ND,58761-0068,(701) 756-6301,lpollman@nd.gov,(701) 756-7158
North Dakota,Hettinger,County Auditor,Elections Office,336 Pacific Avenue ,,,Mott,ND,58646,(701) 824-2515,jerschmidt@nd.gov,(701) 824-2717
North Dakota,Logan,County Auditor,Elections Office,301 Broadway ,,,Napoleon,ND,58561-7010,(701) 754-2425,bkfischer@nd.gov,(701) 754-2280
North Dakota,Eddy,County Auditor,Elections Office,524 Central Ave,Ste 201,,New Rockford,ND,58356-1652,(701) 947-2434 Ext. 2020,pawilliams@nd.gov,(701) 947-2279
North Dakota,Rolette,County Auditor,Elections Office,,,PO Box 939 ,Rolla,ND,58367-0939,(701) 477-5665,vmccloud@nd.gov,(701) 477-6339
North Dakota,Pierce,County Auditor,Elections Office,240 2nd Street SE,Ste. 6,,Rugby,ND,58368-1897,(701) 776-5225 Ext. 2100,kfursath@nd.gov,(701) 776-6942
North Dakota,Mountrail,County Auditor,Elections Office,,,PO Box 69 ,Stanley,ND,58784-0069,(701) 628-2145,stephp@co.mountrail.nd.us,(701) 628-2276
North Dakota,Mercer,County Auditor,Elections Office,,,PO Box 39 ,Stanton,ND,58571-0039,(701) 745-3292,sbrost@nd.gov,(701) 745-3793
North Dakota,Kidder,County Auditor,Elections Office,,,PO Box 167 ,Steele,ND,58482-0167,(701) 475-4547,jschoenhard@nd.gov,(701) 475-2202
North Dakota,McHenry,County Auditor,Elections Office,407 Main Street S,Room 201,,Towner,ND,58788-4048,(701) 537-5724,dcarpenter@nd.gov,(701) 537-5969
North Dakota,Richland,County Auditor,Elections Office,418 2nd Ave. N ,,,Wahpeton,ND,58075-4400,(701) 642-7700,lhage@co.richland.nd.us,(701) 642-7701
North Dakota,McLean,County Auditor,Elections Office,,,PO Box 1108 ,Washburn,ND,58577,(701) 462-8541 Ext. 825,baknutson@nd.gov,(701) 462-3542
North Dakota,Williams,County Auditor,Elections Office,,,PO Box 2047 ,Williston,ND,58802-2047,(701) 577-4500,bethi@co.williams.nd.us,(701) 577-4510
North Dakota,Sioux,County Auditor,Elections Office,,,PO Box L ,Fort Yates,ND,58538,(701) 854-3481 Ext.,cllecompte@nd.gov,(701) 854-3854
