state,county,location_type,name,address_1,city,zip,phone,email
RI,Pawtucket,"Registrar, Local Board of Canvassers",Ken McGill,City Hall 137 Roosevelt Avenue,Pawtucket,2861,(401) 722-1637 x207,kmcgill@pawtucketri.com
RI,Portsmouth,"Registrar, Local Board of Canvassers",Jackie Shultz,Town Hall 2200 East Main Road,Portsmouth,2871,(401) 683-3157,jshultz@portsmouthri.com
RI,Providence,"Administrator, Local Board of Canvassers",Kathy Placencia,City Hall 25 Dorrance Street,Providence,2903,(401) 421-0495,kplacencia@providenceri.com
RI,Richmond,"Town Clerk, Local Board of Canvassers",Sarah Rapose,Town Hall 5 Richmond Townhouse Rd,Wyoming,2898,(401) 539-9000,townclerk@richmondri.com
RI,Scituate,"Canvassing Clerk, Local Board of Canvassers",Gloria Taylor,Town Hall 195 DANIELSON PIKE,North Scituate,2857,(401) 647-2822,gtaylor@scituateri.org
RI,Smithfield,"Town Clerk, Local Board of Canvassers",Carol Aquilante,Town Hall 64 Farnum Pike,Smithfield,2917,(401) 233-1001,caquilante@smithfieldri.com
RI,South Kingstown,"Town Clerk, Local Board of Canvassers",Dale Holberton,Town Hall 180 High Street,Wakefield,2879,(401) 789-9331 x 1230,sflynn@southkingstownri.com
RI,Tiverton,"Canvassing Clerk, Local Board of Canvassers",Christine Miguel,Town Hall 343 Highland Road,Tiverton,2878,(401) 625-6703,canvassers@tiverton.ri.gov
RI,Warren,"Town Clerk, Local Board of Canvassers",Julie Coelho,Town Hall 514 Main Street,Warren,2885,(401) 245-7340,jcoelho@townofwarren-ri.gov
RI,Warwick,"Director of Elections , Local Board of Canvassers",Dorothy McCarthy,City Hall 3275 Post Road,Warwick,2886,(401) 738-2010,Dorothy.A.McCarthy@warwickri.com
RI,Westerly,"Registrar, Local Board of Canvassers",Krista Tracy,Town Hall 45 Broad Street,Westerly,2891,(401) 348-2503,ktracy@westerlyri.gov
RI,West Greenwich,"Canv. Chair , Local Board of Canvassers",Holly Howard,Town Hall 280 Victory Highway,West Greenwich,2817,(401) 392-3800 Ex. 108 or Ext. 100,okfgrow@aol.com
RI,West Warwick,"Clerk, Local Board of Canvassers",Kerry Nardolillo,Town Hall 1170 Main Street,West Warwick,2893,(401) 822-9200,knardolillo@westwarwickri.org
RI,Woonsocket,"Manager, Local Board of Canvassers",Estelle Corriveau,City Hall 169 Main Street,Woonsocket,2895,(401) 767-9221,ccrowley@woonsocketri.org
RI,East Greenwich,Police Station,,176 First Ave,East Greenwich,2818,,
RI,Bristol,State Board of Elections,,2000 Plainfield Pike,Cranston,2921,401-222-2345,boe.elections@elections.ri.gov
RI,Providence,Elections Division|RI Department of State|Secretary Of State,,148 West River Street,Providence,2904,,
RI,Central Falls,Central Falls Police Stations,,160 Illinois Street,Central Falls,2863,,
