state,county,location_type,location_name,address1,address2,city,state_2,zip,notes,dates,hours
Maryland,Baltimore County,dropbox,Hereford High School Baltimore County Pub. Schools,17301 York Road,,Parkton,MD,21120,,2020/09/30,continuously
Maryland,Baltimore County,dropbox,Honeygo Run Community Center,9033 Honeygo Boulevard,,Perry Hall,MD,21128,,2020/09/30,continuously
Maryland,Baltimore County,dropbox,Jacksonville Recreation Center at Sweet Air Park,3605 B Sweet Air Road,,Jacksonville,MD,21131,,2020/09/30,continuously
Maryland,Baltimore County,dropbox,Oregon Ridge Lodge,13401 Beaver Dam Road,,Cockeysville,MD,21030,,2020/09/30,continuously
Maryland,Baltimore County,dropbox,Randallstown Community Center,3505 Resource Drive,,Randallstown,MD,21133,,2020/09/30,continuously
Maryland,Baltimore County,dropbox,Reisterstown Senior Center,12035 Reisterstown Road,,Reisterstown,MD,21136,,2020/09/30,continuously
Maryland,Baltimore County,dropbox,Sollers Point Multi-Purpose Center,323 Sollers Point Road,,Dundalk,MD,21222,,2020/09/30,continuously
Maryland,Baltimore County,dropbox,Towson University - South Campus Pavilion,1 Auburn Drive,,Towson,MD,21204,,2020/09/30,continuously
Maryland,Baltimore County,dropbox,Victory Villa Community Center,404 Compass Road E,,Middle River,MD,21220,,2020/09/30,continuously
Maryland,Baltimore County,dropbox,Woodlawn Community Center,2120 Gwynn Oak Avenue,,Gwynn Oak,MD,21207,,2020/09/30,continuously
Maryland,Calvert,dropbox,Community Resources Building,30 Duke Street,,Prince Frederick,MD,20678,,2020/09/30,continuously
Maryland,Caroline,dropbox,Caroline County Health and Public Services Building,403 S. Seventh Street,Suite 247,Denton,MD,21629,,2020/09/30,continuously
Maryland,Caroline,dropbox,The General James F. Fretterd Community Center,107 S. Fourth Street,,Denton,MD,21629,,2020/09/30,continuously
Maryland,Carroll,dropbox,Carroll County Board of Elections,300 S Center Street,,Westminster,MD,21157,,2020/09/30,continuously
Maryland,Carroll,dropbox,South Carroll Swim Club,1900 W Liberty Road,,Westminster,MD,21157,,2020/09/30,continuously
Maryland,Carroll,dropbox,Westminster Senior Center,125 Stoner Avenue,,Westminster,MD,21157,,2020/09/30,continuously
Maryland,Cecil,dropbox,Cecil County Administration Building,200 Chesapeake Boulevard,,Elkton,MD,21921,,2020/09/30,continuously
Maryland,Charles,dropbox,Sacred Heart Church Friendship Hall,201 St. Mary's Avenue,,La Plata,MD,20646,,2020/09/30,continuously
Maryland,Charles,dropbox,St. Charles High School,5305 Piney Church Road,,Waldorf,MD,20602,,2020/09/30,continuously
Maryland,Dorchester,dropbox,Dorchester County Board of Elections,501 Court Lane,,Cambridge,MD,21613,,2020/09/30,continuously
Maryland,Frederick,dropbox,Brunswick Middle School,301 Cummings Drive,,Brunswick,MD,21716,,2020/09/30,continuously
Maryland,Frederick,dropbox,Catoctin High School,14745 Sabillasville Road,,Thurmont,MD,21788,,2020/09/30,continuously
Maryland,Frederick,dropbox,Governor Thomas Johnson High School,1501 North Market Street,,Frederick,MD,21701,,2020/09/30,continuously
Maryland,Frederick,dropbox,Middletown VFD Activities Center,1 Fireman’s Lane,,Middletown,MD,21769,,2020/09/30,continuously
Maryland,Frederick,dropbox,Urbana Regional Library,9020 Amelung Street,,Frederick,MD,21704,,2020/09/30,continuously
Maryland,Garrett,dropbox,Northern Outreach Center,12601 National Pike,,Grantsville,MD,21536,,2020/09/30,continuously
Maryland,Garrett,dropbox,Oakland Community Center,14 N 8th Street,,Oakland,MD,21550,,2020/09/30,continuously
Maryland,Harford,dropbox,Aberdeen Activity Center,7 Franklin Street,,Aberdeen,MD,21001,,2020/09/30,continuously
Maryland,Harford,dropbox,Edgewood Recreation Center,1980 Brookside Drive,,Edgewood,MD,21040,,2020/09/30,continuously
Maryland,Harford,dropbox,Harford County Board of Elections,133 Industry Lane,,Forest Hill,MD,21050,,2020/09/30,continuously
Maryland,Harford,dropbox,Jarrettsville Fire Hall,3825 Federal Hill Road,,Jarrettsville,MD,21084,,2020/09/30,continuously
Maryland,Harford,dropbox,McFaul Activities Center,525 W MacPhail Road,,Bel Air,MD,21014,,2020/09/30,continuously
Maryland,Howard,dropbox,Howard County Board of Elections,9770 Patuxent Woods Drive,Suite 200,Columbia,MD,21046,,2020/09/30,continuously
Maryland,Howard,dropbox,Long Reach High School,6101 Old Dobbin Lane,,Columbia,MD,21045,,2020/09/30,continuously
Maryland,Howard,dropbox,Marriotts Ridge High School,12100 Woodford Drive,,Marriottsville,MD,21104,,2020/09/30,continuously
Maryland,Howard,dropbox,Meadowbrook Athletic Complex,5001 Meadowbrook Lane,,Ellicott City,MD,21043,,2020/09/30,continuously
Maryland,Howard,dropbox,Reservoir High School,11550 Scaggsville Road,,Fulton,MD,20759,,2020/09/30,continuously
Maryland,Howard,dropbox,Wilde Lake High School,5460 Trumpeter Road,,Columbia,MD,21044,,2020/09/30,continuously
Maryland,Kent,dropbox,Kent County Board of Elections,135 Dixon Drive,,Chestertown,MD,21620,,2020/09/30,continuously
Maryland,Kent,dropbox,Kent County Public Library,408 High Street,,Chestertown,MD,21620,,2020/09/30,continuously
Maryland,Montgomery,dropbox,Activity Center At Bohrer Park,506 South Frederick Avenue,,Gaithersburg,MD,20877,,2020/09/30,continuously
Maryland,Montgomery,dropbox,Clarksburg High School,22500 Wims Road,,Clarksburg,MD,20871,,2020/09/30,continuously
Maryland,Montgomery,dropbox,Col. Zadok Magruder High School,5939 Muncaster Mill Road,,Rockville,MD,20855,,2020/09/30,continuously
Maryland,Montgomery,dropbox,Damascus Community Recreation Center,25520 Oak Drive,,Damascus,MD,20872,,2020/09/30,continuously
Maryland,Montgomery,dropbox,Germantown Community Recreation Center,18905 Kingsview Road,,Germantown,MD,20874,,2020/09/30,continuously
Maryland,Montgomery,dropbox,Jane E. Lawton Community Recreation Center,4301 Willow Lane,,Chevy Chase,MD,20815,,2020/09/30,continuously
Maryland,Montgomery,dropbox,Marilyn J. Praisner Community Recreation Center,14906 Old Columbia Pike,,Burtonsville,MD,20866,,2020/09/30,continuously
Maryland,Montgomery,dropbox,Mid-County Community Recreation Center,2004 Queensguard Road,,Silver Spring,MD,20906,,2020/09/30,continuously
Maryland,Montgomery,dropbox,Montgomery Blair High School,51 University Boulevard East,,Silver Spring,MD,20901,,2020/09/30,continuously
Maryland,Montgomery,dropbox,"Montgomery Co. Conference Center, Marriott Bethesda North",5967 Executive Boulevard,,North Bethesda,MD,20852,,2020/09/30,continuously
Maryland,Montgomery,dropbox,Nancy H. Dacek N. Potomac Community Recreation Center,13850 Travilah Road,,Rockville,MD,20850,,2020/09/30,continuously
Maryland,Montgomery,dropbox,Poolesville High School,17501 West Willard Road,,Poolesville,MD,20837,,2020/09/30,continuously
Maryland,Montgomery,dropbox,Potomac Community Recreation Center,11315 Falls Road,,Potomac,MD,20854,,2020/09/30,continuously
Maryland,Montgomery,dropbox,Sandy Spring Volunteer Fire Dept,17921 Brooke Road,,Sandy Spring,MD,20860,,2020/09/30,continuously
Maryland,Montgomery,dropbox,Silver Spring Civic Building,1 Veterans Place,,Silver Spring,MD,20910,,2020/09/30,continuously
Maryland,Montgomery,dropbox,Springbrook High School,201 Valley Brook Drive,,Silver Spring,MD,20904,,2020/09/30,continuously
Maryland,Montgomery,dropbox,Walt Whitman High School,7100 Whittier Boulevard,,Bethesda,MD,20817,,2020/09/30,continuously
Maryland,Montgomery,dropbox,Watkins Mill High School,10301 Apple Ridge Road,,Gaithersburg,MD,20879,,2020/09/30,continuously
Maryland,Montgomery,dropbox,Wheaton High School,12401 Dalewood Drive,,Silver Spring,MD,20906,,2020/09/30,continuously
Maryland,Montgomery,dropbox,Wheaton Library & Community Recreation Center,11701 Georgia Avenue,,Wheaton,MD,20902,,2020/09/30,continuously
Maryland,Montgomery,dropbox,White Oak Community Recreation Center,1700 April Lane,,Silver Spring,MD,20904,,2020/09/30,continuously
Maryland,Prince George's,dropbox,Accokeek VFD Training & Activity Center,16111 Livingston Road,,Accokeek,MD,20607,,2020/09/30,continuously
Maryland,Prince George's,dropbox,Baden Community Center,13601 Baden-Westwood Road,,Brandywine,MD,20613,,2020/09/30,continuously
Maryland,Prince George's,dropbox,Bladensburg High School,4200 57th Avenue,,Bladensburg,MD,20710,,2020/09/30,continuously
Maryland,Prince George's,dropbox,Bowie Gymnasium,4100 Northview Drive,,Bowie,MD,20716,,2020/09/30,continuously
Maryland,Prince George's,dropbox,Deerfield Run School Community Center,13000 Laurel-Bowie Road,,Laurel,MD,20708,,2020/09/30,continuously
Maryland,Prince George's,dropbox,Duval High School,9880 Good Luck Road,,Lanham,MD,20706,,2020/09/30,continuously
Maryland,Prince George's,dropbox,Frederick Douglass High School,8000 Croom Road,,Upper Marlboro,MD,20772,,2020/09/30,continuously
Maryland,Prince George's,dropbox,Friendly High School,10000 Allentown Road,,Fort Washington,MD,20744,,2020/09/30,continuously
Maryland,Prince George's,dropbox,High Point High School,3601 Powder Mill Road,,Beltsville,MD,20705,,2020/09/30,continuously
Maryland,Prince George's,dropbox,Kentland Community Center,2413 Pinebrook Avenue,,Landover,MD,20785,,2020/09/30,continuously
Maryland,Prince George's,dropbox,Laurel High School,8000 Cherry Lane,,Laurel,MD,20707,,2020/09/30,continuously
Maryland,Prince George's,dropbox,Northwestern High School,7000 Adelphi Road,,Hyattsville,MD,20782,,2020/09/30,continuously
Maryland,Prince George's,dropbox,Parkdale High School,6001 Good Luck Road,,Riverdale,MD,20737,,2020/09/30,continuously
Maryland,Prince George's,dropbox,Peppermill Community Center,610 Hill Road,,Landover,MD,20785,,2020/09/30,continuously
Maryland,Prince George's,dropbox,Prince George's County Board of Elections,1100 Mercantile Lane,Suite 115A,Largo,MD,20774,,2020/09/30,continuously
Maryland,Prince George's,dropbox,Show Place Arena,14900 Pennsylvania Avenue,,Upper Marlboro,MD,20772,,2020/09/30,continuously
Maryland,Prince George's,dropbox,Southern Area Aquatic and Recreation Complex,13601 Missouri Avenue,,Brandywine,MD,20613,,2020/09/30,continuously
Maryland,Prince George's,dropbox,Southern Regional Technology and Recreation Complex,7007 Bock Road,,Fort Washington,MD,20744,,2020/09/30,continuously
Maryland,Prince George's,dropbox,Suitland Community Park School Center,5600 Regency Lane,,Forestville,MD,20747,,2020/09/30,continuously
Maryland,Prince George's,dropbox,The Pavilion at the University of Maryland Xfinity Center,8500 Paint Branch Drive,,College Park,MD,20740,,2020/09/30,continuously
Maryland,Prince George's,dropbox,Wayne K. Curry Sports and Learning Center,8001 Sheriff Road,,Landover,MD,20785,,2020/09/30,continuously
Maryland,Prince George's,dropbox,Westphalia Community Center,8900 Westphalia Road,,Upper Marlboro,MD,20774,,2020/09/30,continuously
Maryland,Queen Anne's,dropbox,Kent Island Fire Department,1610 Main Street,,Chester,MD,21619,,2020/09/30,continuously
Maryland,Queen Anne's,dropbox,Queen Anne's County Office Building,110 Vincit Street,,Centreville,MD,21617,,2020/09/30,continuously
Maryland,St. Mary's,dropbox,Great Mills High School,21130 Great Mills Road,,Great Mills,MD,20636,,2020/09/30,continuously
Maryland,St. Mary's,dropbox,Hollywood Firehouse,24801 Three Notch Road,,Hollywood,MD,20636,,2020/09/30,continuously
Maryland,St. Mary's,dropbox,Lexington Park Library,21677 Franklin Delano Roosevelt Boulevard,,Lexington Park,MD,20653,,2020/09/30,continuously
Maryland,St. Mary's,dropbox,St. Mary’s County Board of Elections Office (current office location),23250 Hollywood Road,,Leonardtown,MD,20650,,2020/09/30,continuously
Maryland,St. Mary's,dropbox,St. Mary's County Board of Elections (former office location),41650 Tudor Hall Road,,Leonardtown,MD,20650,,2020/09/30,continuously
Maryland,Somerset,dropbox,Somerset County Board of Elections,11916 Somerset Avenue,,Princess Anne,MD,21853,,2020/09/30,continuously
Maryland,Somerset,dropbox,Somerset County Technical High School,7994 Tawes Campus Road,,Westover,MD,21871,,2020/09/30,continuously
Maryland,Talbot,dropbox,Easton Volunteer Fire Department,315 Aurora Park Drive,,Easton,MD,21601,,2020/09/30,continuously
Maryland,Talbot,dropbox,Talbot County Board of Elections,215 Bay Street,,Easton,MD,21601,,2020/09/30,continuously
Maryland,Washington,dropbox,Washington County Board of Elections,35 W Washington Street,,Hagerstown,MD,21740,,2020/09/30,continuously
Maryland,Washington,dropbox,Washington County Early Voting Center,17718 Virginia Avenue,,Hagerstown,MD,21740,,2020/09/30,continuously
Maryland,Wicomico,dropbox,Wicomico Civic Center,500 Glen Avenue,,Salisbury,MD,21804,,2020/09/30,continuously
Maryland,Wicomico,dropbox,Wicomico County Board of Elections,345 Snow Hill Road,,Salisbury,MD,21804,,2020/09/30,continuously
Maryland,Worcester,dropbox,Roland E. Powell Convention Center,4001 Coastal Highway,,Ocean City,MD,21842,,2020/09/30,continuously
Maryland,Worcester,dropbox,Worcester County Election Office,201 Belt Street,Suite C,Snow Hill,MD,21863,,2020/09/30,continuously
Maryland,Charles,dropbox,Charles County Board of Elections,201 E Charles Street,,La Plata,MD,20646,,2020/09/30,continuously
Maryland,Frederick,dropbox,Frederick County Board of Elections,340A Montevue Lane,,Frederick,MD,21702,,2020/09/30,continuously
Maryland,Montgomery,dropbox,City of Rockville at City Hall Parking Lot,111 Maryland Avenue,,Rockville,MD,20850,,2020/09/30,continuously
Maryland,Montgomery,dropbox,Executive Office Building,101 Monroe Street,,Rockville,MD,20850,,2020/09/30,continuously
Maryland,Montgomery,dropbox,Montgomery County Board of Elections,18753 N Frederick Avenue,,Gaithersburg,MD,20879,,2020/09/30,continuously
Maryland,Montgomery,dropbox,Takoma Park Community Center,7500 Maple Avenue,,Takoma Park,MD,20912,,2020/10/01,continuously
Maryland,Allegany,dropbox,Mountain Ridge High School,100 Dr. Nancy S Grasmick Lane,,Frostburg,MD,21532,,2020/10/17,continuously
Maryland,Anne Arundel,dropbox,Arnold Elementary School,95 E Joyce Lane,,Arnold,MD,21012,,2020/10/17,continuously
Maryland,Anne Arundel,dropbox,Bates Middle School,701 Chase Street,,Annapolis,MD,21401,,2020/10/17,continuously
Maryland,Anne Arundel,dropbox,Brooklyn Park Middle School,200 Hammonds Lane,,Brooklyn Park,MD,21225,,2020/10/17,continuously
Maryland,Anne Arundel,dropbox,Chesapeake Science Point Charter School,7321 Pkwy Drive S,,Hanover,MD,21076,,2020/10/17,continuously
Maryland,Anne Arundel,dropbox,Corkran Middle School,7600 Quarterfield Road,,Glen Burnie,MD,21061,,2020/10/17,continuously
Maryland,Anne Arundel,dropbox,Crofton Elementary School,1405 Duke of Kent Drive,,Crofton,MD,21114,,2020/10/17,continuously
Maryland,Anne Arundel,dropbox,Heritage Community Church,8146 Quarterfield Road,,Severn,MD,21144,,2020/10/17,continuously
Maryland,Anne Arundel,dropbox,Lindale Middle School,415 Andover Road,,Linthicum,MD,21090,,2020/10/17,continuously
Maryland,Anne Arundel,dropbox,Magothy River Middle School,241 Peninsula Farm Road,#1052,Arnold,MD,21012,,2020/10/17,continuously
Maryland,Anne Arundel,dropbox,Marley Middle School,10 Davis Court,,Glen Burnie,MD,21060,,2020/10/17,continuously
Maryland,Anne Arundel,dropbox,Millersville Elementary School,1601 Millersville Road,,Millersville,MD,21108,,2020/10/17,continuously
Maryland,Anne Arundel,dropbox,Rolling Knolls Elementary School,1985 Valley Road,,Annapolis,MD,21401,,2020/10/17,continuously
Maryland,Anne Arundel,dropbox,Solley Elementary School,7608 Solley Road,,Glen Burnie,MD,21060,,2020/10/17,continuously
Maryland,Anne Arundel,dropbox,Southern Middle School,5235 Solomons Island Road,,Lothian,MD,20711,,2020/10/17,continuously
Maryland,Baltimore City,dropbox,Academy for College and Career Exploration School 427,1300 W 36th Street,,Baltimore,MD,21211,,2020/10/17,continuously
Maryland,Baltimore City,dropbox,Barclay Elementary School 54,2900 Barclay Street,,Baltimore,MD,21218,,2020/10/17,continuously
Maryland,Baltimore City,dropbox,Benjamin Franklin High School at Masonville Cove 239,1201 Cambria Street,,Baltimore,MD,21225,,2020/10/17,continuously
Maryland,Baltimore City,dropbox,Carver Vocational-Technical High School 454,2201 Presstman Street,,Baltimore,MD,21216,,2020/10/17,continuously
Maryland,Baltimore City,dropbox,Dickey Hill Elementary/Middle School 201,5025 Dickey Hill Road,,Baltimore,MD,21207,,2020/10/17,continuously
Maryland,Baltimore City,dropbox,Digital Harbor High School 416,1100 Covington Street,,Baltimore,MD,21230,,2020/10/17,continuously
Maryland,Baltimore City,dropbox,Enoch Pratt Library - Herring Run Branch,3801 Erdman Avenue,,Baltimore,MD,21213,,2020/10/17,continuously
Maryland,Baltimore City,dropbox,Forest Park High School 406,3701 Eldorado Avenue,,Baltimore,MD,21207,,2020/10/17,continuously
Maryland,Baltimore City,dropbox,Frederick Douglas High School 450,2301 Gwynns Falls Parkway,,Baltimore,MD,21217,,2020/10/17,continuously
Maryland,Baltimore City,dropbox,Hamilton Elementary School 236,6101 Old Harford Road,,Baltimore,MD,21214,,2020/10/17,continuously
Maryland,Baltimore City,dropbox,Hampden Elementary School 55,3608 Chestnut Avenue,,Baltimore,MD,21211,,2020/10/17,continuously
Maryland,Baltimore City,dropbox,Leith Walk Elementary/Middle School 245,5915 Glennor Road,,Baltimore,MD,21239,,2020/10/17,continuously
Maryland,Baltimore City,dropbox,Patterson High School 405,100 Kane Street,,Baltimore,MD,21224,,2020/10/17,continuously
Maryland,Baltimore City,dropbox,Pimlico Elementary School 223,4849 Pimlico Road,,Baltimore,MD,21215,,2020/10/17,continuously
Maryland,Baltimore City,dropbox,Renaissance Academy 433,1301 McCulloh Street,,Baltimore,MD,21217,,2020/10/17,continuously
Maryland,Baltimore City,dropbox,Violetville Elementary/Middle School 226,1207 Pine Heights Avenue,,Baltimore,MD,21229,,2020/10/17,continuously
Maryland,Baltimore City,dropbox,Western High School 407,4600 Falls Road,,Baltimore,MD,21209,,2020/10/17,continuously
Maryland,Calvert,dropbox,Calvert High School,520 Fox Run Boulevard,,Prince Frederick,MD,20678,,2020/10/17,continuously
Maryland,Calvert,dropbox,Huntingtown High School,4125 Solomons Island Road,,Huntingtown,MD,20639,,2020/10/17,continuously
Maryland,Calvert,dropbox,Northeast Community Center,4075 Gordon Stinnett Avenue,,Chesapeake Beach,MD,20732,,2020/10/17,continuously
Maryland,Calvert,dropbox,Northern High School,2950 Chaneyville Road,,Owings,MD,20736,,2020/10/17,continuously
Maryland,Calvert,dropbox,Patuxent High School,12485 Southern Connector Boulevard,,Lusby,MD,20657,,2020/10/17,continuously
Maryland,Calvert,dropbox,Southern Community Center,20 Appeal Lane,,Lusby,MD,20657,,2020/10/17,continuously
Maryland,Carroll,dropbox,Liberty High School,5855 Bartholow Road,,Sykesville,MD,21784,,2020/10/17,continuously
Maryland,Carroll,dropbox,North Carroll Senior Center,2328 Hanover Pike,,Hampstead,MD,21074,,2020/10/17,continuously
Maryland,Carroll,dropbox,TaneyTown Police Station,120 E Baltimore Street,,Taneytown,MD,21787,,2020/10/17,continuously
Maryland,Cecil,dropbox,Bohemia Manor High School,2755 Augustine Herman Highway,,Chesapeake City,MD,21915,,2020/10/17,continuously
Maryland,Cecil,dropbox,Elkton High School,110 James Street,,Elkton,MD,21921,,2020/10/17,continuously
Maryland,Cecil,dropbox,North East High School,300 Irishtown Road,,North East,MD,21901,,2020/10/17,continuously
Maryland,Cecil,dropbox,Perryville High School,1696 Perryville Road,,Perryville,MD,21903,,2020/10/17,continuously
Maryland,Cecil,dropbox,Rising Sun High School,100 Tiger Drive,,North East,MD,21901,,2020/10/17,continuously
Maryland,Charles,dropbox,Henry E. Lackey High School,3000 Chicamuxen Road,,Indian Head,MD,20640,,2020/10/17,continuously
Maryland,Charles,dropbox,Southern Maryland Electric Cooperative (SMECO),15065 Burnt Store Road,,Hughesville,MD,20637,,2020/10/17,continuously
Maryland,Charles,dropbox,Westlake High School,3300 Middletown Road,,Waldorf,MD,20603,,2020/10/17,continuously
Maryland,Frederick,dropbox,Oakdale High School,5850 Eaglehead Drive,,Ijamsville,MD,21754,,2020/10/17,continuously
Maryland,Frederick,dropbox,William R. Talley Recreation Center,121 North Bentz Street,,Frederick,MD,21701,,2020/10/17,continuously
Maryland,Howard,dropbox,Elkridge Landing Middle School,7085 Montgomery Road,,Elkridge,MD,21075,,2020/10/17,continuously
Maryland,Howard,dropbox,Laurel Woods Elementary School,9250 N Laurel Road,,Laurel,MD,20723,,2020/10/17,continuously
Maryland,Howard,dropbox,Lisbon Elementary School,15901 Frederick Road,,Lisbon,MD,21797,,2020/10/17,continuously
Maryland,Montgomery,dropbox,Albert Einstein High School,11135 Newport Mill Road,,Kensington,MD,20895,,2020/10/17,continuously
Maryland,Montgomery,dropbox,Bethesda-Chevy Chase High School,4301 East-West Highway,,Bethesda,MD,20814,,2020/10/17,continuously
Maryland,Montgomery,dropbox,Damascus High School,25921 Ridge Road,,Damascus,MD,20872,,2020/10/17,continuously
Maryland,Montgomery,dropbox,Gaithersburg High School,101 Education Boulevard,,Gaithersburg,MD,20877,,2020/10/17,continuously
Maryland,Montgomery,dropbox,James Hubert Blake High School,300 Norwood Road,,Silver Spring,MD,20905,,2020/10/17,continuously
Maryland,Montgomery,dropbox,John F. Kennedy High School,1901 Randolph Road,,Silver Spring,MD,20902,,2020/10/17,continuously
Maryland,Montgomery,dropbox,Northwest High School,13501 Richter Farm Road,,Germantown,MD,20874,,2020/10/17,continuously
Maryland,Montgomery,dropbox,Northwood High School,919 University Boulevard West,,Silver Spring,MD,20901,,2020/10/17,continuously
Maryland,Montgomery,dropbox,Paint Branch High School,14121 Old Columbia Pike,,Burtonsville,MD,20866,,2020/10/17,continuously
Maryland,Montgomery,dropbox,Quince Orchard High School,15800 Quince Orchard Road,,Gaithersburg,MD,20878,,2020/10/17,continuously
Maryland,Montgomery,dropbox,Richard Montgomery High School,250 Richard Montgomery Drive,,Rockville,MD,20852,,2020/10/17,continuously
Maryland,Montgomery,dropbox,Rockville High School,2100 Baltimore Road,,Rockville,MD,20851,,2020/10/17,continuously
Maryland,Montgomery,dropbox,Seneca Valley High School,19401 Crystal Rock Drive,,Germantown,MD,20874,,2020/10/17,continuously
Maryland,Montgomery,dropbox,Thomas S. Wootton High School,2100 Wootton Parkway,,Rockville,MD,20850,,2020/10/17,continuously
Maryland,Montgomery,dropbox,Walter Johnson High School,6400 Rock Spring Drive,,Bethesda,MD,20814,,2020/10/17,continuously
Maryland,Montgomery,dropbox,Winston Churchill High School,11300 Gainsborough Road,,Potomac,MD,20854,,2020/10/17,continuously
Maryland,Prince George's,dropbox,Bowie High School,15200 Annapolis Road,,Bowie,MD,20715,,2020/10/17,continuously
Maryland,Prince George's,dropbox,Bowie State University - James Gym,14000 Jericho Park Road,,Bowie,MD,20715,,2020/10/17,continuously
Maryland,Prince George's,dropbox,Cedar Heights Community Center,1200 Glen Willow Drive,,Capitol Heights,MD,20743,,2020/10/17,continuously
