type,county,place,address,address_1,address_2,csz,city,zip,description
Dropbox,King,Uwajimaya,"619 6th Ave S, Seattle WA  98104",619 6th Ave S,,Seattle WA 98104,Seattle,98104,
Dropbox,King,Green Lake Community Center,"7201 E Green Lake Dr N, Seattle WA  98115",7201 E Green Lake Dr N,,Seattle WA 98115,Seattle,98115,
Dropbox,King,South Park Library,"8604 8th Ave S, Seattle WA  98108",8604 8th Ave S,,Seattle WA 98108,Seattle,98108,
Dropbox,King,Snoqualmie Library,"7824 Center Boulevard SE, Snoqualmie  WA  98065",7824 Center Boulevard SE,,Snoqualmie WA 98065,Snoqualmie,98065,
Dropbox,King,"Seattle Central College, Broadway-Edison Building (northeast corner)","1701 Broadway, Seattle WA  98122",1701 Broadway,,Seattle WA 98122,Seattle,98122,
Dropbox,King,Auburn Library,"1102 Auburn Way S, Auburn WA  98002",1102 Auburn Way S,,Auburn WA 98002,Auburn,98002,
Dropbox,King,Bellevue Library,"1111 110th Ave NE, Bellevue WA  98004",1111 110th Ave NE,,Bellevue WA 98004,Bellevue,98004,
Dropbox,King,Algona-Pacific Library,"255 Ellingson Rd, Pacific WA  98047",255 Ellingson Rd,,Pacific WA 98047,Pacific,98047,
Dropbox,King,Fairwood Library,"17009 140th Ave SE, Renton WA  98058",17009 140th Ave SE,,Renton WA 98058,Renton,98058,
Dropbox,King,Broadview Library,"12755 Greenwood Ave N, Seattle WA  98133",12755 Greenwood Ave N,,Seattle WA 98133,Seattle,98133,
Dropbox,King,Lake City Library,"12501 28th Ave NE, Seattle WA  98125",12501 28th Ave NE,,Seattle WA 98125,Seattle,98125,
Dropbox,King,NewHolly Neighborhood Campus,"7054 32nd Ave S, Seattle WA  98118",7054 32nd Ave S,,Seattle WA 98118,Seattle,98118,
Dropbox,King,Skyway Library,"12601 76th Ave S, Seattle WA  98178",12601 76th Ave S,,Seattle WA 98178,Seattle,98178,
Dropbox,King,Powell Avenue Box,"725 Powell Ave SW, Renton WA  98057",725 Powell Ave SW,,Renton WA 98057,Renton,98057,
Dropbox,King,"South Seattle College, (at the entrance of the Robert Smith Building)","6000 16th Ave SW, Seattle WA  98106",6000 16th Ave SW,,Seattle WA 98106,Seattle,98106,
Dropbox,King,Black Diamond Library,"24707 Roberts Dr, Black Diamond WA  98010",24707 Roberts Dr,,Black Diamond WA 98010,Black Diamond,98010,
Dropbox,King,Carnation Library,"4804 Tolt Ave, Carnation WA  98014",4804 Tolt Ave,,Carnation WA 98014,Carnation,98014,
Dropbox,King,North Seattle College (south visitor lot access from N 95th St),"9600 College Way N, Seattle WA  98103",9600 College Way N,,Seattle WA 98103,Seattle,98103,
Dropbox,King,South Lake Union,"310 Terry Ave N, Seattle WA  98109",310 Terry Ave N,,Seattle WA 98109,Seattle,98109,
Dropbox,King,Duvall Police Department-Depot Park,"26225 NE Burhen Way, Duvall WA  98019",26225 NE Burhen Way,,Duvall WA 98019,Duvall,98019,
Dropbox,King,Normandy Park Towne Center,"19901 1st Ave S, Normandy Park WA  98148",19901 1st Ave S,,Normandy Park WA 98148,Normandy Park,98148,
Dropbox,King,Seattle Pacific University Bookstore,"310 W Bertona St, Seattle WA  98119",310 W Bertona St,,Seattle WA 98119,Seattle,98119,
Dropbox,King,Newport Way Library,"14250 SE Newport Way, Bellevue WA  98006",14250 SE Newport Way,,Bellevue WA 98006,Bellevue,98006,
Dropbox,King,North Bend Library,"115 E 4th St, North Bend WA  98045",115 E 4th St,,North Bend WA 98045,North Bend,98045,
Dropbox,King,Federal Way 320th Library,"848 S 320th St, Federal Way WA  98003",848 S 320th St,,Federal Way WA 98003,Federal Way,98003,
Dropbox,King,Auburn Park & Ride,"101 15th St NE, Auburn WA  98001",101 15th St NE,,Auburn WA 98001,Auburn,98001,
Dropbox,King,Alaska Junction,"Corner of SW Alaska St and 44th Ave SW, Seattle WA  98116",Corner of SW Alaska St and 44th Ave SW,,Seattle WA 98116,Seattle,98116,
Dropbox,King,Magnuson Park-The Brig,"6344 NE 74th St, Seattle WA  98115",6344 NE 74th St,,Seattle WA 98115,Seattle,98115,
Dropbox,King,Redmond Community Center at Marymoor Village,"6505 176th Ave NE, Redmond WA  98052",6505 176th Ave NE,,Redmond WA 98052,Redmond,98052,  
Dropbox,King,Shoreline Park & Ride,"18821 Aurora Ave N, Shoreline WA  98133",18821 Aurora Ave N,,Shoreline WA 98133,Shoreline,98133,
Dropbox,King,Waterway 19 Park (next to Gas Works Park),"2119 N Northlake Way, Seattle WA  98103",2119 N Northlake Way,,Seattle WA 98103,Seattle,98103,
Dropbox,King,Angle Lake Transit Station,"19955 28th Ave S, SeaTac WA  98188",19955 28th Ave S,,SeaTac WA 98188,SeaTac,98188,
Dropbox,King,Kent YMCA,"10828 SE 248th St, Kent WA  98030",10828 SE 248th St,,Kent WA 98030,Kent,98030,
Dropbox,Kitsap,Marvin Williams Recreation Center,"725 Park Ave, Bremerton WA  98337",725 Park Ave,,Bremerton WA 98337,Bremerton,98337,Marvin Williams Recreation Center Open Election Day. Also open the Saturday and Monday before Election Day 8:30 a.m. - 4:30 p.m.
Dropbox,Kitsap,Bangor - Naval Base Kitsap,"2500 Ohio St, NSB Silverdale WA  98315",2500 Ohio St,,NSB Silverdale WA 98315,NSB Silverdale,98315,Located near the Kitsap Credit Union and NEX Package Store
Dropbox,Kitsap,Indianola Tennis Courts,"20761 Greenwood St NE, Indianola WA  98342",20761 Greenwood St NE,,Indianola WA 98342,Indianola,98342,
Dropbox,Kitsap,Keyport - Central Park,"15378 Washington Ave NE, Keyport WA  98345",15378 Washington Ave NE,,Keyport WA 98345,Keyport,98345,
Dropbox,Kitsap,Poulsbo - Olympic College,"1000 Olympic College Way NW, Poulsbo WA  98370",1000 Olympic College Way NW,,Poulsbo WA 98370,Poulsbo,98370,
Dropbox,Kitsap,Seabeck - Green Mountain Elementary,"3860 Boundary Trail NW, Bremerton WA  98312",3860 Boundary Trail NW,,Bremerton WA 98312,Bremerton,98312,
Dropbox,Kitsap,South Kitsap Fire Station 8,"1974 Fircrest Dr SE, Port Orchard WA  98366",1974 Fircrest Dr SE,,Port Orchard WA 98366,Port Orchard,98366,
Dropbox,Kitsap,South Kitsap Fire Station 17,"7990 McCormick Woods Dr SW, Port Orchard WA  98367",7990 McCormick Woods Dr SW,,Port Orchard WA 98367,Port Orchard,98367,
Dropbox,Kitsap,Hansville - Norwegian Point Park,"38950 Hansville Rd NE, Hansville WA  98340",38950 Hansville Rd NE,,Hansville WA 98340,Hansville,98340,
Dropbox,Kitsap,Tracyton - Elks Lodge 1181,"4131 Pine Rd NE, Bremerton WA  98310",4131 Pine Rd NE,,Bremerton WA 98310,Bremerton,98310,
Dropbox,Kitsap,Manchester - Stormwater Park,"2399 Colchester Dr E, Manchester WA  98366",2399 Colchester Dr E,,Manchester WA 98366,Manchester,98366,
Dropbox,Kitsap,Kingston - Village Green Park,"10810 NE West Kingston Rd, Kingston WA  98346",10810 NE West Kingston Rd,,Kingston WA 98346,Kingston,98346,
Dropbox,Kitsap,West Side Improvement Club,"4109 West E St, Bremerton WA  98312",4109 West E St,,Bremerton WA 98312,Bremerton,98312,
Dropbox,Kitsap,Burley Store,"14972 Bethel-Burley Rd SE, Burley WA  98367",14972 Bethel-Burley Rd SE,,Burley WA 98367,Burley,98367,
Dropbox,Kitsap,Southworth - Ferry Terminal,"11677 SE Southworth Ferry Dr, Southworth WA  98366",11677 SE Southworth Ferry Dr,,Southworth WA 98366,Southworth,98366,Enter terminal parking via Ridge Crest Way SE
Dropbox,Kitsap,Suquamish - Tribal Council Building,"18490 Suquamish Way NE, Suquamish WA  98392",18490 Suquamish Way NE,,Suquamish WA 98392,Suquamish,98392,
Dropbox,Kitsap,Bainbridge Island School District,"8489 Madison Ave NE, Bainbridge Island WA  98110",8489 Madison Ave NE,,Bainbridge Island WA 98110,Bainbridge Island,98110,
Dropbox,Kitsap,Bremerton - KRL Sylvan Way Branch,"1301 Sylvan Way, Bremerton WA  98310",1301 Sylvan Way,,Bremerton WA 98310,Bremerton,98310,Kitsap Regional Library 
Dropbox,Kitsap,Bremerton - Norm Dicks,"345 6th St, Bremerton WA  98337",345 6th St,,Bremerton WA 98337,Bremerton,98337,
Dropbox,Kitsap,Poulsbo Fire Station,"911 NE Liberty Rd, Poulsbo WA  98370",911 NE Liberty Rd,,Poulsbo WA 98370,Poulsbo,98370,
Dropbox,Kitsap,Silverdale - Jenne-Wright Building,"9210 Silverdale Way NW, Silverdale WA  98383",9210 Silverdale Way NW,,Silverdale WA 98383,Silverdale,98383,Central Kitsap School District Administration Bldg 
Dropbox,Kitsap,Port Orchard - Admin Bldg,"619 Division St, Port Orchard WA  98366",619 Division St,,Port Orchard WA 98366,Port Orchard,98366,County Administration Building Located on the side of the Administration Building near the corner of Division St and Cline Ave.
Dropbox,Kitsap,North Kitsap Vote Center,"911 NE Liberty Rd, Poulsbo WA  98370",911 NE Liberty Rd,,Poulsbo WA 98370,Poulsbo,98370,Poulsbo Fire Station  Open Election Day. Also open the Saturday and Monday before Election Day 8:30 a.m. - 4:30 p.m.
Dropbox,Kitsap,North Kitsap Fire & Rescue,"26642 Miller Bay Rd NE, Kingston WA  98346",26642 Miller Bay Rd NE,,Kingston WA 98346,Kingston,98346,
Dropbox,Kitsap,South Kitsap Vote Center,"619 Division St, Port Orchard WA  98366",619 Division St,,Port Orchard WA 98366,Port Orchard,98366,County Administration Building Commissioners' Chambers Open Election Day - 7 a.m. to 8 p.m.  Also open the Saturday and Monday before Election Day 8:30 a.m. - 4:30 p.m.    
Dropbox,Kittitas,Upper County District Court - DROP BOX ONLY,"700 E. 1st Street, Cle Elum WA  98922",700 E. 1st Street,,Cle Elum WA 98922,Cle Elum,98922,
Dropbox,Kittitas,Courthouse - Drive Up Drop Box,"205 W 5th Ave ave, Ellensburg WA  98926",205 W 5th Ave ave,,Ellensburg WA 98926,Ellensburg,98926,
Dropbox,Kittitas,Central Washington University - SURC - DROP BOX ONLY,"1007 N. Chestnut St, Ellensburg WA  98926",1007 N. Chestnut St,,Ellensburg WA 98926,Ellensburg,98926,Curbside of the SURC entrance 
Dropbox,Kittitas,Kittitas County Auditor's Office Drop Box,"205 W 5th, Ellensburg WA  98926",205 W 5th,Suite 105,Ellensburg WA 98926,Ellensburg,98926,
Dropbox,Kittitas,Thorp Fire District No 1 - DROP BOX ONLY,"10700 Thorp Hwy N, Thorp WA 98946",10700 Thorp Hwy N,,Thorp WA 98946,Thorp,98946,Located near the Fire District sign 
Dropbox,Kittitas,City of Kittitas - DROP BOX ONLY,"207 Main St, Kittitas WA  98934",207 Main St,,Kittitas WA 98934,Kittitas,98934,Located in the Alley behind City of Kittitas Administrative building. 
Dropbox,Kittitas,City of Roslyn Roslyn Library - DROP BOX ONLY,"201 S. 1st St, Roslyn WA  98941",201 S. 1st St,,Roslyn WA 98941,Roslyn,98941,
Dropbox,Kittitas,South Cle Elum Town Hall - DROP BOX ONLY,"523 Lincoln St, South Cle Elum WA  98943",523 Lincoln St,,South Cle Elum WA 98943,South Cle Elum,98943,
Dropbox,Kittitas,Easton Fire Station - DROP BOX ONLY,"180 Cabin Creek Rd, Easton WA  98925",180 Cabin Creek Rd,,Easton WA 98925,Easton,98925,
Dropbox,Kittitas,Ronald Fire Station - DROP BOX ONLY,"Atlantic Ave and 1st St, Ronald WA  98940",Atlantic Ave and 1st St,,Ronald WA 98940,Ronald,98940,
Dropbox,Klickitat,Bickleton Remote Ballot Box,"E. Market & S. Madison Streets, Bickleton WA  99322",E. Market & S. Madison Streets,,Bickleton WA 99322,Bickleton,99322, Adjacent to Alderdale Grange.
Dropbox,Klickitat,Bingen Remote Drop Box,"112 N. Ash St., Bingen WA  98605",112 N. Ash St.,,Bingen WA 98605,Bingen,98605, Outside Bingen City Hall.
Dropbox,Klickitat,Glenwood Remote Ballot Box,"209 E. Main St., Glenwood WA  98619",209 E. Main St.,,Glenwood WA 98619,Glenwood,98619, North of the General Store.
Dropbox,Klickitat,Trout Lake Remote Ballot Box,"Jennings Rd. & Hwy 141, Trout Lake WA  98650",Jennings Rd. & Hwy 141,,Trout Lake WA 98650,Trout Lake,98650,East of the Post Office.
Dropbox,Klickitat,Roosevelt Remote Ballot Box,"615 Chinook Ave., Roosevelt WA  99356",615 Chinook Ave.,,Roosevelt WA 99356,Roosevelt,99356,Roosevelt School parking lot.
Dropbox,Klickitat,Wishram Remote Ballot Box,"Park Place, Wishram WA  98635",Park Place,,Wishram WA 98635,Wishram,98635,North of Historic Locomotive
Dropbox,Klickitat,Klickitat Remote Ballot Box,"State Hwy 142, Klickitat WA  98628",State Hwy 142,,Klickitat WA 98628,Klickitat,98628,At Depot Park
Dropbox,Klickitat,Lyle Remote Ballot Box,"5th St. & Hwy 14, Lyle WA  98635",5th St. & Hwy 14,,Lyle WA 98635,Lyle,98635,Lyle Lions Club parking lot. 
Dropbox,Klickitat,Dallesport Remote Ballot Box,"136 6th St., Dallesport WA  98617",136 6th St.,,Dallesport WA 98617,Dallesport,98617,Across from the Post Office in Dallesport Community Center parking lot. 
Dropbox,Klickitat,White Salmon Remote Ballot Box,"501 NE Washington St., White Salmon WA  98672",501 NE Washington St.,,White Salmon WA 98672,White Salmon,98672,This drop box is located in the parking lot of the Pioneer Center in White Salmon (adjacent to the Post Office).
Dropbox,Klickitat,Goldendale Remote Ballot Box,"114 S. Columbus Ave., Goldendale WA  98620",114 S. Columbus Ave.,,Goldendale WA 98620,Goldendale,98620,This drop box is located north of the alley at 114 S. Columbus Ave. It has moved across the street from its previous location.
Dropbox,Lewis,Twin Cities Senior Center Drop Box,"2545 N National Ave, Chehalis WA  98532",2545 N National Ave,,Chehalis WA 98532,Chehalis,98532,he drive through ballot drop box is located in front of the Senior Center. The lot can be accessed from N. National Ave.
Dropbox,Lewis,Morton Drop Box,"103 Westlake Ave, Morton WA  98356",103 Westlake Ave,,Morton WA 98356,Morton,98356,The drive throThe drive through ballot drop box at the Morton Senior Center is located across the street from the Morton High School. The lot can be accessed from E. Westlake Ave.
Dropbox,Lewis,Chehalis Avenue Drop Box,"242 NW Chehalis Ave, Chehalis WA  98532",242 NW Chehalis Ave,,Chehalis WA 98532,Chehalis,98532,The drive through ballot drop box is located at the corner of NW Chehalis Ave and NW Center St. The lot is accessed from NW Center St. 
Dropbox,Lewis,Toledo Drop Box,"150 Coal St., Toledo WA  98591",150 Coal St.,,Toledo WA 98591,Toledo,98591,The drive through ballot drop box is located in the Toledo Senior Center parking lot and can be accessed from Coal St.
Dropbox,Lewis,Centralia College Drop Box,"Kemp Hall Parking Lot, Centralia WA  98531",Kemp Hall Parking Lot,,Centralia WA 98531,Centralia,98531,The drive through ballot drop box is located in the Kemp Hall parking lot and can be accessed from Rock St.
Dropbox,Lewis,Lewis County Historic Courthouse Drop Box,"351 N.W. North St., Chehalis WA  98532",351 N.W. North St.,,Chehalis WA 98532,Chehalis,98532,The ballot drop box is located in the lobby and ballots can be dropped off between 8 a.m. and 5 p.m. Take exit 77 from I-5. Auditor's Office is at the west end of the Historic Courthouse on the main floor. 
Dropbox,Lewis,Mossyrock Drop Box,"219 E. State St, Mossyrock WA  98564",219 E. State St,,Mossyrock WA 98564,Mossyrock,98564,The drive through ballot drop box is located in the Mossyrock Community Center parking lot.
Dropbox,Lewis,Vader Drop Box,"State Hwy 506 between A & B Streets, Vader WA  98593",State Hwy 506 between A & B Streets,,Vader WA 98593,Vader,98593,The drive through drop box is located along the side of the City of Vader Public Works Building.
Dropbox,Lewis,Onalaska Drop Box,"560 Carlisle Ave., Onalaska WA  98570",560 Carlisle Ave.,,Onalaska WA 98570,Onalaska,98570,The drive through drop box is located in front of the Onalaska School District Office.
Dropbox,Lewis,Mineral Drop Box,"104 Front St. W., Mineral WA  98355",104 Front St. W.,,Mineral WA 98355,Mineral,98355,The drive through drop box is located in front of the Mineral Fire Station (Fire District No. 9).
Dropbox,Lewis,Pe Ell Drop Box,"721 Main St., Pe Ell WA  98572",721 Main St.,,Pe Ell WA 98572,Pe Ell,98572,The drive through drop box is located in the Pe Ell Fire Station parking lot (Fire District No. 11).
Dropbox,Lewis,Napavine Drop Box,"Corner of Jefferson & 2nd Ave, Napavine WA  98565",Corner of Jefferson & 2nd Ave,,Napavine WA 98565,Napavine,98565,The drive through drop box is located in the Napavine Fire Station parking lot (Fire District No. 5). The box can be accessed from E. Jefferson St. 
Dropbox,Lewis,Winlock Drop Box,"119 SW Kerron St., Winlock WA  98596",119 SW Kerron St.,,Winlock WA 98596,Winlock,98596,The drive through ballot drop box is located in the Winlock Senior Center parking lot. The lot can be accessed from SW Kerron Ave.
Dropbox,Lewis,Packwood Drop Box,"12931 US Hwy 12, Packwood WA  98361",12931 US Hwy 12,,Packwood WA 98361,Packwood,98361,The drive through ballot drop box is located in the Packwood Senior Center parking lot.
Dropbox,Lincoln,Election Office Ballot Box,"450 Logan, Davenport WA  99122",450 Logan,,Davenport WA 99122,Davenport,99122, Located on the first floor of the court house in the auditor's office.
Dropbox,Lincoln,Harrington City Hall,"11 South 3rd Street, Harrington WA  99134",11 South 3rd Street,,Harrington WA 99134,Harrington,99134, 
Dropbox,Lincoln,Lincoln County Court House,"450 Logan, Davenport WA  99122",450 Logan,,Davenport WA 99122,Davenport,99122,Drive up drop box East side parking lot of court house.
Dropbox,Mason,Mason County Auditor's Office Drop Box,"411 N 5th Street, Shelton WA  98584",411 N 5th Street,,Shelton WA 98584,Shelton,98584,Ballot drop box is available 24 hours a day.    
Dropbox,Mason,"Belfair, John L. Scott Building","23910 NE State Route 3, Belfair WA  98528",23910 NE State Route 3,,Belfair WA 98528,Belfair,98528, 
Dropbox,Mason,Hood Canal Visitor Center,"150 N Lake Cushman Rd, Hoodsport WA  98548",150 N Lake Cushman Rd,,Hoodsport WA 98548,Hoodsport,98548, 
Dropbox,Mason,Port of Allyn,"18560 E State Route 3, Allyn WA  98524",18560 E State Route 3,,Allyn WA 98524,Allyn,98524, 
Dropbox,Mason,Shelton Timberland Regional Library,"710 W Alder St, Shelton WA  98584",710 W Alder St,,Shelton WA 98584,Shelton,98584, 
Dropbox,Mason,"Kamilche Area, Fire District No. 4 Station","3660 SE Old Olympic Hwy, Shelton WA  98584",3660 SE Old Olympic Hwy,,Shelton WA 98584,Shelton,98584, 
Dropbox,Mason,"Grapeview, Horton Community Center","4350 Grapeview Loop Rd, Grapeview WA  98546",4350 Grapeview Loop Rd,,Grapeview WA 98546,Grapeview,98546, 
Dropbox,Mason,"Union, Chevron Station","1031 E McReavy Rd, Union WA  98592",1031 E McReavy Rd,,Union WA 98592,Union,98592, 
Dropbox,Mason,"Skokomish Reservation, Twin Totem Store","19390 US Hwy 101, Skokomish WA  98584",19390 US Hwy 101,,Skokomish WA 98584,Skokomish,98584,Next to Twin Totems Store 
Dropbox,Okanogan,Omak Casino,"28968 US 97, Omak WA  98841",28968 US 97,,Omak WA 98841,Omak,98841,
Dropbox,Okanogan,Coulee Dam,"300 Lincoln Ave, Coulee Dam WA  99116",300 Lincoln Ave,,Coulee Dam WA 99116,Coulee Dam,99116,Open until 8:00PM Election Day By City Hall
Dropbox,Okanogan,Oroville,"1307 Main Street, Oroville WA  98844",1307 Main Street,,Oroville WA 98844,Oroville,98844,Open until 8:00PM on Election Day in front of Police Station
Dropbox,Okanogan,Nespelem Agency,"21 Collvile St., Nespelem WA  99115",21 Collvile St.,,Nespelem WA 99115,Nespelem,99115,Open until 8:00PM Election day in front of Government building
Dropbox,Okanogan,Tonasket,"209 S Whitcomb, Tonasket WA  98855",209 S Whitcomb,,Tonasket WA 98855,Tonasket,98855,Open until 8:00 PM Election Day. In front of City Hall/Library.
Dropbox,Okanogan,Omak,"8 N Ash, Omak WA  98841",8 N Ash,,Omak WA 98841,Omak,98841,Open until 8:00 PM Election Day. Next to Omak Police Station.
Dropbox,Okanogan,Pateros,"180 Pateros Mall, Pateros WA  98846",180 Pateros Mall,,Pateros WA 98846,Pateros,98846,Open until 8:00 PM Election Day. In parking lot.
Dropbox,Okanogan,Twisp,"118 S Glover St, Twisp WA  98856",118 S Glover St,,Twisp WA 98856,Twisp,98856,Open until 8:00 PM Election Day By City Hall
Dropbox,Okanogan,Okanogan County Auditor's Office Drop Box,"149 3rd Ave N, Okanogan WA  98840",149 3rd Ave N,,Okanogan WA 98840,Okanogan,98840,"Election day only 8:00 AM to 8:00 PM Room 104, 1st floor"
Dropbox,Pacific,Long Beach Annex Drop Box,"7013 Sandridge Rd, Long Beach WA  98631",7013 Sandridge Rd,,Long Beach WA 98631,Long Beach,98631,First parking lot 
Dropbox,Pacific,Pacific County Courthouse Drop Box,"300 Memorial Drive, South Bend WA  98586",300 Memorial Drive,,South Bend WA 98586,South Bend,98586,Ballots are accepted until 8 PM on election day. 
Dropbox,Pacific,Chinook Community Center,"810 Highway 101, Chinook WA  98614",810 Highway 101,,Chinook WA 98614,Chinook,98614,Ballots accepted until 8:00 PM election day Located in Community Center Parking Lot
Dropbox,Pacific,Naselle,"797 SR 4, Naselle WA  98638",797 SR 4,,Naselle WA 98638,Naselle,98638,Ballots accepted until 8:00 PM Election night WSP Parking Lot
Dropbox,Pacific,Bay Center,"Park St, Bay Center WA  98527",Park St,,Bay Center WA 98527,Bay Center,98527,Ballots accepted until 8:00 PM election day Located by County Park Entrance
Dropbox,Pacific,Raymond,"211 Commercial St, Raymond WA  98577",211 Commercial St,,Raymond WA 98577,Raymond,98577,Ballots are accepted until 8:00 PM on election day.  In parking lot next to Dept. of Public Works.
Dropbox,Pacific,Menlo,"5 Fair Ln, Menlo WA  98561",5 Fair Ln,,Menlo WA 98561,Menlo,98561,Ballots accepted until 8:00 PM election night In front of blue commercial building
Dropbox,Pacific,Ocean Park,"21603 O Ln, Ocean Park WA  98641",21603 O Ln,,Ocean Park WA 98641,Ocean Park,98641,Ballots accepted until 8:00 PM election night Located in Senior Center Parking Lot
Dropbox,Pend Oreille,Camas Center for Community Wellness,"1821 LeClerc Rd N, Cusick WA  99119",1821 LeClerc Rd N,,Cusick WA 99119,Cusick,99119,To the right of the main entrance 
Dropbox,Pend Oreille,Metaline Town Hall,"101 Housing Drive, Metaline WA  99152",101 Housing Drive,,Metaline WA 99152,Metaline,99152,Located on the front patio of the Metaline Town Hall.
Dropbox,Pend Oreille,Ione Public Library,"112 S Central Ave, Ione WA  99139",112 S Central Ave,,Ione WA 99139,Ione,99139,Between Ione Public Library and Community Center
Dropbox,Pend Oreille,Pend Oreille County Court House Drop Box,"625 West 4th St, Newport WA  99156",625 West 4th St,,Newport WA 99156,Newport,99156,Located in the alley behind the Court House
Dropbox,Pend Oreille,Pend Oreille County Auditor's Office,"625 West 4th St, Newport WA  99156",625 West 4th St,,Newport WA 99156,Newport,99156,"The Auditor's Office is located in the County Court House, 1st Floor"
Dropbox,Pierce,Anderson Island Ferry Landing Park & Ride,"Yoman Rd near Villa Beach Road, Anderson Island WA  98303",Yoman Rd near Villa Beach Road,,Anderson Island WA 98303,Anderson Island,98303,Box is located in the Pierce County Ferry Park & Ride at the top of the hill.
Dropbox,Pierce,TACID,"6315 South 19th Street, Tacoma WA  98466",6315 South 19th Street,,Tacoma WA 98466,Tacoma,98466,Located in the front TACID parking lot.
Dropbox,Pierce,Pierce County  Election Center,"2501 South 35th Street, Tacoma WA  98409",2501 South 35th Street,,Tacoma WA 98409,Tacoma,98409,Drop box is inside the Election Center at the Customer Service window.
Dropbox,Pierce,Gig Harbor Fire Station 51,"6711 Kimball Drive, Gig Harbor WA  98335",6711 Kimball Drive,,Gig Harbor WA 98335,Gig Harbor,98335,Drop box is located next to the disabled parking.
Dropbox,Pierce,Pierce County Annex,"2401 South 35th Street, Tacoma WA  98409",2401 South 35th Street,,Tacoma WA 98409,Tacoma,98409,Drop box is located in Annex parking lot.
Dropbox,Pierce,Parkland Spanaway Library,"13718 Pacific Ave S, Tacoma WA  98444",13718 Pacific Ave S,,Tacoma WA 98444,Tacoma,98444,Drop box is pedestrian access only. It is located near the library book drop in the back parking lot
Dropbox,Pierce,South Hill Library,"15420 Meridian E, Puyallup WA  98375",15420 Meridian E,,Puyallup WA 98375,Puyallup,98375,Located at the exit of the book drop drive-thru.
Dropbox,Pierce,West Pierce Fire & Rescue,"3631 Drexler Dr W, University Place WA  98466",3631 Drexler Dr W,,University Place WA 98466,University Place,98466,Box is located in the fire station parking lot.
Dropbox,Pierce,Lakewood (SR512) Park & Ride,"10417 South Tacoma Way, Lakewood WA  98499",10417 South Tacoma Way,,Lakewood WA 98499,Lakewood,98499,"Located near the disabled parking, near bus only lane."
Dropbox,Pierce,Roy Y Park & Ride,"SR 507 & Pacific Ave S, Spanaway WA  98387",SR 507 & Pacific Ave S,,Spanaway WA 98387,Spanaway,98387,Located in the parking lot.
Dropbox,Pierce,Bonney Lake South Park & Ride,"184th Ave E & Sky Island Dr E, Bonney Lake WA  98391",184th Ave E & Sky Island Dr E,,Bonney Lake WA 98391,Bonney Lake,98391,Located near the disabled parking.
Dropbox,Pierce,Steilacoom Library,"2950 Steilacoom Blvd, Steilacoom WA  98388",2950 Steilacoom Blvd,,Steilacoom WA 98388,Steilacoom,98388,Box is located in the book drop drive-thru.
Dropbox,Pierce,72nd St Transit Center,"1319 E 72nd St, Tacoma WA  98404",1319 E 72nd St,,Tacoma WA 98404,Tacoma,98404,This is a pedestrian only box. Located in the park & ride parking lot.
Dropbox,Pierce,Puyallup Tribal Administration,"3009 Portland Ave E, Tacoma WA  98404",3009 Portland Ave E,,Tacoma WA 98404,Tacoma,98404,Box is located in a gated parking lot off Portland Ave.
Dropbox,Pierce,Lakewood City Hall,"6000 Main Street SW, Lakewood WA  98499",6000 Main Street SW,,Lakewood WA 98499,Lakewood,98499,Located by the accessible parking.
Dropbox,Pierce,Purdy Fire Station,"5210 144th St NW, Gig Harbor WA  98332",5210 144th St NW,,Gig Harbor WA 98332,Gig Harbor,98332,Located in the west entrance to the parking lot.
Dropbox,Pierce,Browns Pt NE Tacoma Police Substation,"4731 Norpoint Way NE, Browns Point WA  98422",4731 Norpoint Way NE,,Browns Point WA 98422,Browns Point,98422,Box is located next to the secured police parking area by the water tank.
Dropbox,Pierce,DuPont Ross Plaza,"1500 Wilmington Drive, DuPont WA  98327",1500 Wilmington Drive,,DuPont WA 98327,DuPont,98327,Box is located on the west end of Ross Plaza loop.
Dropbox,Pierce,Edgewood City Hall,"2224 104th Ave E, Edgewood WA  98372",2224 104th Ave E,,Edgewood WA 98372,Edgewood,98372,Box is located in the south parking area.
Dropbox,Pierce,Puyallup Library,"324 South Meridian, Puyallup WA  98371",324 South Meridian,,Puyallup WA 98371,Puyallup,98371,Box is located west of the front entrance to the library.
Dropbox,Pierce,Sumner Library,"1116 Fryer Ave, Sumner WA  98390",1116 Fryer Ave,,Sumner WA 98390,Sumner,98390,Box is located at the parking lot entrance.
Dropbox,Pierce,Gig Harbor Library,"4424 Point Fosdick Dr NW, Gig Harbor WA  98335",4424 Point Fosdick Dr NW,,Gig Harbor WA 98335,Gig Harbor,98335,Located in Parking Lot
Dropbox,Pierce,Kandle Park Police Substation,"5140 N 26th St, Tacoma WA  98407",5140 N 26th St,,Tacoma WA 98407,Tacoma,98407,Box is located in front of the Gonyea Boys & Girls Club.
Dropbox,Pierce,Barney's Corner,"40512 Meridian E, Eatonville WA  98328",40512 Meridian E,,Eatonville WA 98328,Eatonville,98328,Box is located between the store and the police substation.
Dropbox,Pierce,Graham Fire & Rescue,"10012 187th Street E, Puyallup WA  98375",10012 187th Street E,,Puyallup WA 98375,Puyallup,98375,
Dropbox,Pierce,Orting Public Safety,"401 Washington Ave SE, Orting WA  98360",401 Washington Ave SE,,Orting WA 98360,Orting,98360,
