address_1,state,county,location_name,location_type,address_2,city,state_2,zip,phone,email,fax
5 Highland Avenue,West Virginia,Grant,County Clerk ,Elections Office,,Petersburg,WV,26847,(304) 257-4550,grantcounty@wvsos.com,(304) 257-4207
912 Court Street N ,West Virginia,Greenbrier,County Clerk ,Elections Office,P.O. Box 506,Lewisburg,WV,24901,(304) 647-6602,greenbriercounty@wvsos.com,(304) 647-6694
19 East Main Street ,West Virginia,Hampshire,County Clerk ,Elections Office,P.O. Box 806,Romney,WV,26757,(304) 822-5112,hampshirecounty@wvsos.com,(304) 822-4039
102 North Court Street ,West Virginia,Hancock,County Clerk ,Elections Office,P.O. Box 367,New Cumberland,WV,26047,(304) 564-3311 Ext. 266,hancockcounty@wvsos.com,(304) 564-5941
204 Washington Street ,West Virginia,Hardy,County Clerk ,Elections Office,Room 111,Moorefield,WV,26836,(304) 530-0250,hardycounty@wvsos.com,(304) 530-0251
306B Washington Avenue,West Virginia,Harrison,County Clerk ,Elections Office,,Clarksburg,WV,26301,(304) 624-8613,harrisoncounty@wvsos.com,(304) 626-1090
100 Court Street North ,West Virginia,Jackson,County Clerk ,Elections Office,P.O. Box 800,Ripley,WV,25271,(304) 373-2250,cheryl.bright@jacksoncountywv.com,(304) 372-1107
100 East Washington Street,West Virginia,Jefferson,County Clerk ,Elections Office,P.O. Box 208,Charles Town,WV,25414,(304) 728-3246,jeffersoncounty@wvsos.com,(304) 728-1957
415 Quarrier Street,West Virginia,Kanawha,County Clerk ,Elections Office,,Charleston,WV,25301,(304) 357-0130,veramccormick@kanawha.us,(304) 357-0585
110 Center Avenue,West Virginia,Lewis,County Clerk ,Elections Office,,Weston,WV,26452,(304) 269-8215,lewiscounty@wvsos.com,(304) 269-8202
8000 Court Avenue ,West Virginia,Lincoln,County Clerk ,Elections Office,P.O. Box 497,Hamlin,WV,25523,(304) 824-3336,lincolncounty@wvsos.com,(304) 824-2444
300 Stratton Street ,West Virginia,Logan,County Clerk ,Elections Office,Room 102,Logan,WV,25601,(304) 792-8600,logancounty@wvsos.com,(304) 792-8246
219 Adams Street ,West Virginia,Marion,County Clerk ,Elections Office,P.O. Box 1267,Fairmont,WV,26555,(304) 367-5445,marioncounty@wvsos.com,(304) 367-5448
600 7th Street ,West Virginia,Marshall,County Clerk ,Elections Office,P.O. Box 459,Moundsville,WV,26041,(304) 845-1220,marshallcounty@wvsos.com,(304) 845-5891
200 Sixth Street Point,West Virginia,Mason,County Clerk ,Elections Office,,Pleasant,WV,25550,(304) 675-1997,masoncounty@wvsos.com,(304) 675-2521
90 Wyoming Street ,West Virginia,McDowell,County Clerk ,Elections Office,Suite 109,Welch,WV,24801,(304) 436-8544,mcdowellcounty@wvsos.com,(304) 436-8576
1501 West Main Street,West Virginia,Mercer,County Clerk ,Elections Office,Suite 121,Princeton,WV,24740,(304) 487-8338/8339,mercercounty@wvsos.com,(304) 425-4851
150 Armstrong Street,West Virginia,Mineral,County Clerk ,Elections Office,,Keyser,WV,26726,(304) 788-3924,mineralcounty@wvsos.com,(304) 788-4109
78 East Second Avenue ,West Virginia,Mingo,County Clerk ,Elections Office,Room 125,Williamson,WV,25661,(304) 235-0330,mingocounty@wvsos.com,(304) 235-0565
243 High Street ,West Virginia,Monongalia,County Clerk ,Elections Office,Room 123,Morgantown,WV,26505,(304) 291-7230,monongaliacounty@wvsos.com,(304) 291-7233
350 Main Street ,West Virginia,Monroe,County Clerk ,Elections Office,P.O. Box 350,Union,WV,24983,(304) 772-3096,jmeadows@monroecountywv.net,(304) 772-4191
77 Fairfax Street ,West Virginia,Morgan,County Clerk ,Elections Office,Room 102,Berkeley Springs,WV,25411,(304) 258-8547,knickles@morgancountywv.gov,(304) 258-8545
700 Main Street ,West Virginia,Nicholas,County Clerk ,Elections Office,Suite 2,Summersville,WV,26651,(304) 872-7820,nicholascounty@wvsos.com,(304) 872-9600
1500 Chapline Street ,West Virginia,Ohio,County Clerk ,Elections Office,Room 205,Wheeling,WV,26003,(304) 234–3656,mkelly2@clerk.state.wv.us,(304) 234-3829
1500 Chapline Street ,West Virginia,Ohio,County Clerk ,Elections Office,Room 215,Wheeling,WV,26003,(304) 234-3750,tchieffalo@ohiocountywv.gov,(304) 234-3827
100 South Main Street,West Virginia,Pendleton,County Clerk ,Elections Office,P.O. Box 1167,Franklin,WV,26807,(304) 358-2505,pendletoncounty@wvsos.com,(304) 358-2473
301 Court Lane,West Virginia,Pleasants,County Clerk ,Elections Office,,St. Marys,WV,26170,(304) 684-3542,pleasantscounty@wvsos.com,(304) 684-7569
900 C 10th Avenue,West Virginia,Pocahontas,County Clerk ,Elections Office,,Marlinton,WV,26170,(304) 799-4549,pocahontascounty@wvsos.com,(304) 799-6947
106 West Main Street,West Virginia,Preston,County Clerk ,Elections Office,Suite 103,Kingwood,WV,26537,(304) 329-0070,prestoncounty@wvsos.com,(304) 329-0198
12093 Winfield Rd. ,West Virginia,Putnam,County Clerk ,Elections Office,Suite 3,Winfield,WV,25213,(304) 586-0202,bwood@putnamwv.org,(304) 204-1408
215 Main Street,West Virginia,Raleigh,County Clerk ,Elections Office,,Beckley,WV,25802,(304) 252-8681,raleighcounty@wvsos.com,(304) 252-8698
2 Randolph Avenue,West Virginia,Randolph,County Clerk ,Elections Office,,Elkins,WV,26241,(304) 636-0543,randolphcounty@wvsos.com,(304) 636-0544
115 East Main Street ,West Virginia,Ritchie,County Clerk ,Elections Office,Room 201,Harrisville,WV,26362,(304) 643-2164,tdmcdona@clerk.state.wv.us,(304) 643-2906
200 Main Street,West Virginia,Roane,County Clerk ,Elections Office,,Spencer,WV,25276,(304) 927-2860,roanecounty@wvsos.com,(304) 927-2489
120 Ballengee Street ,West Virginia,Summers,County Clerk ,Elections Office,Suite 106,Hinton,WV,25951,(304) 466-7104,summerscounty@wvsos.com,(304) 466-7146
128 W. Main St.,West Virginia,Taylor,County Clerk ,Elections Office,Annex 2,Grafton,WV,26354,(304) 265-1401,taylorcounty@wvsos.com,(304) 265-2889
211 First Street ,West Virginia,Tucker,County Clerk ,Elections Office,Suite 204,Parsons,WV,26287,(304) 478-2414 Ext. 201,tuckercounty@wvsos.com,(304) 478-2217
121 Main Street ,West Virginia,Tyler,County Clerk ,Elections Office,P.O. Box 66,Middlebourne,WV,26149,(304) 758-2102,tylercounty@wvsos.com,(304) 758-2126
40 West Main Street ,West Virginia,Upshur,County Clerk ,Elections Office,Room 101,Buckhannon,WV,26201,(304) 472-1068,upshurcounty@wvsos.com,(304) 472-1029
700 Hendricks Street ,West Virginia,Wayne,County Clerk ,Elections Office,P.O. Box 248,Wayne,WV,25570,(304) 272-6362,waynecounty@wvsos.com,(304) 272-5318
2 Court Square ,West Virginia,Webster,County Clerk ,Elections Office,Room G1,Webster Springs,WV,26288,(304) 847-2508,webstercounty@wvsos.com,(304) 847-7755
200 Main Street ,West Virginia,Wetzel,County Clerk ,Elections Office,P.O. Box 156,New Martinsville,WV,26155,(304) 455-8224,wetzelcounty@wvsos.com,(304) 455-5256
19 Washington St ,West Virginia,Wirt,County Clerk ,Elections Office,Room 102,Elizabeth,WV,26143,(304) 275-4271,wirtcounty@wvsos.com,(304) 275-3418
1 Court Square ,West Virginia,Wood,County Clerk ,Elections Office,P.O. Box 1474,Parkersburg,WV,26101,(304) 424-1850,woodcounty@wvsos.com,(304) 424-1982
24 Main Avenue ,West Virginia,Wyoming,County Clerk ,Elections Office,P.O. Box 309,Pineville,WV,24874,(304) 732-8000 Ext. 242,wyomingcounty@wvsos.com,(304) 732-9659
