state,county,authority_name,location_type,location_name,address_1,address_2,pobox,city,state_2,zip,phone,email,fax
New York,Niagara, Board of Elections,Elections Office, Board of Elections,111 Main Street ,Suite 100,,Lockport,NY,14094,716-438-4040,ncboe@niagaracounty.com,
New York,Oneida, Board of Elections,Elections Office,Union Station - Board of Elections,321 Main Street,3rd Floor,,Utica,NY,13501,315-798-5765,BoardofElections@ocgov.net,
New York,Onondaga, Board of Elections,Elections Office, Board of Elections,1000 Erie Boulevard West,,,Syracuse,NY,13204,315-435-3312,elections@ongov.net,
New York,Ontario, Board of Elections,Elections Office, Board of Elections,74 Ontario Street,,,Canandaigua,NY,14424,585-396-4005,BOE@co.ontario.ny.us,
New York,Orange, Board of Elections,Elections Office, Board of Elections,75 Webster Avenue,,PO Box 30,Goshen,NY,10924,845-360-6500,elections@orangecountygov.com,
New York,Orleans, Board of Elections,Elections Office, Board of Elections,14016 State Route 31 West ,Suite 140,,Albion,NY,14411,585-589-3274,Electionsrleansny.com,
New York,Oswego, Board of Elections,Elections Office, Board of Elections,185 E. Seneca Street ,Box 9,,Oswego,NY,13126,315-349-8350,OswegoCounty.BOE@oswegocounty.com,
New York,Otsego, Board of Elections,Elections Office, Board of Elections,140 County Highway 33W,Suite 2,,Cooperstown,NY,13326,607-547-4247,boe@otsegocounty.com,
New York,Putnam, Board of Elections,Elections Office, Board of Elections,25 Old Route 6,,,Carmel,NY,10512,845-808-1300,PutnamCountyElections@utnamcountyny.gov,
New York,Queens, Board of Elections,Elections Office, Board of Elections,118-35 Queens Boulevard,,,Forest Hills,NY,11375,718-730-6730,voterreg@boe.nyc.ny.us,
New York,Rensselaer, Board of Elections,Elections Office, Board of Elections,1600 Seventh Ave.,,,Troy,NY,12180,518-270-2990,RenscoBOE@rensco.com,
New York,Richmond, Board of Elections,Elections Office, Board of Elections,1 Edgewat er Plaza ,4th Floor,,Staten Island,NY,10305,718-876-0079,voterreg@boe.nyc.ny.us,
New York,Rockland, Board of Elections,Elections Office, Board of Elections,11 New Hempstead Road,,,New City,NY,10956,845-638-5172,voterinfo@co.rockland.ny.us,
New York,Saratoga, Board of Elections,Elections Office, Board of Elections,50 W. High St,,,Ballston Spa,NY,12020,518-885-2249,elections@saratogacountyny.gov,
New York,Schenectady, Board of Elections,Elections Office, Board of Elections,2696 Hamburg Street,,,Schenectady,NY,12303,518-377-2469,boe@schenectadycounty.com,
New York,Schoharie, Board of Elections,Elections Office, Board of Elections,284 Main Street,,PO Box 99,Schoharie,NY,12157,518-295-8388,boe@co.schoharie.ny.us,
New York,Schuyler, Board of Elections,Elections Office, Board of Elections,105  9th Street ,Unit 13,,Watkins Glen,NY,14891-9972,607-535-8195,elections@co.schuyler.ny.us,
New York,Seneca, Board of Elections,Elections Office, Board of Elections,One DiPronio Drive,,,Waterloo,NY,13165,315-539-1760,boe@co.seneca.ny.us,
New York,St. Lawrence, Board of Elections,Elections Office, Board of Elections,80 State Highway 310,,,Canton,NY,13617,315-379-2202,slcballot@stlawco.org,
New York,Steuben, Board of Elections,Elections Office, Board of Elections,3 E. Pulteney Square,,,Bath,NY,14810,607-664-2260,elections@SteubenCountyNY.gov,
New York,Suffolk, Board of Elections,Elections Office, Board of Elections,Yaphank Avenue,,PO Box 700 ,Yaphank,NY,11980,631-852-4500,BOEinfo@suffolkcountyny.gov,
New York,Sullivan, Board of Elections,Elections Office, Board of Elections,100 North Street,,PO Box 5012,Monticello,NY,12701-5192,845-807-0400,scboe@co.sullivan.ny.us,
New York,Tioga, Board of Elections,Elections Office, Board of Elections,1062 State Route 38,,PO Box 306,Owego,NY,13827,607-687-8261,votetioga@co.tioga.ny.us,
New York,Tompkins, Board of Elections,Elections Office, Board of Elections,128 E. Buffalo Street,,,Ithaca,NY,14850,607-274-5522,elections@tompkins-co.org,
New York,Ulster, Board of Elections,Elections Office, Board of Elections,284 Wall Street,,,Kingston,NY,12401,845-334-5470,elections@co.ulster.ny.us,845-334-5434
New York,Warren, Board of Elections,Elections Office, Board of Elections,1340 State Route 9 ,"3rd Fl.- Human Serv., ",,Lake George,NY,12845,518-761-6456,boe@warrencountyny.gov,518-761-6480
New York,Washington, Board of Elections,Elections Office, Board of Elections,383 Broadway,,,Fort Edward,NY,12828,518-746-2180,BoardofElections@Washingtoncountyny.gov,518-746-2179
New York,Wayne, Board of Elections,Elections Office, Board of Elections,7376 State Route 31,,PO Box 636,Lyons,NY,14489,315-946-7400,elections@co.wayne.ny.us,315-946-7409
New York,Westchester, Board of Elections,Elections Office, Board of Elections,25 Quarropas Street,,,White Plains,NY,10601,914-995-5700,BOE-West@westchestergov.com,914-995-3190
New York,Wyoming, Board of Elections,Elections Office, Board of Elections,4 Perry Avenue,,,Warsaw,NY,14569,585-786-8931,boewyoming@wyomingco.net,585-786-8843
New York,Yates, Board of Elections,Elections Office, Board of Elections,417 Liberty Street,Suite 1124,,Penn Yan,NY,14527,315-536-5135,boardofelections@yatescounty.org,315-536-5523
