address_1,state ,county ,location_name,location_type ,address_2,city,state_2,zip,phone,phone2,county_website_url,email,fax,hours
4700 Smith Road ,Ohio,Hamilton County,Board of Elections,Elections Office,,Cincinnati,OH,45212,(513) 632-7000,,votehamiltoncountyohio.gov,hamilton@OhioSoS.gov,(513) 579-0988,Monday-Friday:8:00AM-4:00PM
201 E. Lincoln St.,Ohio,Hancock County,Board of Elections,Elections Office,Rear,Findlay,OH,45840,(419) 422-3245,,hancockcountyohioelections.gov,bdelections@hancockcountyohioelections.gov,(419) 424-7293,Monday-Friday:8:30AM-4:30PM
1 Court House Sq.,Ohio,Hardin County,Board of Elections,Elections Office,Suite 40 ,Kenton,OH,43326,(419) 674-2211  ,,www.boe.ohio.gov/hardin,hardin@OhioSoS.gov,,Monday-Friday:8:30AM-4:00PM
538 N. Main St.,Ohio,Harrison County,Board of Elections,Elections Office,Suite B,Cadiz,OH,43907,(740) 942-8866,,www.boe.ohio.gov/harrison/,harrison@OhioSoS.gov,(740) 942-8531,Monday-Friday:8:00AM-4:00PM
1827 Oakwood Ave. ,Ohio,Henry County,Board of Elections,Elections Office,,Napoleon,OH,43545,(419) 592-7956,,henrycountyohio.gov/boe/index.html,boardofelections@henrycountyohio.gov,(419) 592-7957,Monday-Friday:8:30AM-4:30PM
1575 N. High St.,Ohio,Highland County,Board of Elections,Elections Office,Suite 200 ,Hillsboro,OH,45133,(937) 393-9961,,www.boe.ohio.gov/highland/,highland@OhioSoS.gov,(937) 393-5854,Monday-Friday:8:30AM-5:00PM
93 W. Hunter St. ,Ohio,Hocking County,Board of Elections,Elections Office,,Logan,OH,43138,(740) 380-8683,,www.boe.ohio.gov/hocking/,hocking@OhioSoS.gov,(740) 380-3712,Monday-Friday:8:00AM-4:00PM
75 E. Clinton St.,Ohio,Holmes County,Board of Elections,Elections Office,Suite 108 ,Millersburg,OH,44654,(330) 674-5921,,www.boe.ohio.gov/holmes,holmes@OhioSoS.gov,(330) 674-5978,Monday-Friday:8:00AM-4:00PM
180 Milan Ave,Ohio,Huron County,Board of Elections,Elections Office,Suite 4 ,Norwalk,OH,44857,(419) 668-8238,,www.huron.boe.ohio.gov,huron@OhioSoS.gov,(419) 668-8710,Monday-Friday:8:30AM-4:00PM
275 Portsmouth St.,Ohio,Jackson County,Board of Elections,Elections Office,Suite 2 ,Jackson,OH,45640,(740) 286-2905,,www.boe.ohio.gov/jackson/,jackson@OhioSoS.gov,(740) 288-3631,Monday-Friday:8:00AM-4:00PM
500 Market St.,Ohio,Jefferson County,Board of Elections,Elections Office,Fl. 1,Steubenville,OH,43952,(740) 283-8522,,www.boe.ohio.gov/jefferson/,jefferso@OhioSoS.gov,(740) 314-8992,Monday-Friday:9:00AM-4:30PM
104 East Sugar St. ,Ohio,Knox County,Board of Elections,Elections Office,,Mt. Vernon,OH,43050,(740) 393-6716,,www.co.knox.oh.us/boe,knox@OhioSoS.gov,(740) 393-6717,Monday-Friday:8:00AM-4:00PM
105 Main St.,Ohio,Lake County,Board of Elections,Elections Office,Suite 107,Painesville,OH,44077,(440) 350-2700,,www.lakecountyohio.gov/lakeelections,lake@OhioSoS.gov,(440) 350-2670,Monday-Friday:8:00AM-4:30PM
111 S. Fourth St. ,Ohio,Lawrence County,Board of Elections,Elections Office,,Ironton,OH,45638,(740) 532-0444,,www.boe.ohio.gov/lawrence/,lawrence@OhioSoS.gov,(740) 533-2730,Monday-Friday:8:00AM-4:00PM
20 S. Second St. ,Ohio,Licking County,Board of Elections,Elections Office,,Newark,OH,43055,(740) 670-5080,,www.boe.ohio.gov/licking,Licking@OhioSoS.gov,(740) 670-5081,Monday-Friday:8:00AM-4:30PM
225 S. Main St. ,Ohio,Logan County,Board of Elections,Elections Office,,Bellefontaine,OH,44311,(937) 599-7255,,www.boe.ohio.gov/logan/,logan@OhioSoS.gov,(937) 599-7270,Monday-Friday:8:30AM-4:30PM
1985 North Ridge Rd. E ,Ohio,Lorain County,Board of Elections,Elections Office,,Lorain,OH,44055,(440) 326-5900  ,,www.voteloraincountyohio.gov,lorain@OhioSoS.gov,,Monday-Friday:8:30AM-4:30PM
1 Government Center,Ohio,Lucas County,Board of Elections,Elections Office,Suite 300 ,Toledo,OH,43604,(419) 213-4001 ,,www.lucascountyohiovotes.gov/,lucas@OhioSoS.gov,(419) 213-4069 ,Monday-Friday:8:30AM-4:30PM
1423 State Route 38 SE ,Ohio,Madison County,Board of Elections,Elections Office,,London,OH,43140,(740) 852-9424,,www.boe.ohio.gov/madison/,electionboard@co.madison.oh.us,(740) 852-7131,Monday-Friday:8:00AM-4:00PM
345 Oak Hill Ave,Ohio,Mahoning County,Board of Elections,Elections Office,Entrance A ,Youngstown,OH,44502,(330) 783-2474,,vote.mahoningcountyoh.gov,mahoning@OhioSoS.gov,(330) 783-2801,Monday-Friday:8:00AM-4:30PM
222 W. Center St. ,Ohio,Marion County,Board of Elections,Elections Office,,Marion,OH,43302,(740) 223-4090,,www.boe.ohio.gov/marion,marion@OhioSoS.gov,(740) 223-4099,Monday-Friday:8:30AM-4:30PM
3800 Stonegate Drive,Ohio,Medina County,Board of Elections,Elections Office,Suite C ,Medina,OH,44256,(330) 722-9278,,www.boe.ohio.gov/medina,medina@OhioSoS.gov,(330) 722-9299,Monday-Friday:8:00AM-4:30PM
113 E. Memorial Dr.,Ohio,Meigs County,Board of Elections,Elections Office,Suite A ,Pomeroy,OH,45769,(740) 992-2697,,www.boe.ohio.gov/meigs/,meigs@OhioSoS.gov,(740) 992-2645,Monday-Friday:8:30AM-4:00PM
101 N. Main St.,Ohio,Mercer County,Board of Elections,Elections Office,Room 107 ,Celina,OH,45822,(419) 586-2215,,elections.mercercountyohio.gov,mercer@OhioSoS.gov,(419) 586-2748,Monday:8:30AM-5:00PM; Tuesday-Friday:8:30AM-4:00PM
215 W. Main St. ,Ohio,Miami County,Board of Elections,Elections Office,,Troy,OH,45373,(937) 440-3900,,www.boe.ohio.gov/miami/,miami@OhioSoS.gov,(937) 440-3901,Monday-Friday:8:00AM-4:00PM
117 North Main Street,Ohio,Monroe County,Board of Elections,Elections Office,Suite 12 ,Woodsfield,OH,43793,(740) 472-0929,,www.boe.ohio.gov/monroe/,monroe@OhioSoS.gov,(740) 472-2517,Monday-Friday:9:00AM-4:30PM
451 W. Third St,Ohio,Montgomery County,Board of Elections,Elections Office,,Dayton,OH,45422,(937) 225-5656,,www.montgomery.boe.ohio.gov,montgome@OhioSoS.gov,(937) 496-7798,Monday-Friday:8:00AM-4:00PM
155 E. Main St.,Ohio,Morgan County,Board of Elections,Elections Office,Room 157 ,McConnelsville,OH,43756,(740) 962-3116,,www.morgancounty-oh.gov/boe.html,morgan@OhioSoS.gov,(740) 962-3099,Monday-Tuesday:8:00AM-12:PM;Monday-Tuesday:1:00PM-4:00PM;Thursday-Friday:8:00AM-12:00PM;Thursday-Friday:1:00PM-4:00PM; Wednesday:8:00AM-5:00PM
619 W. Marion Rd.,Ohio,Morrow County,Board of Elections,Elections Office,Room 146  ,Mt. Gilead,OH,43338,(419) 946-4026,,morrowcountyohio.gov/index.php/2013-01-11-19-24-05/board-of-elections,morrow@OhioSoS.gov,(419) 946-9861,Monday-Thursday:8:00AM-4:30PM
627 Market Street,Ohio,Muskingum County,Board of Elections,Elections Office,,Zanesville,OH,43701,(740) 455-7120,,www.muskingumcountyoh.gov/Agencies/Board-Of-Elections/,muskingu@OhioSoS.gov,(740) 455-7178,Monday-Friday:8:00AM-4:00PM
140 Court House ,Ohio,Noble County,Board of Elections,Elections Office,,Caldwell,OH,43724,(740) 732-2057,,www.boe.ohio.gov/noble/,noble@OhioSoS.gov,(740) 732-6577,Monday-Wednesday: 8:00AM-4:00PM;Friday: 8:00AM-4:00PM; Thursday:8:00AM-12:00PM
8444 W. State Route 163,Ohio,Ottawa County,Board of Elections,Elections Office,Suite 101  ,Oak Harbor,OH,43449,(419) 898-3071,,boe.ottawa.oh.gov,election@co.ottawa.oh.us,(419) 898-3146,Monday-Friday:8:30AM-4:30PM
105 E. Perry St. ,Ohio,Paulding County,Board of Elections,Elections Office,,Paulding,OH,45879,(419) 399-8230,,www.boe.ohio.gov/paulding,paulding@OhioSoS.gov,(419) 399-8250,Monday-Friday:8:00AM-12:PM;Monday-Friday:1:00PM-4:00PM
200 S. Jackson St.,Ohio,Perry County,Board of Elections,Elections Office,,New Lexington,OH,43764,(740) 342-2134,,elections.perrycountyohio.gov,perry@OhioSoS.gov,(740) 342-4787,Monday-Friday:8:00AM-4:00PM
141 W. Main St.,Ohio,Pickaway County,Board of Elections,Elections Office,Suite 800 ,Circleville,OH,43113,(740) 474-1100,,www.boe.ohio.gov/pickaway/,pickaway@OhioSoS.gov,(740) 477-2991,Monday-Friday:8:00AM-4:00PM
230 Waverly Plaza,Ohio,Pike County,Board of Elections,Elections Office,Suite 1100 ,Waverly,OH,45690,(740) 947-4512,,www.boe.ohio.gov/pike/,pike@OhioSoS.gov,(740) 947-5973,Monday-Friday:8:30AM-12:PM;Monday-Friday:1:00PM-4:00PM
449 S. Meridian St.,Ohio,Portage County,Board of Elections,Elections Office,Room 101 ,Ravenna,OH,44266,(330) 297-3511,,www.portagecounty-oh.gov/board-elections,portage@OhioSoS.gov,(330) 297-3518,Monday-Friday:8:00AM-4:30PM
101 E. Main St.,Ohio,Preble County,Board of Elections,Elections Office,1st Floor ,Eaton,OH,45320,(937) 456-8117,,www.boe.ohio.gov/preble/,preble@OhioSoS.gov,(937) 456-2986,Monday-Friday:8:00AM-4:00PM
575 Ottawa-Glandorf Road,Ohio,Putnam County,Board of Elections,Elections Office,Suite 2 ,Ottawa,OH,45875,(419) 538-6850,,www.boe.ohio.gov/putnam,putnam@OhioSoS.gov,(419) 538-6993,Monday-Friday:8:30AM-4:30PM
1495 W. Longview Ave.,Ohio,Richland County,Board of Elections,Elections Office,Suite 101 ,Mansfield,OH,44906,(419) 774-5530,,www.richlandcountyoh.gov/departments/public_administration/board_of_elections/index.php,boardofelections@richlandcountyoh.us,(419) 774-5534,Monday-Friday:8:00AM-4:00PM
475 Western Ave.,Ohio,Ross County,Board of Elections,Elections Office,Suite D ,Chillicothe,OH,45601,(740) 775-2350,,www.boe.ohio.gov/ross/,ross@OhioSoS.gov,(740) 775-2383,Monday-Friday:8:00AM-4:00PM
2020 Countryside Dr. ,Ohio,Sandusky County,Board of Elections,Elections Office,,Fremont,OH,43420,(419) 334-6180,,sanduskycountyoh.gov/index.php?page=board-of-elections,Sandusky@OhioSoS.gov,(419) 334-6184,Monday-Friday:8:00AM-4:30PM
602 7th St.,Ohio,Scioto County,Board of Elections,Elections Office,Rm 105 ,Portsmouth,OH,45662,(740) 353-4178,,www.boe.ohio.gov/scioto/,scioto@OhioSoS.gov,(740) 355-8326,Monday-Friday:8:30AM-4:30PM
71 S. Washington St.,Ohio,Seneca County,Board of Elections,Elections Office,Ste. 1101 ,Tiffin,OH,44883,(419) 447-4424,,www.boe.ohio.gov/seneca/,seneca@OhioSoS.gov,(419) 443-7925,Monday-Friday:8:30AM-4:30PM
230 E. Court St. ,Ohio,Shelby County,Board of Elections,Elections Office,,Sidney,OH,45365,(937) 498-7207,,www.boe.ohio.gov/shelby,shelby@OhioSoS.gov,(937) 498-7326,Monday-Friday:8:30AM-4:00PM
3525 Regent Ave. NE ,Ohio,Stark County,Board of Elections,Elections Office,,Canton,OH,44705,(330) 451-8683,,www.starkcountyohio.gov/board-of-elections,boe@starkcountyohio.gov,(330) 451-7000,Monday-Friday:8:30AM-4:30PM
470 Grant St. ,Ohio,Summit County,Board of Elections,Elections Office,,Akron,OH,44311,(330) 643-5200,,www.summitcountyboe.gov,summit@OhioSoS.gov,(330) 643-5422,Monday-Friday:8:00AM-4:30PM
2947 Youngstown Rd. SE,Ohio,Trumbull County,Board of Elections,Elections Office,,Warren,OH,44484,(330) 369-4050,,boe.co.trumbull.oh.gov/,trumbull@OhioSoS.gov,(330) 369-4160,Monday-Friday:8:30AM-4:30PM
101 E. High Ave.  ,Ohio,Tuscarawas County,Board of Elections,Elections Office,,New Philadelphia,OH,44663,(330) 343-8819,,www.boe.ohio.gov/tuscarawas/,tuscaraw@OhioSoS.gov,(330) 343-3125,Monday-Friday:8:00AM-4:30PM
835 East Fifth Street,Ohio,Union County,Board of Elections,Elections Office,Suite A ,Marysville,OH,43040,(937) 642-2836,,www.unioncountyohio.gov/board-of-elections,boardofelections@co.union.oh.us,(937) 642-2823,Monday-Friday:8:30AM-4:00PM
1362 East Ervin Road ,Ohio,Van Wert County,Board of Elections,Elections Office,,Van Wert,OH,45891,(419) 238-4192,,www.boe.ohio.gov/vanwert/,vanwert@OhioSoS.gov,(419) 238-7145,Monday-Friday:8:30AM-4:00PM
31935 SR 93 ,Ohio,Vinton County,Board of Elections,Elections Office,,McArthur,OH,45651,(740) 596-5855,,www.boe.ohio.gov/vinton/,vinton@OhioSoS.gov,(740) 596-1907,Monday-Friday:8:30AM-11:30AM;Monday-Friday:12:30PM-4:00PM
520 Justice Dr. ,Ohio,Warren County,Board of Elections,Elections Office,,Lebanon,OH,45036,(513) 695-1358,,vote.warrencountyohio.gov,wcboe@warrencountyohio.gov,(513) 695-2953,Monday-Friday:8:00AM-4:30PM
204 Davis Ave.,Ohio,Washington County,Board of Elections,Elections Office,Suite B ,Marietta,OH,45750,(740) 374-6828,,www.boe.ohio.gov/washington,washingt@OhioSoS.gov,(740) 374-7698,Monday-Friday:8:00AM-5:00PM
200 Vanover St.,Ohio,Wayne County,Board of Elections,Elections Office,Suite 1 ,Wooster,OH,44691,(330) 287-5480,,www.WayneCountyOH.gov,wayne@OhioSoS.gov,(330) 287-5686,Monday-Friday:8:00AM-4:00PM
1425 E. High St.,Ohio,Williams County,Board of Elections,Elections Office,Suite 104 ,Bryan,OH,43506,(419) 636-1854,,www.williamscountyoh.gov/150/Board-of-Elections,williams@OhioSoS.gov,(419) 636-2975,Monday-Friday:8:30AM-4:30PM
1 Court House Sq.  ,Ohio,Wood County,Board of Elections,Elections Office,,Bowling Green,OH,43402,(419) 354-9120,,www.co.wood.oh.us/BOE,boe@co.wood.oh.us,(419) 354-1730,Monday-Friday:8:30AM-4:30PM
350 North Warpole Street,Ohio,Wyandot County,Board of Elections,Elections Office,Upper,Sandusky,OH,43351,(419) 294-1226,,wyandotboardofelectionsohio.gov,wyandot@OhioSoS.gov,(419) 294-6437,Monday-Friday:8:30AM-1:00PM
