state,county,location_name,location_type,address_1,address_2,city,state_2,zip,phone,county_website_url,email,fax
iowa,Clayton,Auditor,Elections Office,111 High Street NE,Suite 102,Elkader,IA,52043,563-245-1106,www.claytoncountyia.gov,jmgarms@claytoncountyia.gov,563-245-2353
iowa,Clinton,Auditor,Elections Office,1900 N. 3rd Street,,Clinton,IA,52733,563-244-0568,www.clintoncounty-ia.gov,vanlancker@clintoncounty-ia.gov,563-243-5869
iowa,Crawford,Auditor,Elections Office,1202 Broadway ,Ste. 5,Denison,IA,51442,712-263-3045,crawfordcounty.org/Auditor/default.asp,tmartens@crawfordcounty.org,712-263-8382
iowa,Dallas,Auditor,Elections Office,210 N 10th St,,Adel,IA,50003,515-993-6914,www.co.dallas.ia.us,dcauditor@dallascountyiowa.gov,515-993-6930
iowa,Davis,Auditor,Elections Office,100 Courthouse Square,Ste. 2,Bloomfield,IA,52537,641-664-2101,www.daviscountyiowa.org,auditor@daviscountyiowa.org,641-664-1395
iowa,Decatur,Auditor,Elections Office,207 N. Main Street,,Leon,IA,50144,641-446-4323,www.decaturcountyiowa.org,dauaud@grm.net,641-446-7159
iowa,Delaware,Auditor,Elections Office,301 E. Main Street,Room 210,Manchester,IA,52057,563-927-4701,www.co.delaware.ia.us,cbecker@co.delaware.ia.us,563-927-6423
iowa,Des Moines,Auditor,Elections Office,513 N. Main,Suite 203,Burlington,IA,52601,319-753-8232,www.dmcounty.com/,johnsont@dmcounty.com,319-753-8227
iowa,Dickinson,Auditor,Elections Office,1802 Hill Avenue,Suite 1400,Spirit Lake,IA,51360,712-336-3356,www.dickinsoncountyiowa.org/auditor/,lpedersen@co.dickinson.ia.us,712-336-2677
iowa,Dubuque,Auditor,Elections Office,720 Central Avenue,,Dubuque,IA,52001,563-589-4457,www.dubuquecounty.org/189/Elections,elections@dubuquecounty.us,563-589-4478
iowa,Emmet,Auditor,Elections Office,609 1st Avenue N.,,Estherville,IA,51334,712-362-4261,www.emmetcountyia.com,asathoff@emmetcountyia.com,712-362-7454
iowa,Fayette,Auditor,Elections Office,114 N. Vine Street,,West Union,IA,52175,563-422-3497,www.fayettecountyiowa.org/AuditorMAIN.html,lmoellers@co.fayette.ia.us,563-422-9201
iowa,Floyd,Auditor,Elections Office,101 S. Main Street,#302,Charles City,IA,50616,641-257-6131,www.floydcoia.org/159/Auditor-Elections,gcarr@floydcoia.org,641-257-6112
iowa,Franklin,Auditor,Elections Office,12 1st Avenue NW,,Hampton,IA,50441,641-456-5622,www.co.franklin.ia.us/,auditor@co.franklin.ia.us,641-456-6001
iowa,Fremont,Auditor,Elections Office,506 Filmore,,Sidney,IA,51652,712-374-2031,www.co.fremont.ia.us/fremcoaudt.htm,dowen@co.fremont.ia.us,712-374-4523
iowa,Greene,Auditor,Elections Office,114 N. Chestnut,,Jefferson,IA,50129,515-386-5680,www.co.greene.ia.us/pView.aspx?id=15486&catid=659,auditor@co.greene.ia.us,515-386-2216
iowa,Grundy,Auditor,Elections Office,706 G Avenue,,Grundy Center,IA,50638,319-824-3122,www.grundycounty.org/departments/auditor,rdeters@gccourthouse.org,319-824-6098
iowa,Guthrie,Auditor,Elections Office,200 N. 5th,,Guthrie Center,IA,50115,641-747-3619,www.guthriecounty.org/elections,dfink@guthriecounty.org,641-747-3027
iowa,Hamilton,Auditor,Elections Office,2300 Superior Street,,Webster City,IA,50595,515-832-9510,www.hamiltoncounty.org/departments/auditor/index.php,kschaa@hamiltoncounty.org,515-832-9514
iowa,Hancock,Auditor,Elections Office,855 State Street,,Garner,IA,50438,641-923-3163,www.hancockcountyia.org/,hanaudme@hancockcountyia.org,641-923-4191
iowa,Hardin,Auditor,Elections Office,1215 Edgington Avenue,Ste. 1,Eldora,IA,50627,641-939-8109,www.hardincountyia.gov,jlara@hardincountyia.gov,641-939-8245
iowa,Harrison,Auditor,Elections Office,111 N. 2nd Avenue,,Logan,IA,51546,712-644-2401,www.harrisoncountyia.org/#,auditor@harrisoncountyia.org,712-644-2643
iowa,Henry,Auditor,Elections Office,100 E. Washington St.,Ste. 202,Mount Pleasant,IA,52641,319-385-0756,www.henrycountyiowa.us,sbarber@henrycountyiowa.us,319-385-3601
iowa,Howard,Auditor,Elections Office,137 N. Elm Street,,Cresco,IA,52136,563-547-9203,www.co.howard.ia.us,jchapman@co.howard.ia.us,563-547-9229
iowa,Humboldt,Auditor,Elections Office,203 Main St.,,Dakota City,IA,50529,515-332-1571,www.humboldtcountyia.org/,price@humboldtcountyia.org,515-332-1738
iowa,Ida,Auditor,Elections Office,401 Moorhead Street,,Ida Grove,IA,51445,712-364-2626,www.idacounty.org,lsteenbock@idacountyia.us,712-364-3929
iowa,Iowa,Auditor,Elections Office,970 Court Ave,,Marengo,IA,52301,319-642-3923,www.co.iowa.ia.us,jstohlmann@co.iowa.ia.us,319-642-7637
iowa,Jackson,Auditor,Elections Office,201 W. Platt Street,,Maquoketa,IA,52060,563-652-3144,co.jackson.ia.us/offices/auditor/,asmith@co.jackson.ia.us,563-652-4738
iowa,Jasper,Auditor,Elections Office,101 1st Street N.,,Newton,IA,50208,641-792-7016,www.co.jasper.ia.us/275/Auditor,auditor@jasperia.org,641-792-1053
iowa,Jefferson,Auditor,Elections Office,51 E. Briggs,,Fairfield,IA,52556,641-472-2840,www.jeffersoncountyiowa.com/auditor.htm,auditor@jeffersoncountyia.com,641-472-2597
iowa,Johnson,Auditor,Elections Office,913 S. Dubuque St.,Ste. 101,Iowa City,IA,52240,319-356-6004,www.jcauditor.com,elections@co.johnson.ia.us,319-356-6086
iowa,Jones,Auditor,Elections Office,500 W. Main,,Anamosa,IA,52205,319-462-2282,www.jonescountyiowa.org/auditor,auditor@co.jones.ia.us,319-462-5815
iowa,Keokuk,Auditor,Elections Office,101 S. Main,,Sigourney,IA,52591,641-622-2320,www.keokukcountyia.com,auditor@keokukcountyia.com,641-622-2286
iowa,Kossuth,Auditor,Elections Office,114 W. State Street,,Algona,IA,50511,515-295-2718,www.co.kossuth.ia.us,agarman@co.kossuth.ia.us,515-295-3071
iowa,Lee,Auditor,Elections Office,933 Avenue H,,Fort Madison,IA,52627,319-372-3705,www.leecounty.org/offices/auditor/index.htm,dfraise@leecounty.org,319-372-7033
iowa,Linn,Auditor,Elections Office,935 2nd St. SW,,Cedar Rapids,IA,52404-2100,319-892-5300,www.linncounty.org/auditor,auditor@linncounty.org,319-892-5359
iowa,Louisa,Auditor,Elections Office,117 S. Main,,Wapello,IA,52653,319-523-3373,www.louisacountyiowa.org/auditor/auditor.html,selliott@louisacountyia.gov,319-523-3713
iowa,Lucas,Auditor,Elections Office,916 Braden Avenue,,Chariton,IA,50049,641-774-4512,,mastersj@lucasco.org,641-774-1615
iowa,Lyon,Auditor,Elections Office,"206 S. 2nd Ave., Suite 205",Suite 205,Rock Rapids,IA,51246,712-472-8517,www.lyoncountyiowa.com/,jsmit@co.lyon.ia.us,712-472-3800
iowa,Madison,Auditor,Elections Office,112 N. 1st Street,,Winterset,IA,50273,515-462-3914,www.madisoncoia.us,skaster@madisoncoia.us,515-462-5888
iowa,Mahaska,Auditor,Elections Office,106 S. 1st Street,,Oskaloosa,IA,52577,641-673-7148,www.mahaskacounty.org/departments/auditor/auditor.html,auditor@mahaskacounty.org,641-673-8979
iowa,Marion,Auditor,Elections Office,214 E. Main,,Knoxville,IA,50138,641-828-2217,www.co.marion.ia.us/electionmain.htm,jgrandia@marioncountyiowa.gov,641-828-6351
iowa,Marshall,Auditor,Temporary Elections Office,11 N. 1st Ave,2nd Floor,Marshalltown,IA,50158,641-754-6323,www.co.marshall.ia.us/departments/auditor/,nbenson@marshallcountyia.gov,641-754-6321
iowa,Mills,Auditor,Elections Office,418 Sharp Street,,Glenwood,IA,51534,712-527-3146,www.millscoia.us,crobertson@millscoia.us,712-527-1579
iowa,Mitchell,Auditor,Elections Office,212 S. 5th Street,,Osage,IA,50461,641-832-3946,www.mitchellcoia.us/index.php?option=com_content&view=article&id=60&Itemid=76,ltesch@mitchellcoia.us,641-732-5218
iowa,Monona,Auditor,Elections Office,610 Iowa Avenue,,Onawa,IA,51040,712-433-2191,www.mononacounty.org/Auditor.html,mocoaud1@mononacounty.org,712-433-3203
iowa,Monroe,Auditor,Elections Office,10 Benton Avenue E,,Albia,IA,52531,641-932-2865,monroecoia.us/offices/auditor/index.htm,auditor@monroecoia.us,641-932-5905
iowa,Montgomery,Auditor,Elections Office,105 E. Coolbaugh Street,,Red Oak,IA,51566,712-623-5127,www.montgomerycountyiowa.com/index.php/auditor,sburke@montgomerycoia.us,712-623-2346
iowa,Muscatine,Auditor,Elections Office,414 E. 3rd Street,,Muscatine,IA,52761,563-263-5821,www.co.muscatine.ia.us,auditor@co.muscatine.ia.us,563-263-7248
iowa,O'Brien,Auditor,Elections Office,155 S. Hayes Avenue,,Primghar,IA,51245,712-957-3225,www.obriencounty.com,brohwer@obriencounty.org,712-957-0425
iowa,Osceola,Auditor,Elections Office,300 7th Street,,Sibley,IA,51249,712-754-2241,www.osceolacountyia.org,rvantilburg@osceolacoia.org,712-754-3743
iowa,Page,Auditor,Elections Office,112 E. Main,,Clarinda,IA,51632,712-542-3219,co.page.ia.us,mwellhausen@co.page.ia.us,712-542-5019
iowa,Palo Alto,Auditor,Elections Office,1010 Broadway,,Emmetsburg,IA,50536,712-852-2924,paloaltocountyiowa.com/departments/auditor/,cmoser@co.palo-alto.ia.us,712-852-4671
iowa,Plymouth,Auditor,Elections Office,215 4th Avenue SE,,Le Mars,IA,51031,712-546-6100,www.co.plymouth.ia.us,auditor@co.plymouth.ia.us,712-546-5784
iowa,Pocahontas,Auditor,Elections Office,99 Court Square,,Pocahontas,IA,50574,712-335-3361,www.pocahontas-county.com/auditor,kjepsen@pocahontascoia.us,712-335-4502
iowa,Polk,Auditor,Elections Office,120 2nd Avenue,,Des Moines,IA,50309,515-286-3247,www.polkcountyiowa.gov/auditor/election/,election@polkcountyiowa.gov,515-286-2099
iowa,Pottawattamie,Auditor,Elections Office,227 S. 6th Street,,Council Bluffs,IA,51502,712-328-5700,www.pottcounty.com/,elections@pottcounty-ia.gov,712-328-4740
iowa,Poweshiek,Auditor,Elections Office,302 E. Main Street,,Montezuma,IA,50171,641-623-5443,poweshiekcounty.org/poweshiek-auditor/,meilander@poweshiekcounty.org,641-623-2363
iowa,Ringgold,Auditor,Elections Office,109 W. Madison,,Mount Ayr,IA,50854,641-464-3239,www.ringgoldcounty.us/,awaske@ringgoldcounty.us,641-464-0654
iowa,Sac,Auditor,Elections Office,100 NW State Street,Box 1,Sac City,IA,50583,712-662-7310,www.saccounty.org/auditor.html,sacoaud@saccounty.org,712-662-7879
iowa,Scott,Auditor,Elections Office,600 W 4th St,,Davenport,IA,52808-9901,563-326-8631,www.scottcountyiowa.com/auditor/,auditor@scottcountyiowa.com,563-326-8601
iowa,Shelby,Auditor,Elections Office,612 Court Street,,Harlan,IA,51537,712-755-3831,www.shco.org/Departments/Auditor.aspx,mmaxwell@shco.org,712-755-3200
iowa,Sioux,Auditor,Elections Office,210 Central Ave. SW,,Orange City,IA,51041,712-737-2216,siouxcounty.org/departments/auditor/,auditor@siouxcounty.org,712-737-2537
iowa,Story,Auditor,Elections Office,900 6th Street,,Nevada,IA,50201,515-382-7210,www.storycountyiowa.gov/auditor,auditorweb@storycountyiowa.gov,515-382-7221
iowa,Tama,Auditor,Elections Office,104 W. State Street,,Toledo,IA,52342,641-484-2740,www.tamacounty.org/auditor.html,lkopsa@tamacounty.org,641-484-5127
iowa,Taylor,Auditor,Elections Office,405 Jefferson,,Bedford,IA,50833,712-523-2280,taylorcountyiowa.org/auditors-office.html,auditor@taylorcountyiowa.org,712-523-2274
iowa,Union,Auditor,Elections Office,300 N. Pine,,Creston,IA,50801,641-782-1701,www.unioncountyiowa.org,shysell@unioncountyiowa.org,641-782-1709
iowa,Van Buren,Auditor,Elections Office,406 Dodge Street,,Keosauqua,IA,52565,319-293-3129,www.vanburencoia.org/Auditor.html,lplecker@vbcoia.org,319-293-6404
iowa,Wapello,Auditor,Elections Office,101 W. 4th,,Ottumwa,IA,52501,641-683-0020,www.wapellocountyelections.org,auditor@wapellocounty.org,641-683-0053
iowa,Warren,Auditor,Elections Office,301 N. Buxton Ave.,Ste. 101,Indianola,IA,50125,515-961-1020,www.warrencountyia.org/auditor.shtml,traciv@warrencountyia.org,515-961-1049
iowa,Washington,Auditor,Elections Office,222 W. Main Street,,Washington,IA,52353,319-653-7715,co.washington.ia.us/151/Auditor,dwidmer@co.washington.ia.us,319-653-7788
iowa,Wayne,Auditor,Elections Office,100 N. Lafayette St.,,Corydon,IA,50060,641-872-2242,www.waynecountyia.com/county/,mdooley@waynecountyia.org,641-872-2843
iowa,Webster,Auditor,Elections Office,703 Central Avenue,,Fort Dodge,IA,50501,515-573-7175,www.webstercountyia.org,auditor@webstercountyia.org,515-574-3714
iowa,Winnebago,Auditor,Elections Office,126 S. Clark Street,,Forest City,IA,50436,641-585-3412,www.winnebagocountyiowa.gov/auditor/,Karla.weiss@winnebagocountyiowa.gov,641-585-9302
iowa,Winneshiek,Auditor,Elections Office,201 W. Main Street,,Decorah,IA,52101,563-382-5085,www.winneshiekcounty.org/auditor.html,bsteines@co.winneshiek.ia.us,563-387-4083
iowa,Woodbury,Auditor,Elections Office,620 Douglas St.,Room 103,Sioux City,IA,51101,712-279-6465,www.woodburyiowa.com,pgill@woodburycountyiowa.gov,712-279-6629
iowa,Worth,Auditor,Elections Office,1000 Central Avenue,,Northwood,IA,50459,641-324-2316,www.worthcounty.org,auditor@worthcounty.org,641-324-3682
iowa,Wright,Auditor,Elections Office,115 N. Main,,Clarion,IA,50525,515-532-2771,www.wrightcounty.org/departments/auditor/index.php,auditor@co.wright.ia.us,515-532-2669
