state,county,location_name,location_type,address_1,address_2,city,state_2,zip,phone,email,notes
Michigan,Arenac County,Sims Township,Municipal Office,4489 S. Huron Rd.,,Au Gres,MI,48703,(989) 876-8631,simstownshipclerk@gmail.com,Judy Mackie
Michigan,Arenac County,Standish City,Municipal Office,399 E Beaver Street,PO Box 726,Standish,MI,48658,(989) 846-9588,kantcliff@cityofstandish.com,Kelsey Antcliff
Michigan,Arenac County,Standish Township,Municipal Office,4997 Arenac State Road,PO Box 472,Standish,MI,48658,(989) 529-6513,sharaklenk@gmail.com,Shara Klenk
Michigan,Arenac County,Turner Township,Municipal Office,110 Park St,PO Box 22,Twining,MI,48766,(989) 867-4045,turnertwpclerk@gmail.com,Tina Schumacher
Michigan,Arenac County,Whitney Township,Municipal Office,1515 North Huron,,Tawas City,MI,48763,(989) 362-8441,kimberlyclerk@hotmail.com,Kimberly Anderson
Michigan,Baraga County,Arvon Township,Municipal Office,14470 Marinich Drive,,Lanse,MI,49946,(906) 524-7591,maemee@up.net,Lisa Marinich
Michigan,Baraga County,Baraga Township,Municipal Office,325 Lyons Street,PO Box 246,Baraga,MI,49908,(906) 353-8155,baragaclerk@up.net,Michelle Fish
Michigan,Baraga County,Covington Township,Municipal Office,25351 Norback Rd,,Watton,MI,49970,(906) 355-2491,amyjoleaf@gmail.com,Amy Leaf
Michigan,Baraga County,Lanse Township,Municipal Office,126 N Main Street,,L'anse,MI,49946,(906) 524-7377,laclerk@up.net,Kristin Kahler
Michigan,Baraga County,Spurr Township,Municipal Office,25019 George Lake Road,,Michigamme,MI,49861,(906) 235-8207,spurrsuper@earthlink.net,Danielle Mattson
Michigan,Barry County,Assyria Township,Municipal Office,8094 Tasker Road,PO Box 211,Bellevue,MI,49021,(269) 968-3329,assyriaclerk@gmail.com,Annette Terry
Michigan,Barry County,Baltimore Township,Municipal Office,3100 E. Dowling Rd,,Hastings,MI,49058-8342,(269) 945-3228,pypma@netpenny.net,Penelope Ypma
Michigan,Barry County,Barry Township,Municipal Office,11300 S. M-43 Hwy,PO Box 705,Delton,MI,49046,(269) 623-8939,barrytownship@mei.net,Debra Knight
Michigan,Barry County,Carlton Township,Municipal Office,85 Welcome Rd,,Hastings,MI,49058,(269) 945-5990,clerk@carltontownship.org,Amanda Brown
Michigan,Barry County,Castleton Township,Municipal Office,915 Reed St,PO Box 679,Nashville,MI,49073,(517) 852-9479,castletontwpclerk@gmail.com,Marcia Scramlin
Michigan,Barry County,Hastings City,Municipal Office,201 E State St,,Hastings,MI,49058,(269) 945-2468,jsaurman@hastingsmi.org,Jane Saurman
Michigan,Barry County,Hastings Township,Municipal Office,885 River Rd,,Hastings,MI,49058,(269) 948-9690,clerk@hastingstownship.com,Anita S Mennell
Michigan,Barry County,Hope Township,Municipal Office,5463 S M-43 Hwy,,Hastings,MI,49058,(269) 948-2464,hopetwpcl@mei.net,Deborah Jackson
Michigan,Barry County,Irving Township,Municipal Office,3425 Wing Rd,,Hastings,MI,49058-7507,(269) 948-0633,clerk@irvingtownship.org,Sharon Olson
Michigan,Barry County,Johnstown Township,Municipal Office,13641 S M-37 Hwy,,Battle Creek,MI,49017,(269) 721-3710,johnstownclk@mei.net,Sheri Babcock
Michigan,Barry County,Maple Grove Township,Municipal Office,721 Durkee St,PO Box 240,Nashville,MI,49073-9403,(517) 852-0872,holly.carpenter@yahoo.com,Holly Carpenter
Michigan,Barry County,Orangeville Township,Municipal Office,7350 Lindsey Rd,,Plainwell,MI,49080,(269) 664-4522,mrisnerogvclk@mei.net,Melody Risner
Michigan,Barry County,Prairieville Township,Municipal Office,10115 S Norris Rd,,Delton,MI,49046,(269) 623-2726,rgoebel@prairievilletwp-mi.org,Rod Goebel
Michigan,Barry County,Rutland Township,Municipal Office,2461 Heath Rd,,Hastings,MI,49058,(269) 948-2194,deputyclerk@rutlandtownship.org,Robin Hawthorne
Michigan,Barry County,Thornapple Township,Municipal Office,200 E Main St,PO Box 459,Middleville,MI,49333,(269) 795-7202,clerk@thornapple-twp.org,Cindy Willshire
Michigan,Barry County,Woodland Township,Municipal Office,156 S Main,PO Box 98,Woodland,MI,48897,(269) 367-4915,nancy.stanton@yahoo.com,Nancy Stanton
Michigan,Barry County,Yankee Springs Township,Municipal Office,284 N Briggs Rd,,Middleville,MI,49333-9762,(269) 795-9091,margevandermeyden@yankeespringstwp.org,Marjorie Vandermeyden
Michigan,Bay County,Auburn City,Municipal Office,113 E  Elm,,Auburn,MI,48611,(989) 662-6761,clerk@auburnmi.org,Bryna Mieske
Michigan,Bay County,Bangor Township,Municipal Office,180 State Park Dr,,Bay City,MI,48706-1763,(989) 684-8041,dawnbublitz@bangortownship.org,Dawn Bublitz
Michigan,Bay County,Bay City City,Municipal Office,301 Washington Avenue,,Bay City,MI,48708,(989) 894-8168,tlucero@baycitymi.org,Tema J Lucero
Michigan,Bay County,Beaver Township,Municipal Office,1850 Garfield Rd,,Auburn,MI,48611,(989) 662-4996,beavertownship@aol.com,Mary McCarry
Michigan,Bay County,Essexville City,Municipal Office,1107 Woodside Avenue,,Essexville,MI,48732,(989) 893-0772,cclerk@essexville.org,Sarah J Wilcox
Michigan,Bay County,Frankenlust Township,Municipal Office,2401 Delta Rd.,,Bay City,MI,48706,(989) 686-5300,daf_clerk@frankenlust.com,Deborah Fisher
Michigan,Bay County,Fraser Township,Municipal Office,1474 N Mackinaw Rd,,Linwood,MI,48634,(989) 697-3820,clerk@frasertwp.org,Patricia Powers
Michigan,Bay County,Garfield Township,Municipal Office,1138 W. Erickson Rd.,,Linwood,MI,48634,(989) 879-2552,clerkgarfieldbay@outlook.com,Errin Milkowski
Michigan,Bay County,Gibson Township,Municipal Office,6073 Carter Rd,,Bentley,MI,48613,(989) 903-5227,justbigred@gmail.com,Christine Cousineau
Michigan,Bay County,Hampton Township,Municipal Office,801 W Center,PO Box 187,Bay City,MI,48707,(989) 893-7541,pwright@hamptonmi.net,Pamela J Wright
Michigan,Bay County,Kawkawlin Township,Municipal Office,1836 E Parish,,Kawkawlin,MI,48631,(989) 686-8710,clerk@kawkawlintwp.org,Gregory  Petrimoulx
Michigan,Bay County,Merritt Township,Municipal Office,48 E. Munger,PO Box 126,Munger,MI,48747,(989) 659-2136,merrittclerk@yahoo.com,Kathy Parrent
Michigan,Bay County,Midland City,Municipal Office,333 W. Ellsworth,,Midland,MI,48640,(989) 837-3310,clerk@midland-mi.org,Erica Armstrong
Michigan,Bay County,Monitor Township,Municipal Office,2483 Midland Rd,,Bay City,MI,48706,(989) 684-7203,clerk@monitortwp.org,Cindy L. Kowalski
Michigan,Bay County,Mount Forest Township,Municipal Office,1705 W. Cody Estey Rd,,Pinconning,MI,48650,(989) 879-7575,mtf40990@centurytel.net,Crystal Dodge
Michigan,Bay County,Pinconning City,Municipal Office,208 S Manitou Street,PO Box 628,Pinconning,MI,48650,(989) 879-5236,pinconningcityclerk3@yahoo.com,Dawn Hoder
Michigan,Bay County,Pinconning Township,Municipal Office,1751 E. Cody Estey Rd,PO Box 58,Pinconning,MI,48650,(989) 879-4018,bhribek@pinconningtownship.com,Beverlene Hribek
Michigan,Bay County,Portsmouth Township,Municipal Office,1711 W. Cass Ave. Rd,,Bay City,MI,48708,(989) 892-7221,clerk@portsmouthtwp.com,Judith F Bukowski
Michigan,Bay County,Williams Township,Municipal Office,1080 W Midland Rd,,Auburn,MI,48611,(989) 662-4408,jputt@williamstwp.com,Jerome E Putt
Michigan,Benzie County,Almira Township,Municipal Office,7276 Ole White Drive,,Lake Ann,MI,49650,(231) 275-5862,clerk@almiratownship.org,Tammy Clous
Michigan,Benzie County,Benzonia Township,Municipal Office,1020 Michigan Ave,PO Box 224,Benzonia,MI,49616,(231) 882-4411,clerk@benzoniatownship.org,Diana Heller
Michigan,Benzie County,Blaine Township,Municipal Office,4760 Herring Grove Rd.,,Arcadia,MI,49613,(847) 254-2551,blainetownshipclerk@gmail.com,Melanie Taylor
Michigan,Benzie County,Colfax Township,Municipal Office,7607 Michigan Avenue,PO Box 68,Thompsonville,MI,49683,(231) 631-9221,medicalresearch@hotmail.com,Deann Mosher
Michigan,Benzie County,Crystal Lake Township,Municipal Office,1651 Frankfort Hwy,PO Box 2129,Frankfort,MI,49635,(231) 352-9791,clerk.clt@gmail.com,Sue Sullivan
Michigan,Benzie County,Frankfort City,Municipal Office,412 Main St,PO Box 351,Frankfort,MI,49635,(231) 352-7117,jwillman@cofrankfort.net,Kim Kidder
Michigan,Benzie County,Gilmore Township,Municipal Office,1246 Grace Road,,Frankfort,MI,49635,(231) 510-1676,gilmoretwp_clerk@yahoo.com,Shannon Spencley
Michigan,Benzie County,Homestead Township,Municipal Office,11508 Honor Hwy,,Honor,MI,49640,(231) 325-6772,clerk@homesteadtwp.com,Mary Geetings
Michigan,Benzie County,Inland Township,Municipal Office,19668 Honor Highway,,Interlochen,MI,49643,(231) 275-6568,clerk@inlandtownship.org,Rose Wirth
Michigan,Benzie County,Joyfield Township,Municipal Office,5490 Benzie Hwy,PO Box 256,Benzonia,MI,49616,(231) 649-0614,joyfield.township.clerk@gmail.com,Dodie Putney
Michigan,Benzie County,Lake Township,Municipal Office,5153 Scenic Hwy,,Honor,MI,49640,(231) 325-5202,clerk@laketwp.org,Dotty Blank
Michigan,Benzie County,Platte Township,Municipal Office,6821 Indian Hill Rd,,Honor,MI,49640,(231) 930-7182,plattetownship@gmail.com,Alison Michalak
Michigan,Benzie County,Weldon Township,Municipal Office,14731 Thompson Avenue,PO Box 570,Thompsonville,MI,49683,(231) 378-2477,weldonclerk@acegroup.cc,Fran Griffin
Michigan,Berrien County,Bainbridge Township,Municipal Office,7315 Territorial Road,,Watervliet,MI,49098,(269) 468-8040,clerk@bainbridgetownship.org,Patty Hiler-Molter
Michigan,Berrien County,Baroda Township,Municipal Office,9091 First St,PO Box 215,Baroda,MI,49101,(269) 422-2300,barodaclerk@gmail.com,Christina Price
Michigan,Berrien County,Benton Charter Township,Municipal Office,1725 Territorial Road Bldg B,,Benton Harbor,MI,49022,(269) 925-0616,cphillips@bentonchartertownship-mi.gov,Carolyn Phillips
Michigan,Berrien County,Benton Harbor City,Municipal Office,200 East Wall Street,PO Box 648,Benton Harbor,MI,49022,(269) 927-8408,kthompson@cityofbh.us,Kimberly Thompson
Michigan,Berrien County,Berrien Township,Municipal Office,8916 M 140,,Berrien Center,MI,49102,(269) 461-6925,berrientwpclerk@comcast.net,Mary Jane Dean
Michigan,Berrien County,Bertrand Township,Municipal Office,3835 Buffalo Rd,,Buchanan,MI,49107,(269) 695-5001,clerk@bertrandtownship.com,Don Vite
Michigan,Berrien County,Bridgman City,Municipal Office,9765 Maple St,PO Box 366,Bridgman,MI,49106,(269) 465-5144,aholm@bridgman.org,Allyson Holm
Michigan,Berrien County,Buchanan City,Municipal Office,302 N Red Bud Trail,,Buchanan,MI,49107,(269) 695-3844,bpitcher@cityofbuchanan.com,Barbara Pitcher
Michigan,Berrien County,Buchanan Township,Municipal Office,15235 N. Main Street,,Buchanan,MI,49107,(269) 695-6442,clerk@buchanantownship.net,Sheila S   Reitz
Michigan,Berrien County,Chikaming Township,Municipal Office,13535 Red Arrow Highway,PO Box 40,Harbert,MI,49115,(269) 469-1676,pdudiak@chikamingtownship.org,Paula Dudiak
Michigan,Berrien County,Coloma Charter Township,Municipal Office,4919 Paw Paw Lake Rd,,Coloma,MI,49038,(269) 468-7212,cheryl@colomatownship.org,Sandra Kraemer
Michigan,Berrien County,Coloma City,Municipal Office,119 N Paw Paw St,PO Box 329,Coloma,MI,49038-0329,(269) 468-6606,colomacityhall@i2k.com,Martha Darling
Michigan,Berrien County,Galien Township,Municipal Office,305 Kiley Drive,,Galien,MI,49113,(269) 545-8143,jen.galientwp@gmail.com,Jennifer Richter
Michigan,Berrien County,Hagar Township,Municipal Office,3900 Riverside Rd,PO Box 87,Riverside,MI,49084,(269) 849-0455,hagarclerk@gmail.com,Sarah Rodriguez
Michigan,Berrien County,Lake Charter Township,Municipal Office,3220 Shawnee Road,PO Box 818,Bridgman,MI,49106,(269) 465-6601,gpayne@lake-township.org,Gloria A Payne
Michigan,Berrien County,Lincoln Charter Township,Municipal Office,2055 W. John Beers Rd,PO Box 279,Stevensville,MI,49127,(269) 429-1589,sloar-porter@lctberrien.org,Stacy Loar-Porter
Michigan,Berrien County,New Buffalo City,Municipal Office,224 West Buffalo,,New Buffalo,MI,49117,(269) 469-1500,afidler@cityofnewbuffalo.org,Amy Fidler
Michigan,Berrien County,New Buffalo Township,Municipal Office,17425 Red Arrow Hwy,,New Buffalo,MI,49117,(269) 469-1011,elections@newbuffalotownship.org,Judith Zabicki
Michigan,Berrien County,Niles Charter Township,Municipal Office,320 Bell Rd.,,Niles,MI,49120,(269) 684-0870,acole@nilestwpmi.gov,Terry Eull
Michigan,Berrien County,Niles City,Municipal Office,333 N 2nd Street Ste 301,,Niles,MI,49120,(269) 683-4700,cityclerk@nilesmi.org,Linda Casperson
Michigan,Berrien County,Oronoko Charter Township,Municipal Office,4583 E Snow Road,PO Box 214,Berrien Springs,MI,49103,(269) 471-2824,clerk@oronokotownship.org,Suzanne Renton
Michigan,Berrien County,Pipestone Township,Municipal Office,7185 N. Elm St.,PO Box 291,Eau Claire,MI,49111,(269) 461-6151,pipestonetwp@att.net,Karen Basham
Michigan,Berrien County,Royalton Township,Municipal Office,980 Miners Rd,,St Joseph,MI,49085,(269) 429-2501,pknight@royaltontownship.org,William Foust
