state,county,location_type,location_name,address_1,address_2,city,state_2,zip,phone,county_website_url,email,fax,hours
Virginia,CHESAPEAKE CITY,Elections Office,Office of the General Registrar,411 Cedar Rd,,Chesapeake,VA,23322,757-277-9797,http://www.cityofchesapeake.net/government/City-Departments/Departments/Voter-Registrar.htm,mlpinkerman@cityofchesapeake.net,757-547-5402,Monday:08:00-17:00;Tuesday:08:00-17:00;Wednesday:08:00-17:00;Thursday:08:00-17:00;Friday:08:00-17:00
Virginia,CHESTERFIELD COUNTY,Elections Office,Chesterfield Registrar's Office,9848 Lori Rd,,Chesterfield,VA,23832,804-748-1471,https://www.chesterfield.gov/registrar,registrar@chesterfield.gov,804-751-0822,Monday:08:30-17:00;Tuesday:08:30-17:00;Wednesday:08:30-17:00;Thursday:08:30-17:00;Friday:08:30-17:00
Virginia,CLARKE COUNTY,Elections Office,Clarke County Office of Elections,101 Chalmers Ct,,Berryville,VA,22611,540-955-5168,https://www.clarkecounty.gov/government/voter-registration-elections,vote@clarkecounty.gov,540-955-5169,Monday:08:30-16:30;Tuesday:08:30-16:30;Wednesday:08:30-16:30;Thursday:08:30-16:30;Friday:08:30-16:30
Virginia,COLONIAL HEIGHTS CITY,Elections Office,Colonial Heights City General Registrar,201 James Ave,,Colonial Heights,VA,23834,804-520-9277,http://www.colonialheightsva.gov,schottj@colonialheightsva.gov,804-520-9209,Monday:08:30-17:00;Tuesday:08:30-17:00;Wednesday:08:30-17:00;Thursday:08:30-17:00;Friday:08:30-17:00
Virginia,COVINGTON CITY,Elections Office,Voter Registration,515 E Pine St,,Covington,VA,24426,540-965-6380,,govote580@ntelos.net,540-965-6362,Monday:09:00-17:00;Tuesday:09:00-17:00;Wednesday:09:00-17:00;Thursday:09:00-17:00;Friday:09:00-05:00
Virginia,CRAIG COUNTY,Elections Office,Craig County Voter Registration,155 Main St,,New Castle,VA,24127,540-864-6190,,vote@craigcountyva.gov,540-864-5551,Monday:08:00-16:00;Tuesday:08:00-16:00;Wednesday:08:00-16:00;Thursday:08:00-16:00;Friday:08:00-16:00
Virginia,CULPEPER COUNTY,Elections Office,Culpeper County General Registrar's Office,151 N Main St ,Ste 301,Culpeper,VA,22701,540-825-0652,https://www.voteinculpeper.info,registrar@culpepercounty.gov,540-825-8454,Monday:08:30-16:30;Tuesday:08:30-16:30;Wednesday:08:30-16:30;Thursday:08:30-16:30;Friday:08:30-16:30
Virginia,CUMBERLAND COUNTY,Elections Office,Cumberland County Voter Registration Office,1487 Anderson Hwy,,Cumberland,VA,23040,804-492-4504,,mwatson@cumberlandcounty.virginia.gov,804-492-3571,Monday:08:30-16:30;Tuesday:08:30-16:30;Wednesday:08:30-16:30;Thursday:08:30-16:30;Friday:08:30-04:30
Virginia,DANVILLE CITY,Elections Office,Voter Registration and Electoral Board Office,530 Main St ,Ste 100,Danville,VA,24541,434-799-6560,http://www.danvilleva.gov/284/Voter-Registration-Registrar,govote@danvilleva.gov,434-797-8987,Monday:09:00-17:00;Tuesday:09:00-17:00;Wednesday:09:00-17:00;Thursday:09:00-17:00;Friday:09:00-17:00
Virginia,DICKENSON COUNTY,Elections Office,Office of Voter Registration and Elections,818 Happy Valley Dr ,Rm 138,Clintwood,VA,24228,276-926-1620,https://www.dickensonva.org,rchildress@dickensonva.org,276-302-0124,Monday:08:30-16:30;Tuesday:08:30-16:30;Wednesday:08:30-16:30;Thursday:08:30-16:30;Friday:08:30-16:30
Virginia,DINWIDDIE COUNTY,Elections Office,DINWIDDIE COUNTY,14016 Boydton Plank Rd,,Dinwiddie,VA,23841,804-469-4500 2113,,lbrandon@dinwiddieva.us,804-469-4544,Monday:08:30-16:30;Tuesday:08:30-16:30;Wednesday:08:30-16:30;Thursday:08:30-16:30;Friday:08:30-16:30
Virginia,EMPORIA CITY,Elections Office,Voter Registration Office,201 S Main St,,Emporia,VA,23847,434-634-9533,,awall@ci.emporia.va.us,434-634-0003,Monday:08:00-17:00;Tuesday:08:00-17:00;Wednesday:08:00-17:00;Thursday:08:00-17:00;Friday:08:00-17:00
Virginia,ESSEX COUNTY,Elections Office,Essex County General Registrar's Office,205 S Cross St ,Suite B,Tappahannock,VA,22560,804-443-4611,http://www.essex-virginia.org/,govote@essex-virginia.org,804-443-4157,Monday:08:30-16:30;Tuesday:08:30-16:30;Wednesday:08:30-16:30;Thursday:08:30-16:30;Friday:08:30-16:30
Virginia,FAIRFAX CITY,Elections Office,City of Fairfax General Registrar's Office,10455 Armstrong St,,Fairfax,VA,22030,703-385-7890,http://www.fairfaxva.gov/vote,Registrar@Fairfaxva.gov,703-591-8364,Monday:08:30-17:00;Tuesday:08:30-17:00;Wednesday:08:30-17:00;Thursday:08:30-17:00;Friday:08:30-17:00
Virginia,FAIRFAX COUNTY,Elections Office,Fairfax County Office of Elections,12000 Government Center Pkwy,Ste 323,Fairfax,VA,22035,703-222-0776,http://www.fairfaxcounty.gov/elections,voting@fairfaxcounty.gov,703-324-2205,Monday:08:00-16:30;Tuesday:08:00-16:30;Wednesday:08:00-16:30;Thursday:08:00-16:30;Friday:08:00-16:30
Virginia,FALLS CHURCH CITY,Elections Office,Office of Voter Registration and Elections,300 Park Ave ,Rm 206C,Falls Church,VA,22046,703-248-5085,http://www.fallschurchva.gov/vote,vote@fallschurchva.gov,703-248-5204,Monday:08:00-17:00;Tuesday:08:00-17:00;Wednesday:08:00-17:00;Thursday:08:00-17:00;Friday:08:00-17:00
Virginia,FAUQUIER COUNTY,Elections Office,County of Fauquier,528 Waterloo Rd ,Ste 200,Warrenton,VA,20186,540-422-8290,http://vote.fauquiercounty.gov,alex.ables@fauquiercounty.gov,540-422-8291,Monday:08:00-16:30;Tuesday:08:00-16:30;Wednesday:08:00-16:30;Thursday:08:00-16:30;Friday:08:00-16:30
Virginia,FLOYD COUNTY,Elections Office,Floyd County General Registrar's Office,100 E Main St ,Rm 302,Floyd,VA,24091,540-745-9350,https://www.floydcova.org/voter-registrar/,registrar@floydcova.org,540-745-9390,Monday:09:00-17:00;Tuesday:09:00-17:00;Wednesday:09:00-17:00;Thursday:09:00-17:00;Friday:09:00-17:00
Virginia,FLUVANNA COUNTY,Elections Office,Fluvanna County Office of Elections,265 Turkeysag Trl ,Ste 115,Palmyra,VA,22963,434-589-3593,,jpace@fluvannacounty.org,434-589-6383,Monday:08:30-17:00;Tuesday:08:30-17:00;Wednesday:08:30-17:00;Thursday:08:30-17:00;Friday:08:30-17:00
Virginia,FRANKLIN CITY,Elections Office,Franklin City Voter Registration and Elections,100 S Main St,,Franklin,VA,23851,757-562-8545,http://www.franklinva.com/government/departments/voter-registrar/,jmaynard@franklinva.com,757-562-8779,Monday:08:30-17:00;Tuesday:08:30-17:00;Wednesday:08:30-17:00;Thursday:08:30-17:00;Friday:08:30-17:00
Virginia,FRANKLIN COUNTY,Elections Office,Franklin County General Registrar's Office,1255 Franklin St # ,SUITE106,Rocky Mount,VA,24151,540-483-3025,,kay.chitwood@franklincountyva.gov,540-483-6619,Monday:08:30-17:00;Tuesday:08:30-17:00;Wednesday:08:30-17:00;Thursday:08:30-17:00;Friday:08:30-17:00
Virginia,FREDERICK COUNTY,Elections Office,Frederick County Voter Registration Office,107 N Kent St ,Ste 102,Winchester,VA,22601,540-665-5660,http://www.fcva.us/,rich.venskoske@fcva.us,540-665-8976,Monday:08:30-16:30;Tuesday:08:30-16:30;Wednesday:08:30-16:30;Thursday:08:30-16:30;Friday:08:30-16:30
Virginia,FREDERICKSBURG CITY,Elections Office,Voter Registration & Elections,601 Caroline St ,Ste 500A,Fredericksburg,VA,22401,540-372-1030,https://www.fredericksburgva.gov/534/Voter-Registrar,vote@vote.fredericksburgva.gov,540-373-8381,Monday:08:30-16:30;Tuesday:08:30-16:30;Wednesday:08:30-16:30;Thursday:08:30-16:30;Friday:08:30-16:30
Virginia,GALAX CITY,Elections Office,Galax City Voter Registration,111 E Grayson St ,Rm 102,Galax,VA,24333,276-236-7509,,sreavis@galaxva.com,276-236-2889,Monday:08:30-17:00;Tuesday:08:30-17:00;Wednesday:08:30-17:00;Thursday:08:30-17:00;Friday:08:30-17:00
Virginia,GILES COUNTY,Elections Office,Giles County General Registrar's Office,201 N Main St ,Ste 1,Pearisburg,VA,24134,540-921-2802,http://www.virginiasmtnplayground.com/voter-registration/,govote071@gilescounty.org,540-921-3176,Monday:09:00-17:00;Tuesday:09:00-17:00;Wednesday:09:00-17:00;Thursday:09:00-17:00;Friday:09:00-17:00
Virginia,GLOUCESTER COUNTY,Elections Office,Gloucester County Office of Elections and Voter Registration,6467 Main St ,Bldg ONE,Gloucester,VA,23061,804-693-3659,https://www.gloucesterva.info/349/Elections-and-Voter-Registration,bamorgan@gloucesterva.info,804-824-2465,Monday:08:30-16:30;Tuesday:08:30-16:30;Wednesday:08:30-16:30;Thursday:08:30-16:30;Friday:08:30-16:30
Virginia,GOOCHLAND COUNTY,Elections Office,Goochland County Office of the General Registrar,1876 Sandy Hook Rd,,Goochland,VA,23063,804-556-5803,https://www.goochlandva.us/359/Voter-Registration-Elections,Rmulligan@goochlandva.us,804-556-6323,Monday:08:30-16:30;Tuesday:08:30-16:30;Wednesday:08:30-16:30;Thursday:08:30-16:30;Friday:08:30-16:30
Virginia,GRAYSON COUNTY,Elections Office,Voter Registration,129 Davis ST ,Rm 101,Independence,VA,24348,276-773-2842,,cwingate@graysoncountyva.gov,276-773-8042,Monday:08:00-16:30;Tuesday:08:00-16:30;Wednesday:08:00-16:30;Thursday:08:00-16:30;Friday:08:00-16:30
Virginia,GREENE COUNTY,Elections Office,Greene County General Registrar's Office,32 Stanard St,,Stanardsville,VA,22973,434-985-5213,,jlewis-fowler@gcva.us,434-985-2369,Monday:08:30-17:00;Tuesday:08:30-17:00;Wednesday:08:30-17:00;Thursday:08:30-17:00;Friday:08:30-17:00
Virginia,GREENSVILLE COUNTY,Elections Office,Greensville County Registrar's Office,1781 Greensville County Cir,,Emporia,VA,23847,434-348-4228,,sconwell@greensvillecountyva.gov,434-348-4257,Monday:09:00-17:00;Tuesday:09:00-17:00;Wednesday:09:00-17:00;Thursday:09:00-17:00;Friday:09:00-17:00
Virginia,HALIFAX COUNTY,Elections Office,Halifax County Voter Registrar's Office,1030 Mary Bethune St ,Ste 102,Halifax,VA,24558,434-476-3322,,hharding@co.halifax.va.us,434-476-1045,Monday:08:30-16:30;Tuesday:08:30-16:30;Wednesday:08:30-16:30;Thursday:08:30-16:30;Friday:08:30-16:30
Virginia,HAMPTON CITY,Elections Office,City of Hampton General Registrar's Office,1919 Commerce Dr ,Ste 280,Hampton,VA,23666,757-727-6218,http://www.hampton.gov/voter,tmorgan@hampton.gov,757-727-6084,Monday:08:30-17:00;Tuesday:08:30-17:00;Wednesday:08:30-17:00;Thursday:08:30-17:00;Friday:08:30-17:00
Virginia,HANOVER COUNTY,Elections Office,Hanover Co. Voter Registration & Elections,7497 County Complex Rd ,Rm 119,Hanover,VA,23069,804-365-6080,https://www.hanovercounty.gov/365/Voting,HanoverVoting@hanovercounty.gov,804-365-6078,Monday:08:30-17:00;Tuesday:08:30-17:00;Wednesday:08:30-17:00;Thursday:08:30-17:00;Friday:08:30-17:00
Virginia,HARRISONBURG CITY,Elections Office,City of Harrisonburg Voter Registration Office,409 S Main St,,Harrisonburg,VA,22801,540-432-7707,http://www.harrisonburgva.gov/,mark.finks@HarrisonburgVA.gov,540-432-7784,Monday:08:00-17:00;Tuesday:08:00-17:00;Wednesday:08:00-17:00;Thursday:08:00-17:00;Friday:08:00-17:00
Virginia,HENRICO COUNTY,Elections Office,Office of Voter Registration and Elections,4305 E PARHAM RD,,HENRICO,VA,23228,804-501-4347,http://henrico.us/registrar/,coa@henrico.us,804-501-5081,Monday:08:00-16:30;Tuesday:08:00-16:30;Wednesday:08:00-16:30;Thursday:08:00-16:30;Friday:08:00-16:30
Virginia,HENRY COUNTY,Elections Office,Henry County Voter Registration/Electoral Board Office,3300 Kings Mountain Rd ,Rm 103,Martinsville,VA,24112,276-638-5108,http://www.henrycountyva.gov/elections---registrar,estone@co.henry.va.us,276-638-8278,Monday:08:30-17:00;Tuesday:08:30-17:00;Wednesday:08:30-17:00;Thursday:08:30-17:00;Friday:08:30-17:00
Virginia,HIGHLAND COUNTY,Elections Office,Highland County Voter Registration Office,97 Highland Center DR,,Monterey,VA,24465,540-468-2013,,govote091@htcnet.org,540-468-2012,Monday:08:30-16:30;Tuesday:08:30-16:30;Wednesday:08:30-16:30;Thursday:08:30-16:30;Friday:08:30-16:30
Virginia,HOPEWELL CITY,Elections Office,Voter Registration Office,106 N Main St,,Hopewell,VA,23860,804-541-2232 630,https://www.hopewellva.gov,vote@hopewellva.gov,804-452-5828,Monday:08:30-17:00;Tuesday:08:30-17:00;Wednesday:08:30-17:00;Thursday:08:30-17:00;Friday:08:30-17:00
Virginia,ISLE OF WIGHT COUNTY,Elections Office,Voter Registration & Elections,17106 Monument Circle,,Isle of Wight,VA,23397,757-365-6230,https://www.co.isle-of-wight.va.us/our_services/voter_registration/voter_information.php,lbetterton@isleofwightus.net,757-357-5699,Monday:08:30-17:00;Tuesday:08:30-17:00;Wednesday:08:30-17:00;Thursday:08:30-17:00;Friday:08:30-17:00
Virginia,JAMES CITY COUNTY,Elections Office,James City County Voter Registration and Elections,5300 Palmer Ln,,Williamsburg,VA,23188,757-259-4949,http://www.jamescitycountyva.gov/vote,vote@jamescitycountyva.gov,757-259-4945,Monday:08:00-17:00;Tuesday:08:00-17:00;Wednesday:08:00-17:00;Thursday:08:00-17:00;Friday:08:00-17:00
Virginia,KING & QUEEN COUNTY,Elections Office,King and Queen County,232 Allens Cir,,King And Queen Court House,VA,23085,804-785-5980,,dklausen@kingandqueenco.net,804-785-5792,Monday:08:30-16:30;Tuesday:08:30-16:30;Wednesday:08:30-16:30;Thursday:08:30-16:30;Friday:08:30-16:30
Virginia,KING GEORGE COUNTY,Elections Office,King George County Registrar,10459 Courthouse Dr ,Ste 102,King George,VA,22485,540-775-9186,,lgump@co.kinggeorge.state.va.us,540-775-4852,Monday:08:00-16:30;Tuesday:08:00-16:30;Wednesday:08:00-16:30;Thursday:08:00-16:30;Friday:08:00-16:30
Virginia,KING WILLIAM COUNTY,Elections Office,King William County General Registrar's Office,180 Horse Landing Rd ,# 1,King William,VA,23086,804-769-4952,,gregistrar@kingwilliamcounty.us,804-769-4920,Monday:08:30-16:30;Tuesday:08:30-16:30;Wednesday:08:30-16:30;Thursday:08:30-16:30;Friday:08:30-16:30
Virginia,LANCASTER COUNTY,Elections Office,Lancaster County Voter Registration,8311 Mary Ball Rd,,Lancaster,VA,22503,804-462-5277,,sjett@lancova.com,804-462-5228,Monday:08:30-16:30;Tuesday:08:30-16:30;Wednesday:08:30-16:30;Thursday:08:30-16:30;Friday:08:30-16:30
Virginia,LEE COUNTY,Elections Office,Voter Registration Office,133 School Board PL,,Jonesville,VA,24263,276-346-7780,,govote105@leecova.org,276-346-0119,Monday:08:30-16:30;Tuesday:08:30-16:30;Wednesday:08:30-16:30;Thursday:08:30-16:30;Friday:08:30-16:30
Virginia,LEXINGTON CITY,Elections Office,Office of the General Registrar,300 E Washington St,,Lexington,VA,24450,540-461-0535,http://www.lexingtonva.gov,jyowell@lexingtonva.gov,540-463-5310,Monday:09:00-17:00;Tuesday:09:00-17:00;Wednesday:09:00-17:00;Thursday:09:00-17:00;Friday:09:00-17:00
Virginia,LOUDOUN COUNTY,Elections Office,Office of Elections,750 Miller Dr SE ,Ste C,Leesburg,VA,20175,703-777-0380,http://loudoun.gov/vote,vote@loudoun.gov,703-777-0622,Monday:08:30-17:00;Tuesday:08:30-17:00;Wednesday:08:30-17:00;Thursday:08:30-17:00;Friday:08:30-17:00
Virginia,LOUISA COUNTY,Elections Office,Louisa County General Registrar's Office,1 Woolfolk Ave,,Louisa,VA,23093,540-967-3427,,cwatkins@louisa.org,540-967-3492,Monday:08:30-16:30;Tuesday:08:30-16:30;Wednesday:08:30-16:30;Thursday:08:30-16:30;Friday:08:30-16:30
Virginia,LUNENBURG COUNTY,Elections Office,Voter Registration,160 Courthouse Sq,,Lunenburg,VA,23952,434-696-3071,,cparsons@lunenburgva.net,434-696-3952,Monday:09:00-17:00;Tuesday:09:00-17:00;Wednesday:09:00-17:00;Thursday:09:00-17:00;Friday:09:00-17:00
Virginia,LYNCHBURG CITY,Elections Office,Registrar's Office,825 Kemper St,,Lynchburg,VA,24501,434-477-5999,http://www.lynchburgva.gov/registrars-office,registrar@lynchburgva.gov,434-947-2798,Monday:09:00-17:00;Tuesday:09:00-17:00;Wednesday:09:00-17:00;Thursday:09:00-17:00;Friday:09:00-17:00
Virginia,MADISON COUNTY,Elections Office,Madison County Voter Registration Office,302 Thrift Rd,,Madison,VA,22727,540-948-6533,https://www.madisonco.virginia.gov/registrar,registrar@madisonco.virginia.gov,,Monday:08:30-16:30;Tuesday:08:30-16:30;Wednesday:08:30-16:30;Thursday:08:30-16:30;Friday:08:30-16:30
Virginia,MANASSAS CITY,Elections Office,City of Manassas Voter Registration and Elections Dept,9025 Center St,,Manassas,VA,20110,703-257-8230,http://www.manassascity.org/vote,voterregistration@ci.manassas.va.us,703-257-0080,Monday:08:30-17:00;Tuesday:08:30-17:00;Wednesday:08:30-17:00;Thursday:08:30-17:00;Friday:08:30-17:00
Virginia,MANASSAS PARK CITY,Elections Office,Voter Registration,1 Park Center Ct,,Manassas Park,VA,20111,703-335-8806,,registrars@manassasparkva.gov,703-335-9042,Monday:08:30-16:30;Tuesday:08:30-16:30;Wednesday:08:30-16:30;Thursday:08:30-16:30;Friday:08:30-16:30
Virginia,MARTINSVILLE CITY,Elections Office,Martinsville City,55 W Church St ,Rm 122,Martinsville,VA,24112,276-403-5122,,cbarbour@ci.martinsville.va.us,276-403-5258,Monday:08:30-17:00;Tuesday:08:30-17:00;Wednesday:08:30-17:00;Thursday:08:30-17:00;Friday:08:30-17:00
Virginia,MATHEWS COUNTY,Elections Office,Mathews County Voter Registration Office,50 Brickbat RD,,Mathews,VA,23109,804-725-3200,,cfaulkner@mathewscountyva.gov,804-725-5786,Monday:08:30-16:30;Tuesday:08:30-16:30;Wednesday:08:30-16:30;Thursday:08:30-16:30;Friday:08:30-16:30
Virginia,MECKLENBURG COUNTY,Elections Office,Mecklenburg County General Registrar,439 Madison St,,Boydton,VA,23917,434-738-6191 4313,http://www.mecklenburgelections.com,mecklenburgelections@gmail.com,434-738-6104,Monday:08:30-16:30;Tuesday:08:30-16:30;Wednesday:08:30-16:30;Thursday:08:30-16:30;Friday:08:30-16:30
Virginia,MIDDLESEX COUNTY,Elections Office,Middlesex County,105 BOWDEN ST,,SALUDA,VA,23149,804-758-4420,,govote119@co.middlesex.va.us,804-758-3950,Monday:08:30-16:30;Tuesday:08:30-16:30;Wednesday:08:30-16:30;Thursday:08:30-16:30;Friday:08:30-16:30
Virginia,MONTGOMERY COUNTY,Elections Office,Director of Elections & General Registrar,755 Roanoke St ,Ste 1F,Christiansburg,VA,24073,540-382-5741,,govote121@montgomerycountyva.gov,540-381-6811,Monday:08:30-17:00;Tuesday:08:30-17:00;Wednesday:08:30-17:00;Thursday:08:30-17:00;Friday:08:30-17:00
Virginia,NELSON COUNTY,Elections Office,Nelson County General Registrar's Office,571 Front ST,,Lovingston,VA,22949,434-263-7190,http://www.nelsoncounty-va.gov/government/registrar/,registrar@nelsoncounty.org,434-263-8601,Monday:09:00-17:00;Tuesday:09:00-17:00;Wednesday:09:00-17:00;Thursday:09:00-17:00;Friday:09:00-17:00
