state ,county,location_name,location_type,address_1,address_2,city,state_2,zip,hours,notes
Oregon,Clackamas,Sandy City Hall,Unknown,39250 Pioneer Blvd,,Sandy,OR,97055,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Clackamas,Sandy Public Library,Unknown,38980 Proctor Blvd,,Sandy,OR,97055,Monday-Sunday:12:00AM-12:00AM,Outside drive-up 24 hour drop box
Oregon,Clackamas,West Linn City Hall,Unknown,22500 Salamo Rd,,West Linn,OR,97068,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Clackamas,West Linn Public Library,Unknown,1595 Burns St,,West Linn,OR,97068,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Clackamas,Wilsonville City Hall,Unknown,29799 Town Center Loop E,,Wilsonville,OR,97070,Monday-Sunday:12:00AM-12:00AM,Outside drive-up 24 hour drop box
Oregon,Clatsop,Astoria - 24 Hour Drive-up Drop Box,Unknown,820 Exchange St,,Astoria,OR,97103,,"Outside of 820 Exchange St., Astoria"
Oregon,Clatsop,Cannon Beach City Hall,Unknown,163 E Gower,,Cannon Beach,OR,97110,,Located outside of City Hall
Oregon,Clatsop,Clatsop County Clerk & Elections Office,Unknown,820 Exchange St,Ste 220,Astoria,OR,97103,,Inside County Clerk's office
Oregon,Clatsop,Gearhart City Hall,Unknown,698 Pacific Way,,Gearhart,OR,97138,,Located outside of City Hall
Oregon,Clatsop,Jewell School,Unknown,83874 Hwy 103,,Seaside,OR,97138,,Located outside of school
Oregon,Clatsop,Knappa High School,Unknown,41535 Old Hwy 30,,Knappa,OR,97103,,Located outside of High School
Oregon,Clatsop,Seaside City Hall - 24 Hour Drive-up Drop Box,Unknown,989 Broadway St,,Seaside,OR,97138,,Located outside of City Hall
Oregon,Clatsop,Warrenton City Hall,Unknown,225 S Main Ave,,Warrenton,OR,97146,,Located outside of City Hall
Oregon,Columbia,Clatskanie Library Drop Box,Unknown,11 Lillich St,,Clatskanie,OR,97016,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Columbia,Columbia County Courthouse - Elections,Unknown,230 Strand St,,St Helens,OR,97051,,Inside Elections office by appointment only call 503-397-7214 or email Elections@columbiacountyor.gov
Oregon,Columbia,Columbia County Courthouse Drop Box,Unknown,230 Strand St,,St Helens,OR,97051,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Columbia,Mist-Birkenfeld RFPD Main Station,Unknown,12525 OR-202,,Clatskanie,OR,97016,,Inside
Oregon,Columbia,Rainier City Hall Drop Box,Unknown,106 W B St,,Rainier,OR,97048,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Columbia,Scappoose City Hall Drop Box,Unknown,33568 E Columbia Ave,,Scappoose,OR,97056,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Columbia,Vernonia Public Library Drop Box,Unknown,701 Weed Ave,,Vernonia,OR,97064,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Coos,Bandon City Hall,Unknown,555 Hwy 101,,Bandon,OR,97411,,Inside; starting 10/15
Oregon,Coos,Coos Bay City Hall - Drive Up Drop Box,Unknown,500 Central Ave,,Coos Bay,OR,97420,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box - ADA Accessible; starting 10/15
Oregon,Coos,Coquille Courthouse - Walk Up Drop Box,Unknown,250 N Baxter St,,Coquille,OR,97423,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box - ADA Accessible; starting 10/15
Oregon,Coos,Lakeside City Hall Drop Box,Unknown,915 N Lake Rd,,Lakeside,OR,97449,,Use mail slot; starting 10/15
Oregon,Coos,Myrtle Point City Hall,Unknown,424 5th St,,Myrtle Point,OR,97458,,Inside; starting 10/15
Oregon,Coos,North Bend Fire Department Station 1,Unknown,1880 McPherson Ave,,,OR,97459,,Inside; starting 10/15
Oregon,Coos,Powers Market,Unknown,409 2nd Ave,,Powers,OR,97466,,Inside; starting 10/15
Oregon,Crook,Crook County Courthouse - Clerk's Office,Unknown,300 NE 3rd St,Room 23,Prineville,OR,97754,,County Clerk's office drop box beside the door
Oregon,Crook,Crook County Courthouse Drop Box,Unknown,300 NE 3rd St,,Prineville,OR,97754,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box located at rear entrance of the Courthouse
Oregon,Crook,Crook County Library,Unknown,175 NW Meadow Lakes Dr,,Prineville,OR,97754,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box at south end of parking lot
Oregon,Crook,Powell Butte Charter School,Unknown,13650 OR-126,,Powell Butte,OR,97753,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box located by the front door
Oregon,Curry,Brookings City Hall,Unknown,898 Elk Dr,,Brookings,OR,97415,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Curry,Curry County Courthouse - Clerk's Office,Unknown,29821 Ellensburg Ave,2nd Floor,Gold Beach,OR,97444,,Inside in the County Clerk's office on the 2nd floor
Oregon,Curry,Curry County Courthouse Drop Box,Unknown,29821 Ellensburg Ave,,Gold Beach,OR,97444,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box located at E Moore St parking lot
Oregon,Curry,Port Orford City Hall,Unknown,555 W 20th St,,Port Orford,OR,97465,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Deschutes,Bradbury Park & Ride,Unknown,1000 SW Bradbury Dr,,Bend,OR,97702,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box located West of Pavillion at Simpson and Columbia; starting 10/16
Oregon,Deschutes,Deschutes County Elections in the Services Building,Unknown,1300 NW Wall St,Suite 202,Bend,OR,97703,,Inside in the Elections office on Second floor - Privacy Booths Available
Oregon,Deschutes,Deschutes County Road Department,Unknown,61150 SE 27th St,,Bend,OR,97702,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box; starting 10/16
Oregon,Deschutes,Deschutes County Services Building,Unknown,1300 NW Wall St,,Bend,OR,97703,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drive-by Drop Box located on west side of building; starting 10/16
Oregon,Deschutes,La Pine Public Library,Unknown,16425 1st St,,La Pine,OR,97739,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box at 1st St and Huntington Rd; starting 10/16
Oregon,Deschutes,Old Mill District: Hilton Garden Inn south parking lot,Unknown,459 SW Bluff Dr,,Bend,OR,97703,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box; starting 10/16
Oregon,Deschutes,Pine Nursery Park,Unknown,3750 NE Purcell Blvd,,Bend,OR,97701,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box located East end of parking lot; starting 10/16
Oregon,Deschutes,Redmond Public Library,Unknown,827 SW Deschutes Ave,,Redmond,OR,97756,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box; starting 10/16
Oregon,Deschutes,Sisters City Hall,Unknown,520 E Cascade Ave,,Sisters,OR,97759,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box; starting 10/16
Oregon,Deschutes,Sunriver Public Library,Unknown,56855 Venture Ln,,Sunriver,OR,97707,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box; starting 10/16
Oregon,Douglas,Canyonville City - Library Book Drop,Unknown,250 N Main St,,Canyonville,OR,97417,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box: use library book drop
Oregon,Douglas,Douglas County Annex,Unknown,680 Fir Ave,,Reedsport,OR,97467,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Douglas,Douglas County Courthouse - Clerk's Office,Unknown,1036 SE Douglas Ave,,Roseburg,OR,97470,,Inside County Clerk's office CH124 & hallway slot
Oregon,Douglas,Douglas County Courthouse Drop Box,Unknown,1036 SE Douglas Ave,,Roseburg,OR,97470,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box on front lawn
Oregon,Douglas,Drain City Hall,Unknown,515 S Cedar St,,Drain,OR,97435,,Inside
Oregon,Douglas,Glendale City Hall,Unknown,124 3rd St,,Glendale,OR,97442,,Inside
Oregon,Douglas,Myrtle Creek City Hall,Unknown,207 NW Pleasant St,,Myrtle Creek,OR,97457,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Douglas,Riddle City Hall,Unknown,647 1st Ave,,Riddle,OR,97469,,Inside
Oregon,Douglas,Roseburg Public Library East Parking Lot,Unknown,1409 NE Diamond Lake Blvd,,Roseburg,OR,97471,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box in the east parking lot at the corner Fowler St and Diamond Lk Blvd
Oregon,Douglas,Sutherlin City Hall,Unknown,126 E Central Ave,,Sutherlin,OR,97479,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Douglas,Umpqua Community College - Del Blanchard Administration Building,Unknown,1140 Umpqua College Rd,,Roseburg,OR,97470,Monday-Sunday:12:00AM-12:00AM,Outside administrative building (behind water fountain) 24 hour drop slot on side of building towards library
Oregon,Douglas,Winston City Hall,Unknown,201 NW Douglas Blvd,,Winston,OR,97496,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Douglas,Yoncalla City Hall,Unknown,2640 Eagle Valley Rd,,Yoncalla,OR,97499,,Inside
Oregon,Douglas,Yoncalla City Hall Drop Slot,Unknown,2640 Eagle Valley Rd,,Yoncalla,OR,97499,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box: use utility payment slot
Oregon,Gilliam,Arlington Municipal Building,Unknown,500 W 1st St,,Arlington,OR,97812,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Gilliam,Gilliam County Courthouse Drop Box,Unknown,221 S Oregon St,,Condon,OR,97823,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Grant,Grant County Courthouse - Clerk's Office,Unknown,201 S Humbolt St,Suite 290,Canyon City,OR,97820,,Inside County Clerk's office
Oregon,Grant,Grant County Courthouse 24 Hour Drive-Up,Unknown,205 S Humbolt St,,Canyon City,OR,97820,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Harney,County Road Dept Yard in Crane - Drive-Thru,Unknown,64319 Main Ave,,Crane,OR,97732,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drive-thru drop box
Oregon,Harney,Harney County Courthouse - Clerk's Office,Unknown,450 N Buena Vista,,Burns,OR,97720,,Inside County Clerk's office
Oregon,Harney,Harney County Courthouse Drop Box,Unknown,450 N Buena Vista,,Burns,OR,97720,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Harney,Hines City Hall - Drive-Thru,Unknown,101 E Barnes,,Hines,OR,97738,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drive-thru drop box
Oregon,Hood River,Cascade Locks City Hall Drop Box,Unknown,140 Wa Na Pa St,,Cascade Locks,OR,97014,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Hood River,Hood River County Administration Building,Unknown,601 State St,,Hood River,OR,97031,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Hood River,Hood River County Business Administration Building - Elections,Unknown,601 State St,3rd Floor,Hood River,OR,97031,,Inside the Records & Assessment Department on 3rd floor
Oregon,Jackson,Ashland Library,Unknown,410 Siskiyou Blvd,,Ashland,OR,97520,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box curbside from alley off Gresham St by book drop; starting 10/19
Oregon,Jackson,Central Point Library,Unknown,116 S 3rd St,,Central Point,OR,97502,Monday-Sunday:12:00AM-12:00AM,"Outside 24 hour drop box at south side of library building, main entrance; starting 10/19"
Oregon,Jackson,Eagle Point Library,Unknown,239 W Main St,,Eagle Point,OR,97524,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box at library main branch entrance; starting 10/19
Oregon,Jackson,Jackson County Elections Drop Box,Unknown,1101 W Main St,,Medford,OR,97501,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop boxes curbside from left lane of W Main and walk up; starting 10/19
Oregon,Jackson,Jackson County Elections Office,Unknown,1101 W Main St,Suite 201,Medford,OR,97501,,Inside the Jackson County Elections office
Oregon,Jackson,Medford Library,Unknown,205 S Central Ave,,Medford,OR,97501,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box at library parking lot off 10th; starting 10/19
Oregon,Jackson,Phoenix Library,Unknown,510 W 1st St,,Phoenix,OR,97535,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box at library main branch entrance; starting 10/19
Oregon,Jackson,Rogue River Library,Unknown,412 E Main St,,Rogue River,OR,97537,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box at library main branch entrance; starting 10/19
Oregon,Jefferson,Crooked River Ranch Administration Area,Unknown,5195 SW Clubhouse Rd,,Terrebonne,OR,97760,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box near tennis courts
Oregon,Jefferson,Culver City Hall,Unknown,200 W 1st St,,Culver,OR,97734,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Jefferson,Jefferson County Annex,Unknown,66 SE D St,,Madras,OR,97741-1739,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Jefferson,Jefferson County Annex - Elections,Unknown,66 SE D St,,Madras,OR,97741-1739,,Inside County Clerk's office
Oregon,Jefferson,Metolius City Hall,Unknown,636 Jefferson St,,Metolius,OR,97741,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Jefferson,Warm Springs,Unknown,2112 Wasco St,,Warm Springs,OR,97761,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Josephine,Cave Junction City Building,Unknown,222 W Lister St,,Cave Junction,OR,97523,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Josephine,Hidden Valley Market,Unknown,7200 Williams Hwy,,Grants Pass,OR,97527,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Josephine,Josephine Community Library,Unknown,200 NW C St,,Grants Pass,OR,97526,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box in rear parking lot
Oregon,Josephine,Josephine County Courthouse - Clerk's Office,Unknown,500 NW 6th St,Room 170,Grants Pass,OR,97528,,Inside in hall outside County Clerk's office (room 170)
Oregon,Josephine,Josephine County Courthouse North Drop Box,Unknown,500 NW 6th St,,Grants Pass,OR,97528,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box - north entrance
Oregon,Josephine,Josephine County Courthouse South Drop Box,Unknown,500 NW 6th St,,Grants Pass,OR,97528,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box - south entrance
Oregon,Josephine,Umpqua Bank,Unknown,3600 Merlin Rd,,Grants Pass,OR,97526,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Josephine,Washington Federal Bank,Unknown,290 Union Ave,,Grants Pass,OR,97526,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Klamath,Bonanza Town Hall,Unknown,2900 4th Ave,,Bonanza,OR,97623,,Inside
Oregon,Klamath,Chiloquin Community Center,Unknown,140 S 1st Ave,,Chiloquin,OR,97624,,Inside
Oregon,Klamath,Klamath Basin Senior Center,Unknown,2045 Arthur St,,Klamath Falls,OR,97603,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Klamath,Klamath Community College - Founder's Hall (Building 9),Unknown,7390 S 6th St,,Klamath Falls,OR,97603,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Klamath,Klamath County Government Center - Clerk's Office,Unknown,305 Main St,,Klamath Falls,OR,97601,,Inside County Clerk's office
Oregon,Klamath,Klamath County Government Center Drop Box,Unknown,305 Main St,,Klamath Falls,OR,97601,Monday-Sunday:12:00AM-12:00AM,24 hour drop box in parking lot behind building
Oregon,Klamath,La Pine Public Library,Unknown,16425 1st St,,La Pine,OR,97739,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box at 1st St and Huntington Rd
Oregon,Klamath,Malin City Hall,Unknown,2432 4th St,,Malin,OR,97632,,Inside
Oregon,Klamath,Merrill City Hall,Unknown,300 E 1st,,Merrill,OR,97632,,Inside
Oregon,Klamath,Oregon Institute of Technology - College Union Info Desk,Unknown,3201 Campus Dr,,Klamath Falls,OR,97601,,Inside
Oregon,Klamath,Walker Range FPA,Unknown,135393 Highway 97,,Crescent,OR,97733,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Lake,Christmas Valley Annex Building,Unknown,87541 Christmas Valley Hwy,,Christmas Valley,OR,97641,,Inside
Oregon,Lake,Lake County Elections,Unknown,513 Center St,,Lakeview,OR,97630,,Inside
Oregon,Lake,Lake County Elections - Outside Drop Box,Unknown,513 Center St,,Lakeview,OR,97630,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Lake,Paisley Community Center,Unknown,723 Chewaucan St,,Paisley,OR,97636,,Inside
Oregon,Lane,Amazon Pool,Unknown,2600 Hilyard St,,Eugene,OR,97405,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Lane,Bethel Library,Unknown,1990 Echo Hollow Rd,,Eugene,OR,97402,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Lane,City of Creswell,Unknown,50 S 1st,,Creswell,OR,97426,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box at North side of parking lot at corner of South 1st St and C St
Oregon,Lane,Coburg City Hall,Unknown,91136 N Willamette St,,Coburg,OR,97408,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Lane,Cottage Grove Community Center,Unknown,700 E Gibbs Ave,,Cottage Grove,OR,97424,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Lane,Florence Police Department,Unknown,900 Greenwood St,,Florence,OR,97439,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Lane,Junction City Library,Unknown,726 Greenwood St,,Junction City,OR,97448,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Lane,Juvenile Justice Center,Unknown,2727 MLK Jr Blvd,,Eugene,OR,97401,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Lane,Lane County Elections Drop Box,Unknown,275 W 10th Ave,,Eugene,OR,97401,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box enter from Lincoln St
Oregon,Lane,Lane County Public Works,Unknown,3050 N Delta Hwy,,Eugene,OR,97408,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box at parking lot in front of the Customer Service Center
Oregon,Lane,Lowell City Hall,Unknown,107 E 3rd St,,Lowell,OR,97452,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Lane,Oakridge Police Department,Unknown,76435 Ash St,,Oakridge,OR,97463,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Lane,Pearl Street,Unknown,777 Pearl St,,Eugene,OR,97401,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box on Pearl St between 7th & 8th Ave
Oregon,Lane,River Road Park & Recreation Center,Unknown,1400 Lake Dr,,Eugene,OR,97404,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box on south island in parking lot off Lake Dr
Oregon,Lane,Sheldon Library,Unknown,1566 Coburg Rd,,Eugene,OR,97401,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Lane,Splash! At Lively Park,Unknown,6100 Thurston Rd,,Springfield,OR,97478,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box
Oregon,Lane,Springfield City Hall,Unknown,550 A St,,Springfield,OR,97477,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box in drive-through under building
Oregon,Lane,University of Oregon - Erb Memorial Union,Unknown,1222 E 13th Ave,,Eugene,OR,97403,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box on South side of circular plaza
Oregon,Lane,Veneta City Hall,Unknown,88184 8th St,,Veneta,OR,97487,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box on island in parking lot
Oregon,Lane,Walmart,Unknown,4550 W 11th Ave,,Eugene,OR,97402,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box North side of parking lot
Oregon,Lincoln,Depoe Bay City Hall Drop Box,Unknown,570 SE Shell Ave,,Depoe Bay,OR,97341,Monday-Sunday:12:00AM-12:00AM,Outside 24 hour drop box in parking lot
Oregon,Lincoln,Eddyville Community Church,Unknown,6890 Crystal Creek Loop,,Eddyville,OR,97343,,Inside lobby
