county,location_type,location_name1,location_name2,address_1,address_2,zip,city,note,schedule_date,schedule_type
Bergen County,Unknown,Bergenfield,Borough Hall,198 North Washington Ave,,7621,Bergenfield ,In rear of Borough Hall,9/25/2020,continuous
Bergen County,Unknown,Demarest,Borough Hall,118 Serpentine Road,,7627,Demarest ,,9/25/2020,continuous
Bergen County,Unknown,Englewood,City Hall,2-10 North Van Brunt Street,,7631,Englewood ,,9/25/2020,continuous
Bergen County,Unknown,Fair Lawn,Borough Hall,8-01 Fair Lawn Avenue,,7410,Fair Lawn ,Behind Borough Hall,9/25/2020,continuous
Bergen County,Unknown,Fort Lee,Fort Lee Community Ctr.,1355 Inwood Terrace/Anderson Ave Circular Dr.,,7024,Fort Lee ,,9/25/2020,continuous
Bergen County,Unknown,Hackensack,County Administration Building,One Bergen County Plaza,,7601,Hackensack ,,9/25/2020,continuous
Bergen County,Unknown,Hasbrouck Heights,Borough Hall,320 Boulevard,,7604,Hasbrouck Heights ,Behind Borough Hall,9/25/2020,continuous
Bergen County,Unknown,Hillsdale,Borough Hall,380 Hillsdale Avenue,,7642,Hillsdale ,Borough Hall parking lot,9/25/2020,continuous
Bergen County,Unknown,North Arlington,Borough Hall,214 Ridge Road,,7031,North Arlington ,,9/25/2020,continuous
Bergen County,Unknown,Oakland,Borough Hall,One Municipal Plaza,,7436,Oakland ,Across from Library,9/25/2020,continuous
Bergen County,Unknown,Old Tappan,Borough Hall,227 Old Tappan Road,,7675,Old Tappan ,,9/25/2020,continuous
Bergen County,Unknown,Paramus,Borough Hall,1 Jockish Square,,7652,Paramus ,Outside main entrance,9/25/2020,continuous
Bergen County,Unknown,Ramsey,Library,30 Wyckoff Ave,,7446,Ramsey ,Rear of Library,9/25/2020,continuous
Bergen County,Unknown,Ridgefield,Ridgefield Community Ctr.,725 Slocum Avenue,,7657,Ridgefield ,,9/25/2020,continuous
Bergen County,Unknown,Ridgewood,Village Hall,131 North Maple Avenue,,7450,Ridgewood ,,9/25/2020,continuous
Bergen County,Unknown,Rutherford,Borough Hall,176 Park Avenue,,7070,Rutherford ,,9/25/2020,continuous
Bergen County,Unknown,Teaneck,Municipal Building,818 Teaneck Road,,7666,Teaneck ,North entrance,9/25/2020,continuous
Bergen County,Unknown,Wyckoff,Municipal Building,340 Franklin Avenue,,7481,Wyckoff ,,9/25/2020,continuous
Burlington County,Unknown,Burlington Township,Burlington Township Municipal Building,851 Old York Road,,8060,Burlington Township ,In the rear of building,10/1/2020,continuous
Burlington County,Unknown,Chesterfield,Chesterfield Township Municipal Building,295 Bordentown Chesterfield Rd,,8515,Chesterfield ,in front of building,6/23/2020,continuous
Burlington County,Unknown,Cinnaminson,Cinnaminson Township Municipal Building,1621 Riverton Road,,8075,Cinnaminson ,In front of building,6/23/2020,continuous
Burlington County,Unknown,Evesham,Evesham Township Municipal Building,984 Tuckerton Road,,8053,Marlton ,in front of building,10/1/2020,continuous
Burlington County,Unknown,Lumberton,Lumberton Townhip Municipal Building,35 Municipal Drive,,8048,Lumberton ,in front of building,10/1/2020,continuous
Burlington County,Unknown,Mansfield,Mansfield Township Municipal Building,3135 Route 206 South,,8022,Columbus ,in front of building,6/23/2020,continuous
Burlington County,Unknown,Maple Shade,Maple Shade Municipal Building,200 Stiles Ave.,,8052,Maple Shade ,in front of building,10/1/2020,continuous
Burlington County,Unknown,Medford Township,Medford Township Public Safety Building,91 Union Street,,8055,Medford ,in front of building,6/23/2020,continuous
Burlington County,Unknown,Moorestown,Moorestown Town Hall,111 W 2nd Street,,8057,Moorestown ,in front of building,10/1/2020,continuous
Burlington County,Unknown,Mount Holly,Burlington County Board of Elections,50 Rancocas Road,,8060,Mount Holly ,in front of building,10/1/2020,continuous
Burlington County,Unknown,Mount Laurel,Mount Laurel Municipal Building,100 Mount Laurel Rd,,8054,Mt. Laurel ,in front of building,10/1/2020,continuous
Burlington County,Unknown,Pemberton Township,Pemberton Community Library,16 Broadway St,,8068,Browns Mills ,in front of building,6/23/2020,continuous
Burlington County,Unknown,Willingboro,Willingboro Township Municipal Complex,1 Rev Dr. Martin Luther King Jr. Dr.,,8046,Willingboro ,in front of building,10/1/2020,continuous
Camden County,Unknown,Audubon,Audubon Municipal Building,606 West Nicholson Road,,8106,Audubon ,Front of building,9/24/2020,continuous
Camden County,Unknown,Camden,Camden Administration Building,600 Market Street,,8101,Camden ,Outside of old serrogates office entrance,9/24/2020,continuous
Camden County,Unknown,Cherry Hill,"Camden County College, CH Campus",1889 Marlton Pike East,,8002,Cherry Hill ,Parking lot,9/24/2020,continuous
Camden County,Unknown,Cherry Hill,Cherry Hill Municipal Building,820 Mercer Street,,8002,Cherry Hill ,Driveway in front of main entrance,9/24/2020,continuous
Camden County,Unknown,Clementon,Gloucester Twp. Municipal Building,1261 Chews Landing Road,,8021,Clementon ,Front of building,9/24/2020,continuous
Camden County,Unknown,Haddon Township,Haddon Twp. Municipal Building,135 Haddon Avenue,,8108,Haddon Township ,Front of building,9/24/2020,continuous
Camden County,Unknown,Lindenwold,Lindenwold Municipal Building,15 N. White Horse Pike,,8021,Lindenwold ,Left side of driveway by exit,9/24/2020,continuous
Camden County,Unknown,Pennsauken,Pennsauken Municipal Building,5604 N. Cresent Blvd.,,8110,Pennsauken ,"Back of building, parking lot",9/24/2020,continuous
Camden County,Unknown,Runnemede,Runnemede Municipal Building,24 N. Black Horse Pike,,8078,Runnemede ,In front of handicap parking area,9/24/2020,continuous
Camden County,Unknown,Voorhees,Voorhees Municipal Building,2400 Voorhees Towne Center,,8043,Voorhees ,By main entrance,9/24/2020,continuous
Camden County,Unknown,Waterford Works,Chesilhurst Municipal Building,201 Grant Avenue,,8090,Waterford Works ,Front of building,9/24/2020,continuous
Camden County,Unknown,West Berlin,Berlin Twp. Municipal Building,135 Route 73 South,,8091,West Berlin ,"Back of building, payment drive thru",9/24/2020,continuous
Camden County,Unknown,Winslow Twp.,Winslow Municipal Building,125 S. Route 73,,8037,Winslow Twp. ,In front of handicap parking area,9/24/2020,continuous
Cape May County,Unknown,Cape May,Cape May Municipal Hall,643 Washington ave,,8204,Cape May ,Drop box is located by The side of building,6/30/2020,continuous
Cape May County,Unknown,CMCH,County Clerks office,MAIN STREET RT9,,8210,CMCH ,Drop box is located by the entrance,6/30/2020,continuous
Cape May County,Unknown,Erma,Lower twp. Public saftey building,405 Breakwater rd,,8204,Erma ,Drop box is located by the entrance to the court,6/30/2020,continuous
Cape May County,Unknown,Ocean City,Ocean City City Hall,861 Asbury Avenue,,8226,Ocean City ,Drop box is located by the entrance,6/30/2020,continuous
Cape May County,Unknown,SEA ISLE CITY,SEA ISLE CITY LIBRARY,4800 CENTRAL AVE,,8243,SEA ISLE CITY ,Drop box is located by the entrance,6/30/2020,continuous
Cape May County,Unknown,STONE HARBOR,STONE HARBOR LIBRARY,9516 2nd AVE,,8247,STONE HARBOR ,Drop box is located by The side of building,6/30/2020,continuous
Cape May County,Unknown,UPPER TWP,COUNTY PUBLIC WORKS,536 WOODBINE OCEAN VIEW ROAD,,8230,DENNIS TWP ,Drop box is located in the parking lot,6/30/2020,continuous
Cape May County,Unknown,UPPER TWP,UPPER TWP. MUNICPAL HALL,2100 Tuckahoe road,,8270,UPPER TWP ,Drop box is located by the entrance,6/30/2020,continuous
Cape May County,Unknown,VILLAS,Lower twp. Municipal hall,2600 BAYSHORE RD,,8251,VILLAS ,Drop box is located by the entrance,6/30/2020,continuous
Cape May County,Unknown,Whitesboro,Martin Luther King Center,207 W. main street,,8252,Whitesboro ,Drop box is located by the entrance,6/30/2020,continuous
Cape May County,Unknown,Wildwood,Wildwood Municipal Hall,4400 New Jersey ave,,8260,Wildwood ,Drop box is located by The side of building,6/30/2020,continuous
Cumberland County,Unknown,Bridgeton,Bridgeton City Hall,181 East Commerce Street,,8302,Bridgeton ,Drop box located near side entrance,9/28/2020,continuous
Cumberland County,Unknown,Bridgeton,Cumberland County Library,800 East Commerce Street,,8302,Bridgeton ,Drop box located near entrance,9/28/2020,continuous
Cumberland County,Unknown,Bridgeton,Deerfield Municipal Building,736 Landis Avenue,,8302,Bridgeton ,Drop box located on the east side of building,9/28/2020,continuous
Cumberland County,Unknown,Bridgeton,Hopewell Municipal Building,590 Shiloh Pike,,8302,Bridgeton ,Drop box located near entrance,9/28/2020,continuous
Cumberland County,Unknown,Leesburg,Maurice River Municipal Building,590 Main Street,,8327,Leesburg ,Drop box located near entrance,9/28/2020,continuous
Cumberland County,Unknown,Millville,City of Millville Municipal Building,12 South High Street,,8332,Millville ,Drop box located near entrance,9/28/2020,continuous
Cumberland County,Unknown,Port Norris,Commercial Township Municipal Building,1768 Main Street,,8349,Port Norris ,Drop box located near entrance,9/28/2020,continuous
Cumberland County,Unknown,Seabrook,Upper Deerfield Municipal Building,1325 Highway 77,,8302,Seabrook ,Drop box located near rear entrance,9/28/2020,continuous
Cumberland County,Unknown,Vineland,CCTEC,3400 College Drive,,8360,Vineland ,Drop box located near gymnasium entrance,9/28/2020,continuous
Cumberland County,Unknown,Vineland,Cumberland County Board of Social Services,275 North Delsea Drive,,8360,Vineland ,Drop box across from side entrance,9/28/2020,continuous
Cumberland County,Unknown,Vineland,Vineland City Hall,640 East Wood Street,,8360,Vineland ,Drop box located on sidewalk near front of building,9/28/2020,continuous
Essex County,Unknown,Belleville,Police Department/Town Hall,152 Washington Ave,,7109,Belleville ,Drop Box is located by the entrance to the Parking Lot,9/29/2020,continuous
Essex County,Unknown,Bloomfield,Firehouse #3,124 East Passaic Avenue,,7003,Bloomfield ,,9/29/2020,continuous
Essex County,Unknown,Caldwell,Town Hall,1 Provost Square,,7006,Caldwell ,,9/29/2020,continuous
Essex County,Unknown,Cedar Grove,Department of Public Works,99 West Bradford Ave,,7009,Cedar Grove ,,9/29/2020,continuous
Essex County,Unknown,East Orange,City Hall,44 City Hall Plaza,,7018,East Orange ,,9/29/2020,continuous
Essex County,Unknown,Essex Fells,Municipal Building (Rear),255 Roseland Ave,,7021,Essex Fells ,Drop Box is located in the rear of the building,9/29/2020,continuous
Essex County,Unknown,Fairfield,Police Department (Front),230 Fairfield Road,,7004,Fairfield ,Drop Box is located in the front of the building,9/29/2020,continuous
Essex County,Unknown,Glen Ridge,Municipal Building,825 Bloomfield Ave,,7028,Glen Ridge ,,9/29/2020,continuous
Essex County,Unknown,Irvington,Town Hall/Police Department,1 Civic Square,,7111,Irvington ,,9/29/2020,continuous
Essex County,Unknown,Livingston,Town Hall,357 S. Livingston Ave,,7039,Livingston ,,9/29/2020,continuous
Essex County,Unknown,Maplewood,Police & Court Building,1618 Springfield Ave,,7040,Maplewood ,,9/29/2020,continuous
Essex County,Unknown,Millburn,Town Hall,375 Millburn Ave,,7041,Millburn ,,9/29/2020,continuous
Essex County,Unknown,Montclair,Municipal Building,205 Claremont Ave,,7042,Montclair ,,9/29/2020,continuous
Essex County,Unknown,North Caldwell,Borough Hall,141 Gould Ave,,7006,North Caldwell ,,9/29/2020,continuous
Essex County,Unknown,Newark,City Hall,920 Broad Street,,7102,Newark ,Drop Box is located on the Green Street Side,9/29/2020,continuous
Essex County,Unknown,Newark,Hall of Records,465 Dr. MLK Jr. Blvd,,7102,Newark ,Drop Box is located in the front of the building,9/29/2020,continuous
Essex County,Unknown,Nutley,Town Hall,1 Kennedy Drive,,7110,Nutley ,,9/29/2020,continuous
Essex County,Unknown,Orange,Freddie Pohill Law & Justice Complex,29 Park Street,,7050,Orange ,,9/29/2020,continuous
Essex County,Unknown,Roseland,Police Station,15 Harrison Ave,,7068,Roseland ,,9/29/2020,continuous
Essex County,Unknown,South Orange,Firehouse,56 Sloan Street,,7079,South Orange ,Drop Box located at the Gazebo,9/29/2020,continuous
Essex County,Unknown,Verona,Civic Center,600 Bloomfield Ave,,7044,Verona ,,9/29/2020,continuous
Essex County,Unknown,West Caldwell,Municipal Building,30 Clinton Road,,7006,West Caldwell ,,9/29/2020,continuous
Essex County,Unknown,West Orange,South Mountain Recreation Complex,560 Northfield Ave.,,7052,West Orange ,Drop Box location is by the Parking Deck,9/29/2020,continuous
Essex County,Unknown,West Orange,Town Hall,66 Main Street,,7052,West Orange ,,9/29/2020,continuous
Gloucester County,Unknown,Clayton,Clayton Complex,1200 N Delsea Drive,,8312,Clayton ,,10/2/2020,continuous
Gloucester County,Unknown,Deptford,Deptford Municipal Building,1011 Cooper Street,,8096,Deptford ,,10/2/2020,continuous
Gloucester County,Unknown,Franklin,Franklin Municipal Building,1571 Delsea Drive,,8322,Franklin ,,10/2/2020,continuous
Gloucester County,Unknown,Glassboro,Glassboro Municipal Building,1 S. Main Street,,8028,Glassboro ,,10/2/2020,continuous
Gloucester County,Unknown,Mantua,Mantua Municipal Building,401 Main St.,,8051,Mantua ,,10/2/2020,continuous
Gloucester County,Unknown,Mullica Hill,Harrison Township Municipal Building,114 Bridgeton Pike,,8062,Mullica Hill ,,10/2/2020,continuous
Gloucester County,Unknown,Paulsboro,Paulsboro Municipal Building,1211 Delaware Street,,8066,Paulsboro ,,10/2/2020,continuous
Gloucester County,Unknown,Sewell,Gloucester County Division Of Social Services,400 Holly Dell Dr,,8080,Sewell ,,10/2/2020,continuous
Gloucester County,Unknown,Woolwich Twp,Woolwich Municipal Building,120 Village Green Drive,,8085,Woolwich Twp ,,10/2/2020,continuous
Gloucester County,Unknown,Washington Twp,Washington Township Municipal Building,523 Egg Harbor Rd,,8080,Sewell ,,10/2/2020,continuous
Gloucester County,Unknown,West Deptford,Office of Elections,550 Grove Rd,,8066,West Deptford ,,10/2/2020,continuous
Gloucester County,Unknown,Williamstown,Monroe Municipal Building,125 Virginia Ave,,8094,Williamstown ,,10/2/2020,continuous
Gloucester County,Unknown,Woodbury,Gloucester County Admin Building,2 S Broad St,,8096,Woodbury ,,10/2/2020,continuous
Hudson County,Unknown,Bayonne,City hall,630 Ave C,,7002,Bayonne ,In the front of building,10/05/2020,continuous
Hudson County,Unknown,East Newark,Municipal Building,34 Sherman Ave,,7029,East Newark ,In front of building,10/05/2020,continuous
Hudson County,Unknown,Guttenberg,Town Hall,6808 Park Ave,,7093,Guttenberg ,In front of building,10/05/2020,continuous
Hudson County,Unknown,Harrison,Town Hall,318 Harrison Ave,,7029,Harrison ,Police Dept Entrance on Cleveland Ave,10/05/2020,continuous
Hudson County,Unknown,Hoboken,City Hall,94 Washington St,,7030,Hoboken ,Newark street (side of building),9/24/2020,continuous
Hudson County,Unknown,Jersey City,Earl Morgan Library,1841 Kennedy Blvd,,7305,Jersey City ,In front of building,10/05/2020,continuous
Hudson County,Unknown,Jersey City,St Peters University,2641 Kennedy Blvd,,7306,Jersey City ,Corner of Montgomery St & Kennedy Blvd,10/05/2020,continuous
Hudson County,Unknown,Jersey City,Hudson County Plaza,257 Cornelison Ave,,7302,Jersey City ,Corner of Cornelison & Academy St,10/05/2020,continuous
Hudson County,Unknown,Jersey City,North Dist Police Headquarters,282 Central Ave,,7307,Jersey City ,In front of building,10/05/2020,continuous
Hudson County,Unknown,Jersey City,City Hall,280 Grove St,,7302,Jersey City ,In front of building,10/05/2020,continuous
Hudson County,Unknown,Jersey City,City Hall Annex,1 Jackson Square,,7306,Jersey City ,Municipal Complex,9/24/2020,continuous
Hudson County,Unknown,Kearny,Town Hall,402 Kearny Ave,,7032,Kearny ,In front of building,9/24/2020,continuous
Hudson County,Unknown,North Bergen,Town Hall,4233 Kennedy Blvd,,7047,North Bergen ,Municipal Chambers Entrance,9/24/2020,continuous
Hudson County,Unknown,Secaucus,Town Hall,1203 Paterson Plank Road,,7094,Secaucus ,In front of building,10/05/2020,continuous
Hudson County,Unknown,Union City,City Hall,3715 Palisade Ave,,7087,Union City ,In front of building,9/24/2020,continuous
Hudson County,Unknown,Weehawken,Municipal Building,400 Park Ave,,7086,Weehawken ,In front of building,10/05/2020,continuous
Hudson County,Unknown,West New York,Town Hall,428 60th St,,7093,West New York ,In front of building,10/05/2020,continuous
Hunterdon County,Unknown,Annandale,Public Safety Building,1370 State Route 31N,,8801,Annandale ,next to main entrance,10/01/2020,continuous
Hunterdon County,Unknown,Califon,Tewksbury Township Municipal Building,169 Old Turnpike Rd,,7830,Califon ,next to main entrance,10/01/2020,continuous
Hunterdon County,Unknown,Clinton,North Branch County Library,65 Halstead St,,8809,Clinton ,next to main entrance,10/01/2020,continuous
Hunterdon County,Unknown,Flemington,County Clerk's Office,71 Main Street,Hall of Records Bldg,8822,Flemington ,next to main entrance,10/01/2020,continuous
Hunterdon County,Unknown,Flemington,Hunterdon County Public Library,314 State Route 12,Bldg 3,8822,Flemington ,next to main entrance,9/14/2020,continuous
Hunterdon County,Unknown,Glen Gardner,Glen Gardner Borough Hall,83 Main St,,8826,Glen Gardner ,next to main entrance,9/14/2020,continuous
Hunterdon County,Unknown,Glen Gardner,Lebanon Township Municipal Building,530 W Hill Rd,,8826,Glen Gardner ,next to main entrance,10/01/2020,continuous
Hunterdon County,Unknown,Hampton,Union Township Municipal Building,140 Perryville Rd,,8827,Hampton ,next to main entrance,10/01/2020,continuous
Hunterdon County,Unknown,Lambertville,Phillip L. Pittore Justice Center,25 S Union St,,8530,Lambertville ,next to main entrance,9/14/2020,continuous
Hunterdon County,Unknown,Milford,Holland Township Municipal Building,61 Church Rd,,8848,Milford ,next to main entrance,9/14/2020,continuous
Hunterdon County,Unknown,Pittstown,Franklin Township Municipal Building,202 Sidney Rd,,8867,Pittstown ,next to main entrance,10/01/2020,continuous
Hunterdon County,Unknown,Whitehouse Station,Readington Township Municipal Building,508 County Rd 523,,8889,Whitehouse Station ,next to main entrance,9/14/2020,continuous
Mercer County,Unknown,EAST WINDSOR,EAST WINDSOR COURTHOUSE-POLICE STATION,80 ONE MILE ROAD,,8520,EAST WINDSOR ,DROP BOX IS LOCATED BY THE COURTHOUSE ENTRANCE,9/28/2020,continuous
Mercer County,Unknown,EWING,EWING MUNICIPAL BUILDING,2 JAKE GARZIO DRIVE,,8628,EWING ,IN FRONT OF MUNICIPAL BUILDING,9/28/2020,continuous
Mercer County,Unknown,HAMILTON,HAMILTON GOLF/CALL CENTER,5 JUSTICE SAMUEL A. ALITO WAY,,8619,HAMILTON ,IN FRONT OF GOLF/CALL CENTER,9/28/2020,continuous
Mercer County,Unknown,HAMILTON,HAMILTON MUNICIPAL BUILDING,2090 GREENWOOD AVE.,,8609,HAMILTON ,RIGHT SIDE OF THE BUILDING,9/28/2020,continuous
Mercer County,Unknown,HAMILTON,NOTTINGHAM FIREHOUSE,200 MERCER STREET,,8690,HAMILTON ,FRONT OF THE BUILDING,9/28/2020,continuous
Mercer County,Unknown,HIGHTSTOWN,HIGHTSTOWN FIREHOUSE #1,140 NORTH MAIN STREET,,8520,HIGHTSTOWN ,FRONT OF BUILDING,9/28/2020,continuous
Mercer County,Unknown,LAWRENCE,LAWRENCE MUNICIPAL BUILDING,"2207 LAWRENCEVILLE ROAD, ROUTE 206",,8648,LAWRENCE ,NORTH SIDE- RIGHT SIDE OF THE MUNICIPAL BUILDING,9/28/2020,continuous
Mercer County,Unknown,PRINCETON,PRINCETON MUNICIPAL BUILDING,400 WITHERSPOON STREET,,8540,PRINCETON ,IN FRONT OF THE MUNICIPAL BUILDING FACING WITHERSPOON ST.,9/28/2020,continuous
Mercer County,Unknown,ROBBINSVILLE,ROBBINSVILLE MUNICIPAL BUILDING,2298 NJ-ROUTE 33,,8691,ROBBINSVILLE ,IN BACK PARKING LOT OF MUNICIPAL BUILDING,9/28/2020,continuous
Mercer County,Unknown,TITUSVILLE,HOPEWELL TOWNSHIP ADMINISTRATION BLDG.,201 WASHINGTON CROSSING-PENNINGTON RD.,,8560,TITUSVILLE ,AT THE INTERSECTION OF SCOTCH ROAD,9/28/2020,continuous
Mercer County,Unknown,TRENTON,COUNTY CLERK'S OFFICE-COURTHOUSE ANNEX,209 SOUTH BROAD STREET,,8608,TRENTON ,IN FRONT OF COUNTY CLERKS OFFICE,9/28/2020,continuous
Mercer County,Unknown,TRENTON,TRENTON CITY HALL,319 EAST STATE STREET,,8608,TRENTON ,IN BACK/NEAR MUNICIPAL CLERKS OFFICE,9/28/2020,continuous
Mercer County,Unknown,TRENTON,HENRY J. AUSTIN CENTER,321 NORTH WARREN STREET,,8618,TRENTON ,CORNER OF TUCKER,9/28/2020,continuous
Mercer County,Unknown,TRENTON,TRENTON CENTRAL HIGH,400 CHAMBERS STREET,,8609,TRENTON ,ACROSS FROM MCDONALD'S,9/28/2020,continuous
Mercer County,Unknown,WEST WINDSOR,WEST WINDSOR MUNICIPAL COMPLEX,271 CLARKSVILLE ROAD,,8550,WEST WINDSOR ,BETWEEN MUNICIPAL & THE SENIOR CENTER,9/28/2020,continuous
Middlesex County,Unknown,Carteret ,Thomas Deverin Community Center,100 Cooke Avenue,,7008,Carteret ,Inside the vestibule of the building,9/23/2020,continuous
Middlesex County,Unknown,Cranbury ,Cranbury Police Department,1 Logan Drive,,8512,Cranbury ,In front of police station,9/23/2020,continuous
Middlesex County,Unknown,Dunellen ,Dunellen Public Library,100 New Market Road,,8812,Dunellen ,On sidewalk near entrance to library,9/23/2020,continuous
Middlesex County,Unknown,East Brunswick ,East Brunswick Municipal Complex,1 Civic Drive,,8816,East Brunswick ,Drop box located between parking lot and Complex Building; by police the entrance.,9/23/2020,continuous
Middlesex County,Unknown,Edison ,Edison Municipal Complex,100 Municipal Boulevard,,8817,Edison ,Drop Box located outside Municipal Complex entrance under awning.,9/23/2020,continuous
Middlesex County,Unknown,Edison ,North Edison Library,777 Grove Ave,,8820,Edison ,Drop box located in front of library.,9/23/2020,continuous
Middlesex County,Unknown,Edison ,Middlesex County College – College Center,2600 Woodbridge Avenue,,8818,Edison ,Drop box located by the flag pole.,9/23/2020,continuous
Middlesex County,Unknown,Helmetta ,Helmetta Borough Hall,51 Main Street,,8828,Helmetta ,In front of borough hall,9/23/2020,continuous
Middlesex County,Unknown,Highland Park ,Highland Park Borough Hall,221 South Fifth Avenue,,8894,Highland Park ,In front of borough hall,9/23/2020,continuous
Middlesex County,Unknown,Jamesburg ,Jamesburg Municipal Complex,131 Perrineville Road,,8831,Jamesburg ,"Drop box located within the parking lot, in the Safe Zone",9/23/2020,continuous
Middlesex County,Unknown,Metuchen ,Metuchen Municipal Complex,500 Main Street,,8840,Metuchen ,Drop box located in back of parking lot.,9/23/2020,continuous
Middlesex County,Unknown,Middlesex Borough ,Middlesex Borough Hall,1200 Mountain Avenue,,8846,Middlesex Borough ,In the rear of townhall,9/23/2020,continuous
Middlesex County,Unknown,Milltown ,Milltown Municipal Complex,39 Washington​ Avenue,,8850,Milltown ,Drop box located at beginning of side entrance accessible from the parking lot. Slated as Safe Exchange Zone,9/23/2020,continuous
Middlesex County,Unknown,Monroe ,Monroe Township Library,4 Municipal Plaza,,8831,Monroe ,Right of the entrance to the library,9/23/2020,continuous
Middlesex County,Unknown,New Brunswick ,County Administration Building,75 Bayard Street,,8901,New Brunswick ,Drop box located in front of Bayard Street front entrance.,9/23/2020,continuous
Middlesex County,Unknown,New Brunswick ,The Yard at Rutgers University,40 College Ave,,8901,New Brunswick ,To the right of the bus stop ny the street.,9/23/2020,continuous
Middlesex County,Unknown,North Brunswick ,North Brunswick Township Hall,710 Hermann Road,,8902,North Brunswick ,In front of townhall,9/23/2020,continuous
Middlesex County,Unknown,Old Bridge ,Old Bridge Township Municipal Complex,1 Old Bridge Plaza,,8857,Old Bridge ,On the sidewalk nearest the curb in front of municipal building,9/23/2020,continuous
Middlesex County,Unknown,Perth Amboy ,Perth Amboy Public Safety Complex,361 New Brunswick Avenue,,8861,Perth Amboy ,Drop box located between Municipal Court and Police Station; closer to police station entrance.,9/23/2020,continuous
Middlesex County,Unknown,Piscataway ,Piscataway Municipal Complex​,455 Hoes Lane,,8854,Piscataway ,Drop box located on walkway between municipal building and police station,9/23/2020,continuous
Middlesex County,Unknown,Piscataway ,Westergard Library,20 Murray Ave,,8854,Piscataway ,Drop box located in front of library.,9/23/2020,continuous
Middlesex County,Unknown,Piscataway ,Westergard Library,20 Murray Ave,,8854,Piscataway ,Drop box located in front of library.,9/23/2020,continuous
Middlesex County,Unknown,Plainsboro ,Plainsboro Municipal Complex,641 Plainsboro Road,,8856,Plainsboro ,Drop box located in front of stairs to Municipal Building,9/23/2020,continuous
Middlesex County,Unknown,Sayreville ,Sayreville Borough Hall,167 Main Street,,8872,Sayreville ,"Drop box located behind building, on the sidewalk (right side when facing the building)",9/23/2020,continuous
Middlesex County,Unknown,South Amboy ,South Amboy Train Station,137 N. Broadway,,8879,South Amboy ,On the curb in front of the train station across from townhall,9/23/2020,continuous
Middlesex County,Unknown,South Brunswick ,South Brunswick Municipal Building,540 Ridge Road,,8852,South Brunswick ,In front of main building to the right of visitor parking,9/23/2020,continuous
Middlesex County,Unknown,South Brunswick ,South Brunswick Community Center (Woodlot Park),124 New Road,Monmouth Junction,8852,South Brunswick ,Drop box located at walkway to front entrance.,9/23/2020,continuous
Middlesex County,Unknown,South Plainfield ,South Plainfield Borough Hall,2480 Plainfield Avenue,,7080,South Plainfield ,Rear of municipal building,9/23/2020,continuous
Middlesex County,Unknown,South River ,South River Administration Building,48 Washington Street,,8882,South River ,In front of administration building,9/23/2020,continuous
Middlesex County,Unknown,Spotswood ,Spotswood Municipal Building,77 Summerhill Road,,8884,Spotswood ,In front of townhall,9/23/2020,continuous
Middlesex County,Unknown,Woodbridge ,Woodbridge Municipal Building,1 Main Street,,7095,Woodbridge ,Drop Box is curbside. Adjacent to north side of main entrance stairs to town hall.,9/23/2020,continuous
