county,location_type,county_website_url,address_1,address_2,address_city,address_zip,mail_address_1,mail_city,mail_zip,Email,Phone,phone2,fax,hours
Pacific,Elections Office,,300 Memorial Dr,,South Bend,98586,,,,,,,,Monday-Friday:08:00-16:30
Pend Oreille,Elections Office,http://pendoreilleco.org/your-government/auditor/elections/,625 W. 4th,,Newport,99156,PO Box 5015,Newport,99156-5015,elections@pendoreille.org,509-447-3185,509-447-6472,509-447-2475,Monday-Friday:08:00-16:30
San Juan,Elections Office,http://www.sanjuanco.com/165/Auditor,55 2nd Street,Suite A,Friday Harbor,98250,PO Box 638,Friday Harbor,98250-0638,elections@sanjuanco.com,360-378-3357,,360-378-8856,Monday-Friday:08:00-16:30
Stevens,Elections Office,https://vote.stevenscountywa.gov/,215 South Oak St,Room 106,Colville,99114-2836,,,,elections@stevenscountywa.gov,509-684-7514,866-307-9060,509-684-7568,Monday-Friday:08:00-16:30
Thurston,Elections Office,http://www.ThurstonVotes.org,2000 Lakeridge Drive S.W.,,Olympia,98502-6090,,,,elections@co.thurston.wa.us,360-786-5408,,360-786-5223,Monday-Friday:08:00-16:30
Chelan,Elections Office,http://www.elections.chelancountywa.gov,350 Orondo Ave,Suite 306,Wenatchee,98801,,,,elections@co.chelan.wa.us,509-667-6808,,509-667-6818,Monday-Friday:08:00-17:00
Clark,Elections Office,http://www.clark.wa.gov/elections/index.html,1408 Franklin Street,,Vancouver,98660-2879,PO Box 8815,Vancouver,98666-8815,elections@clark.wa.gov,564-397-2345,,564-397-2394,Monday-Friday:08:00-17:00
Grant,Elections Office,http://www.grantcountywa.gov/Auditor/Elections/,35 C St NW,,Ephrata,98823,PO Box 37,Ephrata,98823-0037,elections@grantcountywa.gov,509-754-2011 ext. 2793,,,Monday-Friday:08:00-17:00
Whitman,Elections Office,http://whitmancounty.org/169/Election-Information,N 304 Main St,,Colfax,99111,PO Box 191,Colfax,99111,elections@co.whitman.wa.us ,509-553-8025,,509-397-5281,Monday-Friday:08:00-17:00
Garfield,Elections Office,https://co.garfield.wa.us/auditors-office,789 Main St,,Pomeroy,99347,PO Box 278,Pomeroy,99347-0278,mlueck@co.garfield.wa.us,509-843-1411,,509-843-3941,Monday-Friday:08:30-12:00;Monday-Friday:13:00-17:00
Spokane,Elections Office,http://www.spokanecounty.org/Elections,1033 W. Gardner Ave,,Spokane,99260-0020,,,,elections@spokanecounty.org,509-477-2320,,509-477-6607,Monday-Friday:08:30-16:00
Adams,Elections Office,http://www.co.adams.wa.us/departments/elections_new2019/index.php,210 West Broadway Ave,Suite 200,Ritzville,99169-1897,,,,heidih@co.adams.wa.us,509-659-3249,,509-659-3254,Monday-Friday:08:30-16:30
Benton,Elections Office,https://www.bentonelections.com/,620 Market St,,Prosser,99350,PO Box 1440,Prosser,99350,elections@co.benton.wa.us,509-736-3085,509-786-5618,(509) 786-5482,Monday-Friday:08:30-16:30
Benton,Elections Office,,5600 W Canal Dr,,Kennewick,,,,,,,,,Monday-Friday:08:30-16:30
Benton,Elections Office,,101 Wellsian Way,Suite E,Richland,,,,,,,,,Monday-Friday:08:30-16:30
Columbia,Elections Office,http://www.columbiaco.com/index.aspx?NID=148,341 East Main St,Suite 3,Dayton,99328-1361,,,,anne_higgins@co.columbia.wa.us,509-382-4541,,509-382-4830,Monday-Friday:08:30-16:30
Douglas,Elections Office,http://www.douglascountywa.net/elected-offices/auditor/elections,213 S Rainier St,,Waterville,98858,PO Box 456,Waterville,98858-0456,elections@co.douglas.wa.us,(509) 888-6402,,509-745-8812,Monday-Friday:08:30-16:30
Jefferson,Elections Office,http://co.jefferson.wa.us/1266/Elections,1820 Jefferson St,,Port Townsend,98368,PO Box 563,Port Townsend,98368-0563,elections@co.jefferson.wa.us,360-385-9119,,360-385-9228,Monday-Friday:08:30-16:30
King,Elections Office,http://www.kingcounty.gov/elections,919 Southwest Grady Way,,Renton,98057-2906,,,,elections@kingcounty.gov,206-296-8683,,206-296-0108,Monday-Friday:08:30-16:30
Pierce,Elections Office,http://piercecountywa.gov/328/Elections,2501 S. 35th St,Suite C,Tacoma,98409-7484,,,,elections@piercecountywa.gov,253-798-8683,,253-798-2761,Monday-Friday:08:30-16:30
Skagit,Elections Office,https://www.skagitcounty.net/Departments/AuditorElections/main.htm,700 S. Second St,"Admin Building, Room 201",Mount Vernon,98273,PO Box 1306,Mount Vernon,98273-1306,scelections@co.skagit.wa.us,360-416-1702,,360-336-9429,Monday-Friday:08:30-16:30
Whatcom,Elections Office,http://www.whatcomcounty.us/1574/Elections,311 Grand Avenue,Suite 103,Bellingham,98227,P.O Box 369,Bellingham,98227-0369,elections@co.whatcom.wa.us,360-778-5102,,360-778-5101,Monday-Friday:08:30-16:30
Cowlitz,Elections Office,http://www.vote.wa.gov/cowlitz/,207 4th Avenue N,Room 107,Kelso,98626-4124,,,,elections@co.cowlitz.wa.us,360-577-3005,,360-442-7879,Monday-Friday:08:30-17:00
Franklin,Elections Office,https://www.co.franklin.wa.us/auditor/elections/index.php,1016 N 4th Ave,Suite A206,Pasco,99301,PO Box 1451,Pasco,99301-1451,elections@co.franklin.wa.us,509-545-3538,,509-543-2995,Monday-Friday:08:30-17:00
Klickitat,Elections Office,https://www.klickitatcounty.org/1109/Auditor,205 S. Columbus Ave,Room 203,Goldendale,98620-9280,,,,voting@klickitatcounty.org,509-773-4001,,509-773-4244,Monday-Friday:08:30-17:00
Lincoln,Elections Office,https://www.co.lincoln.wa.us/auditor/,450 Logan,,Davenport,99122,PO Box 28,Davenport,99122-0028,elections@co.lincoln.wa.us,509-725-4971,,509-725-0820,Monday-Friday:09:00-15:00
Mason,Elections Office,https://www.masoncountyelections.us/,411 N. 5th Street,,Shelton,98584,PO Box 400,Shelton,98584-0400,elections@co.mason.wa.us,360-427-9670 ext.469,,360-427-1753,Monday-Friday:09:00-16:00
Walla Walla,Elections Office,https://www.co.walla-walla.wa.us/government/auditor/elections.php,310 W. Poplar St,,Walla Walla,99362,PO Box 2176,Walla Walla,99362-0176,elections@co.walla-walla.wa.us,509-524-2530,,509-524-2552,Monday-Friday:09:00-16:00
Yakima,Elections Office,http://www.yakimacounty.us/vote/,128 N. Second St,Room 117,Yakima,98901-2639,PO Box 12570,Yakima,98909-2570,iVote@co.yakima.wa.us,509-574-1340,,509-574-1341,Monday-Friday:09:00-16:00
Grays Harbor,Elections Office,http://www.co.grays-harbor.wa.us/government/Auditors/elections.php,100 Broadway Avenue W,Suite 2,Montesano,98563-3614,,,,elections@co.grays-harbor.wa.us,(360) 964-1556 ,,360-249-3330,Monday-Friday:09:00-16:30
Kittitas,Elections Office,http://www.co.kittitas.wa.us/auditor/elections/default.aspx,205 W. 5th Ave,Suite 105,Ellensburg,98926-2891,,,,elections@co.kittitas.wa.us,509-962-7503,,509-962-7687,Monday-Friday:09:00-17:00
Snohomish,Elections Office,http://snohomishcountywa.gov/224/Elections-Voter-Registration,3000 Rockefeller Ave,#505,Everett,98201-4060,,,,elections@snoco.org,425-388-3444,,425-259-2777,Monday-Friday:09:00-17:00
