state,county,location_name,location_type,address_1,address_2,city,state_2,zip,phone,source_data,email,fax
GA,Catoosa,Board of Registrars,Elections Office,5238 EVITT ST,,RINGGOLD,GA,30736,(706) 935-3990,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,catoosaelections@catoosa.com,(706) 935-2538
GA,Charlton,Board of Registrars,Elections Office,1520 THIRD STREET,SUITE C,FOLKSTON,GA,31537,(912) 496-2607,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,bhodges@charltoncountyga.gov,(912) 496-2608
GA,Chatham,Board of Registrars,Elections Office,1117 EISENHOWER DR.,SUITE E,SAVANNAH,GA,31406,(912) 790-1520,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,voter@chathamcounty.org,(912) 790-1519
GA,CHATTAHOOCHEE,Board of Registrars,Elections Office,215 MCNAUGHTON ST,,CUSSETA,GA,31805,(706) 989-3249,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,taxassessor@ugoccc.com,(706) 989-2013
GA,CHATTOOGA,Board of Registrars,Elections Office,10017 COMMERCE STREET,,SUMMERVILLE,GA,30747,(706) 857-0739,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,chattoogaregistrar@gmail.com,(706) 857-0739
GA,CHEROKEE,Board of Registrars,Elections Office,2782 MARIETTA HWY,SUITE 100,CANTON,GA,30114,(770) 479-0407,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,voterhelp@cherokeega.com,(770) 479-9791
GA,CLARKE,Board of Registrars,Elections Office,155 E. WASHINGTON STREET,,ATHENS,GA,30601,(706) 613-3150,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,charlotte.sosebee@accgov.com,(706) 613-3840
GA,CLAY,Board of Registrars,Elections Office,210 SOUTH WASHINGTON STREET,SUITE 4,FORT GAINES,GA,39851,(229) 768-2443,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,charlotteshivers@windstream.net,(229) 768-2455
GA,CLAYTON,Board of Registrars,Elections Office,121 SOUTH MCDONOUGH STREET,,JONESBORO,GA,30236,(770) 477-3372,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,elections@claytoncountyga.gov,(770) 477-4521
GA,CLINCH,Board of Registrars,Elections Office,25 COURT SQUARE,SUITE A,HOMERVILLE,GA,31634,(912) 487-3656,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,clinchelections@clinchcountyga.gov,(912) 487-5162
GA,COBB,Board of Registrars,Elections Office,736 WHITLOCK AVE NW,SUITE 400,MARIETTA,GA,30064,(770) 528-2581,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,info@cobbelections.org,(770) 528-2519
GA,COFFEE,Board of Registrars,Elections Office,224 WEST ASHLEY ST,,DOUGLAS,GA,31533,(912) 384-7018,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,misty.hampton@coffeecounty-ga.gov,
GA,COLQUITT,Board of Registrars,Elections Office,101 EAST CENTRAL AVE,RM 133,MOULTRIE,GA,31768,(229) 616-7056,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,paulamc@ccboc.com,(229) 616-7058
GA,COLUMBIA,Board of Registrars,Elections Office,500 FAIRCLOTH DRIVE,BLDG E,EVANS,GA,30809,(706) 868-3355,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,vote@columbiacountyga.gov,(706) 868-3358
GA,COOK,Board of Registrars,Elections Office,1200 S HUTCHINSON AVE,,ADEL,GA,31620,(229) 896-7925,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,cookelections@windstream.net,(229) 896-1194
GA,COWETA,Board of Registrars,Elections Office,22 EAST BROAD STREET,,NEWNAN,GA,30263,(770) 254-2615,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,agay@coweta.ga.us,(770) 683-2800
GA,CRAWFORD,Board of Registrars,Elections Office,640 GA HWY 128,,ROBERTA,GA,31078,(478) 836-1877,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,b.peacock@crawfordcountyga.org,(478) 836-1879
GA,CRISP,Board of Registrars,Elections Office,210 SOUTH 7TH STREET,103,CORDELE,GA,31015,(229) 276-2611,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,elections@crispcounty.com,(229) 276-2735
GA,DADE,Board of Registrars,Elections Office,71 CASE AVE,,TRENTON,GA,30752,(706) 657-8170,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,tvaughan@dadecounty-ga.gov,(706) 657-2048
GA,DAWSON,Board of Registrars,Elections Office,96 ACADEMY AVENUE,,DAWSONVILLE,GA,30534,(706) 344-3640,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,gferguson@dawsoncounty.org,(706) 344-3642
GA,DECATUR,Board of Registrars,Elections Office,122 W. WATER ST.,,BAINBRIDGE,GA,39817,(229) 243-2087,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,elections@decaturcountyga.gov,(229) 248-3743
GA,DEKALB,Board of Registrars,Elections Office,4380 MEMORIAL DRIVE,SUITE 300,DECATUR,GA,30032,(404) 298-4020,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,voterreg@dekalbcountyga.gov,(404) 298-4038
GA,DODGE,Board of Registrars,Elections Office,5016 COURTHOUSE CIR,SUITE B,EASTMAN,GA,31023,(478) 374-8123,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,dc.registrar.ga@hotmail.com,(478) 374-8124
GA,DOOLY,Board of Registrars,Elections Office,402 HAWKINSVILLE ROAD,,VIENNA,GA,31092,(229) 268-9023,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,dooly.county.elections@gmail.com,(229) 268-9325
GA,DOUGHERTY,Board of Registrars,Elections Office,222 PINE AVENUE,SUITE 220,ALBANY,GA,31702,(229) 431-3247,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,docovoterregelections@dougherty.ga.us,(229) 438-3975
GA,DOUGLAS,Board of Registrars,Elections Office,8700 HOSPITAL DRIVE,,DOUGLASVILLE,GA,30134,(770) 920-7217,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,voterreg@co.douglas.ga.us,(770) 920-7583
GA,EARLY,Board of Registrars,Elections Office,17 MCDONALD AVE.,,BLAKELY,GA,39823,(229) 723-4522,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,elections@earlycounty.org,(229) 723-4532
GA,ECHOLS,Board of Registrars,Elections Office,110 HIGHWAY 94 E,,STATENVILLE,GA,31648,(229) 559-0230,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,echolsco.registrar@gmail.com,(229) 559-8128
GA,EFFINGHAM,Board of Registrars,Elections Office,284 GA HIGHWAY ,119 S,SPRINGFIELD,GA,31329,(912) 754-8030,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,boe@effinghamcounty.org,(912) 754-8408
GA,ELBERT,Board of Registrars,Elections Office,45 FOREST AVE,,ELBERTON,GA,30635,(706) 283-2012,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,votems@elberton.net,(706) 283-0216
GA,EMANUEL,Board of Registrars,Elections Office,105 S MAIN ST,,SWAINSBORO,GA,30401,,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,,(478) 237-5998
GA,EVANS,Board of Registrars,Elections Office,201 FREEMAN ST,SUITE 10,CLAXTON,GA,30417,(912) 739-0708,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,elections@evanscounty.org,(912) 739-4425
GA,FANNIN,Board of Registrars,Elections Office,400 WEST MAIN STREET,SUITE 301,BLUE RIDGE,GA,30513,(706) 632-7740,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,elections@fannincountyga.org,(706) 258-5164
GA,FAYETTE,Board of Registrars,Elections Office,140 STONEWALL AVE.,WEST 208,FAYETTEVILLE,GA,30214,(770) 305-5308,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,electionsgroup@fayettecountyga.gov,(770) 719-5556
GA,FLOYD,Board of Registrars,Elections Office,12 EAST FOURTH AVENUE,SUITE 20,ROME,GA,30161,(706) 291-5168,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,bradyr@floydcountyga.org,(706) 233-0019
GA,FORSYTH,Board of Registrars,Elections Office,1201 SAWNEE DRIVE,,CUMMING,GA,30040,(770) 781-2118,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,voter@forsythco.com,(770) 886-2825
GA,FRANKLIN,Board of Registrars,Elections Office,7850 ROYSTON RD,,CARNESVILLE,GA,30521,(706) 384-4390,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,glk@franklincountyga.gov,(706) 384-3506
GA,FULTON,Board of Registrars,Elections Office,130 PEACHTREE ST SW,SUITE 2186,ATLANTA,GA,30303,(404) 612-3816,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,elections.voterregistration@fultoncountyga.gov,(404) 612-3697
GA,GILMER,Board of Registrars,Elections Office,1 BROAD ST,STE 107,ELLIJAY,GA,30540,(706) 635-4617,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,registrar@gilmercounty-ga.gov,(706) 635-4647
GA,GLASCOCK,Board of Registrars,Elections Office,676 WEST MAIN STREET,,GIBSON,GA,30810,(706) 598-2811,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,uge3125@uga.edu,(706) 598-3638
GA,GLYNN,Board of Registrars,Elections Office,1815 GLOUCESTER STREET,,BRUNSWICK,GA,31520,(912) 554-7060,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,glynnelections@glynncounty-ga.gov,(888) 870-1374
GA,GORDON,Board of Registrars,Elections Office,101 S. PIEDMONT STREET,,CALHOUN,GA,30701,(706) 629-7781,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,shicks@gordoncounty.org,(706) 629-7198
GA,GRADY,Board of Registrars,Elections Office,250 N. BROAD STREET,SUITE 3,CAIRO,GA,39828,(229) 377-1897,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,malinda.butler@gradycountyga.gov,(229) 377-4127
GA,GREENE,Board of Registrars,Elections Office,1180 C. WELDON SMITH DR.,SUITE 120,GREENSBORO,GA,30642,(706) 453-1108,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,bkilgore@greenecountyga.gov,(706) 453-9438
GA,GWINNETT,Board of Registrars,Elections Office,455 GRAYSON HWY 200,,LAWRENCEVILLE,GA,30046,(678) 226-7210,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,voterregistration@gwinnettcounty.com,(678) 226-7208
GA,HABERSHAM,Board of Registrars,Elections Office,130 JACOB'S WAY,SUITE 101,CLARKESVILLE,GA,30523,(706) 839-0170,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,lellison@habershamga.com,(706) 754-5836
GA,HALL,Board of Registrars,Elections Office,1855 CALVARY CHURCH ROAD,,GAINESVILLE,GA,30503,(770) 531-6945,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,elections@hallcounty.org,(770) 531-3931
GA,HANCOCK,Board of Registrars,Elections Office,12560 AUGUSTA HWY E,,SPARTA,GA,31087,(706) 444-5259,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,boer@hancockcountyga.gov,(706) 444-0989
GA,HARALSON,Board of Registrars,Elections Office,4485 GEORGIA HIGHWAY 120,,BUCHANAN,GA,30113,(770) 646-2010,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,hcelections@bellsouth.net,(770) 646-1523
GA,HARRIS,Board of Registrars,Elections Office,104 N COLLEGE ST,,HAMILTON,GA,31811,(706) 628-5210,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,sjarrett@harriscountyga.gov,(706) 628-4223
GA,HART,Board of Registrars,Elections Office,182 CADE ST.,STE. B,HARTWELL,GA,30643,(706) 376-8911,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,registrar@hartcountyga.org,(706) 376-1694
GA,HEARD,Board of Registrars,Elections Office,215 E COURT SQUARE,,FRANKLIN,GA,30217,(706) 675-3907,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,tadams@heardcountyga.com,(706) 675-2134
GA,HENRY,Board of Registrars,Elections Office,40 ATLANTA ST,,MCDONOUGH,GA,30253,(770) 288-6448,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,henryabsentee@co.henry.ga.us,(770) 288-6468
GA,HOUSTON,Board of Registrars,Elections Office,801 MAIN STREET,ROOM 237,PERRY,GA,31069,(478) 987-1973,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,elections@houstoncountyga.org,(478) 988-0699
GA,IRWIN,Board of Registrars,Elections Office,507 N. IRWIN AVE. C,,OCILLA,GA,31774,(229) 468-0081,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,electionsirwincounty@aol.com,(229) 468-0089
GA,JACKSON,Board of Registrars,Elections Office,441 GORDON STREET,,JEFFERSON,GA,30549,(706) 367-6377,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,jelogan@jacksoncountygov.com,(706) 367-1193
GA,JASPER,Board of Registrars,Elections Office,126 W GREENE ST,SUITE 3,MONTICELLO,GA,31064,(706) 468-4908,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,cnorris@jaspercountyga.org,(706) 468-1485
GA,JEFF DAVIS,Board of Registrars,Elections Office,14 JEFF DAVIS STREET,,HAZLEHURST,GA,31539,(912) 375-6635,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,jeffdaviselections@gmail.com,(912) 379-0340
GA,JEFFERSON,Board of Registrars,Elections Office,415 GREEN STREET,,LOUISVILLE,GA,30434,(478) 625-8357,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,sgray@jeffersoncountyga.gov,(478) 625-7124
GA,JENKINS,Board of Registrars,Elections Office,611 E. WINTHROPE AVENUE,,MILLEN,GA,30442,,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,jenkinscountyreg@bellsouth.net,(478) 982-4380
GA,JOHNSON,Board of Registrars,Elections Office,2484 W ELM STREET,,WRIGHTSVILLE,GA,31096,(478) 864-4019,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,dkillingsworth@johnsonco.org,(478) 864-2019
GA,JONES,Board of Registrars,Elections Office,166 INDUSTRIAL BLVD,#102 GOVERNMENT CENTER,GRAY,GA,31032,(478) 986-3222,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,sydney.higley@jonescountyga.org,(478) 986-9682
GA,LAMAR,Board of Registrars,Elections Office,408 THOMASTON STREET,SUITE D,BARNESVILLE,GA,30204,(770) 358-5235,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,lamarcountyregistrars@yahoo.com,(770) 358-5445
GA,LANIER,Board of Registrars,Elections Office,162 W THIGPEN AVE,SUITE C,LAKELAND,GA,31635,(229) 363-9260,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,elections@laniercountyboc.com,
GA,LAURENS,Board of Registrars,Elections Office,117 E JACKSON ST,SUITE A,DUBLIN,GA,31021,(478) 272-2841,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,registrars@dlcga.com,(478) 277-2933
GA,LEE,Board of Registrars,Elections Office,"100 STARKSVILLE AVE, N",SUITE C,LEESBURG,GA,31763,(229) 759-6002,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,elections@lee.ga.us,(229) 759-3348
GA,LIBERTY,Board of Registrars,Elections Office,100 MAIN ST,SUITE 1600,HINESVILLE,GA,31313,(912) 876-3310,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,elections@libertycountyga.com,(912) 876-2538
GA,LINCOLN,Board of Registrars,Elections Office,160 MAY AVE.,,LINCOLNTON,GA,30817,(706) 359-6126,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,tharris@lincolncountyga.com,(706) 359-7396
GA,LONG,Board of Registrars,Elections Office,75 WEST ACADEMY STREET,,LUDOWICI,GA,31316,(912) 545-2234,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,longcountyelections@gmail.com,(912) 545-3446
GA,LOWNDES,Board of Registrars,Elections Office,2808 N OAK ST,,VALDOSTA,GA,31602,(229) 671-2850,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,elections@lowndescounty.com,(229) 333-5199
GA,LUMPKIN,Board of Registrars,Elections Office,56 SHORT STREET,,DAHLONEGA,GA,30533,(706) 864-6279,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,elections@lumpkincounty.gov,(706) 864-0731
GA,MACON,Board of Registrars,Elections Office,100 MACON STREET,,OGLETHORPE,GA,31068,(478) 472-8520,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,macoboer@windstream.net,(478) 472-8522
GA,MADISON,Board of Registrars,Elections Office,91 ALBANY AVE,,DANIELSVILLE,GA,30633,(706) 795-6335,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,tdean@madisonco.us,(706) 795-2233
GA,MARION,Board of Registrars,Elections Office,100 E BURKHALTER AV,,BUENA VISTA,GA,31803,(229) 314-0643,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,marioncountyelect@gmail.com,(229) 649-3928
GA,MCDUFFIE,Board of Registrars,Elections Office,337 MAIN ST,SUITE 101,THOMSON,GA,30824,(706) 595-2105,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,phyllis.wheeler3@thomson-mcduffie.net,(706) 595-0460
GA,MCINTOSH,Board of Registrars,Elections Office,103 JEFFERSON STREET,,DARIEN,GA,31305,(912) 437-6605,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,egale@darientel.net,(912) 437-5041
GA,MERIWETHER,Board of Registrars,Elections Office,137 S. COURT SQUARE,,GREENVILLE,GA,30222,(706) 672-9433,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,p.threadgill@meriwethercountyga.gov,(706) 672-9584
GA,MILLER,Board of Registrars,Elections Office,155 S. 1ST STREET,SUITE 113,COLQUITT,GA,39837,(229) 758-4118,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,millercoregistrar@gmail.com,(229) 758-8133
GA,MITCHELL,Board of Registrars,Elections Office,11 W BROAD ST,,CAMILLA,GA,31730,(229) 336-2018,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,tross@mitchellcountyga.net,(229) 336-4928
GA,MONROE,Board of Registrars,Elections Office,38 WEST MAIN ST.,COUNTY ADMINISTRATION BUILDING,FORSYTH,GA,31029,(478) 994-7622,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,kwarren@monroecoga.org,(478) 994-7624
GA,MONTGOMERY,Board of Registrars,Elections Office,400 S RAILROAD AVE,,MOUNT VERNON,GA,30445,(912) 583-4296,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,vrmontgomery@yahoo.com,(912) 583-4343
GA,MORGAN,Board of Registrars,Elections Office,434 HANCOCK ST.,,MADISON,GA,30650,(706) 343-6311,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,absentee@morgancountyga.gov,(706) 343-6496
GA,MURRAY,Board of Registrars,Elections Office,121 N 4TH AVE,,CHATSWORTH,GA,30705,(706) 517-1400,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,vote@murraycountyga.gov,(706) 695-9755
GA,MUSCOGEE,Board of Registrars,Elections Office,3111 CITIZENS WAY,,COLUMBUS,GA,31902,(706) 653-4392,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,muscogeeelectionsandregistration@columbusga.gov,(706) 225-4394
GA,NEWTON,Board of Registrars,Elections Office,1113 USHER STREET,SUITE 103,COVINGTON,GA,30014,(770) 784-2055,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,elections@co.newton.ga.us,(770) 784-2057
GA,OCONEE,Board of Registrars,Elections Office,10 COURT STREET,,WATKINSVILLE,GA,30677,(706) 769-3958,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,jstone@oconee.ga.us,(706) 310-3486
GA,OGLETHORPE,Board of Registrars,Elections Office,41 FAIRGROUND ROAD,,LEXINGTON,GA,30648,(706) 743-8954,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,smccannon@oglethorpecountyga.gov,(706) 743-3514
GA,PAULDING,Board of Registrars,Elections Office,240 CONSTITUTION BLVD ,1ST FLOOR,DALLAS,GA,30132,(770) 443-7503,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,elections@paulding.gov,(770) 443-7548
GA,PEACH,Board of Registrars,Elections Office,205 WEST CHURCH,SUITE 102,FORT VALLEY,GA,31030,(478) 825-3514,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,adrienne-ray@peachcounty.net,(478) 825-2187
GA,PICKENS,Board of Registrars,Elections Office,83 PIONEER RD,,JASPER,GA,30143,(706) 253-8781,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,cconnell1@pickenscountyga.gov,(706) 253-8782
GA,PIERCE,Board of Registrars,Elections Office,312 NICHOLS STREET,SUITE 2,BLACKSHEAR,GA,31516,(912) 449-2028,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,lea.parker@piercecountyga.gov,(912) 807-9940
GA,PIKE,Board of Registrars,Elections Office,81 JACKSON ST.,,ZEBULON,GA,30295,(770) 567-2003,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,lvickers@pikecoga.com,(770) 567-7280
GA,POLK,Board of Registrars,Elections Office,144 WEST AVENUE D,,CEDARTOWN,GA,30125,(770) 749-2103,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,bcoggins@polkga.org,(770) 749-2194
GA,PULASKI,Board of Registrars,Elections Office,45 SOUTH LUMPKIN STREET,ROOM 107,HAWKINSVILLE,GA,31036,,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,,(478) 783-0696
GA,PUTNAM,Board of Registrars,Elections Office,100 S. JEFFERSON AVE. 217,,EATONTON,GA,31024,(706) 485-8683,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,berlaseter@gmail.com,(706) 485-9684
GA,QUITMAN,Board of Registrars,Elections Office,46 OLD SCHOOL RD.,,GEORGETOWN,GA,39854,(229) 234-3123,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,quitco8@gqc-ga.org,(229) 234-3240
GA,RABUN,Board of Registrars,Elections Office,18 OLD RACO HIGH DR.,SUITE 105,CLAYTON,GA,30525,(706) 782-1878,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,,(706) 782-3754
GA,RANDOLPH,Board of Registrars,Elections Office,93 FRONT ST,,CUTHBERT,GA,39840,(855) 782-6310,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,rcc.boe@gmail.com,(229) 474-3279
GA,RICHMOND,Board of Registrars,Elections Office,535 TELFAIR STREET,SUITE 500,AUGUSTA,GA,30901,(706) 821-2340,https://elections.sos.ga.gov/Elections/advancedVotingInfo.do,richmondelections@augustaga.gov,(706) 821-2814
