state,county,location_type,address_1,address_2,city,state_2,zip,phone,email,fax,hours
Arkansas,Drew County Clerk,Unknown,210 South Main Street,,Monticello,AR,71655,870-460-6260,drewclerk @arkansasclerks.com,870-460-6246,Monday-Friday:8:30am-5pm
Arkansas,Faulkner County Clerk,Unknown,801 Locust Street,,Conway,AR,72034,501-450-4909,faulknerclerk@arkansasclerks.com,501-450-4938,Monday-Friday:8:30am-5pm
Arkansas,Franklin County Clerk,Unknown,211 West Commercial,,Ozark,AR,72949,479-667-3607,franklinclerk@arkansasclerks.com,479-667-3611,Monday-Friday:8:30am-5pm
Arkansas,Fulton County Clerk,Unknown,123 S Main St,,Salem,AR,72576,870-895-3310,fultonclerk@arkansasclerks.com,870-895-3383,Monday-Friday:8:30am-5pm
Arkansas,Garland County Clerk,Unknown,501 Ouachita,Room 103,Hot Springs,AR,71901,501-622-3610,garlandclerk@arkansasclerks.com,501-624-0665,Monday-Friday:8:30am-5pm
Arkansas,Grant County Clerk,Unknown,101 West Center,Room 106,Sheridan,AR,72150,870-942-2631,grantclerk@arkansasclerks.com,870-942-3564,Monday-Friday:8:30am-5pm
Arkansas,Greene County Clerk,Unknown,320 West Court Street,Room 102,Paragould,AR,72450,870-239-6345,greeneclerk@arkansasclerks.com,870-239-6320,Monday-Friday:8:30am-5pm
Arkansas,Hempstead County Clerk,Unknown,400 S Washington St,,Hope,AR,71802,870-777-2241,hempsteadclerk@arkansasclerks.com,870-777-7829,Monday-Friday:8:30am-5pm
Arkansas,Hot Spring County Clerk,Unknown,210 Locust Street,,Malvern,AR,72104,501-332-2291,hotspringclerk@arkansasclerks.com,501-332-2221,Monday-Friday:8:30am-5pm
Arkansas,Howard County Clerk,Unknown,421 North Main Street,Room 10,Nashville,AR,71852,870-845-7502,howardclerk@arkansasclerks.com,870-845-7505,Monday-Friday:8:30am-5pm
Arkansas,Independence County Clerk,Unknown,192 East Main Street,,Batesville,AR,72501,870-793-8828,independenceclerk@arkansasclerks.com,870-793-8831,Monday-Friday:8:30am-5pm
Arkansas,Izard County Clerk,Unknown,80 E Main St,,Melbourne,AR,72556,870-368-4316,izardclerk@arkansasclerks.com,870-368-4748,Monday-Friday:8:30am-5pm
Arkansas,Jackson County Clerk,Unknown,208 Main Street,,Newport,AR,72112,870-523-7420,jacksonclerk@arkansasclerks.com,870-523-7406,Monday-Friday:8:30am-5pm
Arkansas,Jefferson County Clerk,Unknown,101 W. Barraque Street,,Pine Bluff,AR,71601,870-541-5322,jeffersonclerk@arkansasclerks.com,870-541-5324,Monday-Friday:8:30am-5pm
Arkansas,Johnson County Clerk,Unknown,301 Porter Industrial Rd,,Clarksville,AR,72830,479-754-3967,johnsonclerk@arkansasclerks.com,479-754-2286,Monday-Friday:8:30am-5pm
Arkansas,Lafayette County Clerk,Unknown,#2 Courthouse Square,,Lewisville,AR,71845,870-921-4633,lafayetteclerk @arkansasclerks.com,870-921-4505,Monday-Friday:8:30am-5pm
Arkansas,Lawrence County Clerk,Unknown,315 W Main St,#7,Walnut Ridge,AR,72476,870-886-1111,lawrenceclerk@arkansasclerks.com,870-886-1122,Monday-Friday:8:30am-5pm
Arkansas,Lee County Clerk,Unknown,15 East Chestnut Street,Room 4,Marianna,AR,72360,870-295-7715,leeclerk@arkansasclerks.com,870-295-7783,Monday-Friday:8:30am-5pm
Arkansas,Lincoln County Clerk,Unknown,300 South Drew Street,Room 101,Star City,AR,71667,870-628-5114,lincolnclerk@arkansasclerks.com,870-628-5794,Monday-Friday:8:30am-5pm
Arkansas,Little River County Clerk,Unknown,351 North 2nd Street,Suite 4B,Ashdown,AR,71822,870-898-7208,littleriverclerk@arkansasclerks.com,870-898-2860,Monday-Friday:8:30am-5pm
Arkansas,Logan County Clerk,Unknown,#25 West Walnut Street,,Paris,AR,72855,479-963-2618,loganclerk @arkansasclerks.com,479-963-9017,Monday-Friday:8:30am-5pm
Arkansas,Lonoke County Clerk,Unknown,301 North Center Street,,Lonoke,AR,72086,501-676-2368,lonokeclerk@arkansasclerks.com,501-676-2433,Monday-Friday:8:30am-5pm
Arkansas,Madison County Clerk,Unknown,201 West Main Street,Suite 202,Huntsville,AR,72740,479-738-2747,madisonclerk@arkansasclerks.com,479-738-2735,Monday-Friday:8:30am-5pm
Arkansas,Marion County Clerk,Unknown,300 E. Old Main St,,Yellville,AR,72687,870-449-6226,marionclerk@arkansasclerks.com,870-449-4979,Monday-Friday:8:30am-5pm
Arkansas,Miller County Clerk,Unknown,400 Laurel Street,Room 105,Texarkana,AR,71854,870-774-1501,millerclerk@arkansasclerks.com,870-773-4090,Monday-Friday:8:30am-5pm
Arkansas,Mississippi County Clerk,Unknown,200 West Walnut Street,Room 103,Blytheville,AR,72315,870-762-2411,mississippiclerk@arkansasclerks.com,870-838-7784,Monday-Friday:8:30am-5pm
Arkansas,Monroe County Clerk,Unknown,123 Madison Street,,Clarendon,AR,72029,870-747-3632,monroeclerk@arkansasclerks.com,870-747-5961,Monday-Friday:8:30am-5pm
Arkansas,Montgomery County Clerk,Unknown,105 Hwy 270 East,#10,Mt. Ida,AR,71957,870-867-3521,montgomeryclerk@arkansasclerks.com,870-867-2177,Monday-Friday:8:30am-5pm
Arkansas,Nevada County Clerk,Unknown,215 East 2nd Street,,Prescott,AR,71857,870-887-2710,nevadaclerk@arkansasclerks.com,870-887-5795,Monday-Friday:8:30am-5pm
Arkansas,Newton County Clerk,Unknown,"E, 100 Court St",,Jasper,AR,72641,870-446-5125,newtonclerk@arkansasclerks.com,870-446-5755,Monday-Friday:8:30am-5pm
Arkansas,Ouachita County Clerk,Unknown,145 Jefferson St SW,,Camden,AR,71711,870-837-2220,ouachitaclerk @arkansasclerks.com,870-837-2217,Monday-Friday:8:30am-5pm
Arkansas,Perry County Clerk,Unknown,310 W Main St,,Perryville,AR,72126,501-889-5126,perryclerk@arkansasclerks.com,501-889-5759,Monday-Friday:8:30am-5pm
Arkansas,Phillips County Clerk,Unknown,620 Cherry Street,Suite 202,Helena,AR,72342,870-338-5505,philliosclerk@arkansasclerks.com,870-338-5509,Monday-Friday:8:30am-5pm
Arkansas,Pike County Clerk,Unknown,1 Courthouse Square,,Murfreesboro,AR,71958,870-285-2743,pikeclerk@arkansasclerks.com,870-285-3900,Monday-Friday:8:30am-5pm
Arkansas,Poinsett County Clerk,Unknown,401 Market Street,,Harrisburg,AR,72432,870-578-4412,poinsettclerk@arkansasclerks.com,870-578-2441,Monday-Friday:8:30am-5pm
Arkansas,Polk County Clerk,Unknown,507 Church Avenue,,Mena,AR,71953,479-394-8123,polkclerk@arkansasclerks.com,479-394-8115,Monday-Friday:8:30am-5pm
Arkansas,Pope County Clerk,Unknown,100 West Main St.,,Russellville,AR,72801,479-968-6064,popeclerk@arkansasclerks.com,479-967-2291,Monday-Friday:8:30am-5pm
Arkansas,Prairie County Clerk,Unknown,200 Courthouse Square,Suite #104,Des Arc,AR,72040,870-256-4434,prairieclerk@arkansasclerks.com,870-256-4434,Monday-Friday:8:30am-5pm
Arkansas,Pulaski County Clerk,Unknown,401 W Markham St,#100,Little Rock,AR,72203,501-340-8500,pulaskiclerk@arkansasclerks.com,501-340-3556,Monday-Friday:8:30am-5pm
Arkansas,Randolph County Clerk,Unknown,101 East Broadway,Suite A,Pocahontas,AR,72455,870-892-5822,randolphclerk@arkansasclerks.com,870-892-5829,Monday-Friday:8:30am-5pm
Arkansas,Saline County Clerk,Unknown,215 North Main Street,Suite 9,Benton,AR,72015,501-303-5630,salineclerk@arkansasclerks.com,501-776-2412,Monday-Friday:8:30am-5pm
Arkansas,Scott County Clerk,Unknown,190 West 1st Street,,Waldron,AR,72958,479-637-2642,scottclerk@arkansasclerks.com,479-637-0124,Monday-Friday:8:30am-5pm
Arkansas,Searcy County Clerk,Unknown,200 AR-27,,Marshall,AR,72650,870-448-3807,searcyclerk@arkansasclerks.com,870-448-5005,Monday-Friday:8:30am-5pm
Arkansas,Sebastian County Clerk,Unknown,35 South 6th Street,Room 102,Fort Smith,AR,72901,479-782-5065,sebastianclerk@arkansasclerks.com,479-784-1567,Monday-Friday:8:30am-5pm
Arkansas,Sevier County Clerk,Unknown,115 North 3rd Street,Room 102,DeQueen,AR,71832,870-642-2852,sevierclerk@arkansasclerks.com,870-642-3896,Monday-Friday:8:30am-5pm
Arkansas,Sharp County Clerk,Unknown,718 Ash Flat Drive,,Ash Flat,AR,72513,870-994-7361,sharpclerk@arkansasclerks.com,870-994-7712,Monday-Friday:8:30am-5pm
Arkansas,St. Francis County Clerk,Unknown,313 S. Izard St.,Suite 2,Forrest City,AR,72336,870-261-1725,stfrancisclerk@arkansasclerks.com,870-630-1210,Monday-Friday:8:30am-5pm
Arkansas,Stone County Clerk,Unknown,107 West Main Street,Suite D,Mountain View,AR,72560,870-269-5550,stoneclerk@arkansasclerks.com,870-269-2303,Monday-Friday:8:30am-5pm
Arkansas,Union County Clerk,Unknown,101 North Washington,Suite 102,El Dorado,AR,71730,870-864-1910,unionclerk@arkansasclerks.com,870-864-1927,Monday-Friday:8:30am-5pm
Arkansas,Van Buren County Clerk,Unknown,1414 Hwy 65 South,Suite 128,Clinton,AR,72031,501-745-6995,vanburenclerk@arkansasclerks.com,501-745-6836,Monday-Friday:8:30am-5pm
Arkansas,Washington County Clerk,Unknown,280 North College Suite 300,,Fayetteville,AR,72701,479-444-1711,washingtonclerk@arkansasclerks.com,479-444-1894,Monday-Friday:8:30am-5pm
Arkansas,White County Clerk,Unknown,315 North Spruce,,Searcy,AR,72143,501-279-6204,whiteclerk@arkansasclerks.com,501-279-6260,Monday-Friday:8:30am-5pm
Arkansas,Woodruff County Clerk,Unknown,500 North Third Street,,Augusta,AR,72006,870-347-2871,woodruffclerk@arkansasclerks.com,870-347-2608,Monday-Friday:8:30am-5pm
Arkansas,Yell County Clerk,Unknown,101 East Fifth Street,,Danville,AR,72833,479-495-4850,yellclerk@arkansasclerks.com,479-495-4875,Monday-Friday:8:30am-5pm
