state,county,location_type,address_1,address_2,city,state_2,zip,phone,email,fax
Connecticut,NEW HARTFORD ,TOWN CLERK,,,NEW HARTFORD,CT,06057-0426 ,860-379-5037,nhtownclerk@town.new-hartford.ct.us,860-379-0614
Connecticut,NEWINGTON ,TOWN CLERK,131 CEDAR STREET ,,NEWINGTON,CT,06111 ,860-665-8545,townclerk@newingtonct.gov,860-665-8551
Connecticut,NEW MILFORD ,TOWN CLERK,10 MAIN STREET ,,NEW MILFORD,CT,06776-2185 ,860-355-6020,nprichard@newmilford.or,860-210-2096
Connecticut,NEWTOWN ,TOWN CLERK,3 PRIMROSE STREET ,,NEWTOWN,CT,06470-2185 ,203-270-4210,town.clerk@newtown-ct.gov,203-270-4213
Connecticut,NORTH BRANFORD ,TOWN CLERK,909 FOXON ROAD ,,NORTH BRANFORD,CT,06471 ,203-484-6015,townclerk@townofnorthbranfordct.com,203-484-6025
Connecticut,NORTH HAVEN ,TOWN CLERK,18 CHURCH STREET ,,NORTH HAVEN,CT,06473-0336 ,203-239-5321 x630,jsyarbrough@town.north-haven.ct.us,203-985-8252
Connecticut,NORWALK ,TOWN CLERK,125 EAST AVENUE ,,NORWALK,CT,06856-5125  ,203-854-7747,rmcquaid@norwalkct.org,203-854-7802
Connecticut,OLD LYME ,TOWN CLERK,52 LYME STREET OLD ,,LYME,CT,06371 ,860-434-1605 x221,townclerk@oldlyme-ct.gov,860-434-1400
Connecticut,ORANGE ,TOWN CLERK,617 ORANGE CENTER ROAD ,,ORANGE,CT,06477-2423 ,203-891-4730,posullivan@orange-ct.gov,203-891-2185
Connecticut,NORFOLK ,TOWN CLERK,,,NORFOLK,CT,06058 ,860-542-5679,nfkclerk@snet.net,860-542-5876
Connecticut,NORTH CANAAN ,TOWN CLERK,100 PEASE STREET ,#7 ,CANAAN,CT,06018-0338 ,860-824-3138,townclerk@northcanaan.org,860-824-3139
Connecticut,NORTH STONINGTON ,TOWN CLERK,40 MAIN STREET ,,NORTH STONINGTON,CT,06359 ,860-535-2877 x21,townclerk@northstoningtonct.gov,860-535-4554
Connecticut,NORWICH ,TOWN CLERK,100 BROADWAY ,ROOM 215,NORWICH,CT,06360-4431 ,860-823-3734,bbarrett@cityofnorwich.org,860-823-3790
Connecticut,OLD SAYBROOK ,TOWN CLERK,302 MAIN STREET ,,OLD  SAYBROOK,CT,06475-0618  ,860-395-3135,sarah.becker@oldsaybrookct.gov,860-395-5014
Connecticut,OXFORD ,TOWN CLERK,486 OXFORD ROAD ,,OXFORD,CT,06483-1298  ,203-888-2543 x3024,townclerk@oxford-ct.go,203-888-3136
Connecticut,PLAINFIELD ,TOWN CLERK,8 COMMUNITY AVENUE ,,PLAINFIELD,CT,06374 ,860-230-3010,bgardiner@plainfieldct.org,860-230-3011
Connecticut,PLYMOUTH ,TOWN CLERK,80 MAIN STREET ,,TERRYVILLE,CT,06786-1295 ,860-585-4039,ecabiya@plymouthct.us,860-845-5544
Connecticut,PORTLAND ,TOWN CLERK,,,PORTLAND,CT,06480-0071 ,860-342-6743,rcurley@portlandct.org,860-342-0001
Connecticut,PROSPECT ,TOWN CLERK,36 CENTER STREET ,,PROSPECT,CT,06712-2101 ,203-758-4461,town.clk.prospect@snet.net,203-758-7230
Connecticut,REDDING ,TOWN CLERK,,,REDDING,CT,06896 ,203-938-2377,townclerk@townofreddingct.org,203-938-5000
Connecticut,ROCKY HILL ,TOWN CLERK,761 OLD MAIN STREET ,,ROCKY HILL,CT,06067-0657 ,860-258-2705,townclerk@rockyhillct.gov,860-258-2787
Connecticut,PLAINVILLE ,TOWN CLERK,1 CENTRAL SQUARE ,,PLAINVILLE,CT,06062 ,860-793-0221 x246,skultety@plainville-ct.gov,860-793-2285
Connecticut,POMFRET ,TOWN CLERK,,,POMFRET CENTER,CT,06259 ,860-974-0343,cheryl.grist@pomfretct.gov,860-974-3950
Connecticut,PRESTON ,TOWN CLERK,389 ROUTE 2 ,,PRESTON,CT,06365 ,860-887-5581 x111,townclerk@preston-ct.org,860-885-0171
Connecticut,PUTNAM ,TOWN CLERK,126 CHURCH STREET ,,PUTNAM,CT,06260-1831 ,860-963-6800 x180,sara.seney@putnamct.us,860-963-6814
Connecticut,RIDGEFIELD ,TOWN CLERK,400 MAIN STREET ,,RIDGEFIELD,CT,06877-4699  ,203-431-2783,townclerk@ridgefieldct.org,203-431-2722
Connecticut,ROXBURY ,TOWN CLERK,,,ROXBURY,CT,06783-0365 ,860-354-3328,townclerk@roxburyct.com,860-354-0560
Connecticut,SALEM ,TOWN CLERK,270 HARTFORD ROAD ,,SALEM,CT,06420 ,860-859-3873 x7,linda.flugrad@salemct.gov,860-859-1184
Connecticut,SCOTLAND ,TOWN CLERK,,,SCOTLAND,CT,06264-0122 ,860-423-9634 x102,townclerk@scotlandct.org,860-423-3666
Connecticut,SHARON ,TOWN CLERK,,,SHARON,CT,06069-0224 ,860-364-5224,sharontownclerk@yahoo.com,860-492-7025
Connecticut,SHERMAN ,TOWN CLERK,,,SHERMAN,CT,06784  ,860-354-5281,chavens@townofshermanct.org,860-355-6943
Connecticut,SOMERS ,TOWN CLERK,,,SOMERS,CT,06071-0308 ,860-763-8207,alogan@somersct.gov,860-763-8228
Connecticut,SOUTHINGTON ,TOWN CLERK,75 MAIN STREET ,,SOUTHINGTON,CT,06489-2504 ,860-276-6211,larkink@southington.org,860-276-6229
Connecticut,SALISBURY ,TOWN CLERK,,,SALISBURY,CT,06068-0548 ,860-435-5182,pwilliams@salisburyct.us,860-435-5172
Connecticut,SEYMOUR ,TOWN CLERK,ONE FIRST STREET ,,SEYMOUR,CT,06483-2817 ,203-888-0519,lmcmurray@seymourct.org,203-881-5005
Connecticut,SHELTON ,TOWN CLERK,,,SHELTON,CT,06484-0364 ,203-924-1555 x1377,m.domorod@cityofshelton.org,203-924-1721
Connecticut,SIMSBURY ,TOWN CLERK,933 HOPEMEADOW STREET ,,SIMSBURY,CT,06070-0495  ,860-658-3243,ebutler@simsbury-ct.gov,860-658-3206
Connecticut,SOUTHBURY ,TOWN CLERK,501 MAIN STREET ,,SOUTH SOUTHBURY,CT,06488-2295 ,203-262-0657,townclerk@southbury-ct.gov,203-264-9762
Connecticut,SOUTH WINDSOR ,TOWN CLERK,1540 SULLIVAN AVENUE ,,SOUTH WINDSOR,CT,06074-2786 ,860-644-2511 x226,bonnie.armstrong@southwindsor.org,860-644-3781
Connecticut,SPRAGUE ,TOWN CLERK,,,BALTIC,CT,06330-0162 ,860-822-3000 x220,townclerk@ctsprague.org,860-822-3016
Connecticut,STAMFORD ,TOWN CLERK,,,STAMFORD,CT,06904-0891 ,203-977-5852,LRuijter@StamfordCT.gov,203-977-4943
Connecticut,STONINGTON ,TOWN CLERK,152 ELM ST ,,STONINGTON,CT,06378-0352 ,860-535-5060,cladwig@stonington-ct.gov,860-535-5062
Connecticut,SUFFIELD ,TOWN CLERK,83 MOUNTAIN ROAD ,,SUFFIELD,CT,06078 ,860-668-3880,kdunai@suffieldct.gov,860-668-3312
Connecticut,THOMPSON ,TOWN CLERK,,,DALE,CT,06255 ,860-923-9900,townclerk@thompsonct.org,860-923-3836
Connecticut,TORRINGTON ,TOWN CLERK,140 MAIN STREET ,,TORRINGTON,CT,06790-5201 ,860-489-2241,joe_quartiero@torringtonct.org,860-489-2548
Connecticut,STAFFORD ,TOWN CLERK,,,STAFFORD  SPRINGS,CT,06076-0011 ,860-684-1765,clerk@staffordct.org,860-684-1795
Connecticut,STERLING ,TOWN CLERK,,,ONECO,CT,06373-0157 ,860-564-2657,townclerk@sterlingct.us,860-564-1660
Connecticut,STRATFORD ,TOWN CLERK,2725 MAIN STREET ,ROOM106 ,STRATFORD,CT,06615-5892  ,203-385-4020,spawluk@townofstratford.com,203-385-4055
Connecticut,THOMASTON ,TOWN CLERK,158 MAIN STREET ,,THOMASTON,CT,06787-1720 ,860-283-4141,cdupont@thomastonct.org,860-283-1013
Connecticut,TOLLAND ,TOWN CLERK,21 TOLLAND GREEN ,,TOLLAND,CT,06084-3028 ,860-871-3630,sbailey@tolland.org,860-871-3663
Connecticut,TRUMBULL ,TOWN CLERK,5866 MAIN STREET ,,TRUMBULL,CT,06611-3193 ,203-452-5037,mmarkham@trumbull-ct.gov,203-452-5094
Connecticut,UNION ,TOWN CLERK,1043 BUCKLEY HIGHWAY ROUTE 171 ,,UNION,CT,06076-9520 ,860-684-3770,townclerk@unionconnecticut.org,860-684-8830
Connecticut,VOLUNTOWN ,TOWN CLERK,,,VOLUNTOWN,CT,06384-0096 ,860-376-4089,townclerk@voluntown.gov,860-376-3295
Connecticut,WARREN ,TOWN CLERK,50 CEMETERY ROAD ,,WARREN,CT,06754 ,860-868-7881 x101,townclerk@warrenct.org,860-868-7746
Connecticut,WATERBURY ,TOWN CLERK,235 GRAND STREET ,,WATERBURY,CT,06702-1983 ,203-574-6806,aspinelli@waterburyct.org,203-574-6887
Connecticut,WATERTOWN ,TOWN CLERK,61 ECHO LAKE ,,WATERTOWN,CT,06795-2195  ,860-945-5230,daltonl@watertownct.org,860-945-2706
Connecticut,WEST HARTFORD ,TOWN CLERK,50 SOUTH MAIN STREET ,ROOM312 ,WEST  HARTFORD,CT,06107-2431 ,860-561-7447,essie.labrot@westhartfordct.gov,860-561-7438
Connecticut,VERNON ,TOWN CLERK,14 PARK PLACE ,,VERNON,CT,06066 ,860-870-3662,bdixon@vernon-ct.gov,860-870-3623
Connecticut,WALLINGFORD ,TOWN CLERK,48 SOUTH MAIN STREET ,ROOM108 ,WALLINGFORD,CT,06492 ,203-294-2145,townclerk@wallingfordct.gov,203-294-2150
Connecticut,WASHINGTON ,TOWN CLERK,,,WASHINGTON DEPOT,CT,06794-0383 ,860-868-2786,townclerk@washingtonct.org,860-868-3103
Connecticut,WATERFORD ,TOWN CLERK,15 ROPE FERRY ROAD ,,WATERFORD,CT,06385-2806 ,860-442-5831,dcampo@waterfordct.org,860-437-0352
Connecticut,WESTBROOK ,TOWN CLERK,866 BOSTON POST ROAD ,,WESTBROOK,CT,06498-0676 ,860-399-3044,jangelini@westbrookct.us,860-399-3097
Connecticut,WEST HAVEN ,TOWN CLERK,355 MAIN STREET ,,WEST HAVEN,CT,06516-4310 ,203-937-3534,phorvath@westhaven-ct.gov,203-937-3504
Connecticut,WESTON ,TOWN CLERK,,,WESTON,CT,06883-1007 ,203-222-2616,danastasia@westonct.gov,203-222-2516
Connecticut,WETHERSFIELD ,TOWN CLERK,505 SILAS DEANE HIGHWAY ,,WETHERSFIELD,CT,06109-2219 ,860-721-2882,dolores.sassano@wethersfieldct.com,860-721-2993
Connecticut,WILTON ,TOWN CLERK,238 DANBURY ROAD ,,WILTON,CT,06897-4008 ,203-563-0106,lori.kaback@wiltonct.org,203-563-0130
Connecticut,WINDHAM ,TOWN CLERK,,,WILLIMANTIC,CT,06226-0094 ,860-465-3013,pspruance@windhamct.com,860-465-3012
Connecticut,WINDSOR LOCKS ,TOWN CLERK,50 CHURCH STREET,, WINDSOR LOCKS,CT,06096 ,860-627-1441,bhamel@wlocks.com,860-654-8900
Connecticut,WOODBRIDGE ,TOWN CLERK,11 MEETINGHOUSE LANE ,,WOODBRIDGE,CT,06525-1597 ,203-389-3424,sciarleglio@woodbridgect.org,203-389-3473
Connecticut,WESTPORT ,TOWN CLERK,110 MYRTLE AVENUE ,ROOM 105 ,WESTPORT,CT,06880 ,203-341-1105,pstrauss@westportct.gov,203-341-1112
Connecticut,WILLINGTON ,TOWN CLERK,40 OLD FARMS ROAD ,,WILLINGTON,CT,06279 ,860-487-3121,rcampbell@willingtonct.org,860-487-3103
Connecticut,WINCHESTER ,TOWN CLERK,338 MAIN STREET ,,WINSTED,CT,06098-1697 ,860-738-6963 x342,ssedlack@townofwinchester.org,860-738-6595
Connecticut,WINDSOR ,TOWN CLERK,,,WINDSOR,CT,06095-0472 ,860-285-1902,posniak@townofwindsorct.com,860-285-1909
Connecticut,WOLCOTT ,TOWN CLERK,10 KENEA AVENUE ,,WOLCOTT,CT,06716-2114 ,203-879-8100 x6,kmowad@wolcottct.org,
Connecticut,WOODBURY ,TOWN CLERK,281 MAIN STREET ,,SOUTH WOODBURY,CT,06798-0369  ,203-263-2144,lindac@woodburyct.org,203-263-5477
Connecticut,WOODSTOCK,TOWN CLERK,415 ROUTE 169,,WOODSTOCK,CT,06281-3039, 860-928-6595 x320,townclerk@woodstockct.gov, 860-963-7557
Connecticut,DANIELSON,TOWN CLERK,,,DANIELSON,CT,06239, 860-774-1355,, 860-774-1355
