state,county,location_name,location_type,address_1,address_2,city,state_2,zip,phone,county_website_url,email,fax,hours
Minnesota,Lincoln County,Lincoln County Courthouse,Courthouse ,319 N Rebecca St,,Ivanhoe,MN,56142,507-694-1529,http://www.lincolncounty-mn.us/,bdybdahl@co.lincoln.mn.us,507-694-1198,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Mahnomen County,Mahnomen County Courthouse,Courthouse ,311 N Main St,,Mahnomen,MN,56557,218-935-5669,http://www.co.mahnomen.mn.us/,missy.netland@co.mahnomen.mn.us,218-936-5656,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Martin County,Martin County Courthouse,Courthouse ,201 Lake Ave,,Fairmont,MN,56031,507-238-3211,http://www.co.martin.mn.us/,adria.mosloski@co.martin.mn.us,507-238-3259,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Meeker County,Meeker County Courthouse,Courthouse ,325 Sibley Ave N,,Litchfield,MN,55355,320-693-5212,http://www.co.meeker.mn.us/,barb.loch@co.meeker.mn.us,320-693-5217,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Mille Lacs County,Mille Lacs County Historic Courthouse,Courthouse ,635 2nd St SE,,Milaca,MN,56353,320-983-8310,http://www.millelacs.mn.gov/,erci.bartusch@millelacs.mn.gov,320-983-8336,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Morrison County,Morrison County Courthouse,Courthouse ,213 SE 1st Ave,,Little Falls,MN,56345,320-632-0130,http://www.co.morrison.mn.us/,elections@co.morrison.mn.us,320-632-0139,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Norman County,Norman County Courthouse,Courthouse ,16 E 3rd Ave,,Ada,MN,56510,218-784-5471,http://www.co.norman.mn.us/,tammy.kappes@co.norman.mn.us,218-784-4531,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Pennington County,Pennington County Courthouse,Courthouse ,101 Main Ave N,,Thief River Falls,MN,56701,218-683-7000,http://co.pennington.mn.us/,jmherzberg@co.pennington.mn.us,218-683-7080,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Pine County,Pine County Courthouse,Courthouse ,635 Northridge Dr NW,Ste 240,Pine City,MN,55063,320-591-1670,http://www.co.pine.mn.us,elections@co.pine.mn.us,320-591-1671,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Pipestone County,Pipestone County Courthouse,Courthouse ,416 Hiawatha Ave S,,Pipestone,MN,56164,507-825-1140,http://www.pipestone-county.com/,Janet.Bouman@co.pipestone.mn.us,507-825-6741,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Pope County,Pope County Courthouse,Courthouse ,130 E Minnesota Ave,Ste 218,Glenwood,MN,56334-4525,320-634-7706,http://www.co.pope.mn.us/,stephanie.rust@co.pope.mn.us,320-634-3087,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Renville County,Renville County Courthouse,Courthouse ,500 E Depue Ave,Ste 202,Olivia,MN,56277,320-523-2071,http://www.renvillecountymn.com,elections@renvillecountymn.com,320-523-3679,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Rock County,Rock County Courthouse,Courthouse ,204 Brown St E,,Luverne,MN,56156,507-283-5060,http://www.co.rock.mn.us/,ashley.kurtz@co.rock.mn.us,507-283-1343,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Roseau County,Roseau County Courthouse,Courthouse ,606 5th Ave SW,Rm 160,Roseau,MN,56751-1477,218-463-1282,http://www.co.roseau.mn.us,elections@co.roseau.mn.us,218-463-4283,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Saint Louis County,St. Louis County Courthouse,Courthouse ,100 N 5th Ave W,# 214,Duluth,MN,55802-1293,218-726-2385,http://www.stlouiscountymn.gov/,elections@stlouiscountymn.gov,218-725-5060,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Todd County,Todd County Historic Courthouse,Courthouse ,215 1st Ave S,Ste 201,Long Prairie,MN,56347,320-732-4472,https://www.co.todd.mn.us/,elections@co.todd.mn.us,320-732-4001,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Traverse County,Traverse County Courthouse,Courthouse ,702 2nd Ave N,,Wheaton,MN,56296,320-422-7740,http://www.co.traverse.mn.us/,kit.johnson@co.traverse.mn.us,320-563-1601,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Watonwan County,Watonwan County Courthouse,Courthouse ,710 2nd Ave S,,Saint James,MN,56081,507-375-1210,http://www.co.watonwan.mn.us/,kelly.pauling@co.watonwan.mn.us,507-375-3547,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Wilkin County,Wilkin County Courthouse,Courthouse ,300 S 5th St,,Breckenridge,MN,56520,218-643-7165,http://www.co.wilkin.mn.us/,bconzemius@co.wilkin.mn.us,218-643-7169,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Winona County,Winona County Auditor-Treasurer,Courthouse ,202 W Third St,,Winona,MN,55987,507-457-8830,http://www.co.winona.mn.us/,elections@co.winona.mn.us,507-454-9368,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Aitkin County,Aitkin County Auditor,Elections Office,307 2nd St NW,Rm 121,Aitkin,MN,56431,218-927-7354,http://www.co.aitkin.mn.us/,sally.huhta@co.aitkin.mn.us,218-927-7324,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Anoka County,Anoka County Elections & Voter Registration,Elections Office,2100 3rd Ave,Suite W130,Anoka,MN,55303-5031,763-324-1300,http://www.anokacounty.us,elections@co.anoka.mn.us,763-324-1160,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Beltrami County,Beltrami County Auditor,Elections Office,701 Minnesota Ave NW,Ste 220,Bemidji,MN,56601-3178,218-333-4175,http://www.co.beltrami.mn.us/,danielle.m.johnson@co.beltrami.mn.us,218-333-4246,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Benton County,Benton County Auditor-Treasurer's Office,Elections Office,531 Dewey St,,Foley,MN,56329-0129,320-968-5027,http://www.co.benton.mn.us/,uocavaelections@co.benton.mn.us,320-968-5337,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Big Stone County,Big Stone County Auditor,Elections Office,20 2nd St SE,Ste 103,Ortonville,MN,56278,320-839-6366,http://www.bigstonecounty.org/,elections@co.big-stone.mn.us,320-839-6370,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Carlton County,Carlton County Auditor,Elections Office,301 Walnut Ave,,Carlton,MN,55718,218-384-9127,http://www.co.carlton.mn.us/,paul.gassert@co.carlton.mn.us,218-384-9116,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Carver County,Government Center - Administration Bldg,Elections Office,600 E Fourth St,,Chaska,MN,55318-2102,952-361-1981,http://www.co.carver.mn.us/,elections@co.carver.mn.us,952-361-1919,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Cass County,Cass County Auditor-Treasurer's Office,Elections Office,303 Minnesota Ave W,,Walker,MN,56484,218-547-7295,http://www.co.cass.mn.us/,cass.voter@co.cass.mn.us,218-547-7278,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Chisago County,Chisago County Gov Center,Elections Office,313 N Main St,Rm 271,Center City,MN,55012-7656,651-213-8500,http://www.co.chisago.mn.us/,bridgitte.konrad@chisagocounty.us,651-213-8510,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Clearwater County,Clearwater County Auditor-Treasurer,Elections Office,213 Main Ave N,Dept 202,Bagley,MN,56621-8304,218-694-6520,http://www.co.clearwater.mn.us/,niki.broten@co.clearwater.mn.us,218-694-6244,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Crow Wing County,Crow Wing County Elections,Elections Office,326 Laurel St - Historic Courthouse,Ste 22,Brainerd,MN,56401,218-824-1051,http://crowwing.us/index.aspx?nid=110,Elections@crowwing.us,218-824-1301,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Dakota County,Dakota County Elections,Elections Office,1590 Highway 55,Ste 2300,Hastings,MN,55033,651-438-4305,http://www.dakotacounty.us,elections@co.dakota.mn.us,651-438-4391,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Dodge County,Dodge County Elections,Elections Office,721 Main Street North,Dept 45,Mantorville,MN,55955-2204,507-635-6239,http://www.co.dodge.mn.us/,sara.marquardt@co.dodge.mn.us,507-635-6265,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Douglas County,Douglas County Auditor/Treasurer,Elections Office,305 8th Ave W,,Alexandria,MN,56308,320-762-3077,http://www.co.douglas.mn.us/,vickid@co.douglas.mn.us,320-762-2389,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Faribault County,Faribault County,Elections Office,415 N Main St,,Blue Earth,MN,56013,507-526-6211,http://www.co.faribault.mn.us/,Jessica.blair@co.faribault.mn.us,507-526-6290,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Fillmore County,Fillmore County Auditor,Elections Office,101 Fillmore St,,Preston,MN,55965,507-765-4701,http://www.co.fillmore.mn.us,elections@co.fillmore.mn.us,507-765-2662,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Freeborn County,Freeborn County Government Center,Elections Office,411 S Broadway,,Albert Lea,MN,56007,507-377-5121,http://www.co.freeborn.mn.us/,pat.martinson@co.freeborn.mn.us,507-377-5175,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Goodhue County,Goodhue County Government Center,Elections Office,509 W 5th St,,Red Wing,MN,55066,651-385-3040,http://www.co.goodhue.mn.us,gc_election@co.goodhue.mn.us,651-267-4878,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Hennepin County,Hennepin County Gov't Center,Elections Office,300 South 6th St,MC 012,Minneapolis,MN,55487-0012,612-348-5151,http://www.hennepin.us,ts.vote.uocava@hennepin.us,612-348-2151,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Isanti County,Isanti County Auditor's Office,Elections Office,555 18th Avenue SW,,Cambridge,MN,55008,763-689-1644,http://www.co.isanti.mn.us/,heidi.fowler@co.isanti.mn.us,763-689-8210,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Kandiyohi County,Kandiyohi County Office Bldg,Elections Office,400 Benson Ave SW,,Willmar,MN,56201,320-231-6202 ext 5134,http://www.co.kandiyohi.mn.us/,cathy.pederson@kcmn.us,320-231-6263,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Kittson County,Kittson County Elections,Elections Office,410 5th St SE,Ste 212,Hallock,MN,56728,218-843-2670,http://www.co.kittson.mn.us/,dcostin@co.kittson.mn.us,218-843-2656,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Lac qui Parle County,Lac qui Parle County Auditor,Elections Office,600 6th Street,Ste 6,Madison,MN,56256,320-598-7444,http://www.lqpco.com,vote@lqpco.com,320-598-3125,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Lake of the Woods County,Lorene Hanson,Elections Office,206 8th Ave SE,Ste 260,Baudette,MN,56623,218-634-2836,http://www.co.lake-of-the-woods.mn.us/,lorene_h@co.lake-of-the-woods.mn.us,218-634-2509,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Lyon County,Lyon County Government Center,Elections Office,607 W Main,,Marshall,MN,56258,507-537-6724,http://www.lyonco.org/,elections@co.lyon.mn.us,507-537-6091,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Marshall County,Leanne Novacek,Elections Office,208 E Colvin Ave,Ste 11,Warren,MN,56762,218-745-4851,http://www.co.marshall.mn.us/,leanne.novacek@co.marshall.mn.us,218-745-5089,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,McLeod County,McLeod County,Elections Office,2391 Hennepin Ave N,,Glencoe,MN,55336,320-864-1235,http://www.co.mcleod.mn.us/,mcleod.auditor-treasurer@co.mcleod.mn.us,320-864-3268,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Mower County,Mower County Auditor-Treasurer,Elections Office,500 4th Ave NE,,Austin,MN,55912,507-437-9535,http://www.co.mower.mn.us/,amandak@co.mower.mn.us,507-434-2646,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Murray County,Murray County Elections,Elections Office,2500 28th St,,Slayton,MN,56172-0057,507-836-1152,http://www.murray-countymn.com/,lcarlson@co.murray.mn.us,507-836-6114,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Nicollet County,Nicollet County Govt Center,Elections Office,501 S Minnesota Ave,,St Peter,MN,56082,507-934-7806,http://www.co.nicollet.mn.us/,election@co.nicollet.mn.us,507-931-0856,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Nobles County,Nobles County Auditor-Treasurer,Elections Office,315 10th St,,Worthington,MN,56187,507-295-5258,http://www.co.nobles.mn.us/,elections@co.nobles.mn.us,507-372-8390,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Olmsted County,Olmsted County Elections,Elections Office,151 4th St SE,,Rochester,MN,55904,507-328-7650,http://www.co.olmsted.mn.us/,elections@co.olmsted.mn.us,507-328-7640,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Otter Tail County,Otter Tail County Government Services Center,Elections Office,510 Fir Ave W,,Fergus Falls,MN,56537,218-998-8041,http://www.co.otter-tail.mn.us/,vmanderu@co.ottertail.mn.us,218-998-8042,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Polk County,Polk County Government Center,Elections Office,612 N Broadway,Ste 207,Crookston,MN,56716-1452,218-281-2554,http://www.co.polk.mn.us/,elections@co.polk.mn.us,218-281-1636,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Ramsey County,Ramsey County Elections,Elections Office,90 W Plato Blvd,Ste 160,St Paul,MN,55107,651-266-2171,https://www.ramseycounty.us/residents/elections-voting,elections@co.ramsey.mn.us,651-266-2177,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Red Lake County,Red Lake County,Elections Office,124 Langevin Ave,,Red Lake Falls,MN,56750,218-253-2598,http://www.co.red-lake.mn.us/,raschmitz@co.red-lake.mn.us,218-253-4894,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Redwood County,Redwood County Government Center,Elections Office,403 S Mill St,,Redwood Falls,MN,56283,507-637-4013,http://www.co.redwood.mn.us/,jean_p@co.redwood.mn.us,507-637-4072,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Rice County,Rice County Elections,Elections Office,320 3rd St NW,,Faribault,MN,55021,507-332-6104,http://www.co.rice.mn.us/,rcelections@co.rice.mn.us,507-333-3754,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Scott County,Scott County Government Center,Elections Office,200 Fourth Ave W,,Shakopee,MN,55379,952-496-8560,http://www.co.scott.mn.us,scelections@co.scott.mn.us,952-496-8174,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Sherburne County,Sherburne County Government Center,Elections Office,13880 Business Center Drive NW,,Elk River,MN,55330,763-765-4351,http://www.co.sherburne.mn.us/,elections@co.sherburne.mn.us,763-765-4400,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Sibley County,Sibley County Auditor,Elections Office,400 Court Avenue,,Gaylord,MN,55334-0171,507-237-4070,http://www.co.sibley.mn.us/,Elections@co.sibley.mn.us,507-237-4073,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Stearns County,Stearns County Service Center,Elections Office,3301 County Road 138,,Waite Park,MN,56387,320-656-3920,http://www.co.stearns.mn.us/,nikki.lahr@co.stearns.mn.us,320-203-6960,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Steele County,Steele County Auditor,Elections Office,630 Florence Ave,,Owatonna,MN,55060,507-444-7410,http://www.co.steele.mn.us,,507-444-7470,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Stevens County,Stevens County Auditor,Elections Office,400 Colorado Ave,Ste 303,Morris,MN,56267,320-208-6570,http://www.co.stevens.mn.us/,debbiebrunko@co.stevens.mn.us,320-589-2036,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Swift County,Swift County Auditor,Elections Office,301 14th St N,,Benson,MN,56215,320-843-4069,http://www.swiftcounty.com/,kim.saterbak@co.swift.mn.us,320-843-2275,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Wabasha County,Wabasha County Auditor/Treasurer,Elections Office,625 Jefferson Ave,,Wabasha,MN,55981,651-565-2648,http://www.co.wabasha.mn.us/,fwarren@co.wabasha.mn.us,651-565-2774,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Wadena County,Wadena County Courthouse,Elections Office,415 S Jefferson St,,Wadena,MN,56482,218-631-7792,http://www.co.wadena.mn.us/,joy.weyer@co.wadena.mn.us,218-631-7652,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Waseca County,Waseca County Auditor,Elections Office,307 N State St,,Waseca,MN,56093,507-835-0610,http://www.co.waseca.mn.us/,maryjo.stangler@co.waseca.mn.us,507-835-0633,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Washington County,Washington County Government Center,Elections Office,14949 62nd St N,,Stillwater,MN,55082,651-430-6175,http://www.co.washington.mn.us/,elections@co.washington.mn.us,651-430-6178,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Wright County,Wright County Government Center,Elections Office,10 2nd St NW,Rm 230,Buffalo,MN,55313-1195,763-682-7579,http://www.co.wright.mn.us/,elections@co.wright.mn.us,763-682-7873,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
Minnesota,Yellow Medicine County,YMC Government Center,Elections Office,180 8th Ave,,Granite Falls,MN,56241-1508,320-564-3132,http://www.co.ym.mn.gov,amyr@co.ym.mn.gov,320-564-0927,The last Saturday before Election Day: 10:00 AM-3:00 PM; The day before Election Day until 5:00 PM
