state,county,location_name,location_type,address_1,address_2,city,state_2,zip,mail_address1,mail_zip,phone,phone2,county_website_url,email,fax,hours
South Carolina,Florence,Board of Voter Registration,Elections Office,219 Third Loop Road,,Florence,SC,29505,,29505,(843) 665-3094,,http://www.florenceco.org/offices/voter-registration/,Vote.Florence@elections.sc.gov,(843) 292-1613,MONDAY-FRIDAY:8:30AM-5:00PM
South Carolina,Georgetown,Board of Voter Registration,Elections Office,303 N. Hazard Street,,Georgetown,SC,29440,,29440,(843) 545-3339,,https://www.georgetowncountysc.org/elections/,vote@georgetowncountysc.org,(843)545-3342,MONDAY-FRIDAY:8:30AM-5:00PM
South Carolina,Greenville,Board of Voter Registration,Elections Office,301 University Ridge,Suite 1900,Greenville,SC,29601,,29601,(864) 467-7250,,http://www.greenvillecounty.org/VoterRegistration/,cbelangia@greenvillecounty.org,(864) 467-7256,MONDAY-FRIDAY:8:30AM-5:00PM
South Carolina,Greenwood,Board of Voter Registration,Elections Office,600 Monument Street,Suite 113,Greenwood,SC,29646,,29646,(864) 942-3152,,https://www.scvotes.gov/greenwood,vote.greenwood@elections.sc.gov,(864) 942-5664,MONDAY-FRIDAY:8:30AM-5:00PM
South Carolina,Hampton,Board of Voter Registration,Elections Office,201 Jackson Avenue West,,Hampton,SC,29924,,29924,(803) 914-2080,,https://www.scvotes.gov/hampton,dbryant@hamptoncountysc.org,(803) 914-2083,MONDAY-FRIDAY:8:30AM-5:00PM
South Carolina,Horry,Board of Voter Registration,Elections Office,1515 4th Avenue,,Conway,SC,29526,,29526,(843) 915-5440,,https://www.scvotes.gov/horry,MartinS@HorryCounty.org,(843) 915-6440,MONDAY-FRIDAY:8:30AM-5:00PM
South Carolina,Jasper,Board of Voter Registration,Elections Office,1506 Grays Highway,Unit B,Ridgeland,SC,29936,PO Box 299,29936,(843) 726-7709,,https://www.jaspercountysc.gov/departments/departments-i-w/voters-registration,jbostick@jaspercountysc.gov,(843) 726-7626,MONDAY-FRIDAY:9:00AM-5:00PM
South Carolina,Kershaw,Board of Voter Registration,Elections Office,609 Lafayette Avenue,,Camden,SC,29020,,29020,(803) 424-4016,,https://www.scvotes.gov/kershaw,voterregistration@kershaw.sc.gov,(803) 424-4012,MONDAY-FRIDAY:8:30AM-5:00PM
South Carolina,Lancaster,Board of Voter Registration,Elections Office,101 North Main Street,,Lancaster,SC,29721,PO Box 1809,29721,(803) 285-2969,,https://www.scvotes.gov/lancaster,mahudson@lancastercountysc.net,(877) 636-5277,MONDAY-FRIDAY:8:30AM-5:00PM
South Carolina,Laurens,Board of Voter Registration,Elections Office,200 Courthouse/Public Square,,Laurens,SC,29360,PO Box 769,29360,(864) 984-4431,,https://www.scvotes.gov/laurens,lwest@co.laurens.sc.us,(864) 983-2529,MONDAY-FRIDAY:8:30AM-5:00PM
South Carolina,Lee,Board of Voter Registration,Elections Office,101 Gregg Street,,Bishopville,SC,29010,PO Box 309,29010,(803) 484-1832,,https://www.scvotes.gov/lee,sbarnhill@leecountysc.org,(803) 484-4392,MONDAY-FRIDAY:8:30AM-5:00PM
South Carolina,Lexington,Board of Voter Registration,Elections Office,605 West Main Street,Suite C,Lexington,SC,29072,,29072,(803) 785-8361,,https://www.scvotes.gov/lexington,MBrack@lex-co.com,(803) 785-8390,MONDAY-FRIDAY:8:30AM-5:00PM
South Carolina,Marion,Board of Voter Registration,Elections Office,2523 E. Highway 76,,Marion,SC,29571,,29571,(843) 423-8268,,https://www.scvotes.gov/marion,tmoody@marionsc.org,(843) 423-8267,MONDAY-FRIDAY:8:30AM-5:00PM
South Carolina,Marlboro,Board of Voter Registration,Elections Office,119 S Marlboro Street,,Bennettsville,SC,29512,PO Box 502,29512,(843) 479-5612,,https://www.scvotes.gov/marlboro,lmoses@marlborocounty.sc.gov,(843) 454-0633,MONDAY-FRIDAY:8:30AM-5:00PM
South Carolina,McCormick,Board of Voter Registration,Elections Office,610 South Mine Street,,McCormick,SC,29835,PO Box 636,29835,(864) 852-2089,,https://www.scvotes.gov/mccormick,sojennings@mccormickcountysc.org,(864) 852-2489,MONDAY-FRIDAY:8:30AM-5:00PM
South Carolina,Newberry,Board of Voter Registration,Elections Office,1872 Wilson Road,,Newberry,SC,29108,PO Box 147,29108,(803) 321-2121,,https://www.scvotes.gov/newberry,sproctor@newberrycounty.net,(803) 321-2122,MONDAY-FRIDAY:8:30AM-5:00PM
South Carolina,Oconee,Board of Voter Registration,Elections Office,415 South Pine Street,,Walhalla,SC,29691,,29691,(864) 638-4196,,https://www.scvotes.gov/oconee,jscharich@oconeesc.com,(864) 638-4197,MONDAY-FRIDAY:8:30AM-5:00PM
South Carolina,Orangeburg,Board of Voter Registration,Elections Office,1475 Amelia Street,,Orangeburg,SC,29116,PO Box 9000,29116,(803) 533-6210,,https://www.orangeburgcounty.org/346/Voter-Registration,absentee@orangeburgcounty.org,(803) 533-6215,MONDAY-FRIDAY:8:30AM-5:00PM
South Carolina,Pickens,Board of Voter Registration,Elections Office,222 McDaniel Avenue B-9,,Pickens,SC,29671,,29671,(864) 898-5948,(864) 898-5949,http://pickenselections.org/,vote.Pickens@elections.sc.gov,(864) 898-5637,MONDAY-FRIDAY:8:30AM-5:00PM
South Carolina,Richland,Board of Voter Registration,Elections Office,2020 Hampton Street,,Columbia,SC,29250,PO Box 5330,29250,(803) 576-2240,,http://www.richlandonline.com/Residents/NewResidents/VoterRegistration.aspx,rcvoterapplication@rcgov.us,(803) 576-2249,MONDAY-FRIDAY:8:30AM-5:00PM
South Carolina,Saluda,Board of Voter Registration,Elections Office,702 Batesburg Hwy,,Saluda,SC,29138,,29138,"(864) 445-4500, ext. 2361",,https://www.scvotes.gov/saluda,rf.padgett@saludacounty.sc.gov,(864) 445-9187,MONDAY-FRIDAY:8:30AM-5:00PM
South Carolina,Spartanburg,Board of Voter Registration,Elections Office,366 North Church Street,Room 1630,Spartanburg,SC,29304,PO Box 1287,29303,(864) 596-2549,,https://www.spartanburgcounty.org/161/Registrations-and-Elections,HLaye@Spartanburgcounty.org,(864)  596-2958,MONDAY-FRIDAY:8:30AM-5:00PM
South Carolina,Sumter,Board of Voter Registration,Elections Office,141 North Main Street,,Sumter,SC,29150,,29150,(803) 436-2313,,http://www.sumtercountysc.org/departments/s_-_z/voter_registration_elections/index.php,pjefferson@sumtercountysc.org,(803) 436-2405,MONDAY-FRIDAY:8:30AM-5:00PM
South Carolina,Union,Board of Voter Registration,Elections Office,1246 S. Duncan Bypass,Suite B,Union,SC,29379,,29379,(864) 429-1616,,https://www.scvotes.gov/union,dpettit@countyofunion.com,(864) 427-7851,MONDAY-FRIDAY:8:30AM-5:00PM
South Carolina,Williamsburg,Board of Voter Registration,Elections Office,126 S. Jackson St.,,Kingstree,SC,29556,,29556,(843) 355-6044,,https://www.scvotes.gov/williamsburg,Vote.Williamsburg@elections.sc.gov,(843) 355-2039,MONDAY-FRIDAY:8:30AM-5:00PM
South Carolina,York,Board of Voter Registration,Elections Office,6 South Congress Street,,York,SC,29745,,29745,(803) 684-1242,,https://www.scvotes.gov/york,elections@yorkcountygov.com,(803) 684-7801,MONDAY-FRIDAY:8:30AM-5:00PM
