state,county,location_name,location_type ,address_1,address_2,city,state_2,zip,phone,email,fax
Louisiana,St. Tammany,THE TOWERS BUILDING,Elections Office,520 OLD SPANISH TRAIL,SUITE 2F,SLIDELL,LA,70458,(985) 646-4125,ST.TAMMANYROVB@SOS.LA.GOV,(985) 646-4126
Louisiana,Tangipahoa,TANGIPAHOA PARISH COURTHOUSE,Elections Office,110 N. BAY ST,#103,AMITE,LA,70422-2599,(985) 748-3215,TANGIPAHOAROVA@SOS.LA.GOV,(985) 748-3839
Louisiana,Tangipahoa,TANGIPAHOA SHERIFF'S OFFICE SUBSTATION,Elections Office,15475 CLUB DELUXE RD,,HAMMOND,LA,70403,(985) 345-3717,TANGIPAHOAROVB@SOS.LA.GOV,(985) 902-7544
Louisiana,Tensas,COURTHOUSE ANNEX,Elections Office,203 HANCOCK ST,,ST JOSEPH,LA,71366,(318) 766-3931,TENSASROV@SOS.LA.GOV,(318) 766-3933
Louisiana,Terrebonne,,Elections Office,8026 MAIN STREET,SUITE 101,HOUMA,LA,70360-3407,(985) 873-6533,TERREBONNEROV@SOS.LA.GOV,(985) 873-6834
Louisiana,Union,COURTHOUSE ANNEX,Elections Office,303 E WATER ST,#107,FARMERVILLE,LA,71241-3000,(318) 368-8660,UNIONROV@SOS.LA.GOV,(318) 368-8660
Louisiana,Vermilion,VERMILION PARISH COURTHOUSE COURTHOUSE,Elections Office,100 N. STATE ST,#120,ABBEVILLE,LA,70510-5170,(337) 898-4324,VERMILIONROV@SOS.LA.GOV,(337) 898-4326
Louisiana,Vernon,ANNEX,Elections Office,301 E. COURTHOUSE ST,,LEESVILLE,LA,71446-4330,(337) 239-3690,VERNONROV@SOS.LA.GOV,(337) 238-0634
Louisiana,Washington,WASHINGTON PARISH COURTHOUSE,Elections Office,900 WASHINGTON ST,,FRANKLINTON,LA,70438-1719,(985) 839-7850,WASHINGTONROV@SOS.LA.GOV,(985) 839-7851
Louisiana,Webster,WEBSTER PARISH COURTHOUSE,Elections Office,410 MAIN STREET,,MINDEN,LA,71055-3382,(318) 377-9272,WEBSTERROV@SOS.LA.GOV,(318) 377-9917
Louisiana,West Baton Rouge,COURTHOUSE ANNEX BUILDING,Elections Office,883 7TH STREET,SUITE A,PORT ALLEN,LA,70767-0031,(225) 336-2421,WESTBATONROUGEROV@SOS.LA.GOV,(225) 387-3222
Louisiana,West Carroll,WEST CARROLL PARISH COURTHOUSE,Elections Office,305 E. MAIN ST,RM. 108,OAK GROVE,LA,71263,(318) 428-2381,WESTCARROLLROV@SOS.LA.GOV,(318) 428-9253
Louisiana,West Feliciana,GOVNMNTL COMPLEX,Elections Office,5932 COMMERCE ST,,ST FRANCISVILLE,LA,70775,(225) 635-6161,WESTFELICIANAROV@SOS.LA.GOV,(225) 635-6161
Louisiana,Winn,COURTHOUSE,Elections Office,119 W. MAIN ST,#105,WINNFIELD,LA,71483-3238,(318) 628-6133,WINNROV@SOS.LA.GOV,(318) 628-6142
