state,county,location_name,location_type,address_1,address_2,pobox,city,state_2,zip,phone,email,fax
Nebraska,Cass,Election Officials,Elections Office,201 Main Street,,,Plattsmouth,NE,68048,(402) 296-9309,linnm@cassne.org,(402) 296-1001
Nebraska,Cedar ,Election Officials,Elections Office,101 S Broadway,,PO Box 47,Hartington,NE,68739,(402) 254-7411,cedarclk@hartel.net,(402) 254-7410
Nebraska,Chase,Election Officials,Elections Office,921 Broadway St.,,PO Box 1299,Imperial,NE,69033,(308) 882-7502,chasecountyclerk@gmail.com,(308) 882-7552
Nebraska,Cherry ,Election Officials,Elections Office,365 N Main St.,,PO Box 120,Valentine,NE,69201,(402) 376-2771,bpetersen@cherrycountyne.com,(402) 376-3095
Nebraska,Cheyenne ,Election Officials,Elections Office,1000 10th Ave.,,PO Box 217,Sidney,NE,69162,(308) 254-2141,clerk@cheyennecounty.net,(308) 254-5049
Nebraska,Clay ,Election Officials,Elections Office,111 W Fairfield St.,,,Clay Center,NE,68933,(402) 762-3463,clerk@clay.nacone.org,(402) 762-3468
Nebraska,Colfax ,Election Officials,Elections Office,411 E. 11th St.,Ste 13,,Schuyler,NE,68661,(402) 352-8504,rmundil@colfaxne.com,(402) 352-8515
Nebraska,Cuming ,Election Officials,Elections Office,200 S. Lincoln St.,Room 100,,West Point,NE,68788,(402) 372-6002,clerk@cumingcounty.ne.gov,(402) 372-6013
Nebraska,Custer ,Election Officials,Elections Office,431 S. 10th St.,Rm 18,,Broken Bow,NE,68822,(308) 872-5701,clerk@custer.nacone.org,(308) 872-5290
Nebraska,Dakota ,Election Officials,Elections Office,1601 Broadway St.,,PO Box 39,Dakota City,NE,68731,(402) 987-2129,jspencer@dakotacountyne.org,(402) 494-9229
Nebraska,Dawes ,Election Officials,Elections Office,451 Main,,,Chadron,NE,69337,(308) 432-0100,clerk@dawes-county.com,(308) 432-5179
Nebraska,Dawson ,Election Officials,Elections Office,700 N. Washington St,Room A,,Lexington,NE,68850,(308) 324-2127,karla.zlatkovsky@dawsoncountyne.org,(308) 324-9832
Nebraska,Deuel ,Election Officials,Elections Office,718 Third St.,,PO Box 327,Chappell,NE,69129,(308) 874-3308,polly.olson@nebraska.gov,(308) 874-3472
Nebraska,Dixon ,Election Officials,Elections Office,302 W 3rd St.,,PO Box 546,Ponca,NE,68770,(402) 755-5602,clerk@dixon.nacone.org,(402) 755-5650
Nebraska,Dodge ,Election Officials,Elections Office,435 N. Park Ave,Ste 102,,Fremont,NE,68025,(402) 727-2767,dodgecountyvote@gmail.com,(402) 727-2764
Nebraska,Douglas,Election Officials,Elections Office,12220 W Center Rd,,,Omaha,NE,68144,(402) 444-8683,earlyvoting@votedouglascounty.com,(402) 444-4181
Nebraska,Dundy ,Election Officials,Elections Office,112 7th Ave. West,,PO Box 506,Benkelman,NE,69021,(308) 423-2058,clerk@dundy.nacone.org,(308) 423-2325
Nebraska,Fillmore ,Election Officials,Elections Office,900 G St.,,PO Box 307,Geneva,NE,68361,(402) 759-4931,amy.nelson@fillmore.nacone.org,(402) 759-4307
Nebraska,Franklin ,Election Officials,Elections Office,405 15th Ave.,,PO Box 146,Franklin,NE,68939,(308) 425-6202,clerk@franklin.nacone.org,(308) 425-6093
Nebraska,Frontier ,Election Officials,Elections Office,PO Box 40,,,Stockville,NE,69042,(308) 367-8641,clerkfc@curtis-ne.com,(308) 367-8730
Nebraska,Furnas ,Election Officials,Elections Office,912 R St.,,PO Box 387,Beaver City,NE,68926,(308) 268-4145,furnascoclerk@atcjet.net,(308) 268-3205
Nebraska,Gage,Election Officials,Elections Office,612 Grant St.,,PO Box 429,Beatrice,NE,68310,(402) 223-1300x4,clerk@gage.nacone.org,(402) 223-1371
Nebraska,Garden ,Election Officials,Elections Office,611 Main St.,,PO Box 350,Oshkosh,NE,69154,(308) 772-3924,mindy.kezar@nebraska.gov,(308) 772-9926
Nebraska,Garfield ,Election Officials,Elections Office,250 S. 8th Ave.,,PO Box 218,Burwell,NE,68823,(308) 346-4161,clerk@garfield.nacone.org,(308) 346-4651
Nebraska,Gosper ,Election Officials,Elections Office,507 Smith St.,,PO Box 136,Elwood,NE,68937,(308) 785-2611,goclerk73@atcjet.net,(308) 785-2300
Nebraska,Grant ,Election Officials,Elections Office,105 E Harrison,,PO Box 139,Hyannis,NE,69350,(308) 458-2488,christee.haney@nebraska.gov,(308) 458-2780
Nebraska,Greeley ,Election Officials,Elections Office,101 S Kildare St.,Ste 201,PO Box 287,Greeley,NE,68842,(308) 428-3625,mindy.grossart@nebraska.gov,(308) 428-3022
Nebraska,Hall,Election Officials,Elections Office,121 South Pine,Ste. 8,,Grand Island,NE,68801,(308) 385-5085,elections@hallcountyne.gov,(308) 385-5071
Nebraska,Hamilton ,Election Officials,Elections Office,1111 13th St.,Ste. 1,,Aurora,NE,68818,(402) 694-3443,clerk@hamilton.net,(402) 694-2297
Nebraska,Harlan ,Election Officials,Elections Office,706 West 2nd St.,,PO Box 698,Alma,NE,68920,(308) 928-2173,clerk@harlan.nacone.org,(308) 928-2079
Nebraska,Hayes ,Election Officials,Elections Office,505 Troth,,PO Box 370,Hayes Center,NE,69032,(308) 286-3413,clerk@hayes.nacone.org,(308) 286-3208
Nebraska,Hitchcock ,Election Officials,Elections Office,229 East D Street,,,Trenton,NE,69044,(308) 334-5646,clerk@hitchcock.nacone.org,(308) 334-5398
Nebraska,Holt ,Election Officials,Elections Office,204 N 4th Street,,PO Box 329,O'Neill,NE,68763,(402) 336-1762,holtclerk.cathy@holtcountyne.org,(402) 336-1762
Nebraska,Hooker,Election Officials,Elections Office,303 NW 1st St.,,PO Box 184,Mullen,NE,69152,(308) 546-2244,soscou93@nebnet.net,(308) 546-2490
Nebraska,Howard ,Election Officials,Elections Office,612 Indian St.,,PO Box 25,St. Paul,NE,68873,(308) 754-4343,bev.sack@nebraska.gov,(308) 754-4266
Nebraska,Jefferson ,Election Officials,Elections Office,411 Fourth Street,Ste 1,,Fairbury,NE,68352,(402) 729-6818,countyclerk1@jeffconebraska.us,(402) 729-6806
Nebraska,Johnson ,Election Officials,Elections Office,351 Broadway,,PO Box 416,Tecumseh,NE,68450,(402) 335-6300,clerk@johnsoncountyne.com,(402) 335-6311
Nebraska,Kearney ,Election Officials,Elections Office,424 N Colorado Ave.,,PO Box 339,Minden,NE,68959,(308) 832-2723,kearneycountyclerk@outlook.com,(308) 832-2729
Nebraska,Keith,Election Officials,Elections Office,511 N. Spruce,Suite 102,,Ogallala,NE,69153,(308) 284-4726,clerk@keithcountyne.gov,(308) 284-6277
Nebraska,Keya Paha ,Election Officials,Elections Office,310 Courthouse Drive,,PO Box 349,Springview,NE,68778,(402) 497-3791,keyapahaclerk20@gmail.com,(402) 497-3799
Nebraska,Kimball ,Election Officials,Elections Office,114 E Third St.,Ste. 6,,Kimball,NE,69145,(308) 235-2241,clerk@kimballcountyne.us,(308) 235-3654
Nebraska,Knox,Election Officials,Elections Office,206 Main St.,,PO Box 166,Center,NE,68724,(402) 288-5604,clerk@knoxcountyne.org,(402) 288-5605
Nebraska,Lancaster,Election Officials,Elections Office,601 N 46th Street,,,Lincoln,NE,68503,(402) 441-7311,earlyvote@lancaster.ne.gov,(402) 441-6379
Nebraska,Lincoln,Election Officials,Elections Office,301 N Jeffers Street,Rm. 101,,North Platte,NE,69101,(308) 534-4350,election@co.lincoln.ne.us,(308) 535-3522
Nebraska,Logan ,Election Officials,Elections Office,317 Main St.,,PO Box 8,Stapleton,NE,69163,(308) 636-2311,debbie.myers@nebraska.gov,(308) 636-2678
Nebraska,Loup ,Election Officials,Elections Office,408 4th St.,,PO Box 187,Taylor,NE,68879,(308) 942-3135,debbie.postany@nebraska.gov,(308) 942-3103
Nebraska,Madison,Election Officials,Elections Office,1313 N Main St.,,PO Box 290,Madison,NE,68748,"(402) 454-3311, ext. 136",clerk@madisoncountyne.com,(402) 454-6682
Nebraska,McPherson ,Election Officials,Elections Office,500 Anderson,,PO Box 122,Tryon,NE,69167,(308) 587-2363,kathy.hoberg@nebraska.gov,(308) 587-2210
Nebraska,Merrick ,Election Officials,Elections Office,1510 18th St.,,PO Box 27,Central City,NE,68826,(308) 946-2881,clerk@merrick.nacone.org,(308) 946-2332
Nebraska,Morrill ,Election Officials,Elections Office,606 L St.,,PO Box 610,Bridgeport,NE,69336,(308) 262-0860,clerk@morrill.nacone.org,(308) 262-2260
Nebraska,Nance ,Election Officials,Elections Office,209 Esther St.,,PO Box 338,Fullerton,NE,68638,(308) 536-2331,clerk@nance.nacone.org,(308) 536-2742
Nebraska,Nemaha ,Election Officials,Elections Office,1824 N Street,Ste. 201,,Auburn,NE,68305,(402) 274-4213,clerk@nemahacountyne.org,(402) 274-4389
Nebraska,Nuckolls ,Election Officials,Elections Office,150 S Main St.,,PO Box 366,Nelson,NE,68961,(402) 225-4361,clerk@nuckolls.nacone.org,(402) 225-4301
Nebraska,Otoe ,Election Officials,Elections Office,1021 Central Ave,Rm. 103,,Nebraska City,NE,68410,(402) 873-9505,jbassinger@otoecountyne.gov,(402) 873-9506
Nebraska,Pawnee ,Election Officials,Elections Office,625 6th St.,,PO Box 431,Pawnee City,NE,68420,(402) 852-2962,clerk.pawneecountyne@gmail.com,(402) 852-2963
Nebraska,Perkins ,Election Officials,Elections Office,200 Lincoln Ave.,,PO Box 156,Grant,NE,69140,(308) 352-7560,clerk@perkins.nacone.org,(308) 352-7562
Nebraska,Phelps ,Election Officials,Elections Office,715 5th Ave.,,PO Box 404,Holdrege,NE,68949,(308) 995-4469,clerk@phelpscone.org,(308) 995-4368
Nebraska,Pierce ,Election Officials,Elections Office,111 W Court St.,Rm. 1,,Pierce,NE,68767,(402) 329-4225,piecoclk@ptcnet.net,(402) 329-6439
Nebraska,Platte ,Election Officials,Elections Office,2610 14th St.,Ste 12,,Columbus,NE,68601,(402) 563-4908,elections@plattene.us,(402) 564-7733
Nebraska,Polk ,Election Officials,Elections Office,400 Hawkeye St.,,PO Box 276,Osceola,NE,68651,(402) 747-5431,clerk@polk.nacone.org,(402) 747-2656
Nebraska,Red Willow ,Election Officials,Elections Office,502 Norris Ave.,Ste 1,,McCook,NE,69001,(308) 345-1552,clerk@redwillow.nacone.org,(308) 345-4460
Nebraska,Richardson ,Election Officials,Elections Office,1700 Stone Street,Ste 203,,Falls City,NE,68355,(402) 245-2911,clerk@richardson.nacone.org,(402) 245-2946
Nebraska,Rock ,Election Officials,Elections Office,400 S State St.,,PO Box 367,Bassett,NE,68714,(402) 684-3933,rockcountyclerk@outlook.com,(402) 684-2471
Nebraska,Saline ,Election Officials,Elections Office,204 S. High Street,,PO Box 865,Wilber,NE,68465,(402) 821-3922,election@salinecountyne.us,(402) 821-3381
Nebraska,Sarpy ,Election Officials,Elections Office,501 Olson Dr.,Suite 4,,Papillion,NE,68046,(402) 593-2167,earlyvote@sarpy.com,(402) 593-5770
Nebraska,Saunders ,Election Officials,Elections Office,433 N Chestnut St.,Ste. 300,PO Box 61,Wahoo,NE,68066,(402) 443-8101,countyclerk@co.saunders.ne.us,(402) 443-5709
Nebraska,Scotts Bluff ,Election Officials,Elections Office,1825 10th Street,,,Gering,NE,69341,(308) 436-6653,ksides@scottsbluffcounty.org,(308) 436-3178
Nebraska,Seward ,Election Officials,Elections Office,529 Seward St.,,PO Box 190,Seward,NE,68434,(402) 643-2883,sschweitzer@co.seward.ne.us,(402) 643-2228
Nebraska,Sheridan ,Election Officials,Elections Office,301 E 2nd St.,,PO Box 39,Rushville,NE,69360,(308) 327-5650,clerk@sheridan.nacone.org,(308) 327-5624
Nebraska,Sherman ,Election Officials,Elections Office,630 O St.,,PO Box 456,Loup City,NE,68853,(308) 745-1513 ext.100,marcy.sekutera@nebraska.gov,(308) 745-0297
Nebraska,Sioux ,Election Officials,Elections Office,325 Main St.,,PO Box 158,Harrison,NE,69346,(308) 668-2443,mzimmerman@sioux.nacone.org,(308) 668-2443
Nebraska,Stanton ,Election Officials,Elections Office,804 Ivy St.,,PO Box 347,Stanton,NE,68779,(402) 439-2222,clerk@stantoncountyne.org,(402) 439-2200
Nebraska,Thayer ,Election Officials,Elections Office,225 N. Fourth St.,Room 201,,Hebron,NE,68370,(402) 768-6126,clerk@thayer.nacone.org,(402) 768-2129
Nebraska,Thomas ,Election Officials,Elections Office,503 Main St.,,PO Box 226,Thedford,NE,69166,(308) 645-2261,lorissa.hartman@nebraska.gov,(308) 645-2623
Nebraska,Thurston ,Election Officials,Elections Office,106 S 5th St.,,PO Box 159,Pender,NE,68047,(402) 385-2343,clerk@thurston.nacone.org,(402) 385-3544
Nebraska,Valley ,Election Officials,Elections Office,125 S. 15th Street,,,Ord,NE,68862,(308) 728-3700,valleycountyclerk@outlook.com,(308) 730-8301
Nebraska,Washington ,Election Officials,Elections Office,1555 Colfax St.,,PO Box 466,Blair,NE,68008,(402) 426-6822,clerk@washingtoncountyne.org,(402) 426-6825
Nebraska,Wayne ,Election Officials,Elections Office,510 N Pearl St.,Ste. 5,,Wayne,NE,68787-1939,(402) 375-2288,clerk@wayne.nacone.org,(402) 375-4137
Nebraska,Webster ,Election Officials,Elections Office,621 N Cedar St.,,PO Box 250,Red Cloud,NE,68970,(402) 746-2716,clerk@webster.nacone.org,(402) 746-2710
Nebraska,Wheeler ,Election Officials,Elections Office,301 3rd St.,,PO Box 127,Bartlett,NE,68622,(308) 654-3235,clerk@wheeler.nacone.org,(308) 654-3176
Nebraska,York,Election Officials,Elections Office,510 N Lincoln Ave.,,,York,NE,68467,(402) 362-7759,clerk@york.nacone.org,(402) 362-7558
