State,County,location_type,location_name,address_1,address_2,city,state_2,zip,phone,email,fax
South Dakota,Hyde,County Auditor,Elections Office,412 Commercial Ave. SE,,Highmore,SD,57345,(605) 852-2519,hydeaud@venturecomm.net,(605) 852-3178
South Dakota,Jackson,County Auditor,Elections Office,1 South Main St,,Kadoka,SD,57543-0280,(605) 837-2422,vicki.wilson@state.sd.us,(605) 837-2447
South Dakota,Jerauld,County Auditor,Elections Office,205 South Wallace St,,Wessington Springs,SD,57382-0422,(605) 539-9301,jerauldaud@venturecomm.net,(605) 539-9125
South Dakota,Jones,County Auditor,Elections Office,310 Main,,Murdo,SD,57559-0307,(605) 669-7100,jonesaud@goldenwest.net,(605) 669-7120
South Dakota,Kingsbury,County Auditor,Elections Office,202 2nd St SE,,De Smet,SD,57231,(605) 854-3832,aud1@kingsburycountysd.org,(605) 854-3833
South Dakota,Lake,County Auditor,Elections Office,200 E Center St,,Madison,SD,57042-2941,(605) 256-7600,lakeauditor@lake.sd.gov,(605) 256-7622
South Dakota,Lawrence,County Auditor,Elections Office,90 Sherman St,,Deadwood,SD,57732-0678,(605) 578-1941,voters@lawrence.sd.us,(605) 578-1065
South Dakota,Lincoln,County Auditor,Elections Office,104 N Main,Ste. 110,Canton,SD,57013-1703,(605) 764-2581,Auditor@lincolncountysd.org,(605) 764-0134
South Dakota,Lyman,County Auditor,Elections Office,300 South Main Ave,,Kennebec,SD,57544-0038,(605) 869-2247,auditor@lymancounty.org,(605) 869-2247
South Dakota,Marshall,County Auditor,Elections Office,911 Vander Horck,,Britton,SD,57430-0130,(605) 448-2401,mcauditor@venturecomm.net,(605) 448-2116
South Dakota,McCook,County Auditor,Elections Office,130 West Essex Ave,,Salem,SD,57058,(605) 425-2791,mccookaud@triotel.net,(605) 425-2534
South Dakota,McPherson,County Auditor,Elections Office,706 Main St,,Leola,SD,57456,(605) 439-3314,mcphersonaud@valleytel.net,(605) 439-3394
South Dakota,Meade,County Auditor,Elections Office,1300 Sherman St,Ste. 126,Sturgis,SD,57785,(605) 347-2360,auditor@meadecounty.org,(605) 720-6624
South Dakota,Mellette,County Auditor,Elections Office,South 1st St,,White River,SD,57579-0403,(605) 259-3291,mellettecounty@gmail.com,(605) 259-3194
South Dakota,Miner,County Auditor,Elections Office,401 North Main,,Howard,SD,57349-0086,(605) 772-4671,minerauditor@minercountysd.org,(605) 772-4203
South Dakota,Minnehaha,County Auditor,Elections Office,415 N Dakota Ave,,Sioux Falls,SD,57104-2465,(605) 367-4220,blitz@minnehahacounty.org,(605) 367-7409
South Dakota,Moody,County Auditor,Elections Office,101 E Pipestone Ave,Ste. D,Flandreau,SD,57028-0750,(605) 997-3161,mcaud1@moodycounty.net,(605) 997-9996
South Dakota,Oglala Lakota,County Auditor,Elections Office,906 N River St,,Hot Springs,SD,57747-1398,(605) 745-5130,sue.ganje@state.sd.us,(605) 745-6835
South Dakota,Pennington,County Auditor,Elections Office,906 N River St,,Rapid City,SD,57709-6160,(605) 394-2153,elections@pennco.org,(605) 394-6840
South Dakota,Perkins,County Auditor,Elections Office,100 East Main St,,Bison,SD,57620-0126,(605) 244-5624,pkaud@sdplains.com,(605) 231-5560
South Dakota,Potter,County Auditor,Elections Office,201 S Exene,,Gettysburg,SD,57442-1521,(605) 765-9408,pcaudit@venturecomm.net%20,(605) 765-2332
South Dakota,Roberts,County Auditor,Elections Office,411 2nd Ave E,,Sisseton,SD,57262-1495,(605) 698-7336,dawn.sattler@state.sd.us,(605) 698-4277
South Dakota,Sanborn,County Auditor,Elections Office,604 West 6th St,,Woonsocket,SD,57385-0007,(605) 796-4513,Dianel@sanborncounty.net,(605) 796-4509
South Dakota,Spink,County Auditor,Elections Office,210 E 7th Ave,Ste. 5,Redfield,SD,57469-1266,(605) 472-4580,spinkcoauditor@nrctv.com,(605) 472-4582
South Dakota,Stanley,County Auditor,Elections Office,8 East 2nd Ave,,Fort Pierre,SD,57532-0595,(605) 223-7780,scauditor@midconetwork.com,(605) 223-7785
South Dakota,Sully,County Auditor,Elections Office,700 Ash Ave,,Onida,SD,57564,(605) 258-2541,sullyaud@venturecomm.net,(605) 258-2884
South Dakota,Todd,County Auditor,Elections Office,200 E 3rd St,,Winner,SD,57580,(605) 842-3727,bdesersa@trippcounty.us,(605) 842-1116
South Dakota,Tripp,County Auditor,Elections Office,200 East 3rd,,Winner,SD,57580-1806,(605) 842-3727,bdesersa@trippcounty.us,(605) 842-1116
South Dakota,Turner,County Auditor,Elections Office,400 South Main St,,Parker,SD,57053-0370,(605) 297-3153,turcoaud@iw.net,(605) 297-5556
South Dakota,Union,County Auditor,Elections Office,209 E Main St,Ste. 200,Elk Point,SD,57025-2327,(605) 356-2101,ucauditor@unioncountysd.org,(605) 356-3047
South Dakota,Walworth,County Auditor,Elections Office,4304 4th Ave,,Selby,SD,57472-0199,(605) 649-7878,rkrein@walworthco.org,(605) 649-7867
South Dakota,Yankton,County Auditor,Elections Office,321 W. 3rd St.,Ste. 100,Yankton,SD,57078-4396,(605) 260-4436,patty@co.yankton.sd.us,(605) 260-4494
South Dakota,Ziebach,County Auditor,Elections Office,215 Main St,,Dupree,SD,57623-0068,(605) 365-5157,ziebachauditor@lakotanetwork.com,(605) 365-5203
