state,county,location_name,location_type,address_1,address_2,city,state_2,zip,phone,county_website_url,source_data,email,fax,hours,notes
Pennsylvania,Bucks,Board of Elections Office,Elections Office,55 E. Court St.,,Doylestown,PA,18901,(215) 348-6154,http://www.buckscounty.org/,http://www.buckscounty.org/government/administration/ChiefClerk/BoardofElections,elections@buckscounty.org,,10/5-10/26: 8am-5pm; 10/27-10/30: 8am-7pm; 10/31-11/1: 12pm-5pm; 11/2: 8am-7pm; 11/3: 8am-8pm  ,Monday-Friday beginning October 5; Daily beginning October 26
Pennsylvania,Bucks County,Government Service Center,Elections Office,261 California Rd,,Quakertown,PA,18951,,,,,,10/5-10/26: 8AM-4:30PM; 10/27-10/30: 8AM-7PM; 10/31-11/1: 12PM-5PM; 11/2: 8AM-7PM; 11/3: 8AM-8PM,Monday-Friday beginning October 5; Daily beginning October 26
Pennsylvania,Butler,Board of Elections Office,Elections Office,124 West Diamond St,,Butler,PA,16001,(724) 284-5308,https://www.butlercountypa.gov/,https://www.butlercountypa.gov/162/Absentee-Mail-In-Ballot-Voting,,,,
Pennsylvania,Cambria,Board of Elections Office,Elections Office,200 S. Center St,,Ebensburg,PA,15931,(814) 472-1464,https://www.cambriacountypa.gov/,https://www.cambriacountypa.gov/election-and-voter-registration.aspx,scrowl@co.cambria.pa.us,,Monday - Friday: 9:00am - 4:00PM,basement 
Pennsylvania,Carbon,Board of Elections Office,Elections Office,76 Susquehanna St,,Jim Thorpe,PA,18229,(570) 325-4801,https://www.carboncounty.com/,https://www.carboncounty.com/index.php/2-uncategorised/60-elections,,,Monday - Friday: 8:30am - 4:00PM,
Pennsylvania,Centre,Elections Office,Elections Office,420 Holmes St,,Bellefonte,PA,16823,(814) 355-6703,https://centrecountypa.gov/,https://centrecountypa.gov/452/Voting-by-Absentee-or-Mail-In-Ballot,jemckinl@co.centre.pa.us,,continuously,Drop Box Daily beginning October 7
Pennsylvania,Centre County,Patton Twp Municipal Building,Elections Office,100 Patton Plaza,,State College,PA,16803,,,,,,continuously,Drop Box Daily beginning October 7
Pennsylvania,Centre County,Ferguson Twp Municpal Building,Elections Office,3147 Research Drive,,State College,PA,16801,,,,,,continuously,Drop Box Daily beginning October 7
Pennsylvania,Centre County,State College Borough Municipal Building,Elections Office,243 South Allen Street,,State College,PA,16801,,,,,,continuously,Drop Box Daily beginning October 7
Pennsylvania,Centre County,Spring Twp Municipal Building,Elections Office,1309 Blanchard Street,,Bellefonte,PA,16823,,,,,,continuously,Drop Box Daily beginning October 7
Pennsylvania,Centre County,Phillipsburg MDJ Office,Elections Office,118 Enterprise Drive,,Philipsburg,PA,16866,,,,,,continuously,Drop Box Daily beginning October 7
Pennsylvania,Centre County,Centre Hall MDJ Office,Elections Office,2795 Earlystown Road,,Centre Hall,PA,16828,,,,,,Monday-Friday: 8:30AM-5:30PM,Monday-Friday beginning October 7
Pennsylvania,Chester County,Government Services Center,Elections Office,601 Westtown Rd,,West Chester,PA,19382,,,,,,continuously,Drop Box Daily beginning October 13
Pennsylvania,Clarion,Elections Office,Elections Office,330 Main Street,Rm 104,Clarion,PA,16214,(814) 226-4000,http://www.co.clarion.pa.us/,http://www.co.clarion.pa.us/Dept/Elections/Pages/default.aspx,,,Monday-Friday: 8:30AM-4:30PM,
Pennsylvania,Clearfield,Elections Office,Elections Office,212 E Locust St.,,Clearfield,PA,16830,(814) 765-2642,https://clearfieldco.org/,https://clearfieldco.org/election-central/,elections@clearfieldco.org,,Monday-Friday: 8:30AM-4:00PM,
Pennsylvania,Clinton,Board of Elections Office,Elections Office,2 Piper Way,Suite 309,Lock Haven,PA,17745,(570) 893-4019,https://www.clintoncountypa.com/,https://www.clintoncountypa.com/departments/voter-registration,,,"Office: Mon-Fri; Drop Box: Daily; M, Tue, Thur, Fri: 8am-5pm; Wed: 8am-12:30pm; Drop Box: 24/7",
Pennsylvania,Columbia,Board of Elections Office,Elections Office,11 W. Main Street,,Bloomsburg,PA,17815,(570) 389-5640,http://www.columbiapa.org/,http://www.columbiapa.org/voter/,mrepasky@columbiapa.org,,,
Pennsylvania,Cumberland,Board of Elections Office,Elections Office,1601 Ritner Highway,,Carlisle,PA,17013,(717) 240-6385,https://www.ccpa.net/,https://www.ccpa.net/2374/Absentee-Mail-In-Ballots,bureauofelections@ccpa.net,,Monday-Friday: 8:00AM-4:30PM,
Pennsylvania,Dauphin,Elections Office,Elections Office,2 S. 2nd St.,,Harrisburg,PA,17108,(717) 780-6360,https://www.dauphincounty.org/,https://www.dauphincounty.org/government/departments/elections_and_voter_registration/index.php,,,Monday-Friday: 8:00AM-8:00PM,
Pennsylvania,Delaware,Board of Elections Office,Elections Office,201 W. Front St,,Media,PA,19063,(610) 891-4673,https://www.delcopa.gov/,https://www.delcopa.gov/electionsbureau/absenteevoting.html,DelcoElection@co.delaware.pa.us,,"Monday- Saturday ; M, W, F: 8:30am - 4:30pm; Tues, Thurs: 8:30am - 8pm; Sat: 9am - 12pm",
Pennsylvania,Delaware County,Department of Human Services Building,Elections Office,20 South 69th Street 4th Floor,,Upper Darby,Pa,19082,,,,,,"Monday, Wednesday, Friday: 7:30AM-2PM; Saturday: 10AM-2PM",Satellite Election Office
Pennsylvania,Delaware County,Chester City Hall,Elections Office,1 E 4th St.,,Chester,PA,19103,,,,,,Monday-Friday: 9AM-2PM; Saturday: 10AM-2PM,Satellite Election Office
Pennsylvania,Elk,Board of Elections Office,Elections Office,300 Center St,,Ridgway,PA,15853,(814) 776-5337,https://www.co.elk.pa.us/,https://www.co.elk.pa.us/index.php/contact-info,elkvoter@countyofelkpa.com,,Monday - Friday  8:30am-4pm; 11/3: 6am-8pm,
Pennsylvania,Erie,Elections Office,Elections Office,140 W. 6th St.,Rm. 112,Erie,PA,16501,(814) 451-6017,https://eriecountypa.gov/,https://eriecountypa.gov/departments/elections-voting/,voterreg@eriecountypa.gov,,Office M-F: 8am - 4:30pm; Drop Box: 24/7,
Pennsylvania,Fayette,Elections Office,Elections Office,22 E. Main St.,,Uniontown,PA,15401,(724) 430-1289,https://www.fayettecountypa.org/,https://www.fayettecountypa.org/230/Election-Bureau,lblosser@fayettepa.org,724-430-4948,Monday - Friday  8:00am-4:30pm,
Pennsylvania,Forest,Board of Elections Office,Elections Office,526 Elm St,Unit #3,Tionesta,PA,16353,(814) 755-3537,http://www.co.forest.pa.us/,http://www.co.forest.pa.us/departments/elections_and_voter_regisration.php,jahitchcock@co.forest.pa.us,,Monday - Friday  8:00am-4:00pm,
Pennsylvania,Franklin,Voter Registration Office,Elections Office,157 Lincoln Way East,,Chambersburg,PA,17201,717-261-3886,https://www.franklincountypa.gov/,https://franklincountypa.gov/index.php?section=voter-registration_absentee-ballot,,(717) 261-3131,,
Pennsylvania,Franklin County,County Commissioner's Office,Elections Office,340 North Second St,,Chambersburg,PA,,,,,,,,Remote Dropoff Location
Pennsylvania,Fulton,Board of Elections Office,Elections Office,116 W. Market St,Ste 205,McConnellsburg,PA,17233,(717) 485-6864,https://www.co.fulton.pa.us/,https://www.co.fulton.pa.us/elections.php,electionsdirector@co.fulton.pa.us,,Monday - Friday 8:00AM-4:30PM,
Pennsylvania,Greene,Board of Elections Office,Elections Office,93 E. High St,Rm. 102,Waynesburg,PA,15370,(724) 852-5304,https://www.co.greene.pa.us/,https://www.co.greene.pa.us/department-elections-voter-registration,,,M-F: 8:30am - 4:30pm; 11/3: 7:00am - 8:00pm,
Pennsylvania,Indiana,Voter Registration Office,Elections Office,825 Philadelphia St,,Indiana,PA,15701,(724) 465-3805,https://www.indianacountypa.gov/,https://www.indianacountypa.gov/departments/voting-and-elections/voting/,rmaryai@indianacountypa.gov,,Monday - Friday 8:00AM-4:00PM,
Pennsylvania,Jefferson,County Commissioner Office,Elections Office,155 Main St,,Brookville,PA,15825,(814) 849-1603,https://www.jeffersoncountypa.com/,https://www.jeffersoncountypa.com/election-info/,klupone@jeffersoncountypa.com,,,
Pennsylvania,Juniata,Elections Office,Elections Office,1 N Main St,,Mifflintown,PA,17059,(717) 436-7706,https://www.juniataco.org/,https://www.juniataco.org/departments/voter-registration/,eweyrich@juniataco.org,,Monday - Friday 8:00AM-4:30PM,
Pennsylvania,Lackawanna,Elections Office,Elections Office,123 Wyoming Ave,2nd Floor,Scranton,PA,18503,(570) 963-6737,https://www.lackawannacounty.org/,https://www.lackawannacounty.org/index.php/departmentsagencies/elections/voter-registration,medalism@lackawannacounty.org,,Monday - Friday 8:00AM-7:00PM,
Pennsylvania,Lackawanna County,Clarks Summit Municipal Building,Elections Office,304 South State Street,,Clarks Summit,PA,18411,,,,,,Monday-Friday: 8:00AM – 7:00PM,Drop Box
Pennsylvania,Lackawanna County,Carbondale City Hall ,Elections Office,1 North Main Street,,Carbondale,PA,18407,,,,,,Monday-Friday: 8:00AM – 5:00PM,Drop Box
Pennsylvania,Lackawanna County,Dickson City Municipal Building ,Elections Office,901 Enterprise Street,,Dickson City,PA,,,,,,,Monday-Friday: 8:00AM – 4:00PM,Drop Box
Pennsylvania,Lackawanna County,Moosic Borough Municipal Building ,Elections Office,715 Main Street,,Moosic,PA,18507,,,,,,Monday-Friday: 8:30AM – 4:00PM,Drop Box
Pennsylvania,Lackawanna County,Roaring Brook Twp. Municipal Building ,Elections Office,430 Blue Shutters Road,,Roaring Brook Twp.,PA,18444,,,,,,Monday-Friday: 9:00AM - 3:00PM,Drop Box
Pennsylvania,Lancaster,Elections Office,Elections Office,150 N. Queen St,Ste 117,Lancaster,PA,17603,(717) 299-8293,https://www.co.lancaster.pa.us/,https://www.co.lancaster.pa.us/1282/Mail-in-Ballot-Voting,,,"Monday-Friday beginning October 3: Mon-Fri: 8:30am-5pm; October 28, 29, Nov. 2  8:30am-8pm; October 30        8:30am-5pm; October 31        9am-2pm; November 3        7am-8pm",
Pennsylvania,Lawrence,Voter Services Office,Elections Office,430 Court St,,New Castle,PA,16101,(724) 656-2161,https://co.lawrence.pa.us/,https://co.lawrence.pa.us/departments/voter-registration-and-elections-lawrence_county/,lcvote@co.lawrence.pa.us,,Monday-Friday: 8:00AM-4:00 PM,
Pennsylvania,Lebanon,Board of Elections Office,Elections Office,400 South 8th Street,,Lebanon,PA,17042,(717) 228-4428,http://www.lebcounty.org/,http://www.lebcounty.org/depts/Voter_Registration/Pages/default.aspx,manderson@lebcnty.org,,,
Pennsylvania,Lehigh County,North Whitehall Twp Building,Elections Office,3256 Levans Road,,Coplay,PA,18037,,,,,,Monday-Friday: 7:30 AM- 4:00 PM,Drop Box
Pennsylvania,Lehigh County,Upper Macungie Twp Building,Elections Office,8330 Schantz Road,,Breinigsville,PA,18031,,,,,,Monday-Friday: 7:30 AM-4:00 PM,Drop Box
Pennsylvania,Lehigh County,Catasaqua Municipal Building,Elections Office,90 Bridge Street,,Catasauqua,PA,18032,,,,,,Monday-Friday: 8:00AM-4:00 PM,Drop Box
Pennsylvania,Lehigh,Voter Registration Office,Elections Office,17 S. 7th St.,,Allentown,PA,18101,(610) 782-3194,https://www.pavoterservices.pa.gov/,https://www.pavoterservices.pa.gov/OnlineAbsenteeApplication/#/OnlineAbsenteeBegin,,,"Office: Mon-Fri; Drop Box: Daily	M-F: 8am - 4pm; Drop Box: 24/7",
Pennsylvania,Lehigh County,Emmaus Borough Office,Elections Office,28 South 4th Street,,Emmaus,PA,18049,,,,,,Monday-Friday: 8:00AM-3:00 PM,Drop Box
Pennsylvania,Luzerne,Board of Elections Office,Elections Office,20 N. Pennsylvania Ave.,Ste. 207,Wilkes-Barre,PA,18701,(570) 825-1715,https://www.luzernecounty.org/,https://www.luzernecounty.org/1283/2020-Primary-Election,elections@luzernecounty.org,,,
Pennsylvania,McKean,Voter Registration Office,Elections Office,500 W. Main St,,Smethport,PA,16749,(814) 887-3203,https://www.mckeancountypa.org/,lmpratt@mckeancountypa.org,,,Monday-Friday: 8:30AM - 4:30PM,
Pennsylvania,Monroe County,Smithfield Township,Elections Office,1155 Red Fox Road,,East Stroudsburg,PA,18301,,,,,,Check township hours,Drop Box
Pennsylvania,Montgomery,Satellite Election Office,Elections Office,421 West Main Street,,Lansdale,PA,19446,(610) 278-3275,https://www.montcopa.org/,https://www.montcopa.org/ArchiveCenter/ViewFile/Item/5177,voters@montcopa.org,,"Tue, Thur, Sat, Sun through 10/25, and Monday 10/26; Tue, Thur: 4pm-8pm; Sat, Sun: 11am-4pm; Mon, 10/26: 4pm-8pm",
Pennsylvania,Montgomery,Satellite Election Office,Elections Office,102 North York Road,,Willow Grove,PA,19090,(610) 278-3275,https://www.montcopa.org/,https://www.montcopa.org/ArchiveCenter/ViewFile/Item/5177,voters@montcopa.org,,"Tue, Thur, Sat, Sun through 10/25, and Monday 10/26; Tue, Thur: 4pm-8pm; Sat, Sun: 11am-4pm; Mon, 10/26: 4pm-8pm",
Pennsylvania,Montgomery County,Satellite Election Office,Elections Office,925 Montgomery Ave,,Narberth,PA,19072,,,,,,"Tue, Thur, Sat, Sun through 10/25, and Monday 10/26; Tuesday, Thursday: 4PM-8PM; Saturday, Sunday: 11AM-4PM; Mon, 10/26: 4PM-8PM",Satellite Election Office
Pennsylvania,Montgomery County,"MCCC Pottstown, Hanover Street Building",Elections Office,95 S Hanover St,,Pottstown,PA,19464,,,,,,"Tuesday, Thursday: 4PM-8PM; Saturday, Sunday: 11AM-4PM; Mon, 10/26: 4PM-8PM",Satellite Election Office
Pennsylvania,Montour,County Election Office,Elections Office,253 Mill Street,,Danville,PA,17821,(570) 271-3000,http://www.montourco.org,http://www.montourco.org/Pages/ElectionsAndVoterRegistration.aspx,hbrandon@montourco.org,,"Monday-Friday 	9:00am - 6:00pm; Sat 10-31	9:00am-1:00PM; Tuesday 11-3 	9:00am- 8:00 pm",
Pennsylvania,Northampton ,County Election Office,Elections Office,669 Washington St.,RM. 1211,Easton,PA,18042,(610) 829-6260,https://www.northamptoncounty.org,https://www.northamptoncounty.org/CTYADMN/ELECTNS/Pages/AbsenteeVoting.aspx,election@northamptoncounty.org,,M-F: 8:30am-8pm; Sat: 8am-12pm,
Pennsylvania,Northumberland,County Election Office,Elections Office,320 N Second Street,,Sunbury,PA,17801,(570) 988-4209,https://www.norrycopa.net/,https://www.norrycopa.net/index.php/board-of-elections/,,,"Monday - Friday	Mon: 9:00am - 5:00pm; Tues - Fri: 9:00am - 4:30pm",
Pennsylvania,Perry,County Election Office,Elections Office,25 W Main St,,New Bloomfield,PA,17068,(717) 582-2131 ext. 4110,http://www.perryco.org/Pages/default.aspx,,bdelancey@perryco.org,,"Monday - Friday	8:00am - 4:00pm",
Pennsylvania,Philadelphia,Satellite Election Office,Elections Office,1400 John F Kennedy Blvd,,Philadelphia,PA,19107,215-686-3469,https://www.philadelphiavotes.com/,https://www.philadelphiavotes.com/en/contact-us,,,Mon-Thur - 11:30am-6:30pm; Fri-Sun - 9:30am-4:30pm,
Pennsylvania,Pike,County Election Office,Elections Office,506 Broad Street,,Milford,PA,18337,570-296-3427 ext. 1094,http://www.pikepa.org/,https://www.pikepa.org/elections,nmanzoni@pikepa.org,,M- F 8:30am - 4:30pm,
Pennsylvania,Potter,County Election Office,Elections Office,1 N. Main St.,,Coudersport,PA,16915,(814) 274-8467,https://pottercountypa.net/,,,,"Monday - Friday	8:30am - 4:30pm",
Pennsylvania,Schuylkill,County Election Office,Elections Office,420 N. Centre St.,,Pottsville,PA,17901,(570) 628-1467,http://www.co.schuylkill.pa.us/,,,(570) 628-1466,"Monday-Friday	8:00am-4:00 pm",
Pennsylvania,Snyder,County Election Office,Elections Office,9 West Market Street,,Middleburg,PA,17842,(570) 837-4286,http://www.snydercounty.org/Pages/default.aspx,,dbilger@snydercounty.org,,"Monday - Friday	8:30am - 4:00pm",
Pennsylvania,Somerset,County Election Office,Elections Office,300 N. Center Ave.,Ste. 340,Somerset,PA,15501,(814) 445-1549,http://www.co.somerset.pa.us/,,,,"Monday-Friday	8:30am- 4:00pm ",
Pennsylvania,Sullivan,County Election Office,Elections Office,245 Muncy Street,,Laporte,PA,18626,570-946-5201,,,elections@sullivancounty-pa.us,,"Monday - Friday	8:30am - 4:30pm",
Pennsylvania,Susquehanna County,County Election Office,Elections Office,31 Lake Ave.,,Montrose,PA,18801,,,,,,Monday-Friday: 8:30AM - 4:30PM,
Pennsylvania,Union,County Election Office,Elections Office,155 North 15th St.,,Lewisburg,PA,17837-8822,(570) 524-8603,https://www.unioncountypa.org/,https://www.unioncountypa.org/departments/elections-voter-registration/absentee-ballot-information/page.aspx?id=1309,gkatherman@unionco.org,,"Monday - Friday	8am-4:30pm",
