state,address_1,address_2,city,state_2,email,fax,dropbox_address,dropbox_city,dropbox_notes
Massachusetts,365 Boston Road,,BILLERICA,MA,sschult@town.billerica.ma.us,(978) 663-6510,365 Boston Road,,Green box near accessible entrance on right side of building
Massachusetts,15 St. Paul Street,,BLACKSTONE,MA,tsullivan@townofblackstone.org,(508) 883-4953,15 St. Paul Street,,
Massachusetts,1 Russell Stage Road,,BLANDFORD,MA,townclerk@townofblandford.com,(413) 848-0908,,,
Massachusetts,663 Main Street,,BOLTON,MA,townclerk@townofbolton.com,(978) 779-5461,663 Main Street,,"Up the hill, near walkway to main entrance"
Massachusetts,1 City Hall Square,,BOSTON,MA,absenteevoter@boston.gov,(617) 635-4483,1 City Hall Square,,(City Hall Plaza — Main Entrance and Congress St. Entrance)
Massachusetts,,,BOSTON,MA,,,365 Bremen Street,,East Boston (East Boston Branch Library)
Massachusetts,,,BOSTON,MA,,,179 Main Street,,Charlestown (Charlestown Branch Library)
Massachusetts,,,BOSTON,MA,,,646 East Broadway,,South Boston (South Boston Branch Library)
Massachusetts,,,BOSTON,MA,,,700 Boylston Street,,Back Bay (Boston Public Library — Central Branch)
Massachusetts,,,BOSTON,MA,,,149 Dudley Street,,Roxbury (Roxbury Branch Library)
Massachusetts,,,BOSTON,MA,,,300 North Harvard Street,,Allston (Honan-Allston Branch Library)
Massachusetts,,,BOSTON,MA,,,40 Academy Hill Road,,Brighton (Brighton Branch Library)
Massachusetts,,,BOSTON,MA,,,1520 Dorchester Avenue,,Dorchester (Fields Corner Branch Library)
Massachusetts,,,BOSTON,MA,,,30 South Street,,Jamaica Plain (Jamaica Plain Branch Library)
Massachusetts,,,BOSTON,MA,,,1350 Blue Hill Avenue,,Mattapan (Mattapan Branch Library)
Massachusetts,,,BOSTON,MA,,,1961 Centre Street,,West Roxbury (West Roxbury Branch Library)
Massachusetts,,,BOSTON,MA,,,35 Harvard Avenue,,Hyde Park (Hyde Park Branch Library)
Massachusetts,,,BOSTON,MA,,,1497 Tremont Street,,Roxbury (Parker Hill Branch Library)
Massachusetts,,,BOSTON,MA,,,41 Geneva Avenue,,Dorchester (Grove Hall Library)
Massachusetts,,,BOSTON,MA,,,125 Brookway Road,,Roslindale (BCYF Menino)
Massachusetts,24 Perry Avenue,Buzzards Bay,BOURNE,MA,Elections@townofbourne.com,(508) 759-7980,24 Perry Avenue,,
Massachusetts,,,BOURNE,MA,,,239 Main Street,,(Mail slot to drop box inside building)
Massachusetts,29 Middle Road,,BOXBOROUGH,MA,emarkiewicz@boxborough-ma.gov,(978) 264-3127,29 Middle Road,,Mail slot to drop box inside building
Massachusetts,7A Spofford Road,,BOXFORD,MA,rphelan@town.boxford.ma.us,(978) 887-0943,7A Spofford Rd,,
Massachusetts,221 Main Street,,BOYLSTON,MA,dporter@boylston-ma.gov,(508) 869-6210,221 Main Street,,Town Hall
Massachusetts,1 J.F.K. Memorial Drive,,BRAINTREE,MA,dstarr@braintreema.gov,(781) 794-8259,,,
Massachusetts,2198 Main Street,,BREWSTER,MA,townclerk@brewster-ma.gov,(508) 896-8089,2198 Main Street,,
Massachusetts,66 Central Square,,BRIDGEWATER,MA,townclerk@bridgewaterma.org,(508) 279-0154,66 Central Square,,Silver drop box located at bottom of ramp at Bedford St. side entrance of Academy Building
Massachusetts,23 Main Street,,BRIMFIELD,MA,TownClerk@BrimfieldMA.org,,,,
Massachusetts,45 School Street,,BROCKTON,MA,elections@cobma.us,(508) 583-6424,45 School Street,,
Massachusetts,6 Central Street,,BROOKFIELD,MA,mseery@brookfieldma.us,(508) 867-5091,,,
Massachusetts,333 Washington Street,,BROOKLINE,MA,townclerk@brooklinema.gov,(617) 730-2043,333 Washington Street,,
Massachusetts,17 State Street,,BUCKLAND,MA,twnclerk@town.buckland.ma.us,(413) 625-8570,17 State Street,,Outside front of Town Offices
Massachusetts,29 Center Street,,BURLINGTON,MA,vote@burlington.org,(781) 238-4692,29 Center Street,,Front steps
Massachusetts,51 Inman Street,,CAMBRIDGE,MA,elections2@cambridgema.gov,(617) 349-4366,795 Massachusetts Avenue,,City Hall - Near the back door of the building
Massachusetts,,,CAMBRIDGE,MA,,,40 Granite Street,,Morse School - Near the front entrance of the building
Massachusetts,,,CAMBRIDGE,MA,,,125 6th Street,,Cambridge Police Headquarters - Left-side of the front of the building
Massachusetts,,,CAMBRIDGE,MA,,,28 Sacramento Street,,Maria L. Baldwin School - Right-side of the Oxford Street entrance of the building
Massachusetts,,,CAMBRIDGE,MA,,,70 Rindge Avenue,,O'Neill Library - Adjacent to the entrance stairs of the building
Massachusetts,,,CAMBRIDGE,MA,,,51 Inman Street,,Coffon Building - Right-side of the front of the building
Massachusetts,801 Washington Street,,CANTON,MA,elections@town.canton.ma.us,(781) 821-5016,801 Washington Street,,
Massachusetts,66 Westford Street,,CARLISLE,MA,townclerk@carlislema.gov,(978) 371-0594,66 Westford Street,,"Town Hall payment slot, left of main front doors"
Massachusetts,108 Main Street,,CARVER,MA,town.clerk@carverma.org,(508) 866-3408,108 Main Street,,Gray box on front corner of Town Hall
Massachusetts,"157 Main Street, Box 605",,CHARLEMONT,MA,kathy.reynolds@townofcharlemont.org,(413) 339-0320,,,
Massachusetts,37 Main Street,,CHARLTON,MA,town.clerk@townofcharlton.net,(508) 248-2381,37 Main Street,,"Mail slot to right of door, near accessible parking"
Massachusetts,549 Main Street,,CHATHAM,MA,vote@chatham-ma.gov,(508) 945-0752,549 Main Street,,
Massachusetts,50 Billerica Road,,CHELMSFORD,MA,townclerk@chelmsfordma.gov,(978) 250-5252,50 Billerica Road,,Front entrance
Massachusetts,500 Broadway,,CHELSEA,MA,vote@chelseama.gov,(617) 466-4059,Washington Avenue,,City Hall entrance
Massachusetts,80 Church Street,,CHESHIRE,MA,townclerk@cheshire-ma.gov,(413) 743-0389,80 Church Street,,At Town Hall entrance
Massachusetts,15 Middlefield Road,,CHESTER,MA,rdalesandro@townofchester.net,(413) 354-2268,15 Middlefield Road,,
Massachusetts,422 Main Road,,CHESTERFIELD,MA,election@townofchesterfieldma.com,(413) 296-4394,422 Main Road,,
Massachusetts,274 Front Street,,CHICOPEE,MA,jsurdyka@chicopeema.gov,(413) 594-1554,274 Front Street,,
Massachusetts,401 Middle Road,,CHILMARK,MA,townclerk@chilmarkma.gov,(508) 645-2110,401 Middle Street,,To the left of main entrance to Town Hall
Massachusetts,111 River Road,,CLARKSBURG,MA,townclerk@clarksburgma.gov,(413) 664-6575,111 River Road,,Tax Collector's drop box inside Town Hall entryway
Massachusetts,242 Church Street,,CLINTON,MA,hsargent@clintonma.gov,(978) 612-0212,242 Church Street,,Outside Town Hall
Massachusetts,41 Highland Avenue,,COHASSET,MA,townclerk@cohassetma.org,(781) 383-1561,41 Highland Avenue,,Payment box in front of Town Hall
Massachusetts,55 Main Road,,COLRAIN,MA,townclerk@colrain-ma.gov,(413) 624-8852,55 Main Road,,
Massachusetts,22 Monument Square,,CONCORD,MA,townclerk@concordma.gov,(978) 318-3093,22 Monument Square,,Left side of the Town House
Massachusetts,32 Main Street,,CONWAY,MA,clerk@townofconway.com,(413) 369-4237,,,
Massachusetts,33 Main Street,,CUMMINGTON,MA,djordan@cummington-ma.gov,(413) 634-5568,33 Main Street,,Side entrance off parking lot
Massachusetts,462 Main Street,,DALTON,MA,mblake@dalton-ma.gov,(413) 684-6129,462 Main Street,,At sidewalk near accessible ramp on South Carson Ave.
Massachusetts,1 Sylvan Street,,DANVERS,MA,townclerk@danversma.gov,(978) 406-4191,1 Sylvan Street,,"Town Hall, bottom of front steps"
Massachusetts,400 Slocum Road,,DARTMOUTH,MA,clerk@town.dartmouth.ma.us,(508) 910-1894,400 Slocum Road,,Either silver box in front of Town Hall
Massachusetts,450 Washington Street,,DEDHAM,MA,pmunchbach@dedham-ma.gov,(781) 751-9109,450 Washington Street,,New Town Hall rear entrance
Massachusetts,8 Conway Street,,DEERFIELD,MA,vote@town.deerfield.ma.us,(413) 665-5512,8 Conway Street,South Deerfield,
Massachusetts,685 Route 134,,DENNIS,MA,clerksoffice@town.dennis.ma.us,(508) 394-8309,685 Route 134,South Dennis,"By Front Entrance, 24/7"
Massachusetts,979 Somerset Avenue,,DIGHTON,MA,smedeiros@dighton-ma.gov,(508) 669-5932,979 Somerset Avenue,,
Massachusetts,29 Depot Street,,DOUGLAS,MA,cfurno@douglas-ma.gov,(508) 476-4012,29 Center Street,,Municipal Center
Massachusetts,5 Springdale Avenue,,DOVER,MA,townclerk@doverma.org,(508) 785-2341,5 Springdale Avenue,,Treasurer's payment box in semicircle
Massachusetts,62 Arlington Street,,DRACUT,MA,elections@dracutma.gov,(978) 452-7924,62 Arlington Street,,
Massachusetts,71 West Main Street,,DUDLEY,MA,townclerk@dudleyma.gov,(508) 949-7115,71 West Main Street,,Police lobby
Massachusetts,511 Main Street,,DUNSTABLE,MA,cskerrett@dunstable-ma.gov,(978) 649-4371,,,
Massachusetts,878 Tremont Street,,DUXBURY,MA,kelley@town.duxbury.ma.us,(781) 934-1133,878 Tremont Street,,Back door of Town Hall
Massachusetts,175 Central Street,,EAST  BRIDGEWATER,MA,Townclerk@eastbridgewaterma.gov,(508) 378-1638,175 Central Street,,"Town Hall, to the right of front door"
Massachusetts,122 Connie Mack Drive,,EAST  BROOKFIELD,MA,townclerk@eastbrookfieldma.us,(508) 867-4190,122 Connie Mack Drive,,"By entrance to Town Office, back of building"
Massachusetts,60 Center Square,,EAST  LONGMEADOW,MA,elections@eastlongmeadowma.gov,,60 Center Square,,
Massachusetts,2500 State Hwy,,EASTHAM,MA,townclerk@eastham-ma.gov,(774) 801-3923,2500 State Highway,,
Massachusetts,50 Payson Avenue,,EASTHAMPTON,MA,vote@easthamptonma.gov,(413) 529-1417,50 Payson Avenue,,
Massachusetts,136 Elm Street,,EASTON,MA,votebymail@easton.ma.us,(508) 230-0569,136 Elm Street,,
Massachusetts,70 Main Street,,EDGARTOWN,MA,kmedeiros@edgartown-ma.us,(508) 627-6119,70 Main Street,,Inside lobby
Massachusetts,171 Egremont Plain Road,,EGREMONT,MA,townclerk@egremont-ma.gov,(413) 528-5465,171 Egremont Plain Road,,
Massachusetts,12 East Main Street,,ERVING,MA,richard.newton@erving-ma.gov,(413) 422-2808,12 East Main Street,,
Massachusetts,30 Martin Street,,ESSEX,MA,townclerk@essexma.org,(978) 768-2505,30 Martin Street,,Outside of front door
Massachusetts,484 Broadway,,EVERETT,MA,sergio.cornelio@ci.everett.ma.us,(617) 544-6330,,,
Massachusetts,40 Center Street,,FAIRHAVEN,MA,clerk@fairhaven-ma.gov,,40 Center Street,,"Mail slot in town clerk's outside door. Open Monday-Friday, 8"
Massachusetts,1 Government Center,,FALL  RIVER,MA,ksouza-young@fallriverma.org,(508) 324-2633,One Government Center,,3rd Street Entrance
Massachusetts,59 Town Hall Square,,FALMOUTH,MA,townclerk@falmouthma.gov,(508) 457-2511,59 Town Hall Square,,
Massachusetts,166 Boulder Drive,,FITCHBURG,MA,vote@fitchburgma.gov,(978) 829-1964,166 Boulder Drive,,
Massachusetts,379 Mohawk Trail,,FLORIDA,MA,floridaclerk.floridamass@gmail.com,(413) 664-8640,,,
Massachusetts,40 South Street,,FOXBOROUGH,MA,bcutler@foxboroughma.gov,(508) 543-6278,40 South Street,,Drop slot on front entrance of Town Hall
Massachusetts,150 Concord Street,,FRAMINGHAM,MA,cityclerk@framinghamma.gov,(508) 628-1358,150 Concord Street,,rear of the Memorial Building
Massachusetts,355 East Central Street,,FRANKLIN,MA,townclerk@franklinma.gov,(508) 520-4913,355 East Central Street,,To the left of the building
Massachusetts,3 North Main Street,,FREETOWN,MA,townclerk@freetownma.gov,(508) 644-9826,3 North Main Street,Assonet,
Massachusetts,95 Pleasant Street,,GARDNER,MA,elections@gardner-ma.gov,(978) 630-2589,95 Pleasant Street,,
Massachusetts,1 Library Street,,GEORGETOWN,MA,townclerk@georgetownma.gov,(978) 352-5725,1 Library Street,,Town Hall back door
Massachusetts,325 Main Road,,GILL,MA,townclerk@gillmass.org,(413) 863-7775,325 Main Road,,At rear door of building
Massachusetts,9 Dale Avenue,,GLOUCESTER,MA,elections@gloucester-ma.gov,(978) 282-3051,9 Dale Avenue,,Warren Street entrance to City Hall
Massachusetts,40 Main Street,,GOSHEN,MA,clerk@goshen-ma.us,(413) 268-8237,40 Main Street,,Up the stairs to the left of the door
Massachusetts,28 Tower Hill Road,,GOSNOLD,MA,gosnoldtownclerk@yahoo.com,(508) 990-3318,,,
Massachusetts,30 Providence Road,,GRAFTON,MA,clerks@grafton-ma.gov,(508) 839-4602,30 Providence Road,,Front of Town Hall
Massachusetts,215 B West State Street,,GRANBY,MA,kkellyregan@granby-ma.gov,(413) 467-3101,215 B West State Street,,
Massachusetts,707 Main Road,,GRANVILLE,MA,townclerk@townofgranville.org,(413) 357-6002,,,
Massachusetts,334 Main Street,,GREAT  BARRINGTON,MA,jmessina@townofgb.org,(413) 528-1026,334 Main Street,,"Black drop box, to the left of front stairs to Town Hall"
Massachusetts,14 Court Square,,GREENFIELD,MA,townclerk@greenfield-ma.gov,(413) 772-1542,14 Court Square,,"Right side of City Hall, at the top of accessible ramp, to the left of door"
Massachusetts,173 Main Street,,GROTON,MA,townclerk@townofgroton.org,(978) 448-2030,173 Main Street,,"Town Hall, rear"
Massachusetts,183 Main Street,,GROVELAND,MA,ecunniff@grovelandma.com,(978) 469-5006,183 Main Street,,On parking lot side entrance to Town Hall
Massachusetts,100 Middle Street,,HADLEY,MA,clerk@hadleyma.org,(413) 586-5661,100 Middle Street,,Town Hall side door
Massachusetts,499 Plymouth Street,,HALIFAX,MA,clerksoffice@halifax-ma.org,(781) 294-7684,499 Plymouth Street,,
Massachusetts,577 Bay Road,,HAMILTON,MA,ckale@hamiltonma.gov,(978) 468-2682,577 Bay Road,,Drop box at left side of Town Hall
Massachusetts,625 Main Street,,HAMPDEN,MA,vote@hampdenma.gov,(413) 566-3513,625 Main Street,,"Behind the Town House, to the left of the foyer"
Massachusetts,3650 Hancock Road,,HANCOCK,MA,hantclb1@aol.com,(413) 738-5310,3650 Hancock Road,,
Massachusetts,550 Hanover Street,,HANOVER,MA,clerk@hanover-ma.gov,,550 Hanover Street,,Front of Town Hall
Massachusetts,542 Liberty Street,,HANSON,MA,townclerk@hanson-ma.gov,(781) 294-0884,541 Liberty Street,,Front of building
Massachusetts,307 Main Street,,HARDWICK,MA,clerk@townofhardwick.com,(413) 477-6703,307 Main St. Gilbertville,,"Top of stairs, to the right"
Massachusetts,13 Ayer Road,,HARVARD,MA,townclerk@harvard.ma.us,(978) 456-4113,13 Ayer Road,,To the left of the front doors
Massachusetts,732 Main Street,,HARWICH,MA,adoucette@town.harwich.ma.us,(508) 430-7517,732 Main Street,,
Massachusetts,59 Main Street,,HATFIELD,MA,townclerk@townofhatfield.org,(413) 247-5029,59 Main Street,,
Massachusetts,4 Summer Street,,HAVERHILL,MA,cityclerk@cityofhaverhill.com,(978) 373-8490,4 Summer Street,,"Back of City Hall, drive by"
Massachusetts,8 Pudding Hollow Road,,HAWLEY,MA,townclerk@townofhawley.com,(413) 339-4959,8 Pudding Hollow Road,,
Massachusetts,1 East Main Street,,HEATH,MA,townclerk@townofheath.org,(413) 337-8542,,,
Massachusetts,210 Central Street,,HINGHAM,MA,townclerk@hingham-ma.gov,(781) 740-0239,210 Central Street,,At the end of Town Hall driveway
Massachusetts,39 South Street,,HINSDALE,MA,clerk@hinsdalema.gov,(413) 655-8807,,,
Massachusetts,50 N. Franklin Street,,HOLBROOK,MA,town_clerk@holbrookmassachusetts.us,(781) 767-9054,50 N. Franklin Street,,On ramp entrance to Town Hall
Massachusetts,1196 Main Street,,HOLDEN,MA,townclerk@holdenma.gov,(508) 829-0281,1196 Main Street,,Next to Town Hall
Massachusetts,27 Sturbridge Road,,HOLLAND,MA,townclerk@hollandma.org,(413) 245-7037,27 Sturbridge Road,,
Massachusetts,703 Washington Street,,HOLLISTON,MA,greendalee@holliston.k12.ma.us,(508) 429-0642,703 Washington Street,,
Massachusetts,536 Dwight Street,,HOLYOKE,MA,clerks@holyoke.org,(413) 322-5521,536 Dwight Street,,Back of City Hall entrance
Massachusetts,78 Hopedale Street,,HOPEDALE,MA,lpedroli@hopedale-ma.gov,(508) 634-2200,,,
Massachusetts,18 Main Street,,HOPKINTON,MA,townclerk@hopkintonma.gov,,,,
Massachusetts,7 Main Street,,HUBBARDSTON,MA,tclerk@hubbardstonma.us,(978) 928-1402,,,
Massachusetts,78 Main Street,,HUDSON,MA,jwordell@townofhudson.org,(978) 562-8508,78 Main Street,,At Church St. entrance to Town Hall
Massachusetts,253 Atlantic Avenue,,HULL,MA,votebymail@town.hull.ma.us,(781) 925-0224,253 Atlantic Avenue,,Outside Town Hall
Massachusetts,24 Russell Road,,HUNTINGTON,MA,townclerk@huntingtonma.us,(413) 667-3507,24 Russell Road,,Side door
Massachusetts,25 Green Street,,IPSWICH,MA,amya@ipswichma.gov,(978) 356-6021,25 Green Street,,Front of Town Hall
Massachusetts,26 Evergreen Street,,KINGSTON,MA,pgallagher@kingstonmass.org,(781) 585-0542,26 Evergreen Street,,
Massachusetts,346 Bedford Street,,LAKEVILLE,MA,vote@lakevillema.org,(508) 946-3970,346 Bedford Street,,
Massachusetts,701 Main Street,,LANCASTER,MA,dreardon@lancasterma.net,(978) 368-4011,695 Main Street,,
Massachusetts,83 North Main Street,,LANESBOROUGH,MA,town.clerk@lanesborough-ma.gov,(413) 443-5811,83 North Main Street,,
Massachusetts,200 Common Street,,LAWRENCE,MA,rreyes@cityoflawrence.com,(978) 722-9230,,,
Massachusetts,32 Main Street,,LEE,MA,cbrittain@town.lee.ma.us,(413) 243-5507,32 Main Street,,Town Hall entryway
Massachusetts,3 Washburn Square,,LEICESTER,MA,townclerk@leicesterma.org,(508) 892-7070,3 Washburn Square,,Town Hall
Massachusetts,6 Walker Street,,LENOX,MA,ksullivan@townoflenox.com,(413) 637-5518,6 Walker Street,,Mail slot in door labeled Municipal Drop Box
Massachusetts,25 West Street,,LEOMINSTER,MA,clerksdept@leominster-ma.gov,(978) 534-7546,25 West Street,,Blue/gray box labeled Municipal Drop Box
Massachusetts,9 Montague Road,,LEVERETT,MA,townclerk@leverett.ma.us,(413) 548-1035,9 Montague Road,,Back entrance of Town Hall
Massachusetts,1625 Massachusetts Avenue,,LEXINGTON,MA,clerk@lexingtonma.gov,(781) 861-2754,1625 Massachusetts Avenue,,"Across from Town Office Building, in circular driveway"
Massachusetts,16 West Leyden Road,,LEYDEN,MA,townclerk@townofleyden.com,(413) 772-0146,,,
Massachusetts,16 Lincoln Road,,LINCOLN,MA,townclerk@lincolntown.org,(781) 259-8735,,,
Massachusetts,37 Shattuck Street,,LITTLETON,MA,dcrory@littletonma.org,(978) 952-2321,37 Shattuck Street,,"Town Hall at the parking lot side, Main entrance to the left of the doors"
Massachusetts,20 Williams Street,,LONGMEADOW,MA,kingram@longmeadow.org,(413) 565-4130,20 Williams Street,,Mail slot to the right of Town Hall front door
Massachusetts,375 Merrimack Street,,LOWELL,MA,elections@lowellma.gov,(978) 970-4089,375 Merrimack Street,,"Outside City Hall at entrance to JFK Plaza, adjacent to public notice board"
Massachusetts,488 Chapin Street,,LUDLOW,MA,clerk@ludlow.ma.us,(413) 583-5603,488 Chapin Street,,"Behind Town Hall, left side of double doors"
Massachusetts,17 Main Street,,LUNENBURG,MA,kherrick@lunenburgonline.com,(978) 582-4148,17 Main Street,,In front of Town Hall
Massachusetts,3 City Hall Square,,LYNN,MA,krichard@lynnma.gov,(781) 477-7032,3 City Hall Square,,"Johnson Street Side of City Hall, next to accessible entrance"
Massachusetts,55 Summer Street,,LYNNFIELD,MA,lemerson@town.lynnfield.ma.us,(781) 334-9469,55 Summer Street,,
Massachusetts,215 Pleasant Street,,MALDEN,MA,cdesiderio@cityofmalden.org,(781) 388-0610,215 Pleasant Street,,24 hour drop box outside City Hall
Massachusetts,10 Central Street,,MANCHESTER-BY-THE-SEA,MA,townclerk@manchester.ma.us,(978) 526-2001,,,
Massachusetts,6 Park Row,,MANSFIELD,MA,mstaples@mansfieldma.com,(508) 261-1083,6 Park Row,,
Massachusetts,188 Washington Street,,MARBLEHEAD,MA,townclerk@marblehead.org,(781) 631-0561,188 Washington Street,,
Massachusetts,2 Spring Street,,MARION,MA,lmagauran@marionma.gov,(508) 748-3534,2 Spring Street,,Front of Town House
Massachusetts,140 Main Street,,MARLBOROUGH,MA,cityclerk@marlborough-ma.gov,(508) 460-3723,140 Main Street,,City Hall front entrance
Massachusetts,870 Moraine Street,,MARSHFIELD,MA,townclerk@townofmarshfield.org,,870 Moraine Street,,Town Clerk's exterior window
Massachusetts,16 Great Neck Road No.,,MASHPEE,MA,ddami@mashpeema.gov,(508) 539-1142,16 Great Neck Road No.,,Mail slot to the right of Town Hall front door
Massachusetts,16 Main Street,,MATTAPOISETT,MA,townclerk@mattapoisett.net,(508) 758-4121,,,
Massachusetts,195 Main Street,,MAYNARD,MA,clerk@townofmaynard.net,(978) 897-8553,,,
Massachusetts,459 Main Street,,MEDFIELD,MA,jmullen@medfield.net,(508) 359-6182,459 Main Street,,Back entrance of Town Hall
Massachusetts,85 George Hassett Drive,,MEDFORD,MA,ahurtubise@medford-ma.gov,(781) 391-1895,85 George P. Hassett Drive,,Inside City Hall lobby
Massachusetts,155 Village Street,,MEDWAY,MA,mwhite@townofmedway.org,(508) 533-3201,155 Village Street,,
Massachusetts,562 Main Street,,MELROSE,MA,elections@cityofmelrose.org,(781) 979-4149,23 Essex Street,,East side of building
Massachusetts,20 Main Street,,MENDON,MA,vote@mendonma.gov,(508) 478-8241,20 Main Street,,Outside front door
Massachusetts,2 School Street,,MERRIMAC,MA,townclerk@townofmerrimac.com,(978) 346-8013,,,
Massachusetts,41 Pleasant Street,,METHUEN,MA,cityclerk@ci.methuen.ma.us,(978) 983-8977,41 Pleasant Street,,"Outside City Hall, ground level entrance"
Massachusetts,20 Centre Street. 1st Floor,,MIDDLEBOROUGH,MA,vote@middleborough.com,(508) 946-2308,10 Nickerson Avenue,,Town Hall parking lot drop box
Massachusetts,188 Skyline Trail,,MIDDLEFIELD,MA,townclerk@middlefieldma.net,(413) 623-6108,188 Skyline Trail,,Left of main entrance to Town Hall
Massachusetts,48 South Main Street,,MIDDLETON,MA,townclerk@middletonma.gov,(978) 774-6167,48 South Main Street,,
Massachusetts,52 Main Street,,MILFORD,MA,townclerksoffice@townofmilford.com,(508) 634-2324,52 Main Street,,Top of stairs on North Bow Street side of Town Hall
Massachusetts,127 Elm Street,,MILLBURY,MA,jdavolio@townofmillbury.net,(508) 865-0857,127 Elm Street,,To the left of the main doors at the Municipal Office Building
Massachusetts,900 Main Street,,MILLIS,MA,townclerk@millisma.gov,(508) 376-7055,,,
Massachusetts,290 Main Street,,MILLVILLE,MA,townclerk@millvillema.org,(508) 883-2994,290 Main Street,,"Back of Town Hall, to the right of the posting board"
Massachusetts,525 Canton Avenue,,MILTON,MA,sgalvin@townofmilton.org,(617) 696-6995,525 Canton Avenue,,At Accessible side entrance
Massachusetts,102 School Street,,MONROE,MA,elections@sec.state.ma.us,(413) 424-5272,,,
Massachusetts,110 Main Street,,MONSON,MA,townclerk@monson-ma.gov,(413) 267-3726,110 Main Street,,
Massachusetts,One Avenue A,,MONTAGUE,MA,vote@montague-ma.gov,(413) 863-3224,1 Avenue A,Turners Falls,Front of Town Hall
Massachusetts,435 Main Road,,MONTEREY,MA,clerk@montereyma.gov,(413) 528-9452,435 Main Road,,
Massachusetts,161 Main Road,,MONTGOMERY,MA,jmurphy@montgomeryma.gov,(413) 862-3204,161 Main Road,,Front door
