state,county,location_type,name,address_1,address_2,city,state_2,zip,phone,fax
Indiana,SWITZERLAND,Voter Registration Office,SWITZERLAND COUNTY VOTER REGISTRATION,212 WEST MAIN STREET,,VEVAY,IN,47043,812-427-4415,
Indiana,TIPPECANOE,Voter Registration Office,TIPPECANOE COUNTY BOARD OF ELECTIONS AND REGISTRATION,20 N 3RD ST,,LAFAYETTE,IN,47901,765-423-9303,765-423-9386
Indiana,TIPTON,Voter Registration Office,TIPTON COUNTY VOTER REGISTRATION,101 E JEFFERSON STREET,,TIPTON,IN,46072,765-675-2795,
Indiana,UNION,Voter Registration Office,UNION COUNTY VOTER REGISTRATION,26 UNION STREET,,LIBERTY,IN,47353,765-458-6121,
Indiana,VANDERBURGH,Voter Registration Office,VANDERBURGH COUNTY VOTER REGISTRATION,1 NW ML KING JR. BLVD,ROOM 214,EVANSVILLE,IN,47708,812-435-5222,812-435-5013
Indiana,VERMILLION,Voter Registration Office,VERMILLION COUNTY CLERK,255 S MAIN ST ,3RD FL RM 304 PO BOX 10,NEWPORT,IN,47966,765-492-5350,765-492-5351
Indiana,VIGO,Voter Registration Office,VOTER REGISTRATION OFFICE,33 S. 3RD STREET  ,2ND FLOOR,TERRE HAUTE,IN,47807-3425,812-462-3393,812-462-3254
Indiana,WABASH,Voter Registration Office,WABASH COUNTY VOTER REGISTRATION,69 W HILL STREET,,WABASH,IN,46992,260-563-0661,260-569-1352
Indiana,WARREN,Voter Registration Office,WARREN COUNTY VOTER REGISTRATION,125 N MONROE STREET,,WILLIAMSPORT,IN,47993,765-762-2834,765-762-7251
Indiana,Warrick,Voter Registration Office,WARRICK COUNTY VOTER REGISTRATION,1 COUNTY SQUARE ,SUITE 220,BOONVILLE,IN,47601,812-897-6161,812-897-6400
Indiana,WASHINGTON,Voter Registration Office,WASHINGTON COUNTY ELECTION AND VOTER SERVICES OFFICE,801 S. JACKSON STREET ,SUITE 102,SALEM,IN,47167,812-883-5748,
Indiana,WAYNE,Voter Registration Office,WAYNE COUNTY CLERK - VOTER REGISTRATION,301 E MAIN ST,,RICHMOND,IN,47374,765-973-9304,765-973-9490
Indiana,WELLS,Voter Registration Office,WELLS COUNTY VOTER REGISTRATION,102 W MARKET STREET ,SUITE 201,BLUFFTON,IN,46714,260-824-6479,260-824-6559
Indiana,WHITE,Voter Registration Office,WHITE COUNTY VOTER REGISTRATION,,,MONTICELLO,IN,47960,574-583-1531,574-583-1532
Indiana,WHITLEY,Voter Registration Office,WHITLEY COUNTY VOTER REGISTRATION,101 W. VAN BUREN ST.,,COLUMBIA CITY,IN,46725,260-248-3164,260-248-3137
