address_1,state ,county ,location_name,location_type,address_2,city,mail_state,zip,phone
716 Richard Arrington Jr. Blvd N,Alabama,Jefferson,Absentee Election Manager (Birmingham),election official office,Room 500,Birmingham,AL,35203,205-325-5313
330 1st Street North East,Alabama,Lamar,Absentee Election Manager,election official office,,Vernon,AL,35592,205-695-7193
200 South Court Street,Alabama,Lauderdale,Absentee Election Manager,election official office,,Florence,AL,35630,256-760-5728
14451 Market Street,Alabama,Lawrence,Absentee Election Manager,election official office,Suite 300,Moulton,AL,35650,256-974-2438
215 South 9th Street,Alabama,Lee,Absentee Election Manager,election official office,,Opelika,AL,36801,334-737-3490
200 Washington Street W.,Alabama,Limestone,Absentee Election Manager,election official office,,Athens,AL,35611,256-216-3875
205 East Tuskeena St.,Alabama,Lowndes,Absentee Election Manager,election official office,,Hayneville,AL,36040,334-201-1213
101 E Rosa Parks Ave. ,Alabama,Macon,Absentee Election Manager,election official office,Ste. 300,Tuskegee,AL,36083,334-724-2614
100 Northside Square,Alabama,Madison,Absentee Election Manager,election official office,,Huntsville,AL,35801,256-532-3684
101 East Coats Avenue,Alabama,Marengo,Absentee Election Manager,election official office,,Linden,AL,36748,334-295-2150
132 Military St S,Alabama,Marion,Absentee Election Manager,election official office,,Hamilton,AL,35570,205-921-7451
424 Blount Avenue,Alabama,Marshall,Absentee Election Manager,election official office,Suite 201,Guntersville,AL,35976,256-571-7785
151 Government St,Alabama,Mobile,Absentee Election Manager,election official office,,Mobile,AL,36602,251-574-6400
65 North Alabama Avenue,Alabama,Monroe,Absentee Election Manager,election official office,,Monroeville,AL,36460,251-743-2283
251 S. Lawrence Street,Alabama,Montgomery,Absentee Election Manager,election official office,,Montgomery,AL,36104,334-832-1281
302 Lee Street,Alabama,Morgan,Absentee Election Manager,election official office,,Decatur,AL,35601,256-351-4794
300 Washington Street,Alabama,Perry,Absentee Election Manager,election official office,Suite 110,Marion,AL,36756,334-683-6106
20 Phoenix Avenue,Alabama,Pickens,Absentee Election Manager,election official office,,Carrollton,AL,35447,205-367-2050
120 West Church Street,Alabama,Pike,Absentee Election Manager,election official office,,Troy,AL,36081,334-566-5113
1 Main Street,Alabama,Randolph,Absentee Election Manager,election official office,,Wedowee,AL,36278,256-357-4551
501 14th Street,Alabama,Russell,Absentee Election Manager,election official office,,Phenix City,AL,36867,334-298-0516                                       x2343
112 North Main Street ,Alabama,Shelby,Absentee Election Manager,election official office,Rm 128,Columbiana,AL,35051,(205) 669-3779
1815 Cogswell Ave ,Alabama,St. Clair,Absentee Election Manager,election official office,Ste 205,Pell City,AL,35125,"205-884-2395, option 3             "
115 Franklin St,Alabama,Sumter,Absentee Election Manager,election official office,,Livingston,AL,35470,205-652-2333
148 East Street N,Alabama,Talladega,Absentee Election Manager,election official office,,Talladega,AL,35160,256-761-2102                                       x1208
125 N Broadnax St,Alabama,Tallapoosa,Absentee Election Manager,election official office,,Dadeville,AL,36853,(256) 496-3106
714 Greensboro Avenue ,Alabama,Tuscaloosa,Absentee Election Manager,election official office,Rm 214,Tuscaloosa,AL,35401,205-464-8259
1803 3rd Avenue,Alabama,Walker,Absentee Election Manager,election official office,Suite 205,Jasper,AL,35501,205-384-7025
45 Court Street,Alabama,Washington,Absentee Election Manager,election official office,,Chatom,AL,36518,251-847-2239
12 Water Street,Alabama,Wilcox,Absentee Election Manager,election official office,,Camden,AL,36726,334-682-6313
25166 Highway 195,Alabama,Winston,Absentee Election Manager,election official office,Suite B,Double Springs,AL,35553,205-489-5533
