state,county,location_name,location_type,address_1,address_2,city,state_2,zip,phone,county_website_url,email,fax
Colorado,Las Animas,Clerk ,Elections Office,200 E. 1st St.,Room 205,Trinidad,CO,81082,(719) 845-2575,https://www.lasanimascounty.net/departments/elected-officials/clerk,peach.vigil@lasanimascounty.org,(719)845-2573
Colorado,Lincoln,Clerk ,Elections Office,103 3rd Ave.,,Hugo,CO,80821,(719) 743-2444,http://www.lincolncountyco.us/clerk_recorder/clerk_recorder.html,clengel@lincolncountyco.us,(719)743-2524
Colorado,Logan,Clerk ,Elections Office,315 Main Street,Suite 3,Sterling,CO,80751-4357,(970) 522-1544,http://www.logancountyco.gov/?page_id=100,baconp@logancountyco.gov,(970)522-2063
Colorado,Mesa,Clerk ,Elections Office,200 S. Spruce St.,,Grand Junction,CO,81501,(970) 244-1662,http://clerk.mesacounty.us/elections/,voter.info@mesacounty.us,(970)255-5039
Colorado,Mineral,Clerk ,Elections Office,625 USFS Rd., 504.1a,Creede,CO,81130,(719) 658-2440,https://www.colorado.gov/pacific/mineralcountycolorado/mineral-county-clerk-and-recorder,mineralcountyclerk@hotmail.com,(719)658-0358
Colorado,Moffat,Clerk ,Elections Office,221 West Victory Way,Suite 200,Craig,CO,81625-2716,(970) 824-9120,https://www.colorado.gov/pacific/moffatcounty/elections-11,traschke@moffatcounty.net,(970)826-3413
Colorado,Montezuma,Clerk ,Elections Office,140 West Main St.,Suite 1,Cortez,CO,81321-3189,(970) 565-3728,http://montezumacounty.org/web/departments/clerk-recorder/,kpercell@co.montezuma.co.us,(970)564-0215
Colorado,Montrose,Clerk ,Elections Office,320 S. 1st Street ,Room 103,Montrose,CO,81401-3907,(970) 249-3362 ext. 3,http://www.co.montrose.co.us/index.aspx?nid=73,elections@montrosecounty.net,(970)249-0757
Colorado,Morgan,Clerk ,Elections Office,231 Ensign St.,,Ft. Morgan,CO,80701-2307,(970) 542-3521,http://www.co.morgan.co.us/Elections.html,votemorganc@co.morgan.co.us,(970)542-3525
Colorado,Otero,Clerk ,Elections Office,13 W. 3rd St.,Room 210,La Junta,CO,81050-1536,(719) 383-3020,http://www.oterogov.com/,lscott@oterogov.org,(719)383-3026
Colorado,Ouray,Clerk ,Elections Office,112 Village Square West ,#205,Ridgway,CO,81432,(970) 325-4961,http://ouraycountyco.gov/325/Clerk-Recorder,mnauer@ouraycountyco.gov,(970)325-0452
Colorado,Park,Clerk ,Elections Office,856 Castello Avenue,,Fairplay,CO,80440,(719) 836-4333,http://www.parkco.us/index.aspx?nid=72,pcclerk@parkco.us,(719)836-4348
Colorado,Phillips,Clerk ,Elections Office,221 South Interocean Avenue,,Holyoke,CO,80734-1521,(970) 854-3131,http://www.colorado.gov/cs/Satellite/CNTY-Phillips/CBON/1251611091883,beth.zilla@phillipscounty.co,(970)854-4745
Colorado,Pitkin,Clerk ,Elections Office,530 E. Main St.,,Aspen,CO,81611-1921,(970) 920-5180,http://www.pitkinvotes.org/,elections@pitkincounty.com,(970)920-5196
Colorado,Prowers,Clerk ,Elections Office,301 S. Main St,Suite 210,Lamar,CO,81052-2868,(719) 336-8011,http://www.prowerscounty.net/,jcoen@prowerscounty.net,(719)336-5306
Colorado,Pueblo,Clerk ,Elections Office,215 W. 10th St.,,Pueblo,CO,81003,(719) 583-6620,http://pueblovotes.com/,elections@pueblocounty.us,(719)583-6724
Colorado,Rio Blanco,Clerk ,Elections Office,555 Main St.,,Meeker,CO,81641,(970) 878-9460,http://www.rbc.us/176/Clerk-Recorder,clerk@rbc.us,(970)878-3587
Colorado,Rio Grande,Clerk ,Elections Office,965 6th St.,,Del Norte,CO,81132,(719) 657-3334,https://www.riograndecounty.org/clerk,clerk@riograndecounty.org,(719)657-2621
Colorado,Routt,Clerk ,Elections Office,522 Lincoln Ave. ,Suite 21,Steamboat Springs,CO,80487-3598,(970) 870-5556,http://co-routtcounty.civicplus.com/index.aspx?NID=221,elections@co.routt.co.us,(970)870-5443
Colorado,Saguache,Clerk ,Elections Office,501 4th St.,,Saguache,CO,81149,(719) 655-2512,https://www.colorado.gov/saguachecoclerk,tgilbert@saguachecounty-co.gov,(719)655-2730
Colorado,San Juan,Clerk ,Elections Office,1557 Greene St.,,Silverton,CO,81433,(970) 387-5671,http://www.sanjuancountycolorado.us/,clerk@sanjuancountycolorado.us,(970)387-5671
Colorado,San Miguel,Clerk ,Elections Office,305 W. Colorado Ave.,,Telluride,CO,81435,(970) 728-3954,https://www.sanmiguelcountyco.gov/163/Clerk-Recorder,stephanniev@sanmiguelcountyco.gov,(970)728-4808
Colorado,Sedgwick,Clerk ,Elections Office,315 Cedar St.,Suite 220,Julesburg,CO,80737-1563,(970) 474-3346,https://www.colorado.gov/pacific/sedgwickcounty/clerk-recorder-2,cbeckman@sedgwickcountygov.net,(970)474-0954
Colorado,Summit,Clerk ,Elections Office,208 E. Lincoln Ave.,,Breckenridge,CO,80424,(970) 453-3479,http://www.co.summit.co.us/index.aspx?nid=126,elections@summitcountyco.gov,(970)453-3540
Colorado,Teller,Clerk ,Elections Office,101 W. Bennett Ave.,,Cripple Creek,CO,80813,"(719) 689-2951, option 2",http://www.co.teller.co.us/CR/ElectionsDept.aspx,elections@co.teller.co.us,(719)686-8030
Colorado,Washington,Clerk ,Elections Office,150 Ash St.,,Akron,CO,80720-1553,(970) 345-6565,http://www.co.washington.co.us/,akuntz@co.washington.co.us,(970)345-6607
Colorado,Weld,Clerk ,Elections Office,1402 N. 17th Ave.,,Greeley,CO,80631-9563,(970) 304-6525 ext. 3070,http://www.co.weld.co.us/Departments/ClerkRecorder/ElectionInformation/index.html,elections@weldgov.com,(970)304-6566
Colorado,Yuma,Clerk ,Elections Office,310 Ash St.,Suite F,Wray,CO,80758-1850,(970) 332-5809,http://yumacounty.net/clerk-and-recorder/,yumacountyclerk@co.yuma.co.us,(970)332-5919
Colorado,Arapahoe,Clerk ,Elections Office,5334 S. Prince St.,,Littleton,CO,80120-1136,(303) 795-4511,http://www.arapahoevotes.com/,elections@arapahoegov.com,(303)794-4625
