State,County,location_type,address_1,address_2,city,state_2,zip,phone,county_website_url,email,fax
New Mexico,Los Alamos,County Clerk,1000 Central Avenue,Suite 240,Los Alamos,NM,87544,(505) 662-8010,http://www.losalamosnm.us/government/elected_officials/county_clerk​,naomi.maestas@lacnm.us,(505) 662-8008
New Mexico,Luna,County Clerk,,,Deming,NM,88030,(575) 546-0491,http://www.lunacountynm.us/government/clerk/index.php,andrea_rodriguez@lunacountynm.us,(575) 543-6617
New Mexico,McKinley,County Clerk,207 West Hill Street,,Gallup,NM,87301,(505) 863-6866,http://www.co.mckinley.nm.us/190/County-Clerk,clerk@co.mckinley.nm.us ,(505) 863-1419
New Mexico,Mora,County Clerk,,,Mora,NM,87732,(575) 387-2448,http://countyofmora.com/countyclerk,cjarellano@countyofmora.com,(575) 387-9023
New Mexico,Otero,County Clerk,1104 N. White Sands Blvd.,Suite C ,Alamogordo,NM,88310,(575) 437-4942,http://co.otero.nm.us/,rholmes@co.otero.nm.us ,(575) 443-2922
New Mexico,Quay,County Clerk,,,Tucumcari,NM,88401,(575) 461-0510,http://quaycounty-nm.gov/elected-officals/county-clerk/,ellen.white@quaycounty-nm.gov ,(575) 461-0513
New Mexico,Rio Arriba,County Clerk,,,Tierra Amarilla,NM,87575,(575) 588-7724,http://www.rio-arriba.org,ljpadilla@rio-arriba.org ,(575)588-7418
New Mexico,Roosevelt,County Clerk,,,Portales,NM,88130,(575) 356-8562,http://www.rooseveltcounty.com,nbaca@rooseveltcounty.com,(575) 356-3560
New Mexico,San Juan,County Clerk,,,Aztec,NM,87410,(505) 334-9471,http://www.sjcclerk.net,tshelby@sjcounty.net ,(505) 334-3635 
New Mexico,San Miguel,County Clerk,500 W. National Avenue ,Ste. 113,Las Vegas,NM,87701,(505) 425-9331,http://co.sanmiguel.nm.us/elected_officials/clerk/index.php,ggutierrez@co.sanmiguel.nm.us,(505) 454-1799
New Mexico,Sandoval,County Clerk,,,Bernalillo,NM,87004,(505) 867-7572,https://www.sandovalcountynm.gov/elected-officials/county-clerk/,clerk@sandovalcountynm.gov ,(505) 771-8610
New Mexico,Santa Fe,County Clerk,,,Santa Fe,NM,87501,(505) 986-6280,http://www.santafecountynm.gov/clerk/elections_information,gsalazar@santafecountynm.gov ,(505) 995-2767
New Mexico,Sierra,County Clerk,100 N. Date Street,Suite 6,Truth or Consequences,NM,87901,(575) 894-2840,https://www.sierraco.org/department/clerk/ Email: strujillo@sierraco.org,strujillo@sierraco.org,(575) 894-2516
New Mexico,Socorro,County Clerk,,,Socorro,NM,87801,(575) 835-0423,http://www.socorrocounty.net/elected/clerk,bsaavedra@co.socorro.nm.us,(575) 835-1043
New Mexico,Taos,County Clerk,105 Albright St.,Suite D,Taos,NM,87571,(575) 737-6380,http://www.taoscounty.org/170/Clerk,Anna.martinez@taoscounty.org,(575) 737-6409
New Mexico,Torrance,County Clerk,,,Estancia,NM,87016,(505)-544-4350,http://www.torrancecountynm.org,ljaramillo@tcnm.us,(505) 384-4080
New Mexico,Union,County Clerk,,,Clayton,NM,88415,(575) 374-9491,https://unionnm.us/clerks-office-1,marylou.harkins@unionnm.us ,(575) 374-9591
New Mexico,Valencia,County Clerk,444 Luna Avenue,,Los Lunas,NM,87031,(505) 866-2080,http://www.co.valencia.nm.us/235/County-Clerk​,Peggy.Carabajal@co.valencia.nm.us,(505) 866-2015
