state,county,location_name,location_type,address_1,address_2,city,zip,state_2,phone,email,fax,hours,Timezone
Kansas,Decatur,County Election Officer,Elections Office,120 E Hall ,,Oberlin,67749,KS,(785)475-8102,nurban@dccoks.org,(785)475-8130,Monday-Friday:8:00AM - 5:00PM,
Kansas,Dickinson,County Election Officer,Elections Office,109 E 1st ,,Abilene,67410,KS,(785)263-3774,bjones@dkcoks.org,(785)263-2045,Monday-Friday:8:00AM - 5:00PM,
Kansas,Doniphan,County Election Officer,Elections Office,PO Box 278 ,,Troy,66087,KS,(785)985-3513,clerk@dpcountyks.com,(785)985-3723,Monday-Friday:8:30AM - 5:00PM,
Kansas,Douglas,County Election Officer,Elections Office,1100 Massachusetts St ,,Lawrence,66044,KS,(785)832-5267,jshew@douglas-county.com,(785)832-5192,Monday-Friday:8:00AM - 5:00PM,
Kansas,Edwards,County Election Officer,Elections Office,312 Massachusetts Ave ,,Kinsley,67547,KS,(620)659-3000,edwardsclerk@edwards.kscoxmail.com,(620)659-2583,Monday-Friday:8:00AM - 5:00PM,
Kansas,Elk,County Election Officer,Elections Office,127 N Pine,,Howard,67349,KS,(620)374-2490,clerk@elkcountyks.org,(888)309-3513,Monday-Friday:8:00AM - 4:30PM,
Kansas,Ellis,County Election Officer,Elections Office, 718 Main ,,Hays,67601,KS,(785)628-9410,dclerk@ellisco.net,(785)628-9413,Monday-Friday:8:00AM - 5:00PM,
Kansas,Ellsworth,County Election Officer,Elections Office,210 N Kansas Ave ,,Ellsworth,67439,KS,(785)472-4161,shelly@ewclerk.com,(785)472-4161,Monday-Friday:8:00AM - 5:00PM,
Kansas,Finney,County Election Officer,Elections Office,311 N. 9th Street ,,Garden City,67846,KS,(620)272-3891,dmunyan@finneycounty.org,(620)272-3890,Monday-Friday:8:00AM - 5:00PM,
Kansas,Ford,County Election Officer,Elections Office,100 Gunsmoke ,,Dodge City,67801,KS,(620)227-4553,dcox@fordcounty.net,(620)227-4699,Monday-Friday:9:00AM - 5:00PM,
Kansas,Franklin,County Election Officer,Elections Office,315 S Main ,,Ottawa,66067,KS,(785)229-3410,jpaddock@franklincoks.org,(785)229-3419,Monday-Friday:8:00AM - 4:30PM,
Kansas,Geary,County Election Officer,Elections Office,200 E. 8th Street ,,Junction City,66441,KS,(785)238-3912,rebecca.nordyke@gearycounty.org,(785)238-5419,Monday-Friday:8:30AM - 5:00PM,
Kansas,Gove,County Election Officer,Elections Office,520 Washington ,,Gove,67736,KS,(785)938-2300,gococlerk@ruraltel.net,(785)938-2305,Monday-Friday:8:00-12:00; Monday-Friday:13:00-17:00,
Kansas,Graham,County Election Officer,Elections Office,410 N Pomeroy ,,Hill City,67642,KS,(785)421-3453,grahcocl@ruraltel.net,(785)421-6374,Monday-Friday:8:30AM - 5:00PM,
Kansas,Grant,County Election Officer,Elections Office,108 S Glenn ,,Ulysses,67880,KS,(620)356-1335,clerk@pld.com,(620)356-3081,Monday-Friday:9:00AM - 5:00PM,
Kansas,Gray,County Election Officer,Elections Office,PO Box 487 ,,Cimarron,67835,KS,(620)855-3618,arogers@grayco.org,(620)855-3107,Monday-Friday:8:00AM - 5:00PM,
Kansas,Greeley,County Election Officer,Elections Office,P.O. Box 277 ,,Tribune,67879,KS,(620)376-4256,gcclerk@fairpoint.net,(620)376-4255,Monday-Friday:09:00-12:00;Monday-Friday:13:00-17:00,Mountain
Kansas,Greenwood,County Election Officer,Elections Office,311 N Main ,,Eureka,67045,KS,(620)583-8121,countyclerk@greenwoodcounty.org,(620)583-8124,Monday-Friday:8:00AM - 5:00PM,
Kansas,Hamilton,County Election Officer,Elections Office,219 N Main ,,Syracuse,67878,KS,(620)384-5629,hmcoclerk@gmail.com,(620)384-5853,Monday-Friday:8:30am-4:30pm,Mountain
Kansas,Harper,County Election Officer,Elections Office,201 N Jennings Avenue ,,Anthony,67003,KS,(620)842-6055,clerk@harpercountyks.gov,(620)842-3455,Monday-Friday:8:00AM - 5:00PM,
Kansas,Harvey,County Election Officer,Elections Office,800 N Main ,,Newton,67114,KS,(316)284-6842,elections@harveycounty.com,(316)284-6856,Monday-Friday:8:00AM - 5:00PM,
Kansas,Haskell,County Election Officer,Elections Office, 300 Inman St ,,Sublette,67877,KS,(620)675-2263,pcarrion@haskellcountyks.com,(620)675-2681,Monday-Friday:9:00AM - 5:00PM,
Kansas,Hodgeman,County Election Officer,Elections Office,500 Main,,Jetmore,67854,KS,(620)357-6421,hgcountyclerk@ks.gov,(620)357-6313,Monday-Friday:9:00-12:00;Monday-Friday:13:00-17:00,
Kansas,Jackson,County Election Officer,Elections Office,400 New York ,Rm 201,Holton,66436,KS,(785)364-5200,jacountyclerk@yahoo.com,(785)364-4204,Monday-Friday:8:00AM - 4:30PM,
Kansas,Jefferson,County Election Officer,Elections Office,PO Box 321 ,,Oskaloosa,66066,KS,(785)403-0483,lbuttron@jfcountyks.com,(785)403-0613,Monday-Friday:8:00AM - 4:30PM,
Kansas,Jewell,County Election Officer,Elections Office,307 N Commercial St,Ste 5,Mankato,66956,KS,(785)378-4020,jwcoclk@nckcn.com,(785)378-3037,Monday-Friday:8:30-12:00; Monday-Friday:13:00-16:30,
Kansas,Johnson,County Election Officer,Elections Office,2101 E Kansas City Rd ,,Olathe,66061,KS,(913)715-6800,election@jocoelection.org,(913)791-1753,Monday-Friday:8:00AM - 5:00PM,
Kansas,Kearny,County Election Officer,Elections Office,304 N Main ,,Lakin,67860,KS,(620)355-6422,keclerk@pld.com,(620)355-7383,Monday-Friday:8:00AM - 5:00PM,
Kansas,Kingman,County Election Officer,Elections Office,130 N Spruce ,,Kingman,67068,KS,(620)532-2521,noblitc@kingmancoks.org,(620)532-5082,Monday-Friday:8:00AM - 5:00PM,
Kansas,Kiowa,County Election Officer,Elections Office,211 East Florida Avenue ,,Greensburg,67054,KS,(620)723-1300,kristi.cooper@kiowacountyks.org,(620)723-3234,Monday-Friday:8:30-12:00; Monday-Friday:13:00-17:00,
Kansas,Labette,County Election Officer,Elections Office,501 Merchant ,,Oswego,67356,KS,(620)795-4005,glandis@labettecounty.com,(620)795-2928,Monday-Friday:8:00AM - 5:00PM,
Kansas,Lane,County Election Officer,Elections Office,144 S. Lane ,,Dighton,67839,KS,(620)397-5356,lanecomm@st-tel.net,(620)397-5419,Monday-Friday:8:00AM - 5:00PM,
Kansas,Leavenworth,County Election Officer,Elections Office,300 Walnut ,,Leavenworth,66048,KS,(913)684-0422,jklasinski@leavenworthcounty.org,(913)680-1489,Monday-Friday:8:00AM - 5:00PM,
Kansas,Lincoln,County Election Officer,Elections Office,216 E Lincoln Ave ,,Lincoln,67455,KS,(785)524-4757,lcclerk@lincolncoks.org,(785)524-5008,Monday-Friday:8:00AM - 5:00PM,
Kansas,Linn,County Election Officer,Elections Office,315 Main St.,,Mound City,66056,KS,(913)795-2668,dlamb@linncountyks.com,(913)795-2419,Monday-Friday:8:00AM - 4:00PM,
Kansas,Logan,County Election Officer,Elections Office,710 W 2nd St. ,,Oakley,67748,KS,(785)671-4244,lgclerk@st-tel.net,(785)671-3341,Monday-Friday:8:00AM - 5:00PM,
Kansas,Lyon,County Election Officer,Elections Office,430 Commercial ,,Emporia,66801,KS,(620)341-3245,lyclerk@lyoncounty.org,(620)341-3415,Monday-Friday:8:00AM - 5:00PM,
Kansas,Marion,County Election Officer,Elections Office,200 South Third ,Suite 104,Marion,66861,KS,(620)382-2185,coclerk@marioncoks.net,(620)382-8815,Monday-Friday:8:30AM - 5:00PM,
Kansas,Marshall,County Election Officer,Elections Office,1201 Broadway ,,Marysville,66508,KS,(785)562-5361,swilson@mscoks.org,(785)562-5262,Monday-Friday:8:30AM - 5:00PM,
Kansas,Mcpherson,County Election Officer,Elections Office,117 N. Maple ,,McPherson,67460,KS,(620)241-3656,hdm@mcpcoks.us,(620)241-1168,Monday-Friday:8:00AM - 5:00PM,
Kansas,Meade,County Election Officer,Elections Office,200 N. Fowler ,,Meade,67864,KS,(620)873-8700,jhale@meadeco.org,(620)873-8728,Monday-Friday:8:00-12:00; Monday-Friday:13:00-17:00,
Kansas,Miami,County Election Officer,Elections Office,201 S. Pearl ,Ste 102,Paola,66071,KS,(913)294-3976,countyclerk@miamicountyks.org,(913)294-9544,Monday-Friday:8:00AM - 4:30PM,
Kansas,Mitchell,County Election Officer,Elections Office,111 S Hersey ,,Beloit,67420,KS,(785)738-3652,mitchell_co@nckcn.com,(785)738-5524,Monday-Friday:8:30AM - 5:00PM,
Kansas,Montgomery,County Election Officer,Elections Office,217 E Myrtle ,,Independence,67301,KS,(620)330-1200,cassschmidt@mgcountyks.org,(620)330-1202,Monday-Friday:8:30-12:00; Monday-Friday:13:00-17:00,
Kansas,Morris,County Election Officer,Elections Office,501 West Main St. ,Ste 9,Council Grove,66846,KS,(620)767-5518,morris@tctelco.net,(620)767-6789,Monday-Friday:8:00AM - 5:00PM,
Kansas,Morton,County Election Officer,Elections Office,1025 Morton St ,,Elkhart,67950,KS,(620)697-2157,mortoncountyclerk@elkhart.com,(620)697-4105,Monday-Friday:9:00AM - 5:00PM,
Kansas,Nemaha,County Election Officer,Elections Office,607 Nemaha ,,Seneca,66538,KS,(785)336-2170,nmclerk@carsoncomm.com,(785)336-3373,Monday-Friday:8:00AM - 4:30PM,
Kansas,Neosho,County Election Officer,Elections Office,100 S. Main ,,Erie,66733,KS,(620)244-3811,nococlerk@neoshocountyks.org,(620)244-3810,Monday-Friday:8:00AM - 4:30PM,
Kansas,Ness,County Election Officer,Elections Office,202 W. Sycamore ,Suite 10,Ness City,67560,KS,(785)798-2401,nscoclerk@gbta.net,(785)798-3180,Monday-Friday:8:00-12:00; Monday-Friday:13:00-17:00,
Kansas,Norton,County Election Officer,Elections Office,105 S. Kansas  ,,Norton,67654,KS,(785)877-5710,robert@nortoncountyks.gov,(785)877-5794,Monday-Friday:8:00AM - 5:00PM,
Kansas,Osage,County Election Officer,Elections Office,717 Topeka Ave ,,Lyndon,66451,KS,(785)828-4812,rbeets@osageco.org,(785)828-4749,Monday-Friday:8:00AM - 5:00PM,
Kansas,Osborne,County Election Officer,Elections Office,423 W Main ,,Osborne,67473,KS,(785)346-2431,obcoclerk@ruraltel.net,(785)346-5252,Monday-Friday:8:30AM - 5:00PM,
Kansas,Ottawa,County Election Officer,Elections Office,307 N Concord St. ,Suite 102,Minneapolis,67467,KS,(785)392-2279,occlerk@ottawaclerk.org,(785)392-2011,Monday-Friday:8:00-12:00; Monday-Friday:13:00-17:00,
Kansas,Pawnee,County Election Officer,Elections Office,715 Broadway ,,Larned,67550,KS,(620)285-3721,clerk@pawneecountyks.org,(620)285-2559,Monday-Friday:8:30AM - 5:00PM,
Kansas,Phillips,County Election Officer,Elections Office,301 State Street ,Ste A,Phillipsburg,67661,KS,(785)543-6825,coclerk@ruraltel.net,(785)543-6827,Monday-Friday:8:30AM - 5:00PM,
Kansas,Pottawatomie,County Election Officer,Elections Office,207 N 1st ,,Westmoreland,66549,KS,(785)457-3314,nmccarter@Pottcounty.org,(785)457-3507,Monday-Friday:8:30AM - 4:30PM,
Kansas,Pratt,County Election Officer,Elections Office,300 S Ninnescah ,,Pratt,67124,KS,(620)672-4110,lvoss@prattcounty.org,(620)672-9541,Monday-Friday:8:00AM - 5:00PM,
Kansas,Rawlins,County Election Officer,Elections Office,607 Main St. ,Suite C,Atwood,67730,KS,(785)626-3351,rfinley@rawlinscounty.org,(785)626-9019,Monday-Friday:9:00AM - 5:00PM,
Kansas,Reno,County Election Officer,Elections Office,125 W. 1st Ave ,,Hutchinson,67501,KS,(620)694-2934,donna.patton@renogov.org,(620)694-2534,Monday-Friday:8:00AM - 5:00PM,
Kansas,Republic,County Election Officer,Elections Office,1815 M. Street ,,Belleville,66935,KS,(785)527-7231,kmarsicek@republiccounty.org,(785)527-2668,Monday-Friday:8:00AM - 5:00PM,
Kansas,Rice,County Election Officer,Elections Office,101 W. Commercial ,,Lyons,67554,KS,(620)257-2232,aureliag@ricecocthse.com,(620)257-3039,Monday-Friday:8:00AM - 5:00PM,
Kansas,Riley,County Election Officer,Elections Office,110 Courthouse Plaza ,B118,Manhattan,66502,KS,(785)537-6300,rvargo@rileycountyks.gov,(785)537-6394,Monday-Friday:8:00AM - 5:00PM,
Kansas,Rooks,County Election Officer,Elections Office,115 N Walnut ,,Stockton,67669,KS,(785)425-6391,rom@ruraltel.net,(785)425-6015,Monday-Friday:8:00-12:00; Monday-Friday:13:00-17:00,
Kansas,Rush,County Election Officer,Elections Office,715 Elm ,,LaCrosse,67548,KS,(785)222-2731,rushclerk@gbta.net,(785)222-3559,Monday-Friday:8:30-12:00; Monday-Friday:13:00-17:00,
Kansas,Russell,County Election Officer,Elections Office,401 N. Main St. ,,Russell,67665,KS,(785)483-4641,russellcoclerk@ruraltel.net,(785)483-7225,Monday-Friday:8:30AM - 5:00PM,
Kansas,Saline,County Election Officer,Elections Office,300 W Ash St ,Room 215,Salina,67401,KS,(785)309-5820,jamie.doss@saline.org,(785)309-5826,Monday-Friday:8:00AM - 5:00PM,
Kansas,Scott,County Election Officer,Elections Office,303 Court ,,Scott City,67871,KS,(620)872-2420,scclerk@wbsnet.org,(620)872-7145,Monday-Friday:8:00AM - 5:00PM,
Kansas,Sedgwick,County Election Officer,Elections Office,510 N Main ,#101,Wichita,67203,KS,(316)660-7100,voterinformation@sedgwick.gov,(316)660-7125,Monday-Friday:8:00AM - 5:00PM,
Kansas,Seward,County Election Officer,Elections Office,515 N Washington ,Ste 100,Liberal,67901,KS,(620)626-3355,slong@sewardcountyks.org,(620)626-3211,Monday-Friday:9:00AM - 5:00PM,
Kansas,Shawnee,County Election Officer,Elections Office,3420 SW Van Buren Street ,,Topeka,66611,KS,(785)251-5900,electionoffice@snco.us,(785)251-5999,Monday-Friday:8:00AM - 5:00PM,
Kansas,Sheridan,County Election Officer,Elections Office,925 9th Street ,,Hoxie,67740,KS,(785)675-3361,sdcoclk@ruraltel.net,(785)675-3487,Monday-Friday:8:00-12:00; Monday-Friday:13:00-17:00,
Kansas,Sherman,County Election Officer,Elections Office,813 Broadway ,Rm 102,Goodland,67735,KS,(785)890-4806,amannis@shermancounty.org,(785)890-4809,Monday-Friday:8:00-12:00; Monday-Friday:13:00-17:00,Mountain
Kansas,Smith,County Election Officer,Elections Office,218 S Grant ,Ste. 5,Smith Center,66967,KS,(785)282-5110,clerk@smcoks.com,(785)282-5114,Monday-Friday:8:00-12:00; Monday-Friday:13:00-17:00,
Kansas,Stafford,County Election Officer,Elections Office,209 N Broadway St. ,,John,67576,KS,(620)549-3509,coclerk@gbta.net,(620)549-3481,Monday-Friday:8:00-12:00; Monday-Friday:13:00-17:00,
Kansas,Stanton,County Election Officer,Elections Office,201 N Main ,,Johnson,67855,KS,(620)492-2140,stcoclerk@stantoncountyks.com,(620)492-1745,Monday-Friday:9:00-12:00; Monday-Friday:13:00-17:00,
Kansas,Stevens,County Election Officer,Elections Office,200 E 6th ,,Hugoton,67951,KS,(620)544-2541,stevenscoclerk@hotmail.com,(620)544-4094,Monday-Friday:9:00AM - 5:00PM,
Kansas,Sumner,County Election Officer,Elections Office,501 N Washington ,,Wellington,67152,KS,(620)326-3395,sucoclk@co.sumner.ks.us,(620)326-2116,Monday-Friday:8:00AM - 5:00PM,
Kansas,Thomas,County Election Officer,Elections Office,300 N Court Ave ,,Colby,67701,KS,(785)460-4500,sharms@thomascountyks.gov,(785)460-4503,Monday-Friday:8:00AM - 5:00PM,
Kansas,Trego,County Election Officer,Elections Office,216 N. Main St. ,,WaKeeney,67672,KS,(785)743-5773,lori.augustine@tregocountyks.com,(785)743-5594,Monday-Friday:8:30AM - 5:00PM,
Kansas,Wabaunsee,County Election Officer,Elections Office,215 Kansas Ave ,,Alma,66401,KS,(785)765-2421,jsavage@wbcounty.org,(785)765-3704,Monday-Friday:8:00AM - 4:30PM,
Kansas,Wallace,County Election Officer,Elections Office,313 N Main ,,Sharon Springs,67758,KS,(785)852-4282,wacoclk@fairpoint.net,(785)852-5283,Monday-Friday:8:00-12:00; Monday-Friday:13:00-17:00,Mountain
Kansas,Washington,County Election Officer,Elections Office,214 C St ,,Washington,66968,KS,(785)325-2974,dsvanda@washingtoncountyks.gov,(785)325-2303,Monday-Friday:8:00AM - 5:00PM,
Kansas,Wichita,County Election Officer,Elections Office,206 S Fourth St ,,Leoti,67861,KS,(620)375-2731,coclerk@wbsnet.org,(620)375-4350,Monday-Friday:8:00-12:00; Monday-Friday:13:00-17:00,
Kansas,Wilson,County Election Officer,Elections Office,615 Madison ,,Fredonia,66736,KS,(620)378-2186,wlcoclk@wilsoncountykansas.org,(620)378-3841,Monday-Friday:8:30AM - 5:00PM,
Kansas,Woodson,County Election Officer,Elections Office,105 W. Rutledge Yates ,,Center,66783,KS,(620)625-8605,tporter@woodsoncounty.net,(620)625-8670,Monday-Friday:8:00-12:00; Monday-Friday:13:00-17:00,
Kansas,Wyandotte,County Election Officer,Elections Office,850 State Avenue ,,Kansas City,66101,KS,(913)573-8500,election@wycokck.org,(913)573-8580,Monday-Friday:8:00AM - 5:00PM,
