state,county,location_type,address_1,address_2,city,state_2,zip,phone,county_website_url,email,fax,notes
Kentucky,Clark,County Clerk,34 South Main Street,Room 109,Winchester,KY,40392-4060,(859) 745-0280,https://clark.countyclerk.us,michelles.turner@ky.gov,(859) 745-4251,"34 South Main Street, Room 109, PO Box 4060 Winchester, KY 40392-4060"
Kentucky,Clay,County Clerk,102 Richmond Road,Suite 101,Manchester,KY,40962,(606) 598-2544,http://clay.clerkinfo.net/,michael.baker@ky.gov,(606) 599-0603,"102 Richmond Road, Suite 101, Manchester, KY 40962"
Kentucky,Clinton,County Clerk,100 South Cross Street,Suite 103,Albany,KY,42602,(606) 387-5943,http://clintonwp.clerkinfo.net/,nathan.collins@ky.gov,(606) 387-5258,"100 South Cross Street, Suite 103, Albany, KY 42602"
Kentucky,Crittenden,County Clerk,107 South Main Street,Suite 203,Marion,KY,42064,(270) 965-3403,http://crittendenwp.clerkinfo.net/,carolyn.byford@ky.gov,(270) 965-3447,"107 South Main Street, Suite 203, Marion, KY 42064"
Kentucky,Cumberland,County Clerk,601 Courthouse Square,,Burkesville,KY,42717-0275,(270) 864-3726,http://www.cumberlandcountyclerk.com/,kim.king@ky.gov,(270) 864-5884,"601 Courthouse Square, PO Box 275 Burkesville, KY 42717-0275"
Kentucky,Daviess,County Clerk,212 St. Ann Street,,Owensboro,KY,42302-0609,(270) 685-8434,https://www.daviessky.org/daviess-county-clerks-office/,lmccarty@daviessky.org,270-685-2431,"212 St. Ann Street, P.O. Box 609 Owensboro, KY 42302-0609"
Kentucky,Edmonson,County Clerk,108 North Main Street,,Brownsville,KY,42210-0830,(270) 597-2624,https://edmonsonclerk.com/,kevin.alexander@ky.gov,(270) 597-9714,"108 North Main Street, PO Box 830 Brownsville, KY 42210-0830"
Kentucky,Elliott,County Clerk,118 South KY,#7,Sandy Hook,KY,41171-0225,(606) 738-5421,,jennifer.carter@ky.gov,(606) 738-4462,"118 South KY #7, P.O. Box 225 Sandy Hook, KY 41171-0225"
Kentucky,Estill,County Clerk,130 Main Street,Room 109,Irvine,KY,40336-0059,(606) 723-5156,,brian.crowe@ky.gov,(606) 723-5108,"130 Main Street, Room 109, P.O. Box 59 Irvine, KY 40336-0059"
Kentucky,Fayette,County Clerk,162 East Main Street,,Lexington,KY,40507,(859) 253-3344,,dblevins@fayettecountyclerk.com,(859) 253-8359,"162 East Main Street, Lexington, KY 40507"
Kentucky,Fleming,County Clerk,100 Court Square,,Flemingsburg,KY,41041,(606) 845-8461,,jarrod.fritz@ky.gov,(606) 845-0212,"100 Court Square, Flemingsburg, KY 41041"
Kentucky,Floyd,County Clerk,149 South Eastern Time Ave,Room 1,Prestonsburg,KY,41653-1089,(606) 886-3816,,chrisd.waugh@ky.gov,(606) 886-8089,"149 South Eastern Time Ave, Room 1, P.O. Box 1089 Prestonsburg, KY 41653-1089"
Kentucky,Franklin,County Clerk,315 West Main Stree,,Frankfort,KY,40601,(502) 875-8702,https://Franklin.countyclerk.us,jeff.hancock@ky.gov,(502) 875-8718,"315 West Main Street Frankfort, KY 40601"
Kentucky,Fulton,County Clerk,2216 Myron Cory Drive,,Hickman,KY,42050-0126,(270) 236-2727,https://fulton.clerkinfo.net/,naomi.jones@ky.gov,(270) 236-2522,"2216 Myron Cory Drive, P.O. Box 126 Hickman, KY 42050-0126"
Kentucky,Gallatin,County Clerk,102 West High Street Warsaw,,Warsaw,KY,41095,(859) 567-5411,http://gallatincountykyclerk.com,tracy.miles@ky.gov,(859) 567-5444,"102 West High Street Warsaw, KY 41095"
Kentucky,Garrard,County Clerk,15 Public Square,Suite 5,Lancaster,KY,40444,(859) 792-3071,https://garrard.countyclerk.us/,kevin.montgomery@ky.gov,(859) 792-6751,"15 Public Square, Suite 5, Lancaster, KY 40444"
Kentucky,Grant,County Clerk,107 North Main Street,,Williamstown,KY,41097,(859) 824-3321,https://grantcountyclerk.org/,tabatha.clemons@ky.gov,(859) 824-3367,"107 North Main Street, Williamstown, KY 41097"
Kentucky,Graves,County Clerk,101 East South Street,Suite 2,Mayfield,KY,42066,(270) 247-1676,http://Graves.countyclerk.us,kim.gills@ky.gov,(270) 247-1274,"101 East South Street, Suite 2, Mayfield, KY 42066"
Kentucky,Grayson,County Clerk,10 Public Square,,Leitchfield,KY,42754,270-259-5295,,,(270) 259-9264,"10 Public Square, Leitchfield, KY 42754"
Kentucky,Green,County Clerk,203 West Court Street,,Greensburg,KY,42743,(270) 932-5386,https://green.countyclerk.us/,Jessica.Baker@ky.gov,(270) 932-6241,"203 West Court Street, Greensburg, KY 42743"
Kentucky,Greenup,County Clerk,301 Main Street,,Greenup,KY,41144-0686,(606) 473-7394,https://www.greenupcountyclerk.com/,patricia.hieneman@ky.gov,(606) 473-5354,"301 Main Street, PO Box 686 Greenup, KY 41144-0686"
Kentucky,Hancock,County Clerk,225 Main Cross Street,,Hawesville,KY,42348-0146,(270) 927-6117,https://hancock.countyclerk.us /,trina.ogle@ky.gov,(270) 927-8639,"225 Main Cross Street, PO Box 146 Hawesville, KY 42348-0146"
Kentucky,Hardin,County Clerk,150 N Provident Way,Suite 103,Elizabethtown,KY,42701,270-765-4119,http://www.hccoky.org,debbied@hccoky.org,270-769-2682,"150 N Provident Way, Suite 103, Elizabethtown, KY 42701"
Kentucky,Harlan,County Clerk,210 East Eastern Time Street,,Harlan,KY,40831-0670,(606) 573-3636,https://www.harlancountyclerk.com/,donna.hoskins@ky.gov,(606) 573-0064,"210 East Eastern Time Street, PO Box 670 Harlan, KY 40831-0670"
Kentucky,Harrison,County Clerk,111 South Main St.,Suite 102,Cynthiana,KY,41031,(859) 234-7130,http://harrison.clerkinfo.net/,linda.barnes@ky.gov,(859) 234-8049,"111 South Main St., Suite 102, Cynthiana, KY 41031"
Kentucky,Hart,County Clerk,200 Main Street,,Munfordville,KY,42765-0277,(270) 524-2751,https://hart.countyclerk.us/,lisa.hensley@ky.gov,(270) 524-0458,"200 Main Street, P.O. Box 277 Munfordville, KY 42765-0277"
Kentucky,Henderson,County Clerk,20 North Main Street,Suite 206,Henderson,KY,42419-0374,(270) 826-3906,http://www.hendersonky.us/,renesa.abner@ky.gov,(270) 826-9677,"20 North Main Street, Suite 206, PO Box 374 Henderson, KY 42419-0374"
Kentucky,Henry,County Clerk,27 South Property Road,,New Castle,KY,40050,(502) 845-5705,https://henry.countyclerk.us/,shanda.archer@ky.gov,(502) 845-5708,"27 South Property Road, PO Box 615 New Castle, KY 40050"
Kentucky,Hickman,County Clerk,110 East Clay Street,Suite E,Clinton,KY,42031,(270) 653-2131,https://hickman.countyclerk.us/,jimbo.berry@ky.gov,(270) 653-2831,"110 East Clay Street, Suite E, Clinton, KY 42031"
Kentucky,Hopkins,County Clerk,24 Union Street,,Madisonville,KY,42431,(270) 821-7361,,keenan.cloern@ky.gov,(270) 821-3270,"24 Union Street, Madisonville, KY 42431"
Kentucky,Jackson,County Clerk,108 Courthouse Square,,McKee,KY,40447-0339,(606) 287-7800,,donald.moore@ky.gov,(606) 287-4505,"108 Courthouse Square, PO Box 339 McKee, KY 40447-0339"
Kentucky,Jefferson,County Clerk,527 West Jefferson Street,Suite 105 ,Louisville,KY,40202,(502) 574-5700,https://www.jeffersoncountyclerk.org/,countyclerk@jeffersoncountyclerk.com,(502) 574-5566,"527 West Jefferson Street, Suite 105 , PO Box 33033 Louisville, KY 40202"
Kentucky,Jessamine,County Clerk,101 North Main Street,,Nicholasville,KY,40356,(859) 885-4161,https://jessaminecountyclerk.com,johnny.collier@ky.gov,(859) 885-5837,"101 North Main Street, Nicholasville, KY 40356"
Kentucky,Johnson,County Clerk,230 Court Street,Suite 124,Paintsville,KY,41240,(606) 789-2557,http://johnsoncountyclerkky.com,sallee.holbrook@ky.gov,(606) 789-2559,"230 Court Street, Suite 124, Paintsville, KY 41240"
Kentucky,Kenton,County Clerk,303 Court St.,,Covington,KY,41011,(859) 392-1600,https://kentoncountykyclerk.com/home,gabrielle.summe@ky.gov,(859) 392-1642,"303 Court St., P.O. Box 1109 Covington, KY 41011"
Kentucky,Knott,County Clerk,54 West Main Street,,Hindman,KY,41822-0446,606-785-5651,https://www.knottcountyclerk.com/,info@knottcountyclerk.com,606-785-0966,"54 West Main Street Hindman, KY 41822-0446"
Kentucky,Knox,County Clerk,401 Court Square,Suite 102,Barbourville,KY,40906,(606) 546-3568,https://knox.countyclerk.us/,mike.corey@ky.gov,(606) 546-3589,"401 Court Square, Suite 102, Barbourville, KY 40906"
Kentucky,Larue,County Clerk,209 West High Street,Suite 3,Hodgenville,KY,42748,(270) 358-3544,http://www.laruecountyclerk.com,lindac.carter@ky.gov,(270) 358-4528,"209 West High Street, Suite 3, Hodgenville, KY 42748"
Kentucky,Laurel,County Clerk,101 South Main Street,Room 203,London,KY,40741,(606) 864-5158,https://Laurel.countyclerk.us,tony.brown@ky.gov,(606) 864-7369,"101 South Main Street, Room 203, London, KY 40741"
Kentucky,Lawrence,County Clerk,122 South Main Cross Street,,Louisa,KY,41230,(606) 638-4108,https://lawrencekyclerk.com/,chris.jobe@ky.gov,(606) 638-0638,"122 South Main Cross Street, Louisa, KY 41230"
Kentucky,Lee,County Clerk,256 Main Street,Room 11,Beattyville,KY,41311-0556,(606) 464-4115,,kimberlya.noe@ky.gov,(606) 464-4102,"256 Main Street, Room 11, PO Box 556 Beattyville, KY 41311-0556"
Kentucky,Leslie,County Clerk,22010 Main Street,,Hyden,KY,41749-0916,(606) 672-2193,https://lesliecountyclerk.ky.gov/Pages/default.aspx,lesliecountyclerk@tds.net,(606) 672-4264,"22010 Main Street, PO Box 916 Hyden, KY 41749-0916"
Kentucky,Letcher,County Clerk,156 Main Street,Suite 102,Whitesburg,KY,41858,(606) 633-2432,,winston.meade@ky.gov,(606) 632-9282,"156 Main Street, Suite 102, Whitesburg, KY 41858"
Kentucky,Lewis,County Clerk,112 Second Street,,Vanceburg,KY,41179-0129,(606) 796-3062,http://lewis.clerkinfo.net,glenda.himes@ky.gov,(606) 796-6511,"112 Second Street, PO Box 129 Vanceburg, KY 41179-0129"
Kentucky,Lincoln,County Clerk,301 North 3rd Street,,Stanford,KY,40484,(606) 365-4570,http://www.lincolnky.com/government/administration/county_clerk.php,george.spoonamore@ky.gov,(606) 365-4572,"301 North 3rd Street, Stanford, KY 40484"
Kentucky,Livingston,County Clerk,321 Court Street,,Smithland,KY,42081-0400,(270) 928-2162,https://livingston.countyclerk.us,sonya.williams@ky.gov,(270) 928-2211,"321 Court Street, PO Box 400 Smithland, KY 42081-0400"
Kentucky,Logan,County Clerk,229 West 3rd Street,,Russellville,KY,42276-0358,(270) 726-6061,https://logancountyclerk.ky.gov/Pages/default.aspx,scottie.harper@ky.gov,(270) 726-4355,"229 West 3rd Street, PO Box 358 Russellville, KY 42276-0358"
Kentucky,Lyon,County Clerk,500 West Dale Avenue,Suite 140,Eddyville,KY,42038-0310,(270) 388-2331,http://kysearch.kofile.us/,lori.duff@ky.gov,(270) 388-0634,"500 West Dale Avenue, Suite 140, PO Box 310 Eddyville, KY 42038-0310"
Kentucky,Madison,County Clerk,101 West Main Street,,Richmond,KY,40475,(859) 624-4703,https://www.madisoncountyclerk.us,kenny.barger@madisoncountyky.us,(859) 624-4954,"101 West Main Street, Richmond, KY 40475"
Kentucky,Magoffin,County Clerk,42 East Maple Street,,Salyersville,KY,41465,(606) 349-2216,https://magoffincountyclerk.ky.gov/Pages/about.aspx,renee.shepherd@ky.gov,(606) 349-2328,"42 East Maple Street, PO Box 1535 Salyersville, KY 41465"
Kentucky,Marion,County Clerk,223 North Spalding Avenue,Suite 102, Lebanon,KY,40033,(270) 692-2651,http://www.marioncountykyclerk.com,chad.mattingly@ky.gov,(270) 692-9811,"223 North Spalding Avenue, Suite 102, Lebanon, KY 40033"
Kentucky,Marshall,County Clerk,1101 Main Street,,Benton,KY,42025,(270) 527-4740,,tim.york@ky.gov,(270) 527-4738,"1101 Main Street, Benton, KY 42025"
Kentucky,Martin,County Clerk,,,Inez,KY,41224,(606) 298-2810,https://martincountyclerk.com/,karen.skyles@ky.gov,(606) 298-0143,"PO Box 460 Inez, KY 41224"
Kentucky,Mason,County Clerk,27 W. 3rd St.,,Maysville,KY,,606-564-3341,https://mason.countyclerk.us/,Stephanie.schumacher@ky.gov,606-564-8979,"27 W. 3rd St. P.O. Box 234 Maysville, Ky"
Kentucky,McCracken,County Clerk,,,Paducah,KY,42002-0609301,(270) 444-4700,http://mccrackencountyclerk.net,julie.griggs@ky.gov,(270) 444-4704,"Paducah, KY 42002-0609301 South 6th Street, PO Box 609 "
Kentucky,McCreary,County Clerk,,,Whitley City,KY,42653,606-376-2411,www.mccrearycountyclerk.com,eric.haynes@ky.gov,606-376-3898,"PO Box 699 Whitley City, KY 42653"
Kentucky,McLean,County Clerk,210 Main Street,,Calhoun,KY,42327-0057,(270) 273-3082,https://McLean.countyclerk.us,carol.eaton@ky.gov,(270) 273-5084,"210 Main Street, PO Box 57 Calhoun, KY 42327-0057"
Kentucky,Meade,County Clerk,516 Hillcrest Drive,,Brandenburg,KY,40108-0614,(270) 422-2152,meadecountyclerk.com,judy.jordan@ky.gov,(270) 422-2158,"516 Hillcrest Drive, PO Box 614 Brandenburg, KY 40108-0614"
Kentucky,Menifee,County Clerk,12 Main Street,,,KY,40322-0123,(606) 768-3512,https://menifee.countyclerk.us,krystal.chapman@ky.gov,(606) 768-6738,"12 Main Street, Frenchburg, KY 40322-0123PO Box 123 "
Kentucky,Mercer,County Clerk,207 West Lexington Street,,Harrodsburg,KY,40330,(859) 734-6310,https://mercer.countyclerk.us/,chris.horn@ky.gov,(859) 734-6309,"207 West Lexington Street, PO Box 426 Harrodsburg, KY 40330"
Kentucky,Metcalfe,County Clerk,201 N.MAIN ST.,,EDMONTON,KY,42133,(270) 432-4821,http://metcalfecountyclerk.com,carol.england@ky.gov,(270) 432-5176,"201 N.MAIN ST.PO BOX 25EDMONTON, KY. 42129"
Kentucky,Monroe,County Clerk,200 N Main St.,Suite D,Tompkinsville,KY,42167,(270) 487-5471,http://Monroe.countyclerk.us,teresa.sheffield@ky.gov,(270) 487-5976,"200 N Main St., Suite D,Tompkinsville, KY 42167"
Kentucky,Montgomery,County Clerk,1 Court Street,Suite 2,Mount Sterling,KY,40353,(859) 498-8700,www.montgomerycountyclerk.com,chris.cockrell@ky.gov,(859) 498-8729,"1 Court Street, Suite 2 Mount Sterling KY 40353"
Kentucky,Morgan,County Clerk,450 Prestonsburg Street,,West Liberty,KY,41472,(606) 743-3949,http://morganwp.clerkinfo.net,randy.williams2@ky.gov,(606) 743-2111,"450 Prestonsburg Street, P.O. Box 26 West Liberty, KY 41472"
Kentucky,Muhlenberg,County Clerk,100 South Main Street,,Greenville,KY,42345,(270) 338-1441,https://muhlenberg.countyclerk.us,Crystal.Smith@ky.gov,(270) 338-1774,"100 South Main Street,Greenville, KY 42345"
Kentucky,Nelson,County Clerk,,,,KY,,(502) 348-1820,http://nelsoncountyclerk.com,,(502) 348-1822,
Kentucky,Nicholas,County Clerk,125 East Main Street,,Carlisle,KY,40311-0227,(859) 289-3730,https://nicholascounty.ky.gov/elected/CountyClerk,martha.moss@ky.gov,(859) 289-3709,"125 East Main Street, PO Box 227Carlisle, KY 40311-0227"
Kentucky,Ohio,County Clerk,301 South Main Street,Suite 201,Hartford,KY,42347,(270) 298-4422,https://ohiocountyclerk.ky.gov/Pages/default.asp,bess.ralph@ky.gov,(270) 298-4425,"301 South Main Street, Suite 201,Hartford, KY 42347"
Kentucky,Oldham,County Clerk,100 West Jefferson Street,,LaGrange,KY,40031,(502) 222-7645,https://oldham.countyclerk.us/,julie.barr@ky.gov,(502) 222-3208,"100 West Jefferson Street,LaGrange, KY 40031"
Kentucky,Owen,County Clerk,136 West Bryan Street,,Owenton,KY,40359,(502) 484-2213,,julie.barr@ky.gov,(502) 484-1002,"100 West Jefferson Street,LaGrange, KY 40031"
Kentucky,Owsley,County Clerk,20 Main Street,1st Floor Courthouse,Booneville,KY,41314-0500,(606) 593-5735,,,(606) 593-5737,"20 Main Street, 1st Floor Courthouse, PO Box 500Booneville, KY 41314-0500"
Kentucky,Pendelton,County Clerk,233 main st,Room 1,Falmouth,KY,41040,859-654-3380,http://Pendleton.clerkinfo.net,rita.spencer@ky.gov,859-654-5600,"233 main st, Room 1 Falmouth, Ky 41040"
Kentucky,Perry,County Clerk,481 Main Street,Suite 101,Hazard,KY,41701,(606) 436-4614,,wayne.napier@ky.gov,(606) 439-0557,"481 Main Street, Suite 101Hazard, KY 41701"
Kentucky,Pike,County Clerk,146 Main Street,,Pikeville,KY,41502-0631,(606) 432-6211,http://pikewp.clerkinfo.net,rhonda.taylor2@ky.gov,(606) 432-6222,"146 Main Street, PO Box 631Pikeville, KY 41502-0631"
Kentucky,Powell,County Clerk,525 Washington St.,Rm 109,Stanton,KY,40380-0548,(606) 663-6444,https://powell.clerkinfo.net,jackie.everman@ky.gov,(606) 663-6406," 525 Washington St., Rm 109, PO Box 548Stanton, KY 40380-0548"
Kentucky,Pulaski,County Clerk,100 Main St.,Room 208,Somerset,KY,42502,(606) 679-2042,http://www.pckycountyclerk.com,linda.burnett@ky.gov,(606) 678-0073," 100 Main St., Room 208, PO Box 739Somerset, KY 42502"
Kentucky,Robertson,County Clerk,26 Court Street,,Mt. Olivet,KY,41064-0075,(606) 724-5212,https://robertson.countyclerk.us/,joanie.jolly@ky.gov,(606) 724-5022," 26 Court Street, PO Box 75Mt. Olivet, KY 41064-0075"
Kentucky,Rockcastle,County Clerk,205 East Main Street,,Mt. Vernon,KY,40456, (606) 256-2831,http://rockcastlecountyclerk.com,danetta.allen@ky.gov,(606) 256-4302," 205 East Main Street, Box 6,Mt. Vernon, KY 40456"
Kentucky,Rowan,County Clerk,600 West Main Street,Room 102,Morehead,KY,40351,(606) 784-5212,https://rowan.countyclerk.us,elwoodj.caudill@ky.gov,(606) 784-2923," 600 West Main Street, Room 102,Morehead, KY 40351"
Kentucky,Russell,County Clerk,410 Monument Square,Suite 203,Jamestown,KY,42629-0579,(270) 343-2125,http://russell.clerkinfo.net/,sue.brockman@ky.gov,(270) 343-4700," 410 Monument Square, Suite 203, PO Box 579Jamestown, KY 42629-0579"
Kentucky,Scott,County Clerk,101 East Main Street,,Georgetown,KY,40324,(502) 863-7875,https://scottcountyclerk.com/,rebeccam.johnson@ky.gov,(502) 863-7898," 101 East Main Street,Georgetown, KY 40324"
Kentucky,Shelby,County Clerk,501 Washington Street,,Shelbyville,KY,40066-0819,(502) 633-4410,http://Shelby.countyclerk.us,suecarole.perry@ky.gov,(502) 633-7887," 501 Washington Street, PO Box 819Shelbyville, KY 40066-0819"
Kentucky,Simpson,County Clerk,103 West Cedar Street,,Franklin,KY,42134,(270) 586-8161,https://simpson.countyclerk.us/,jolene.thurman@ky.gov,(270) 586-6464," 103 West Cedar StreetFranklin, KY 42134"
Kentucky,Spencer,County Clerk,2 West Main Street,,Taylorsville,KY,40071-0544,(502) 477-3215,http://Spencer.countyclerk.us,lynn.hesselbrock@ky.gov,(502) 477-3216," 2 West Main Street, PO Box 544Taylorsville, KY 40071-0544"
Kentucky,Taylor,County Clerk,203 North Court Street,Suite 5,Campbellsville,KY,42718,(270) 465-6677,http://www.tcclerk.com/,mark.carney@ky.gov,(270) 789-1144," 203 North Court Street, Suite 5,Campbellsville, KY 42718"
Kentucky,Todd,County Clerk,202 East Washington Street,,Elkton,KY,42220-0307,(270) 265-9966,https://todd.clerkinfo.net,leslie.cunningham@ky.gov,(270) 265-2588," 202 East Washington Street, PO Box 307Elkton, KY 42220-0307"
Kentucky,Trigg,County Clerk,38 Main Street,,Cadiz,KY,42211-1310, (270) 522-6661,https://triggcountyclerk.ky.gov/Pages/default.aspx,carmen.finley@ky.gov,(270) 522-6662," 38 Main Street, PO Box 1310Cadiz, KY 42211-1310"
Kentucky,Trimble,County Clerk,30 HWY 42 East,,Bedford,KY,40006-0262,(502) 255-7174,https://trimble.countyclerk.us/,,(502) 255-7045," 30 HWY 42 East, PO Box 262Bedford, KY 40006-0262"
Kentucky,Union,County Clerk,100 East Main Street,,Morganfield,KY,42437-0119,(270) 389-1334,https://union.countyclerk.us/,garrick.thompson@ky.gov,(270) 389-9135," 100 East Main Street, PO Box 119Morganfield, KY 42437-0119"
Kentucky,Warren,County Clerk,429 East 10th Street,Suite 100,Bowling Green,KY,42102,(270) 843-5306,https://warren/countyclerk.us/,lynette.yates@ky.gov,(270) 843-5315," 429 East 10th Street, Suite 100, PO Box 478Bowling Green, KY 42102"
Kentucky,Washington,County Clerk,117 Cross Main Street,,Springfield,KY,40069-0446,(859) 336-5425,,,(859) 336-5408," 117 Cross Main Street, PO Box 446Springfield, KY 40069-0446"
Kentucky,Wayne,County Clerk,55 North Main St.,Suite 106,Monticello,KY,42633,(606) 348-5721,,heather.piercy@ky.gov,(606) 348-8303," 55 North Main St., Suite 106,Monticello, KY 42633"
Kentucky,Webster,County Clerk,25 US Highway 41-A South,,Dixon,KY,42409-0019,270.639.7006,https://webstercountyclerk.ky.gov, valerie.franklin@ky.gov,(270) 639-7029," 25 US Highway 41-A South, PO Box 19Dixon, KY 42409-0019"
Kentucky,Whitley,County Clerk,200 Main Street,Room 2,Williamsburg,KY,40769,(606) 549-6002,https://whitley.countyclerk.us/,carolyn.willis@ky.gov,(606) 549-2790," 200 Main Street, Room 2,PO Box 8Williamsburg, KY 40769"
Kentucky,Wolfe,County Clerk,10 Court Street,,Campton,KY,41301-0400,(606) 668-3515,https://wolfe.clerkinfo.net,stevef.oliver@ky.gov,(606) 668-3492," 10 Court Street, PO Box 400Campton, KY 41301-0400"
Kentucky,Woodford,County Clerk,103 South Main Street,,Versailles,KY,40383,(859) 873-3421,https://woodford.countyclerk.us/,sandra.jones@ky.gov,(859) 873-6985," 103 South Main StreetVersailles, KY 40383"
